NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
DarkReading,172038,428,"News and information on IT security, helping information security pros manage the balance between data protection and user access.",1227,842,"RT @sarapeters: THANK YOU to all our attendees and speakers at the inaugural #INsecurityCon!!! We love you forever. @DarkReading"
,,,,,,"Security Geek Gift Guide https://t.co/WHwRzmnNTc"
,,,,,,"Deception: Why It's Not Just Another Honeypot https://t.co/3iflqNhwA8"
,,,,,,"Sallie Mae CISO: 4 Technologies That Will Shape IT Security https://t.co/3nqxab0xM1"
,,,,,,"'Blocking and Tackling' in the New Age of Security https://t.co/vJhTOUVbiZ"
,,,,,,"RT @mikemelo17: #INsecurityCon was definitely one of my favourites this year. It was great to meet so many new people and felt very homely.…"
,,,,,,"Lawsuits Pile Up on Uber https://t.co/kJVDK6CSPg"
,,,,,,"RT @kellymsheridan: Picking a security tech vendor: “if the vendor’s been around for a while, look at how they’ve morphed with threats and…"
,,,,,,"Grab a cocktail with your #INsecurityCon peers from 5-6 PM in the Business Hall.  See you there! #OpenBar"
,,,,,,"Day 2 of #INsecurityCon is almost over, but we still have one more Keynote speaker for you! Gene Fredriksen CISO of… https://t.co/bjY4VZuXmO"
,,,,,,"Hear from the 3rd and final #INsecurityCon Keynote speaker, CISO of @PSCUForward, Gene Fredriksen. We'll see you in… https://t.co/VjVM3Nelx7"
,,,,,,"RT @kjhiggins: Bob West, Echelon One: Governance if done properly, can make ID management easier to roll out. #INsecuritycon"
,,,,,,"@corelight_inc presents, Enterprise Grade Solutions from the Creators of Bro | Business Hall Theater begins at 3:50… https://t.co/ruE8KEAJO9"
,,,,,,"RT @katie_pesek: Getting shady at #INSecurityCon... Currently learning how to make #deception a part of #cybersecurity defense strategies.…"
,,,,,,"RT @mschafer: Hanging with @darkreadingtim and @SecRich at the inaugural #INsecurityCon #infosec https://t.co/mv1rcFksgZ"
,,,,,,"Shout out to our 2017 Diamond, Platinum, Gold and Silver sponsors! https://t.co/T0KbxB7jea  #INsecurityCon"
,,,,,,"The Critical Difference Between Vulnerabilities Equities &amp; Threat Equities https://t.co/iMMevCiRKK"
,,,,,,"@cyxtera will be in the Business Hall Theater in 15 min presenting, Deploying Zero-Trust Network Security Using the… https://t.co/vj7f1wsFDF"
,,,,,,"Join us for a Business Hall Theater session presented by @CyberVistaEd, The Cybersecurity Workforce Game of Chicken… https://t.co/6TkUPFbBNU"
,,,,,,"@demistoinc presents, When Shrinkage is Good: Reduce Incident Response Times from Hours to Minutes, in the Business… https://t.co/iV4jwzwTlv"
,,,,,,"Join @LogRhythm in the Business Hall Theater for, UEBA: You Cannot Catch Who You Cannot See. Session starts at 12:3… https://t.co/cM2ybLAQ7F"
,,,,,,"RT @dawnkawamoto: James Adamson @jameskadamson, Urbane Security principal consultant, says at #INsecurityCon that many do not know where th…"
,,,,,,"RT @darkreadingtim: Dmitri Alperovitch, Crowdstrike is conducting a live incident response simulation here at INsecurity.  #INsecuritycon"
,,,,,,"RT @CrowdStrike: Hours into the #CyberCrisis investigation @briankrebs posts an article detailing the suspected #breach at Acme corp. How d…"
,,,,,,"We have 5 great Roundtable discussions lined up this morning. Check the mobile app for the topics. We'll see you in… https://t.co/XRQzjNdxVJ"
,,,,,,"@ThreatConnect will present, Why Orchestration and Threat Intelligence are a Perfect Match, in the Business Hall Th… https://t.co/IIm60Sswdx"
,,,,,,"Great engagement/conversation going on at the Live Incident Response Simulation!  #INsecurityCon https://t.co/rjcGQJyx7E"
,,,,,,"RT @dawnkawamoto: Yaron Levi, Cloud Security Alliance research fellow, tells #INsecurityCON attendees to lay this reference chart over thei…"
,,,,,,"RT @sarapeters: Microsegmentation keeps coming up at #INSecurityCon and it's making me nerdily excited."
,,,,,,"RT @dawnkawamoto: Yaron Levi, Cloud Security Alliance research fellow, says at #INsecurityCON that CISOs need clear idea of what they are t…"
,,,,,,"RT @kellymsheridan: Nation-state attacks may use zero-days but don't always need them - ""Why bring a bazooka to a gunfight if you don't hav…"
,,,,,,"RT @dawnkawamoto: Yaron Levi, Cloud Security Alliance research fellow, addresses building and maintaining an effective cyber security archi…"
,,,,,,"Live Incident Response Simulation with @CrowdStrike @DAlperovitch is happening now! Stop by Annapolis 3… https://t.co/oNd3BLDOjv"
,,,,,,"The Good News about Breaches: It Wasn't You this Time https://t.co/e6tQccsAuQ"
,,,,,,"Qualys Buys NetWatcher Assets for Cloud-based Threat Intel https://t.co/o58PhzpzKE"
,,,,,,"5 Free or Low-Cost Security Tools for Defenders https://t.co/8PZbDzsij7"
,,,,,,"RT @jameskadamson: When we simplify in order to abstract complexity, we create gaps and provide opportunities for cybercriminals - @JArcher…"
