NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
GeekPwn,816,38,"First Worldwide Security Geek Contest for Smart Devices and AI.",394,401,"GeekPwn2018 Call For PWN: we have different categories including PWN AI, AI PWN, PWN EVERYTHING and a Trojan Robot… https://t.co/pFI1lTQ5yI"
,,,,,,"#GeekPwn2017 Silicon Valley SLIDES are available → https://t.co/cRl069Olw1 #GANs #security #android #whitehats… https://t.co/k0OF45yZwn"
,,,,,,"Make machine sounds like you! Sound Simulation Project final-GeekPwn2017 Shanghai https://t.co/iXJfrRKT2F"
,,,,,,"Haibing Wang from GeekPwn Lab, demonstrates #biometric authentication #hackings , which happened in  data-collectio… https://t.co/uxMgdZJQBV"
,,,,,,"Huiming Liu is demonstrating the ""Wombie Attack"" at #GeekPwn, and he said the recent KRACK attack about WPA2 would… https://t.co/y6JpBOW80d"
,,,,,,"GeekPwn2017 Third Part : LIVE https://t.co/qJ1j6mrzpT"
,,,,,,"Prof.Qian @pkqzy888 and his doctoral student Weiting Chen are succeed in presenting a NEW practical off-path TCP-in… https://t.co/5zK2wEWFoC"
,,,,,,"Ian Fischer just shared Adversarial Transformation Network with us, the Powerpoint will be published online. :P https://t.co/VmG1JJnjAY"
,,,,,,"Yes, the independent security researcher Slipper@0ops jailbroke the iPhone8 on Oct. 24th, at #GeekPwn... https://t.co/kUBe48eKZv"
,,,,,,"GeekPwn2017 Second Part: LIVE NOW https://t.co/MwFS5FGhuG"
,,,,,,"NEXT #GeekPwn2018 Contest will be held in Silicon Valley on May 12th, the Contestant Regitration is open NOW! https://t.co/0wNFku7J8j"
,,,,,,"We'll be back at 1:30 PM. Photos from the morning! https://t.co/uE9K9YoEzw"
,,,,,,"Dr. Bo Li, from UC Bekeley, points that the first challenge they take into account is the different angles and dist… https://t.co/AxwjNuEeQo"
,,,,,,"RT @dyobs: #ai #security - ensemble #adversarial training &amp; gradient masking 
@GeekPwn @ComputerHistory @kaggle competition https://t.co/Yw…"
,,,,,,"@itszn13 Yes, of course!"
,,,,,,"ONLY 20 seconds, the contestants Wei Li and Li Shen recognized the signs of the reCAPTCHA. They spent nearly 6 mont… https://t.co/KinTDeJcw9"
,,,,,,"Nick Stephens is sharing “from untrusted #app to #trustzone #kernel code exec“，very interesting conversation with o… https://t.co/1PkzWOE27g"
,,,,,,"Deep Learning is improving security capabilities, on the other side, AI is in the presence of attackers. (Prof. Daw… https://t.co/oNO3EDpDCP"
,,,,,,"Geekpwn is Coming! https://t.co/GKAVppdK64"
,,,,,,"Our New badges lighted by phone https://t.co/dv3rH1wdSQ"
,,,,,,"Yep 😀 https://t.co/iYtaxAaAez"
,,,,,,"Waiting for Opening https://t.co/zZdFu05lwf"
,,,,,,"NOTICE: Following responsible vulnerability disclosure policy, vulnerabilities found in GeekPwn will be submitted to manufacturers."
,,,,,,"Ian Fischer, machine learning reserache at Google, will present a fundamentally new method for generating adversari… https://t.co/XRKesRBVsI"
,,,,,,"Biometric authentication technologies are used for the machine identification of individuals. Haibing Wang, directo… https://t.co/zHMVN7IK6i"
,,,,,,"Huiming Liu, from Tencent Security Xuanwu Lab, will present an astonishing mobile wireless zombie(Wombie) attack de… https://t.co/trYvY3rp3Q"
,,,,,,"Brilliant PWN in our #GeekPwn 2017 Hong Kong Contest. https://t.co/Yx6vD7dQa6"
,,,,,,"☺️Very last chance to get a FREE ticket to #GeekPwn https://t.co/XaYn0EjWQo https://t.co/jdZJ22SBLk"
,,,,,,"As @dangoodin001 reported, Prof.Qian @pkqzy888 and his team found a linux bug “leaves top sites vulnerable to serio… https://t.co/063TYGQaUt"
,,,,,,"How to make the computer pass THE #TuringTest？Can the challenge of #reCAPTCHA be recognized automatically by machin… https://t.co/zCYZRS6BNh"
,,,,,,"“Robust Physical-World Attacks on Machine Learning Models” by Bo Li from UC Berkeley, at #GeekPwn #GANs, Nov. 13th… https://t.co/LhrinylB4l"
,,,,,,"“How dose this girl unlock the phone with nose?“ Nich Stephen from UC Santa Barbara will disclose more details in ”… https://t.co/32ysNWE8zV"
,,,,,,"Last year, Alexey Kurakin &amp; @goodfellow_ian came to #GeekPwn with ""Adversarial Examples in the Physical World"".… https://t.co/5IldlzVAVK"
,,,,,,"The more detailed, the better. Just publish the GeekPwn2017 (Nov. 13th) BRIEFINGS. #GANs #cyberseurity #whitehat https://t.co/c8kLuKx9W9"
,,,,,,"Top #AI, #GANs, #Cybersecurity experts come to #GeekPwn, latest researches &amp; incredible PWNs will be presented on N… https://t.co/GrXw9NxXAC"
,,,,,,"The first GeekPwn was held in 2014. We are four years old.😄Meet us on Nov. 13th, don't miss it:… https://t.co/UvpSg4h6zC"
,,,,,,"Hello @WomenInno @MassInno @BobbieC, here's new! 🤣"
,,,,,,"Here's our full agenda for GeekPwn2017 Silicon Valley! https://t.co/pFIS3Eltbw https://t.co/adbrnp8W1z"
,,,,,,"Huge success in Shanghai GeekPwn tour this Oct. 24th, for more pics, please click for more highlights of the event!… https://t.co/v1or5LOVw6"
,,,,,,"@pkqzy888 @ComputerHistory @Huawei @trustlook @tencentcloud @BaiduResearch @xiaomi @Mobike @l0Op3r your experience… https://t.co/X0OSINV43X"
,,,,,,"Cracking Google reCAPTCHA,hijacking TCP,attacking on biometric authentication…Don't miss the PWN mania… https://t.co/Ee87unClfB"
,,,,,,"@CGTNOfficial @kaspersky thanks again for the CTF Partnership with GeekPwn!"
,,,,,,"@TraceyLeeMoore1 @CGTNOfficial We are discovering all the security vulnerabilities for iOT and AI devices, then sub… https://t.co/bo6SiZFPNv"
,,,,,,"@CGTNOfficial This is GeekPwn, thanks for CTF Partnership Kaspersky!"
,,,,,,"RT @CGTNOfficial: Live: Watch hackers break the AI security at the #GeeKPwn2017 Shanghai with CGTN! https://t.co/uu4Xamgrqh"
,,,,,,"Hello @WomenInno @MassInno @BobbieC, nice to see you!"
,,,,,,"⚡️ “GeekPwn 2017 Coming To Silicon Valley”
Nov. 13th, SIGN UP NOW!
https://t.co/ICqgZgAs9s"
,,,,,,"@kevinmitnick Thanks @kevinmitnick for the greatest support !"
,,,,,,"Whitehats PWN AI contest @ Nov. 13th
GeekPwn X Tencent are coming to Mountain View, CA 
300 VIP seats, don't miss i… https://t.co/ytRt4i6uYe"
,,,,,,"Check out upcoming ""GeekPwn x Tencent CyberSecurity Geek Contest in Silicon Valley @Nov. 13th "" https://t.co/94boOWaC3r"
,,,,,,"Just forget to share the part two. https://t.co/K4OzDNl6CM https://t.co/DiHwMnsjso"
,,,,,,"According to @Wikipedia, we are not in the Chinese very FIRST hacker documentary, which we are!… https://t.co/9XBlv1sVHw"
,,,,,,"😀 https://t.co/Od9EdqZPXE"
