NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
JohnsHopkins,68501,12410,"#Research, #Medicine, #Engineering, #AppliedPhysics, #Nursing, #PublicHealth, #ArtsSciences, #Peabody, #Education, #SAIS, #Carey. By Office of Communications",1013,798,"Women's soccer: JHU senior Michelle Santangelo named first-team All-American https://t.co/l5nNqXSo1A"
,,,,,,"What's the best way to edit genes with CRISPR? Scientists propose 'rules' to optimize this cutting-edge technology https://t.co/kTmPky3VRL"
,,,,,,"RT @HopkinsEngineer: .@JohnsHopkins: A home for entrepreneurs. https://t.co/NTeXN9CXIT https://t.co/G0Mx6B8Mu4"
,,,,,,"""Walter just knows stuff"" - Twenty-three years ago, Walter Murch, A&amp;S '65, became fascinated by the 17th-century as… https://t.co/BaY3Dd2Au7"
,,,,,,"Get hype: OrchKids and the creation of the Booker T. Washington Brass Band https://t.co/ACCxiO6vkb"
,,,,,,"RT @NatGeoChannel: Help us celebrate science! #BreakthroughPrize is LIVE this Sunday at 10pm EST! @brkthroughprize https://t.co/5XCMAm2yTR"
,,,,,,"RT @wgthomas3: A cool @JohnsHopkins graduate class on sites in Fred. Douglass early life in Maryland--incl. sailing . . .  #slavery #twitte…"
,,,,,,"RT @FuturityNews: Awesome video! First-year biomedical engineering students from @JohnsHopkins take on ""the roller coaster experiment"":
htt…"
,,,,,,"RT @meeshupork: The pleasures, the values of contact with the natural world, are not reserved for the scientists. They are available to any…"
,,,,,,"RT @HubJHU: .@JohnsHopkins leaders say proposed measures in #TaxBill would negatively affect college affordability https://t.co/WTXBBvlnjI"
,,,,,,"RT @baltimoresun: .@JohnsHopkins researchers discover mutation that may be key to return of popular nasal spray version of flu vaccine. htt…"
,,,,,,"RT @DeanAndyWilson: Remembering and honoring on World AIDS Day! @JohnsHopkins https://t.co/8ecuUZtTDh"
,,,,,,"Johns Hopkins leaders push for changes to tax legislation moving through Congress https://t.co/ZpjBpe6Nlq"
,,,,,,"Weekend picks: Johns Hopkins events roundup for Dec. 1-3 - This weekend ushers in the beginning of December. Snowfa… https://t.co/e4R3ZYpjWV"
,,,,,,"Congressional opioid hearing takes place at Johns Hopkins Hospital https://t.co/QUClNuVymS"
,,,,,,"Alice McDermott's 'The Ninth Hour' among NYT's 100 Notable Books of 2017 https://t.co/Y2EPYo8xH5"
,,,,,,"Two teams of Johns Hopkins entrepreneurs included on annual 30 Under 30 list https://t.co/HkC5Bh4YF4 https://t.co/HVCphGU7KQ"
,,,,,,"Congratulations! Two Johns Hopkins scientists named fellows of American Association for the Advancement of Science… https://t.co/RWjgvWuGXh"
,,,,,,"Very cool --&gt; Interactive maps chronicle time Frederick Douglass spent in Maryland before making his escape north… https://t.co/16U7IGA0JO"
,,,,,,"@shilezi Checking on this. Please don’t click. Also try to forward to Amazon for verification."
,,,,,,"Johns Hopkins biologists make sense of disordered protein function https://t.co/NPrUJYA9B8"
,,,,,,"HIV infection rates plummet in Uganda in response to scale-up of prevention program https://t.co/AcASGzEvzX"
,,,,,,"A conversation with Jonathan Cole on the changing landscape of undergraduate education https://t.co/Nl1whCRIYO https://t.co/kFkSD55GfG"
,,,,,,"Two teams of Johns Hopkins entrepreneurs included on annual 30 Under 30 list https://t.co/Ok9bjXM2py"
,,,,,,"Robert Green, co-founder of JHU's Department of Materials Science, dies at 85 https://t.co/O5VZB3ezJW"
,,,,,,"Wow! Thank you to our wonderful community of alumni, students, and other Hop friends. https://t.co/lfPpYMPqB2"
,,,,,,"Perspective from a #JohnsHopkins professor of history: https://t.co/kcYpvYGU81"
,,,,,,"Johns Hopkins computer scientist, cybersecurity expert Gerald Masson dies at 74 https://t.co/zj29K6Ucgq"
,,,,,,"Heard of sudden cardiac death? Computer modeling offers insight into what causes it https://t.co/azUyF30A2q https://t.co/WxQ1NLmyHc"
,,,,,,"At one #Baltimore public charter school, there's always time for a check-up https://t.co/PI9PeDOIlq https://t.co/w0fQQBcYL5"
,,,,,,"RT @TweetingWu: #Rise4JHU! Make your gift today on #GivingTuesday to @johnshopkins &amp; help unlock a challenge 🔐! There's no better! https://…"
,,,,,,"Let's do it, Blue Jays! https://t.co/fFh7hrvCwb"
,,,,,,"Let's #GoHop! https://t.co/j74uHSUZkD"
,,,,,,"At one Baltimore public charter school, there's always time for a check-up https://t.co/wlHxWwIMy2"
,,,,,,"RT @SuetheLibrarian: Extremely sorry to hear that we've lost Gerry Masson. A brilliant and very nice man whom I'm privileged to have known.…"
,,,,,,"RT @JHU_Alumni: This hour we want to see our alumni help @JHAnnualGiving and the entire @JohnsHopkins community reach our challenge goal. 5…"
,,,,,,"Johns Hopkins computer scientist, cybersecurity expert Gerald Masson dies at 74 https://t.co/8lbP8mNCXM"
,,,,,,"Computer modeling offers insight into what causes sudden cardiac death https://t.co/AXu08HqOVF"
,,,,,,"Today is #RISE4JHU! Make your impact across the Hopkins community. Help us raise over $120K in challenge gifts.… https://t.co/KcG5yEkdZx"
,,,,,,"A conversation with Jonathan Cole on the changing landscape of undergraduate education https://t.co/UWPq9Kpnjm"
,,,,,,"Thanks for visiting our students today! https://t.co/avOUC7gbVA"
,,,,,,"RT @saldanha_ian: “This stuff is serious. It could kill you.” @JohnsHopkinsEPI Dr. Caleb Alexander lectures about the #OpioidCrisis to @Joh…"
,,,,,,"RT @EMcLeod_BFB: Among details mapped by Professor Jackson and @JohnsHopkins grad student team: Frederick Douglass was listed as worth $110…"
,,,,,,"We hope you enjoyed the day! Thank you for visiting. https://t.co/H1aUnUdP4s"
,,,,,,"Johns Hopkins biologists make sense of disordered protein function https://t.co/BFE5CE4ers"
,,,,,,"RT @JHAnnualGiving: #CelebrateMonday by marking your calendar for #RISE4JHU. On #GivingTuesday, support JHU students, faculty, and clinicia…"
,,,,,,"RT @JHUCarey: Tomorrow, will you #RISE4JHU? Help us acquire $120K in challenge gifts supporting students, faculty, and clinicians! https://…"
,,,,,,"RT @JHU_Alumni: Tomorrow, will you #RISE4JHU? Help us acquire $120K in challenge gifts supporting students, faculty, clinicians and our alu…"
,,,,,,"RT @JHUNursing: In 2 days #RISE4JHU, make your impact #JHSON community. Help @JohnsHopkins acquire nearly $100K in challenge gifts. #Giving…"
,,,,,,"RT @SandyBardsley: This Saturday:  12th Undergrad Conference in Medieval &amp; Early Modern Studies at @MoravianCollege.  Plenary by Erin Rowe…"
,,,,,,"RT @DeanAndyWilson: Welcome back on campus! The Fall semester is almost over. Gear up for the finals and the winter break. Good luck. @John…"
,,,,,,"Interactive maps chronicle time Frederick Douglass spent in Maryland before making his escape north https://t.co/D3qcZ37r9o"
,,,,,,"RT @JHUmediareps: Johns Hopkins climate scientist Anna Scott featured on NPR:https://t.co/STstI8fMGW"
,,,,,,"RT @JHUBME: .@jhu_cbid has partnered with the Stevens Initiative to get over 200 high school and college students in Lebanon, Palestinian t…"
,,,,,,"Barbara Mikulski discusses women's leadership, business, international trade https://t.co/ybreDtB8v1"
,,,,,,"After 1 year of work and assembly of 15.3 billion base pairs, the wheat genome came together like a jigsaw puzzle https://t.co/Xu1g3KdAtP"
,,,,,,"Congratulations, Travis! #GoHop https://t.co/LAaxfetpJr"
,,,,,,"RT @deniswirtz: When doing bench cancer science, one can lose track of the actual goal at hand. So today, some of my students and I visited…"
,,,,,,"RT @deniswirtz: Today, we met with @JohnsHopkins surgical oncologist Prof. Mehran Habibi treated a breast cancer patient. Talked about cutt…"
,,,,,,"RT @deniswirtz: After about a 45-min operation, we discussed what we observed with @JohnsHopkins surgical oncologist Prof. Tehran Habibi. T…"
,,,,,,"Wow! https://t.co/LAaxfetpJr"
,,,,,,"Check out our staff picks of apps for managing your work-life balance and other #lifehacks -&gt;… https://t.co/0ZvrteRPOs"
,,,,,,"Our Odyssey course for iPhone Photography: Six steps to mastering smartphone photos https://t.co/KJ5NuaTf2c https://t.co/9CHu1eZY8i"
,,,,,,"#GoHop! -&gt; Johns Hopkins team takes first place in Pfizer business case competition https://t.co/UNdpLZMghF https://t.co/kaKWjcC1zB"
,,,,,,"RT @HubJHU: Two from @JohnsHopkins @JHUPhysicsAstro named @AAAS Fellows https://t.co/p26zJW63UD"
,,,,,,"Seeing red: @JHUAPL will build 'eyeglasses' for Mars moon mission https://t.co/kXwgHkTtBC https://t.co/q09TIenrIF"
,,,,,,"Longtime Johns Hopkins trustee Anthony Deering dies at 72 https://t.co/MjlqXRAl77 https://t.co/rDlueGLYt3"
,,,,,,"RT @JHU_HOUR: @JohnsHopkins undergrads, grads, postdocs and faculty, apply for the Research Office photo contest. No limit To fields or con…"
,,,,,,"Two Johns Hopkins scientists named fellows of American Association for the Advancement of Science https://t.co/fK1TMoI2j0"
,,,,,,"Football: Johns Hopkins bounced by Washington &amp; Jefferson in NCAA playoffs opener https://t.co/NF8KIKAaB0"
,,,,,,"Cross country: Johns Hopkins women's team wins fifth DIII national title in six years https://t.co/Vshg173DJ9 https://t.co/n9lo72uqMi"
,,,,,,"Happy Monday! #ICYMI, former #GOP presidential candidate and governor @JohnKasich visited #JohnsHopkins last week a… https://t.co/E04msF2kzM"
,,,,,,"RT @scienmag: What’s in your wheat? Johns Hopkins scientists piece together genome of most common bread wheat https://t.co/MiPA6DRlvm"
