NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
KyleCranmer,3521,16461,"particle physics, LHC, stats/ML/AI, collaborative & open science, Crayfis.io, family man",805836,536,"RT @LanceUlanoff: Trickle Down Economics
Trickle Down Economic
Trickle Down Economi
Trickle Down Econom
Trickle Down Econo
Trickle Down Eco…"
,,,,,,"This is spectacular !!
Ludvig Lundin sends this report of a spectacular Sun halo display, with a 22° halo, parhelic… https://t.co/ywt7AOk6g7"
,,,,,,"RT @michael_nielsen: Here's the AI version of @mymodernmet's tweet.  Quality limited by my copying! https://t.co/KSOiszUgUe  https://t.co/T…"
,,,,,,"RT @RichBonneauNYU: The Moore-Sloan Data Science Environment at @NYUDataScience is recruiting its next cohort of Data Science Fellows. Fell…"
,,,,,,@davidwhogg
,,,,,,"This is incredible and fascinating. Life finds a way... https://t.co/C5yN7sx8kB"
,,,,,,"This is impressive! https://t.co/BbxetnAFab"
,,,,,,"RT @kchonyc: OMG *geoff hinton* nominated me for this https://t.co/hQlBB3vYJF"
,,,,,,"RT @SenKamalaHarris: UPDATE: We still haven’t seen the text of the tax bill Republicans are scrambling to rewrite in secret. I’d imagine so…"
,,,,,,"RT @avflox: This 👇👇👇 https://t.co/ZQ38rjoY4w"
,,,,,,"@VickySteeves I agree. I wasn't sure if you were referring to something else. I grew up with dogs... in Arkansas. L… https://t.co/sayeHaKQJU"
,,,,,,"After 9 hours! of lectures at @UCLouvain_be this week, I made a quick jaunt to Liège with to squeeze in an extra se… https://t.co/Qq6LTupIle"
,,,,,,"RT @LucaMantani: Just installed Unicodeit, a very nice utility to convert LaTeX expressions into unicode. Check it out! Thanks to @KyleCran…"
,,,,,,"@VickySteeves I see them all the time. Why is your blood boiling?"
,,,,,,"RT @jakevdp: Just posted: two astronomy postdoc positions at @uwdirac with emphasis on data science &amp; open source software: https://t.co/3S…"
,,,,,,"RT @atrupar: FOX NEWS HOST TO @tedcruz: You cool working with alleged child molester Roy Moore if he's elected?

CRUZ: Sure, no problem, th…"
,,,,,,"RT @kchonyc: https://t.co/ToWYpONMIg @NYUDataScience is looking for the next cohort of data science fellows!"
,,,,,,"RT @NYUDataScience: Are you applying to our PhD program in #DataScience? Check out some quick tips on how to strengthen your application fr…"
,,,,,,"RT @davidwhogg: Job posting: @NYUDataScience Data Science Fellows.
Apply for a great job at NYU
https://t.co/rHxiY4ny74"
,,,,,,"RT @SalehaMohsin: OIG's Rich Delmar confirms there's an inquiry and that it's a ``top priority'' https://t.co/qsdw3Uzy3K"
,,,,,,"@choldgraf @agramfort Congratulations! This is awesome!!!"
,,,,,,"RT @NASAJuno: I’ve got the #Jupiter blues. See Jovian clouds in striking shades of blue in this new color-enhanced image https://t.co/EQ0jT…"
