NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
LadyAshBorg,6675,17876,"CEO @MadStreetDen @Vue_ai AI ComputerVision startup, ex-Intel, Recovering California addict. Married @SirBlueBorg who watches Netflix episodes secretly",149077,863,"RT @BBCJamesCook: BREAKING The US Senate has voted for oil and gas drilling in the Arctic National Wildlife Refuge as part of an overhaul o…"
,,,,,,"@vikramchandra Hey Vikram I was just writing an email to you asking you if we can catch up around 12.30. We'd love… https://t.co/6N3A8ajTlI"
,,,,,,"Dear god. This thread. Print n put it somewhere as everyday morning #mustread #startupstories https://t.co/k6XUnVRjG6"
,,,,,,"@BabaGlocal 😘😘"
,,,,,,"@bhargavrajan First was the CTO, Justin Rattner the year I moved to India. Then my own boss crie. Now this."
,,,,,,"Wow this is big. https://t.co/ay0qtJaQXr"
,,,,,,"@MainBhiPhenku :) lol it me"
,,,,,,"RT @glichfield: If you’re wondering what that is on my profile photo, they’re anti-face-recognition decals https://t.co/c9ax9hca9J"
,,,,,,"@durgaraghunath ❤️💜"
,,,,,,"RT @randhindi: Do you know a SaaS product manager who wants to work in #AI and #Voice? We are looking to hire one @snips :) https://t.co/uQ…"
,,,,,,"@sandygrains ❤️😘"
,,,,,,"RT @TheEconomist: A new documentary film restores Lamarr’s rightful place in the history not only of film, but of science as well https://t…"
,,,,,,"Tracking the changes in manufacturing is fascinating! A glimpse of how 'Instant manufacturing', 'bespoke manufactur… https://t.co/BwsaPI11Wt"
,,,,,,"@malavikaaaaa ❤️😘"
,,,,,,"@krishnanandnb Yes but in our San Francisco office only sorry"
,,,,,,"@vaitheek hahaaa Vaithee ... I'm planning to have you over sometime to come talk abt the book &amp; your history / experience. Stay tuned."
,,,,,,"Quick clarification since many of you are mailing us asking: These roles are for our India (Chennai) office only. O… https://t.co/XhZkmASRjO"
,,,,,,"@dandy_lio nice! Stay in touch. My own bg is in product design, done a lot of anthro/ethnography/design research ba… https://t.co/PN7ZLsya8k"
,,,,,,"@dandy_lio lol San Francisco :) Where are you based out of? And tell me about your bg if you don't mind."
,,,,,,"@dandy_lio :) yes we have a lot of folks with backgrounds in humanities. But these roles are primarily in SFO not India"
,,,,,,"@rads 😘"
,,,,,,"@Samuel_A_Pio Tagging our HR @meggsknowsbest She can point you to the JDs"
,,,,,,"@rasagy @MadStreetDen Thanks for the shoutout Rasagy! Tip us if you know friends looking &amp; willing to move :)"
,,,,,,"@sriramganeshan Hi Sriram, can you mail your resume to the email there? That's step 1. We'll take it from there &amp; h… https://t.co/V9UXlFdUdy"
,,,,,,"@surekhapillai  https://t.co/UqMl2iI0xi"
,,,,,,"@James_Mayes Hahaa .. sounds like a plan James! This role is in Chennai though. Our SF and NY roles are full, so mi… https://t.co/rDRfBhBCut"
,,,,,,"We offer good maternity/paternity leave, child care space with a nanny, a pet &amp; child-friendly office space. It can… https://t.co/2wCDSOBWle"
,,,,,,"As always, if you're esp a woman who codes, we want to hear from you. If you think you're an awesome coder, give us… https://t.co/w6aBM6pFIf"
,,,,,,"Hey twitter, we're hiring. Lots &amp; lots of roles open. Check out our LinkedIn page or mail us at careers! It's an ex… https://t.co/AFMX09POas"
,,,,,,"RT @TaylorLorenz: Whoa https://t.co/kWJnrEwc1c"
,,,,,,"RT @fchollet: I think this is meant as a commentary on the progress of AI, so it's worth remembering that Atlas is 100% hardcoded, it invol…"
,,,,,,"@sowmyarao_ Congratulations sowmya! Can't wait to see pics sometime."
,,,,,,"@saisrinivas @smdcmc dei dei you only are ready to buy house. I'll have to take the mercedes. I think it's time you… https://t.co/h4NK5MPAiZ"
,,,,,,"@srinivasan_sai @codeBedouin @MadStreetDen 2 yrs ago we didn't have HR or teams to do what we are able to do today.… https://t.co/CzdWqni3fn"
,,,,,,"@smdcmc I know! It's insane."
