NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
OnTheStory,14928,693,"@EricaRHill takes you through the big events and the most-talked about stories of the day",4380,1172,"RT @HannaHLNTV: The #metoo stories are so important. If you want to share yours, pls upload your video and tag me. Will air some on @HLNTV…"
,,,,,,"@Amy_Siskind Will do. Thank you!"
,,,,,,"@TaranaBurke I'm w HLN we are covering the Me Too campaign &amp; would like to have you join us on for an intv 1pET/2pE… https://t.co/5ZXTCeICEg"
,,,,,,"@wokeluisa I'm w HLN we are covering the Me Too campaign &amp; would like to have you join us on for an intv 1pET/2pET… https://t.co/NsARSotOz4"
,,,,,,"@SarahAnnMasse I'm w HLN we are covering the Me Too campaign &amp; would like to have you join us on for an intv 1pET/2… https://t.co/3FcdOCRM9s"
,,,,,,"@KaivanShroff I'm w HLN we are covering the Me Too campaign &amp; would like to have you join us on for an intv 1pET/2p… https://t.co/O5PrWz2Y38"
,,,,,,"@nuffsaidNY I'm w HLN we are covering the Me Too campaign &amp; would like to have you join us on for an intv 1pET/2pET… https://t.co/g2H81EDYZK"
,,,,,,"@aline_mayne I'm w HLN we are covering the Me Too campaign &amp; would like to have you join us on for an intv 1pET/2pE… https://t.co/F3AmruJXcU"
,,,,,,"@harikondabolu I'm w HLN we are covering the Me Too campaign &amp; would like to have you join us on for an intv 1pET/2… https://t.co/MG08nslYG8"
,,,,,,"@Amy_Siskind I'm w HLN we are covering the Me Too campaign &amp; would like to have you join us on for an intv 1pET/2pE… https://t.co/nYGS7NXK2n"
,,,,,,"@Pappiness I'm w HLN we are covering the Me Too campaign &amp; would like to have you join us on for an intv 1pET/2pET… https://t.co/5xCw6GFKc2"
,,,,,,"@mmpadellan I'm w HLN we are covering the Me Too campaign &amp; would like to have you join us on for an intv 1pET/2pET… https://t.co/ueiNIaxSxE"
,,,,,,"@leahnp613 I'm w HLN we are covering the Me Too campaign &amp; would like to have you join us on for an intv 1pET/2pET… https://t.co/To8TBJHOdb"
,,,,,,"@JGS_Author I'm w HLN we are covering the Me Too campaign &amp; would like to have you join us on for an intv 1pET/2pET… https://t.co/4rfC6jVouK"
,,,,,,"@KHab69 I'm w HLN we are covering the Me Too campaign &amp; would like to have you join us on for an interview 1pET tod… https://t.co/aAlsXHttH5"
,,,,,,"RT @EricaRHill: Family of #ConradRoy tells .@HLNTV ok w/ 2.5 yr sentence, but #MichelleCarter will not be behind bars - judge grants stay d…"
