NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
PopMech,213763,16543,"The best in tech, science, aerospace, DIY and auto news.      Customer Service: http://t.co/rYWTFWzg2R",2693,3232,"This camper expands to triple its size in just 30 seconds https://t.co/VKk15Nrkg6"
,,,,,,"The Hyperchiller turns hot coffee cold in seconds https://t.co/U1NaxAeRHG https://t.co/ImeUtMOJSU"
,,,,,,"The best way to see Canada is by train https://t.co/xVmhhHD86L https://t.co/qoOe7WD1Ho"
,,,,,,"Check out this rotary hammer that can be used underwater from Nemo Power Tools https://t.co/QMPOLUNlzw"
,,,,,,"Watch an expert blade craftsman completely fly through this knife competition https://t.co/IztFILkvZT"
,,,,,,"Laser rust removal is the definition of satisfying https://t.co/I2htIuhRRi"
,,,,,,"The see-through engine from @WarpPerception makes internal combustion crystal clear. https://t.co/X4y0GoVujw"
,,,,,,"This glowing iOS lightning cable is the perfect stocking stuffer https://t.co/Azpt0aF0S6 https://t.co/0tmSiR3USj"
,,,,,,"Ever heard that an octopus can squeeze through any hole that its beak can fit through? Here is all the proof you ne… https://t.co/IcjiCJcy5q"
,,,,,,"These clever furniture designs from @ExpandFurniture can be folded, slotted, and compressed to take up as little sp… https://t.co/YN0jqUyZiT"
,,,,,,"Watch this bear try to steal this family's bbq https://t.co/gOKvTvI6ie"
,,,,,,"You can now pedal along the railroad tracks that run through the Adirondacks https://t.co/qytg9QiHOU"
,,,,,,"Amazon contractor poops in front of home, is caught on camera https://t.co/Q5gX9ZwtMs https://t.co/4fF8iqZbJ2"
,,,,,,"The $213 cross-country train trip that takes you from sea to shining sea. https://t.co/705k0ELHDB https://t.co/7IxHeRFmiP"
,,,,,,"The best way to see Canada is by train https://t.co/xVmhhHD86L https://t.co/bWjsUKco96"
,,,,,,"So look: I tried to cut my own hair. Here's what happened. https://t.co/SMp5DKXt6m https://t.co/jDPUSM8hhU"
,,,,,,"Amazon just patented a self-destruct system for drones https://t.co/b63QKv0iZg https://t.co/iQcaZasIQI"
,,,,,,"The Quadsaw will cut you a square hole. https://t.co/IkcbuKSlSk https://t.co/geuFcsDwTZ"
,,,,,,"I am dangerously close to buying this Soviet mechanical calculator https://t.co/mTI2weg2n7 https://t.co/fMLRgM6xmu"
,,,,,,"I do... believe my wife would have said no if I'd tried this. https://t.co/I2dQRln04E https://t.co/XBzsE31sxq"
,,,,,,"This camper expands to triple its size in just 30 seconds https://t.co/JVWm5sKqRN"
,,,,,,"iPhoneX? Essential Phone? S8? How to decide which smartphone is right for you https://t.co/TRTD5rOfYc https://t.co/ZLyq3QQ0Ni"
,,,,,,"Watch a diesel engine literally explode on the dyno https://t.co/Co9Ep8svxe https://t.co/KEyl0Ml8eY"
,,,,,,"The best gadgets and tech of 2017! https://t.co/BGxJs6GfsP https://t.co/RbB67IQxYh"
,,,,,,"Laser rust removal is the definition of satisfying https://t.co/P5lfMZnht5"
,,,,,,"The fascinating engineering inside an early electronic calculator https://t.co/a7936vp2ma https://t.co/zLmgilNv6H"
,,,,,,"Watch an expert blade craftsman completely fly through this knife competition https://t.co/6f5aa0McQv"
,,,,,,"This $10 gadget will make your next DIY project much easier https://t.co/i2hQoBkos3 https://t.co/WpuR5MTTA4"
,,,,,,"Tesla turns on the world's largest battery https://t.co/lxmPthxSVb https://t.co/fC0b5FluqP"
,,,,,,"Check out this rotary hammer that can be used underwater from Nemo Power Tools https://t.co/WEZTwYJiRl"
,,,,,,"Get your IT career in gear with this certification https://t.co/h777qiE3Cb https://t.co/if1iPaN4Mb"
,,,,,,"Watch a VW Beetle engine teardown and rebuild in six minutes flat https://t.co/8WA6tFGvRi https://t.co/NYbJYHoDGb"
,,,,,,"The 27 best iPhone apps to download right now https://t.co/zQ2BWdA8k9 https://t.co/VzoTIBZJNh"
,,,,,,"The rifles that made America https://t.co/FqJWXhhfPA https://t.co/BQEDvUsOCi"
,,,,,,"Tesla Model 3 goes 310 miles per charge, according to EPA https://t.co/Hoo5JZOtJh https://t.co/yppcTkVcvR"
,,,,,,"Here's a kickass knife made out of old batteries https://t.co/UO2ncyZzec https://t.co/YCSwUPwG83"
,,,,,,"What new photos say about North Korea's latest missile https://t.co/8jlrq379jl https://t.co/6ljylIhMup"
,,,,,,"Russia lost a rocket because the computer thought it was launching from a different pad https://t.co/wHDxg80Qa1 https://t.co/mxMP84KCIS"
,,,,,,"The humble scallop has eyes like an advanced telescope https://t.co/GcqRYONuWp https://t.co/EN6u1yOqp3"
,,,,,,"The best 'Star Wars' theories about Rey's parents https://t.co/6oCqGjOBBn https://t.co/a026R3etZo"
,,,,,,"Boulder breaks while climber climbs, he falls with 300-lb. rock https://t.co/2lTw95pISq https://t.co/5fu9CesENI"
,,,,,,"Russia’s new missile submarine sure looks familiar https://t.co/JkL6taguta https://t.co/dfSvENH4Ey"
,,,,,,"American Airlines: 'Our Christmas flight apocalypse is mostly averted' https://t.co/mfTJ0uoJrm https://t.co/Yu08yYnlVy"
,,,,,,"Jim Beam made its own Alexa and all it does is pour whiskey https://t.co/7rrU7VNlPr https://t.co/1v6BMsbnjh"
,,,,,,"Military-grade killer drones are starting to hit the market https://t.co/3l8mPb0a49 https://t.co/Q7hvKJoVGd"
,,,,,,"Windows that double as solar panels are becoming a reality https://t.co/lndH2qbPoo https://t.co/PAPLT4t8Nx"
,,,,,,"WATCH: We Made a Beer

Check out the making of our 1902 Lager, in partnership with @BluePointBrewer https://t.co/HmYbE93prF"
,,,,,,"Boulder breaks while climber climbs, he falls with 300-lb. rock https://t.co/PNNzv31uLZ https://t.co/avGEg2KHE8"
,,,,,,"The gift guide for the sophisticated geek https://t.co/vWDKSVsdmD https://t.co/z64p8lXyGp"
,,,,,,"The best 'Star Wars' theories about Rey's parents https://t.co/XQs49Oflpl https://t.co/SZQjYxExEF"
,,,,,,"WATCH: We Made a Beer

Check out the making of our 1902 Lager, in partnership with @BluePointBrewer https://t.co/R2coTUxXRo"
,,,,,,"The humble scallop has eyes like an advanced telescope https://t.co/DkZlL0Wmcm https://t.co/MqonRdeEDd"
,,,,,,"How PM made the 'Pre-Prohibition 1902 Lager' https://t.co/MHmJMQ28of https://t.co/jUzDsWHJ4V"
,,,,,,"Russia lost a rocket because the computer thought it was launching from a different pad https://t.co/P316J9MU3o https://t.co/MrnSA8MGrc"
,,,,,,"RT @CRMCAConcrete: ""Have a few minutes to spare? This @PopMech article goes back to ancient times to tell the story of #concrete.
@popularm…"
,,,,,,"Musk's Boring company may get its first job in Chicago https://t.co/AG1Zyo0SYV https://t.co/XMCi7qBPLl"
,,,,,,"Here's a kickass knife made out of old batteries https://t.co/rJ2hdtLOgx https://t.co/QhDE0dcKVW"
,,,,,,"It's time to stock up on holiday lights https://t.co/BzdiM1CLHt https://t.co/bnPDJggd5S"
,,,,,,"This tricked-out carabiner is the ultimate survival tool https://t.co/zjv6WpqDRI https://t.co/6TK54TyHPU"
,,,,,,"What new photos say about North Korea's latest missile https://t.co/h3mqALxFzp https://t.co/hYfrwxSLgJ"
,,,,,,"Every volcano looks different when it's about to erupt https://t.co/Lk4QLJxaUK https://t.co/Q5eGMCZS3E"
,,,,,,"This year's only supermoon happens this weekend https://t.co/hI4s9Kklev https://t.co/gRNFoeCsUh"
,,,,,,"Tesla Model 3 goes 310 miles per charge, according to EPA https://t.co/T8QOovIIMV https://t.co/SYySFMz2B2"
,,,,,,"Ghost ships are washing up on Japan's coasts, complete with skeletons https://t.co/v8MffdwIHy https://t.co/Xz5OMvPV8j"
,,,,,,"Is the Air Force’s new bomber testing at Area 51? https://t.co/PSnBBn8N1i https://t.co/kVJ45AiwYw"
,,,,,,"How to build train tracks across a bridge that won't hold still https://t.co/Z4DLDAmUuN https://t.co/ykbvKtdMx4"
,,,,,,"Here’s how badly your favorite toy cars do in a 124 mph crash test https://t.co/T3wr9Zl41e https://t.co/juhPovhknI"
,,,,,,"The rifles that made America https://t.co/6IItiIlnpS https://t.co/cxlC2S1ZIo"
,,,,,,"The 2018 Jeep Wrangler: Everything you need to know https://t.co/uWNHt3UkCt https://t.co/09Tf2WCUAk"
,,,,,,"The world's largest jet engine is getting ready to fly https://t.co/sROWeLLGzB https://t.co/YlPmAduuri"
,,,,,,"The worst video game ever created just won't die https://t.co/bFb90KJnS6 https://t.co/GuvrBDfXuV"
,,,,,,"Rocket Lab announces window for second Electron launch https://t.co/2CiBdAoyuu https://t.co/x0NKSmuss4"
,,,,,,"When you go 1,000 mph, the tires aren't even rubber anymore https://t.co/8SyfMTWXuq https://t.co/X3WOMHO3hD"
,,,,,,"RT @HearstLive: Here’s how to spot 2017’s brightest supermoon this Sunday https://t.co/a2NLNUGI25 Read more at @PopMech now on #HearstLive…"
,,,,,,"How you're torturing your pipes just by turning off the faucet https://t.co/R9cWXQS2DO https://t.co/lRsgQUEhcR"
,,,,,,"Report: 1 in 6 cars sold in 2025 will be electric https://t.co/nkml0dcmyb https://t.co/RuCgqF78Lw"
