NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
ProductHunt,304226,71613,"The place to discover your next favorite thing. @ProductHuntLIVE 💬 @AskProductHunt 🤔 Emoji spirit of @AngelList ✌️",5407,3873,"🅿️ Subscribe here: https://t.co/EX4wC890XW https://t.co/N6hc1Xc9li"
,,,,,,"This is the best conference https://t.co/gpDXZau9g9"
,,,,,,"RT @higueramoriones: “20 Upcoming Products that Will Help You Grow Your Startup” by @ProductHunt https://t.co/xEaG5rEZI6"
,,,,,,"RT @NikkiElizDemere: 💬 @AngelList asked a question on @ProductHunt

Add your answer here: https://t.co/KA9Nk8jI9Q https://t.co/Hbm6umx67Q"
,,,,,,"RT @khera_gaurav: “Why Startups Are Going Remote In 2017” by @ProductHunt https://t.co/RdqB9OczP0"
,,,,,,"RT @yousufjamjoom: This is AMAZING!! https://t.co/L9nlqZ8CRw"
,,,,,,"RT @ProductHunt: Elon Musk on how he teaches his kids 🏫💪 https://t.co/UFov0m5ZvF"
,,,,,,"The intersection of tech and government will change the world.

Example: here's a bot helps immigrants apply for vi… https://t.co/0efoSFodKm"
,,,,,,"We are adopting all the CryptoKitties 😻 https://t.co/LthJmT7xUp"
,,,,,,"RT @robjama: @ProductHunt @tryarrive .@ProductHunt drove as much downloads for @tryarrive as some of the bigger press oulets combined! Craz…"
,,,,,,"Sonos Users rejoice 🎵🔥

Add AirPlay support to your Sonos speaker: https://t.co/DvTkOm6nie https://t.co/HU3qWVdoL9"
,,,,,,"Responsive, sortable, filterable and draggable grid layouts 📑

https://t.co/yOesMBX1ug https://t.co/m4P14N7DkB"
,,,,,,"RT @GuyCohen: “20 Upcoming Products that Will Help You Grow Your Startup” by @ProductHunt https://t.co/Q9ZSHNgvdR #product #startup https:/…"
,,,,,,"RT @stansedberry: Santa came early! 🎅🎁 #Ship @ProductHunt https://t.co/glXrHdTIlE"
,,,,,,"RT @alikkille: I'm building my next product with Ship on @ProductHunt ⛵️ 
Makers, sign up here: https://t.co/Et8ToN8Cs3"
,,,,,,"RT @AskProductHunt: What's the best Git client for mac? 🤔 – @GarethAFuller

Check out 15+ community recommendations: https://t.co/3jCO9WUJty"
,,,,,,".@Shopify's beautiful new app is finally here 📦✨

Meet Arrive: https://t.co/Y0mvlU7lt7 https://t.co/BcrlCWxCOo"
,,,,,,"Build beauuutiful color schemes in seconds ✨

https://t.co/aLIJ60Ie3X https://t.co/mn40m3of4k"
,,,,,,"Uhm.

Get paid for tattooing a logo on your body. 😳

https://t.co/vU9b3Opd2p"
,,,,,,"Hundreds of beautiful logos, ready for your next project 📝✨

https://t.co/qSfwAU04ED https://t.co/xWOoMJrNj5"
,,,,,,"@fipa FYI, you've been added as a maker of Pixbuf for Android on @ProductHunt https://t.co/vJbCAyVAnD"
,,,,,,"RT @ProductHunt: This is Google's coolest launch all year. 🗣️

https://t.co/E7hc065Swq https://t.co/8F6IiohcdX"
,,,,,,"Find out what your startup options are worth 💰👀 https://t.co/ew1055U28g https://t.co/dWsUQ8z6xJ"
,,,,,,"Cryptoradar finds all the best places to buy and sell bitcoin. 💸 

https://t.co/rhTjrwmVXX https://t.co/07hiGqFKJ7"
,,,,,,"Apple is losing its touch 😳

Here's a wireless charging pad that's actually affordable: https://t.co/jmT2JlYjBe https://t.co/FmsugpOCyq"
,,,,,,"Build beautiful, login-pages for WordPress in seconds 📝

https://t.co/7bC4lEXydO"
,,,,,,"This is Google's coolest launch all year. 🗣️

https://t.co/E7hc05OhES https://t.co/gFpXxk5vaW"
,,,,,,"Build custom themes for allllll of your favorite sites. ✨ 

https://t.co/k3ve9eJWkL https://t.co/VOKKjj9w6e"
,,,,,,"Time to dump PowerPoint. 

Build beautiful, interactive presentations with this tool 👇 https://t.co/b5VdlH1FG8"
,,,,,,"🔎 @FirstRound launched the ultimate database of high-quality startup advice https://t.co/VAN0T1667t"
,,,,,,"Build beautiful infographics in seconds with Vislapp 📝✨ https://t.co/J7WGK9b2KI https://t.co/GDA21xb5fu"
,,,,,,"Revealed: How to build a product without writing code 💻 https://t.co/M2UfyXeEEs"
,,,,,,"RT @pmenchov: Consistency is key in any codebase. Reduce cognitive overhead."
,,,,,,"Blockchains are the biggest tech breakthrough since the Internet https://t.co/0R3v9sYUQv"
,,,,,,"This chatbot will find you seed funding 🤖💸

3,150 investors in one place: https://t.co/tovHSjES56 https://t.co/yX421Wskzy"
,,,,,,"A curated list of the best Slack communities 💯 https://t.co/dQIq84zdz1 https://t.co/2taSFWQaHT"
,,,,,,"Steve Jobs PISSED OFF moments 😬 https://t.co/iENESjE2k4"
,,,,,,".@Shopify's beautiful new app is finally here 📦✨

Meet Arrive: https://t.co/Y0mvlU7lt7 https://t.co/1EHgwXMeOP"
,,,,,,"Learn to make beautiful slides in minutes ✨

A free ebook for non-designers 👇 https://t.co/TZWS4kSKhW"
,,,,,,"The intersection of tech and government will change the world.

Example: here's a bot helps immigrants apply for vi… https://t.co/dcOfVmYp0Z"
,,,,,,".@Shopify's new app is beauuutiful 📦✨

Meet Arrive: https://t.co/Y0mvlTPKBz https://t.co/QlVby5A3wV"
,,,,,,"A database of every ICO ever 📈💸 https://t.co/mf6Of00ePf https://t.co/mrWChGo7XP"
,,,,,,".@FirstRound released a curated stash of the best startup advice 🚀

Read only the best articles:… https://t.co/EgCHBSYvYy"
,,,,,,"👏 Christmas 👏 is 👏 coming 👏

64 retro video games, playable on a mini C64 Computer: https://t.co/LNW7dsRoE7 https://t.co/T8zVw3G4x0"
,,,,,,"RT @nickabouzeid: We've reached peak bubble.

Buy a Lamborghini with bitcoin. 💸

https://t.co/E9jWCM5jf2 https://t.co/UZRqKShOZm"
,,,,,,https://t.co/HxgeU2bMQ5
,,,,,,"😳

Send your friends coal for Christmas: https://t.co/8cgYRetnWA https://t.co/Zz3byIMdGQ"
