NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
PyTorch,8982,144,,9819,11399,"@_seanlane that page will 403. But the wheel links work.
For example:  https://t.co/QrDHe5Li6H"
,,,,,,"@sergecell Nicer documentation is live now: https://t.co/xDJUJYjNur https://t.co/a6XKWhn4Oi"
,,,,,,"RT @jeremyphoward: Excited to announce that, thanks to @anandsaha, not only is fastai the first library to incorporate the new AdamW and SG…"
,,,,,,"RT @DmitryUlyanovML: ""Deep Image Prior"": super-resolution, inpainting, denoising without learning on a dataset and pretrained networks. Com…"
,,,,,,"@sergecell @sergecell improvements are on the way, thanks for flagging this. https://t.co/YsER2l9ofI"
,,,,,,"@sergecell will fix"
,,,,,,"RT @DmitryUlyanovML: Wow, StarGAN results look good!

arXiv: https://t.co/SMZ0RCqg7K
github: https://t.co/zKcxP1inYO https://t.co/lElqB4MKf8"
,,,,,,"RT @ajmooch: Fresh out of Berkeley is Shift (https://t.co/LSXXgVFenS) , which replaces the spatial 3x3 part of separable convolutions with…"
,,,,,,"@shimst3r https://t.co/QeBIfZm545"
,,,,,,"@adonese_yousif advanced indexing was in pytorch since the 0.2 release"
,,,,,,"@erinjerri there's nothing we need to do to support 17.10, it'll working as-is with our binaries"
,,,,,,"@erinjerri the next version releasing soon will have CUDA9 binaries. Currently if you want CUDA9, install from sour… https://t.co/MxQTsgcU12"
,,,,,,"@danielhavir subtle detail you should be aware of:
- only gradients are summed across replicas in (7), BatchNorm bu… https://t.co/dLReyGFGRE"
,,,,,,"@danielhavir yes. 
DataParallel is -&gt; 
1. replicate model 
2. split input over batch dimension 
3. output[i] = repl… https://t.co/5QP455sfwV"
,,,,,,"@TensorFlow @Raspberry_Pi answered by @petewarden . Thank you Google for making it an open competition to an extent. https://t.co/2m9eOefYO7"
,,,,,,"@TensorFlow @Raspberry_Pi Can we take part too?"
,,,,,,"@MaloMarrec thank you for your support!!! &lt;3"
,,,,,,"RT @stanfordnlp: Pytorch implementations of many of the deep learning NLP models discussed in cs224n by Kim SungDong. #dlearn #NLProc https…"
,,,,,,"@bunnisher @soumithchintala @Raspberry_Pi v0.3 rollout next week, but prob not an arm32 / arm64 build, we dont do those (yet)"
,,,,,,"RT @sasank51: New @PyTorch tutorial on Spatial Transformer Networks (STN) by @HamrouniGhassen is live here: https://t.co/XWeXaH6IwX
 
STNs…"
