NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
RethinkRobotics,23234,8205,"We created the category of smart, collaborative robots with Sawyer and Baxter, the fastest to deploy #robots used worldwide in #manufacturing, research and edu.",770,1068,"""It can leap pretty high, and also do a backflip – and then celebrate its
backflipping ability. I could do without… https://t.co/l8H0qsL3po"
,,,,,,"Collaborative #Robotics: Coming to a Distribution Center Near You https://t.co/w3ksR2pOpx via @FreightWaves  ft… https://t.co/H75romycy4"
,,,,,,"One of our favorite ways to close out the week is @IEEESpectrum's Video Friday, ft Pepper at Work, Robot Muscles +… https://t.co/ElZOS1jmT6"
,,,,,,"Top 10 Influencers in Auto #Manufacturing (in good company along w/ @navdyInc @msfrankiejames @johnkrafcik @Waymo… https://t.co/BFdDDCfHY9"
,,,,,,"Mr. Robot: @rodneyabrooks Says Gentler, More Aware #Cobots Are Coming To Make Our Lives Easier… https://t.co/tVAYNyBcEw"
,,,,,,"With 24 #ecommerce operations in North America alone, @DHLSupplyChain fulfills ~435k orders/day during peak holiday… https://t.co/tNQrof0pqM"
,,,,,,"Sawyer demo ready to roll with a little pick, place + co-pack action, at @DHLsupplychain #logistics solutions media… https://t.co/VkH76QCLJ4"
,,,,,,"Robot fish detects leaks in LA underground pipes https://t.co/lAIWCWEXC6 by @SecurityCharlie via @ZDNet https://t.co/i0Lqn2O9XY"
,,,,,,"Cozied up to our #Boston area neighbor @LocusRobotics at @DHLSupplyChain #logistics solutions event, about to kick… https://t.co/ZFDQB2FgTT"
,,,,,,"Robots for Everyone: Without ever having written a line of code, Mike has helped customers deploy #cobots on the fa… https://t.co/rRFOnVleJC"
,,,,,,"The Benefits of Collaborative #Robots (aka #Cobots) https://t.co/LyQ79duNsK via @RoboticsTmrw https://t.co/rGmbSAIGMt"
,,,,,,"RT @interlatin_mx: ¡Muchas Felicidades @Flexintl y @Nike! 
El día de ayer nuestro #Cobot, Sawyer @RethinkRobotics, dio la palabra en el eve…"
,,,,,,"RT @Flexintl: Yesterday, Flex opened a new building for advanced footwear manufacturing in Guadalajara, as well as the opening of our new c…"
,,,,,,"Origami Muscles that Can Lift 1,000 Times Their Own Weight Offer 'Limitless' Potential https://t.co/4xWHJmwQ8m… https://t.co/sDfb9lX7Tl"
,,,,,,"Robot Makers Fill Their War Chests in Fight Against Amazon https://t.co/AMJppkxg2l via @technology ft… https://t.co/OakDkPdbdB"
,,,,,,"Zuckerberg-backed US @altschool teaches coding w/ #robotics kits designed by Chinese farmer’s son… https://t.co/oRPgjFuOfz"
,,,,,,"RT @asmamk: I went to China recently thanks to support from @ICFJ. The group gives journos like me fellowships to report on stories that li…"
,,,,,,"""I could do without the grandstanding, future destroyer of worlds."" https://t.co/2FBkUukr8n @etherington… https://t.co/s5Lu4IULYW"
,,,,,,"""Labor is an industry-wide challenge, particularly around major peaks such as Christmas. We are therefore focused o… https://t.co/JBAZpCvUhl"
,,,,,,"[VIDEO] Here's how MFRs of all sizes are using #cobots to increase productivity on the factory floor.… https://t.co/13Q25zM1LO"
,,,,,,"These #robots don’t want your job. They want your love. https://t.co/wW22VSezp4 @geoffreyfowler @washingtonpost https://t.co/ZGSzexn0KZ"
,,,,,,"25 Best Inventions of 2017 incl @eSightEyewear @NASAInSight @jibo https://t.co/x5yBA1zlTn by @TIME https://t.co/N1wplmC8Kn"
,,,,,,"Why Mass. #Robotics Companies Are Looking East To #China https://t.co/qucA3d4JN2 @asmamk @BostonomiX https://t.co/8jCkcAlMEg"
,,,,,,"Elon Musk sees backflipping robot, thinks Apocalypse https://t.co/2CSpON1zGr @ChrisMatyszczyk @CNET https://t.co/SGak8PKy0G"
,,,,,,"Logistics bots: @NextShiftRobots ‘unique workflow’ increases productivity + efficiency https://t.co/ciriLjQlyB… https://t.co/xMnXn7Ewkx"
,,,,,,"We need #robots that can improvise, but it's not easy to teach them right from wrong https://t.co/Cd8pMPo4Ft via… https://t.co/3ySbcAXifI"
,,,,,,"Toyota's New Humanoid Robot ""...it’s controlled by a user’s movements, so until it becomes sentient, at least some… https://t.co/NaVd7LlKps"
,,,,,,"""It can leap pretty high, and also do a backflip – and then celebrate its backflipping ability. I could do without… https://t.co/bsqhuK4DHp"
,,,,,,"Meet Rethinker Mike Fair -- w/out ever having written a single line of code, he's helped customers deploy robots on… https://t.co/jKuGKB8YaL"
,,,,,,"These #robots don’t want your job. They want your love. https://t.co/wW22VSezp4 @geoffreyfowler @washingtonpost https://t.co/rwXLJ3P0xo"
,,,,,,"@ChiefRobot You too, @ChiefRobot!!!"
,,,,,,"Warning: do not watch the Roomba video directly pre or post turkey time... 11 Hysterical #Robot Fails… https://t.co/NEjnLZxiyd"
,,,,,,"Mr. Robot: Rodney Brooks Says Gentler, More Aware #Cobots Are Coming To Make Our Lives Easier… https://t.co/ZUT5f5jjNL"
,,,,,,"Like a mechanical shadow, Toyota’s new #robot mimics your movements in real time https://t.co/splXJPm6kq… https://t.co/N62aszHroZ"
,,,,,,"Creating Manufacturing's Next-Generation Workforce: Take 2 https://t.co/7kmGpSncjc via @Forbes ft @BCG https://t.co/0uarhrkeMy"
,,,,,,"A Dirty Word In The U.S., #Automation Is A Buzzword In #China https://t.co/lhK5pAKJNU by @asmamk @BostonomiX #mfg https://t.co/y7oOcWN4bJ"
,,,,,,"In Midst Elder Care Shortage, the Case for Robot Caregivers https://t.co/y344ZCTET6 @Amanda_Lenhart @Slate https://t.co/K5J4LrqHZU"
,,,,,,"Making #Manufacturing Great Again Would Add $530B to GDP https://t.co/OmLYUxJJzR @ASoergel @usnews https://t.co/wsDlRo2mAA"
,,,,,,"11 Hysterical #Robot Fails https://t.co/TaTkqkkP8I by @smlotZD via @geekdotcom https://t.co/Rwr1xtS6HV"
