NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
RichardSocher,27090,2252,"Enjoy working on AI. Chief scientist at Salesforce. Adjunct professor at Stanford CS.  Founder and CEO at MetaMind. Into photography and adventures.",14117,8635,"RT @OliverSeil: Honored to share the stage tonight with these luminaries of science and technology. Thanks to @A_Hundred_Years for the invi…"
,,,,,,"RT @SalesforceEdu: Spend your PhD #internship developing cutting-edge #AI &amp; #MachineLearning technologies. Meet our team at #NIPS2017 to le…"
,,,,,,"I regret every @united mile that got me to the useless 1k status. Buggy website. Helpless phone staff. Nobody at tr… https://t.co/rPzFEe1OZk"
,,,,,,"RT @danieljpeter: 🎙 @MarissaLK85 talked to @RichardSocher about how #EinsteinAI is making the workforce more productive at #DF17 https://t.…"
,,,,,,"Bukit Tabur hike/climb near Kuala Lumpur in Malaysia. https://t.co/WsxCJ3kZhI"
,,,,,,"Gardens by the bay in Singapore :) https://t.co/IhWVfzjLF7"
,,,,,,"RT @sleepinyourhat: New manuscript from NYU linguist WooJin Chung on more powerful composition functions for TreeRNNs: https://t.co/xM56e7t…"
,,,,,,"RT @rsoesemann: No need to fear AI as it is just a tool for the forseable future. Says #Salesforce @RichardSocher in his recent @TEDx talk…"
,,,,,,"RT @googleresearch: Interesting use of the Transformer (https://t.co/biZdnpVBD4) towards non-autoregressive decoding in machine translation…"
,,,,,,"RT @StrongDuality: New paper (with Karim and @RichardSocher) on a Transformer network with branched self-attention layers (as opposed to mu…"
,,,,,,"RT @rsoesemann: AI/ML models trained on historic data could entrench and amplify unwanted human biases and intolerance. 
A warning by @Rich…"
,,,,,,"My TEDx talk on the present and future of artificial intelligence is online
https://t.co/9HkwShtZzE https://t.co/owLsumztKZ"
,,,,,,"RT @mjfreshyfresh: Congrats @RichardSocher and team! Keep the research rolling and we'll keep productizing it in the #Salesforce platform!…"
,,,,,,"RT @awnihannun: Last 4 years in MT: more parallel data, more recurrence!
Last 8 days in MT: no parallel data, no recurrence!

Impressive wo…"
,,,,,,"RT @rrwickham: @Salesforce &amp; @RichardSocher show how to bypass a key bottleneck in AI translation https://t.co/Tt6yPVM7gp via @VentureBeat"
,,,,,,"RT @DrYew: Best session of #DF17 so far. @RichardSocher , Peter Norvig and Suchi Saria discuss developments in AI and impact on business /…"
,,,,,,"RT @smetsant: The future of AI with @suchisaria @RichardSocher and Peter Norvig. Lifelong education and more safetynets will be needed #DF1…"
,,,,,,"RT @gnjohnson: Fascinating panel on how AI will transform the future of business with @suchisaria @RichardSocher and #PeterNorvig of Google…"
,,,,,,"RT @adam17amo: Awesome stuff from @RichardSocher showing off the upcoming Einstein features! #DF17 https://t.co/zbLfWaRxe6"
,,,,,,"First fully parallel machine translation model.No RNNs😳Less latency🙃
https://t.co/yFQehJm34H… https://t.co/yA4buY20iT"
,,,,,,"RT @Benioff: Salesforce A.I. researchers came up with a faster way to translate text -- and it's based on tech from Google. https://t.co/ad…"
,,,,,,"RT @danieljpeter: Point, Click, Predict: myEinstein Empowers Everyone to Build Custom AI-Powered Apps by @ball_jb

https://t.co/hS84JR4Egm…"
,,,,,,"RT @Strange_Animals: Buettikofer's epauletted fruit bat is an unusual megabat from the forests &amp; savannah of west Africa. They are threaten…"
,,,,,,"RT @Benioff: There are 2700 sessions at Dreamforce, and I hope you will attend all of them.  Here is a sample of some choices. https://t.co…"
,,,,,,"Best model for question answering on highly competitive squad leader board (albeit briefly)
https://t.co/G8lnIp1E8S… https://t.co/hbt2Ac4x2P"
,,,,,,"RT @mjfreshyfresh: Listening to @NickPClark at #SocialStudio talk about new #comptuervision + #Instagram support! #AI #Salesforce https://t…"
,,,,,,"RT @Smerity: Having trouble finding the papers that use technique X, dataset D, or cite author ME in the #ICLR2018 submissions? 🤔
https://t…"
,,,,,,"@TheCuteCapybara If I had more characters I would have said you're super cute and I love you all. But I hoped the p… https://t.co/z0ESLrDFjD"
,,,,,,"RT @ValaAfshar: Rising above the rest https://t.co/OP93pAe6eR https://t.co/lTPMD0l5S6"
,,,,,,"For somebody worried about AI killing people @elonmusk was very quick in putting it into a bunch of cars.
🙃
PS:I think ai cars will be great"
,,,,,,"RT @gina_lynn_rossi: ""There’s no reason right now to be worried about self-conscious AI algorithms that set their own goals and go crazy"" @…"
,,,,,,"Devastation of people's homes and businesses in Santa Rosa. 
Help prevent wild fires in CA. Support the communities… https://t.co/LyGWFY0fDR"
,,,,,,"RT @SalesforceEdu: Exciting things are happening @Salesforce! Join the innovation &amp; launch your career w/us on @RichardSocher's team: https…"
,,,,,,"RT @ArneKoehn: Today we released the Spoken Wikipedia Corpora - hundreds of hours of audio time aligned to Wikpedia articles. DE, EN, NL, s…"
,,,,,,"@Benioff Huge shoutout to our amazing @kedar_doshi and our engineering team for making these APIs available to ever… https://t.co/rd28v9pDWt"
,,,,,,"RT @Benioff: Congratulations @RichardSocher!  Salesforce Einstein object detection now available.  https://t.co/cQIQMHk6eH"
,,,,,,"RT @danieljpeter: 🖼️ How to use Einstein Object Detection by @muenzpraeger @SalesforceDevs 

https://t.co/DNx90inF2x https://t.co/kePu6lHXqO"
,,,,,,"Create your own text classifiers! Great trailhead to get your started using our intent API :)… https://t.co/Mdv96fhGxc"
