NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
SecurityWeek,124991,148,"Internet and Enterprise Security News, Threats, Insights and Expert Analysis #SCADA #infosec Coverage",1522,375,"RT @MalwareJake: Please Note: The @JakeMalware account is fake. Twitter has been notified but refuses to act. Sad to see them hurting their…"
,,,,,,"Senators Propose New Breach Notification Law Following Equifax and Uber Breaches: https://t.co/SmAQXdrbrr"
,,,,,,"Elite U.S. Government Hacker Charged With Taking Secret Information https://t.co/TnZXOPEM6Z"
,,,,,,"RT @digitalshadows: It's a Wonderful Time of the Year...for Hackers https://t.co/4FyggNlQUO @patersonae @SecurityWeek https://t.co/LJOZ2tTn…"
,,,,,,"Elite NSA Hacker Charged With Taking Top-Secret Information https://t.co/TnZXOPWmYx"
,,,,,,"RT @mwsolomon: Start with the Threat to Prioritize Patching https://t.co/Au8jLpRNeI"
,,,,,,"Senators Propose New Breach Notification Law https://t.co/SmAQXdrbrr"
,,,,,,"New .NET-Based #Ransomware Uses Open Source Code https://t.co/vg9nYiCP86"
,,,,,,"Computer Seller Plans to Disable Intel ME on Laptops Due to Security Flaws: https://t.co/xJ7DM9BkZV"
,,,,,,"Four Arrested for ATM Skimming, Payment Card Fraud https://t.co/tCvrBd4KJu"
,,,,,,"Industrial Cybersecurity Startup SCADAfence Secures $10 Million https://t.co/FcWnkIU4yg"
,,,,,,"RT @EduardKovacs: Classified US Army data found on unprotected server  - updated with statement from US Army https://t.co/USe651PUDj"
,,,,,,"RT @EduardKovacs: Bitdefender valued at over $600 million after growth capital investment firm Vitruvian Partners acquires a 30% stake in t…"
,,,,,,"It's a Wonderful Time of the Year…for Hackers https://t.co/8aINTZGXz9 #cybercrime"
,,,,,,"Analyst Perspective: 2018 Cybersecurity Forecast https://t.co/SelAK796uM"
,,,,,,"Siemens Patches Several Flaws in Teleprotection Devices https://t.co/IybES7SWze"
,,,,,,"Chrome to Block Apps from Injecting into Its Processes https://t.co/z9Y75byBMF"
,,,,,,"Investment Values @Bitdefender at $600 Million: https://t.co/JdSmsR0Qo9"
,,,,,,"RT @EduardKovacs: Siemens patches several vulnerabilities, including authentication bypass and DoS flaws, in SWT 3000 teleprotection produc…"
,,,,,,"Son of Russian lawmaker gets another prison sentence for his role in a massive cybercrime ring: https://t.co/Gg1s6GhYyY #cybercrime"
,,,,,,"RT @CrowdStrike: “Their previous targeting includes industries such as Aerospace, Defense, Energy, Technology, NGOs, etc., that are primari…"
,,,,,,"Police vs Privacy: US Supreme Court Looks at Cell Phone Tracking https://t.co/OQQWqR4uRp"
,,,,,,"Enjoy this White Paper created by @SecurityWeek for @LeidosCyber: Managing the Cybersecurity Challenges of Electric… https://t.co/oscS6i01h3"
,,,,,,"Is Social Media a Critical Industry? https://t.co/6pmzRaLJZp"
,,,,,,"Trust Your Security Vendor, 'They Have Access to Everything You Do,' Says F-Secure Research Chief @Mikko Hypponen https://t.co/6WpanlXSha"
,,,,,,"Patch of Dirty COW Vulnerability Incomplete, Researchers Claim https://t.co/fcFKs3IHHO"
,,,,,,"Amazon Web Services (AWS)  Launches New Cybersecurity Services https://t.co/ubCBZi4Pyi #AWSreInvent"
,,,,,,"What to Consider Before Incorporating Machine Learning into Your Security Efforts https://t.co/cm8935lzcK"
,,,,,,"Trust Your Security Vendor, 'They Have Access to Everything You Do,' Says F-Secure Research Chief https://t.co/6WpanlXSha"
,,,,,,"How threat intelligence can help you decide which security vulnerabilities you need to patch: https://t.co/uWnI1LFs92"
,,,,,,"Start with the Threat to Prioritize Patching https://t.co/uWnI1LFs92 #infosec #SecurityOperations"
,,,,,,"#AWS Launches New Cybersecurity Services https://t.co/ubCBZi4Pyi #cloud"
,,,,,,"Patch for macOS Root Access Flaw Breaks File Sharing https://t.co/pMK88mVrug #iamroot"
,,,,,,"Cisco Patches Critical WebEx Vulnerabilities https://t.co/6y4WA0AEel"
,,,,,,"Should Social Media be Considered Part of Critical Infrastructure? https://t.co/6pmzRaLJZp"
,,,,,,"RT @EduardKovacs: Uber, the ride-sharing giant hit with a number of scandals in recent months, is now suspected of operating a program to h…"
,,,,,,"Android Malware Steals Data from Social Media Apps https://t.co/0a0OGQPRnl"
,,,,,,"Canadian Pleads Guilty to Hacking Yahoo https://t.co/2JLO1q2csd"
,,,,,,"Apple Patches Critical Root Access Flaw in macOS High Sierra https://t.co/ohpwLXSccG CVE-2017-13872"
,,,,,,"Five Emerging Threats That Worry Global Security Professionals https://t.co/PwNV3yNaAK"
,,,,,,"RT @PaloAltoNtwks: @ScottSimkin shares three things to consider before incorporating machine learning into your security efforts https://t.…"
,,,,,,"RT @Wh1t3Rabbit: https://t.co/R23enbCYuu

Accountability and Authority - a brief Primer for security leaders, my column on @SecurityWeek 
#…"
,,,,,,"RT @wayneschepens: In a new article for @SecurityWeek, Ntrepid's @LanceCottrell covers 'Dealing With Data Loss Your Firewall Can't Stop' ht…"
,,,,,,"Hackers Hit U.K. Shipping Giant Clarkson https://t.co/KSdp4uDKVw"
,,,,,,"How Not to Get Fired For Someone Else's Failure: https://t.co/h1B0loeyp3 via @Wh1t3Rabbit"
,,,,,,"Recently Patched Dnsmasq Flaws Affect Siemens Industrial Devices: https://t.co/okKIsmiT48"
,,,,,,"Samsung Adopts @Bugcrowd to Manage Mobile Security Rewards Program: https://t.co/qGMAqh4Fn6 &lt; Up to $200k per vulnerability"
,,,,,,"Classified U.S. Army Data Found on Unprotected Server: https://t.co/laflWjXKmY"
,,,,,,"macOS Bug Allows Root Login Access With No Password https://t.co/lkhLbtqb5m &lt; Very easy to do!"
,,,,,,"#Privacy Rights in Balance as Supreme Court Hears Cellphone Tracking Case https://t.co/3oHtgWcr0M"
,,,,,,"How Not to Get Fired For Someone Else's Failure https://t.co/h1B0loeyp3"
,,,,,,"RT @EduardKovacs: UPDATED WITH STATEMENT: Bulletproof Coffee tried (and failed) for nearly a year to keep hackers out of its systems https:…"
,,,,,,"#Breaking: North Korea Fires Ballistic Missile, Yonhap News Reports"
,,,,,,"Bulletproof Coffee Failed to Keep Hackers Out https://t.co/WpgUvgvNw8"
,,,,,,"ICOs: The Lawless Land of #Cryptocurrency Fundraising https://t.co/GuuiCkVMWQ #bitcoin"
,,,,,,"Security of U.S. Government Sites Improved Only Slightly, Report Says: https://t.co/tXRWKQWb38"
