NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
SmithaMilli,1552,3534,"phd student @berkeley_ai | 🤔🤔🤔💡🔍🔄",12106,863,"RT @NAACLHLT: Why an Industry track?

""The idea of an industry track stemmed from the challenging issues encountered while attempting to ap…"
,,,,,,"RT @tonyszhou: Myself and @glassesattached are announcing that #everyframeapainting has officially ended. Here's the script to the final un…"
,,,,,,"RT @Bosefina: My parent were tasked with the job of survival and I with self-actualization. The immigrant generational gap is real. What a…"
,,,,,,"@__ishaan Hahahha hmu with that linkedin request brah

But actually so excited to hang!! :D"
,,,,,,"@yasyf lol def after I get back 💜"
,,,,,,"Will be at #nips17 too tho, hmu if u wanna meet up w/o randomly searching through a million ppl"
,,,,,,"@volkuleshov Unfortunately, tits is way overbooked already :( come next yr tho!!"
,,,,,,"@canzhiye EXACTLY"
,,,,,,"Macroeconomics has the simplest equations that make no sense"
,,,,,,"@volkuleshov Amazingly real"
,,,,,,"RT @googleresearch: Should the reviewers of a piece of scientific work be made aware of the identify of the authors? Check out the results…"
,,,,,,"@geoffreyirving I dunno, I'm not going this year because it conflicts with tutorials/symposiums!"
,,,,,,"Review of interactions between the circadian system, sleep and endocrinology https://t.co/dHJXfMfSeg"
,,,,,,"@FeryalMP UGH sorry to hear that 😩👎👎👎"
,,,,,,"Tbh way more excited for #tits17 than #nips17 https://t.co/yE4Zx3KlJF"
,,,,,,"Replicable != Significant

ML exps are easy to run. Helps replicability (put code online), but hurts significance (run more exps)."
,,,,,,"@Meaningness cc @suryabhupa"
,,,,,,"RT @hardmaru: One way to sell a new ML model is to show that it works well for a wider range of hyperparams compared to baseline models, or…"
,,,,,,"RT @Miles_Brundage: ""Ms. Sabour [CapsuleNet paper lead author] is an Iranian researcher who wound up in Toronto after the  United States go…"
,,,,,,"@WAWilsonIV Why does your POV depend on next 10 yrs, compared to past 40 yrs? Computational power?"
,,,,,,"@WAWilsonIV Is this a joke? I would use those reasons to claim it's not low hanging-fruit."
,,,,,,"RT @andreasklinger: @sama Very good rebranding of UBI - that framing makes a ton of sense"
,,,,,,"The Teaching Dimension of Linear Learners https://t.co/lIsDhO4KsO"
,,,,,,"What are your favorite econ blogs?"
,,,,,,"RT @WAWilsonIV: I think I could keep reading excerpts from ""Legal Systems Very Different From Ours"" all weekend: https://t.co/VsP8XwmePv"
