NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
TeamKano,26047,12003,"Computers anyone can make & code. All ages, all over the world. https://t.co/8sZhlIv3sv",424,398,"Don't miss the chance to try the Computer Kit anyone can make! We're visiting a range of @Target stores across Nort… https://t.co/vUlsOjCltT"
,,,,,,"Read what happens when you give an #AI 7700 color names and ask it to generate entirely new ones… https://t.co/0VvEBv8e0c"
,,,,,,"Want to see why the Computer Kit gets people creating with technology and not just consuming it? We're visiting a s… https://t.co/QwwUQB8kz8"
,,,,,,"Visit a @Target store and try the Computer Kit! We're touring North America and will be visiting selected stores du… https://t.co/dBnuOP9yUR"
,,,,,,"Hitting the mall today? We're visiting a range of @Target stores across North America to demo the Computer Kit anyo… https://t.co/SFYxnn6PPf"
,,,,,,"From engineer to Pixel Artist. A quick guide to getting started in this style of digital art… https://t.co/R6hklSao3T"
,,,,,,"@starfoxgamingyt 🌈"
,,,,,,"@EdenKonja @amazon 🙌"
,,,,,,"RT @DigitalTrends: Kano Computer Kit Complete Review https://t.co/aC9c8oUcnb"
,,,,,,"@ItzfireLion Good job 💯"
,,,,,,"@sarahbmccasland @chtirrell Wow coding at 3 1/2 and 9yo!  MUSIC TO OUR EARS 💯🙌 #girlpower"
,,,,,,"@mrsjones2142 @APSHollisCrew NICE ❤️"
,,,,,,"@nallstedt WOW! You've completed the first Street Artist challenge already 💯"
,,,,,,"@jkriggins @nlupus @Pioneers 😍"
,,,,,,"@mattsterling01 @Glynn_ed @XPlorationModel @PowayUnified AMAZING! Keep it up ❤️"
,,,,,,"@EdenKonja Sorry it ended on Monday. Are you signed up to our newsletters?  If not, sign up (check footer on Kano.m… https://t.co/lbcw3v1GaV"
,,,,,,"Come try the Computer Kit anyone can make. We're visiting a selection of @Target stores across NA and would love to… https://t.co/L3Q97PZ3qv"
,,,,,,"Come to selected @Target stores across North America during November &amp; December and make art, games and much more w… https://t.co/Dc9fXoYse3"
,,,,,,"@rudedoodle Hi, sorry for the delayed response. Yes, it works with any laptop with OS X, or Windows 7 and above. Al… https://t.co/Y9SuGEe2Jy"
,,,,,,"@thatICTperson Hey, sorry you're having trouble setting us up.  Please can you email education@kano.me and someone… https://t.co/s3I5G4x2cN"
,,,,,,"@beachteach5 @RosemontForest @smitherette @vbedfound YES! 💯"
,,,,,,"RT @iphonegirl: Had a chance to see a Kano demo in Toronto last month at a roadshow... DIY computer kits are my fave gift idea for kids thi…"
,,,,,,"@iphonegirl Thank you ❤️"
,,,,,,"@ConnectHomeUsa @BestBuy This is awesome!  Keep it up 💯"
,,,,,,"A user's experience on building the Computer Kit Complete 💯 https://t.co/PJesmbIwlh"
,,,,,,"Join our Kano Computing Making Adventure in 2018. @sciencemuseum https://t.co/GtwgzYCxOS"
,,,,,,"@speirin @alexnklein 🙌"
,,,,,,"We're going to be at #ces2018 in Vegas! Want to come and say hello - please stop by! We'll be at booth 43361 🖐🏽 https://t.co/N6f1bU0dDt"
,,,,,,"@MFrancis22 💯"
,,,,,,"@djmotwister Hey. We don't have any planned. But if you sign up to our newsletter on kano.me, you'll be the first to find out when we do 💌"
,,,,,,"@Chutzpah84 Hey! Sorry we don't have plans to discount to the Computer Kit Complete ❤️"
,,,,,,"Any other #KanoSpotters out there? Tweet a picture for your chance of winning a Computer Kit Complete. Get snapping… https://t.co/aDSota0qw6"
,,,,,,"What happens when designers partner with kids to create experiences? Unexpected things of course.… https://t.co/9aACnYTasP"
,,,,,,"Want to create art, imagine games and learn to code with the computer anyone can make? We are visiting a range of… https://t.co/qPTe9jXrSE"
,,,,,,"Come meet the Kano team at selected @Target locations across North America to try and learn more about our range of… https://t.co/an9E9d008I"
,,,,,,"Great read: 10 myths and realities about getting into coding https://t.co/ply07ucuzv. https://t.co/6OU9hUUkbb"
,,,,,,"#ICYMI, we're touring North America and will be visiting selected @Target stores across the country so you can try… https://t.co/gaAzKtQO00"
,,,,,,"Want to try the Computer Kit anyone can make? We're visiting a selection of @Target stores across North America and… https://t.co/yhBv8O3OFN"
,,,,,,"@nickwilsdon @flowlabs What a sweet photo 😀  I'll tell our Kano World experts to look out for their creations so te… https://t.co/ivlAM54iYi"
,,,,,,"@gelolayugan @djmotwister Both are amazing. But Kano Computer gets our vote (obvs!) ✌️😁"
,,,,,,"RT @GTHSENGINEERING: Students got to open up their kano computer kits for the first time. They will learn about how computers work, coding,…"
,,,,,,"@GTHSENGINEERING Exactly what we love to see - not just for kids! Keep us posted on how you get on 💯"
,,,,,,"@flowlabs @nickwilsdon What's your daughter's username?  We'll look out for her creations :))"
,,,,,,"@techpixiejoy @Raspberry_Pi Amazing!  We love it!  Happy adventures.  Let us know how you're getting on 💯✌️"
,,,,,,"@ZeroUtopia @roseaboveit WOW!  Well done on putting the Pixel Kit together! Feel free to send us some photos so we… https://t.co/CF66jC3RAQ"
,,,,,,"@OandoFoundation @theirworld Amazing!  Keep it up! #girlpower 💥"
,,,,,,"@RadHash18 🙌"
,,,,,,"'The #PixelKit is one of the most friendly and least intimidating pieces of tech I've encountered'… https://t.co/dWx5w5EWIN"
,,,,,,"Visit a @Target store and try the Computer Kit! We're touring North America and will be at selected locations durin… https://t.co/ukZgQqWzRO"
,,,,,,"Come to try the Computer Kit anyone can make. We're visiting a selection of @Target stores across North America and… https://t.co/NXn1FW8EXF"
,,,,,,"@Marsalarchery @AmbitiousStitch If your kid loves computers this is an ideal gift. We also have lifetime support so… https://t.co/2CUQd0nSDe"
,,,,,,"@thefirstbee I'm so sorry to hear this. Please can you email help@kano.me and someone will be able to help you."
,,,,,,"@DeanVipond Sorry! We've modified some of the designs to the case so the Pi1 won't actually fit in the current Computer Kit case :(("
,,,,,,"@MFrancis22 Hello. Yes it should be horizontal, can you let me know what challenge you're doing please?"
,,,,,,"@elserrano HAHA! I know the feeling!  https://t.co/abvlf1zUXo 🙏"
,,,,,,"@the3dDad Amazing!  This is pretty cool 💯"
,,,,,,"RT @the3dDad: The3DSon working on his first computer. Directions &amp; results were just right for a 5 yr old. Thanks @TeamKano for a fantastic…"
,,,,,,"@MFrancis22 We do have the Computer Kit Complete that does come with the screen and the Computer Kit does work with… https://t.co/l4z2SFjNb4"
,,,,,,"@NayimEdwards Thank you for uploading the video.  Glad you like it! Feel free to tweet us again :)) 💯"
,,,,,,"RT @esba1ley: @EbenUpton @TeamKano I’m thoroughly impressed… the kit and instructions are super clean and simple, and the software is engag…"
,,,,,,"@MrCortesOSX Hello, so sorry to hear you're having issues. If you contact help@kano.me, someone in the care team will be happy to help."
,,,,,,"@jcleveley Hello! If you contact help@kano.me, someone in the Care team will be happy to advise."
,,,,,,"@mscorelle YES 💯"
,,,,,,"@DirkSchart Hey, it's a great gift that teaches people about computing and coding (without them even realising it).… https://t.co/bc2WOxIs77"
,,,,,,"@elserrano Awww how cute! We hope you all enjoy it! It's a great gift for the family (not just for kids) ❤️. Let us… https://t.co/5yLWZDZPr2"
,,,,,,"@sumanpal Hello. We're behind on schedule but we're working on it.  We sent an update to our Backers on 16 Nov :))"
,,,,,,"@DeanVipond Hey, if you're in the US, EU or UK, the best way is to buy it online as it's 33% off Computer Kit. But… https://t.co/adzSQ35N9P"
,,,,,,"@xldrkp Thanx for your message. For now, our kits are only available online in Germany https://t.co/LXRUX3v4BJ :))"
,,,,,,"@yelena3208 NICE 🙏"
,,,,,,"Why thank you @esba1ley. Anyone else spotted a Kano kit? Send a picture with #KanoSpotters for your chance of winni… https://t.co/NIjFnoRxfe"
,,,,,,"Watch an 8-year-old and a 48-year-old learn how to code using a simple and fun device: https://t.co/NAS2ok7ew5 https://t.co/EwCX1Yw40M"
,,,,,,"Daily reminder, we're touring North America and will be visiting selected @Target stores across the country. For lo… https://t.co/1Cu3eNWg5L"
,,,,,,"You've heard about the Kano Computer Kit but want to try it for yourself? We're visiting a range of @Target stores… https://t.co/yJUUc3JtaP"
,,,,,,"Ever wondered why human language is so hard for machines? They're getting better, so look out for the future.… https://t.co/qQwczECyK2"
,,,,,,"RT @yelena3208: @TeamKano Spotted this setup at Toysrus in Concord, CA. #Kanospotters https://t.co/xc09hLlSya"
,,,,,,"RT @esba1ley: @TeamKano computer at @Target in Pasadena, California!  Picked one up for my son and he’s already writing customized Pong gam…"
,,,,,,"RT @svyashennaya: I’m really excited that Lucy is super into her Christmas gift this year—I mean, she’s mostly into Minecraft, but she’s pi…"
,,,,,,"RT @jehunter5811: My son's @TeamKano computer kit just came and I'm so stupidly excited for him. #HurryUpChristmas"
