NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
TechCrunch,9854859,2537,"Breaking technology news, analysis, and opinions from TechCrunch. Home to Disrupt, TC Sessions, and Startup Battlefield. Got a tip? tips@techcrunch.com",6633,10291,"Gym-As-You-Go wants to let you pay per exercise https://t.co/G16clDk10J #TCDisrupt https://t.co/OrCQWuJAkl"
,,,,,,"Bitcoin Bubble Burst will warn you if the bitcoin dream is about to crash down https://t.co/ZVFIrLpzs3 #TCDisrupt"
,,,,,,"Google Home learns how to multitask https://t.co/oQEVPaqJFr"
,,,,,,"There will be a plug-in Hybrid Jeep Wrangler in 2020 https://t.co/T6DRTJQOfU"
,,,,,,"Altrui.st wants to use cryptohacks to provide basic minimum income https://t.co/u28HIlUbhH #TCDisrupt https://t.co/nNLofdia0h"
,,,,,,"Pay a monthly fee starting $600 per month, and you get the 2019 XC40 https://t.co/DgpgtPIQdF"
,,,,,,"The attack of the SuperFakes https://t.co/Jx500w0llU by @johnbiggs"
,,,,,,"Gillmor Gang: Netfix https://t.co/8Hn0FsFbvh by @stevegillmor"
,,,,,,"Europe has been minting unicorns https://t.co/0WCmkGncwK https://t.co/cegMntQW4i"
,,,,,,"Apple’s hand is down and its $1 trillion dream now rests with consumers https://t.co/iAbYlyjaGr"
,,,,,,"WannaDrink is the hack that will finally destroy my liver https://t.co/ZGQolgyV9e by @jshieber"
,,,,,,"Disrupt Berlin 2017 Hackathon runner up: BillboardAR lets you turn any billboard advertisement into an instant purc… https://t.co/RLP90Zi1iZ"
,,,,,,"Metascarcity and Bitcoin's future https://t.co/3UcCivZECU by @rezendi"
,,,,,,"There will be a plug-in Hybrid Jeep Wrangler in 2020 https://t.co/qpNH0C43m2 by @etherington https://t.co/4mjcWX2gl9"
,,,,,,"17 STEM-focused gifts to inspire kids to learn coding and love robotics https://t.co/U82rWfWAiL https://t.co/QwYwgsOW2C"
,,,,,,"Home․me turns your 2D floorplan drawings into 3D renderings https://t.co/Bn9E3WWerV by @fredericl"
,,,,,,"Unicorn Battle uses buzzwords to determine a startup's 'unicornibility' https://t.co/P7iQOYH7IZ by @anthonyha"
,,,,,,"Quick Insurance is the winner of the Disrupt Berlin 2017 Hackathon https://t.co/SkcnmXDliY #TCDisrupt https://t.co/KPVFgl0E7v"
,,,,,,"Cheer My Friend lets you motivate runners with voice messages https://t.co/Luiopmfw6W by @riptari"
,,,,,,"Parking Insider is a mobile wallet dedicated to helping you avoid parking tickets https://t.co/C31RZHvTSn by @cookie"
,,,,,,"Quick Insurance wins the Disrupt Berlin 2017 Hackathon Grand Prize https://t.co/AXVA2kJXMI by @romaindillet https://t.co/8Sypb9rr9F"
,,,,,,"Gym-As-You-Go wants to let you pay per exercise https://t.co/G16clDBCpj by @joshconstine"
,,,,,,"Bitcoin Bubble Burst will warn you if the bitcoin dream is about to crash down https://t.co/ZVFIrLpzs3"
,,,,,,"Humble lets engineers swipe right to their dream job https://t.co/iCdZnM3DYd by @cookie"
,,,,,,"WACAO is an assistant that can summarize and translate your WhatsApp chats https://t.co/NxFidpLs8x by @sarahintampa"
,,,,,,"Cheer My Friend lets your friends cheer you on while you're running a marathon #TCDisrupt https://t.co/T1Uv9v9aUW"
,,,,,,"Altrui․st wants to use cryptohacks to provide basic minimum income https://t.co/rHnWdDXZtp by @jshieber"
,,,,,,"BarSaver gives you visibility on finances and helps you analyze your spending #TCDisrupt https://t.co/Pq35VKqiG3"
,,,,,,"Unicorn Battle is a hack that rates unicorn-centric speech #TCDisrupt https://t.co/apdRuGiNHm"
,,,,,,"Ad-in allows more seamless ad integration into games #TCDisrupt https://t.co/o8y1D2JG3w"
