NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
TensorFlow,50699,125,"TensorFlow is a fast, flexible, and scalable open-source machine learning library for research and production.",21090,25464,"RT @martin_gorner: Got 3 more hours ? The ""Tensorflow without a PhD"" series continues. First a deep dive into modern convolutional architec…"
,,,,,,"Thanks @Mozilla for sharing Project DeepSpeech! Open source speech recognition, with pre-trained model &amp; dataset:… https://t.co/XWMoVlwFkj"
,,,,,,"Ever wonder what ""dropout regularization"" really means? 🤔 This and ~200 other #ML definitions at your fingertips in… https://t.co/kXWpxF0nnE"
,,,,,,"Check out the 2nd part of our blog series on #TensorFlow Estimators. 

This one describes feature columns in detail… https://t.co/ItB5vIM3cE"
,,,,,,"Reproducible research using colab! The new paper → https://t.co/u5a4tpNNZ5 from the Magenta team, also includes a c… https://t.co/p7wGhnBJI7"
,,,,,,"Batch norm tips from @martin_gorner: https://t.co/NWcvADy0dv"
,,,,,,"We've just launched the @TensorFlow Speech Recognition Challenge on Kaggle!  $25,000 in prizes, including a special… https://t.co/MGUl6WjEW9"
,,,,,,"We are so excited to announce the Developer Preview of #TensorFlowLite! 

Read all about it in our blogpost →… https://t.co/RcyEu6EWb7"
,,,,,,"#TensorFlow v1.4.0 included a few big announcements, including graduating #Keras to core! 

Blog w/ more details → https://t.co/6vQYHn07QS"
,,,,,,"#TensorFlow implementation of NASNet (a model for image classification and object detection) learned by AutoML! 

→… https://t.co/56Kl9p23oU"
,,,,,,"RT @googleresearch: Check out the latest innovations in TensorFlow Serving, a flexible, high-performance serving system for ML models https…"
,,,,,,"#TensorFlow v1.4.0 has been released! Please see the full release notes for details on added features and changes  ↓
https://t.co/5GcrQLu3AZ"
,,,,,,"Real-time Style Transfer for Arbitrary Styles in #TensorFlow! 

Visit the Magenta GitHub for more info →… https://t.co/tCoeZwb4xK"
,,,,,,"Introducing Eager Execution - an imperative, define-by-run interface for #TensorFlow! 

Learn more here →… https://t.co/yiDVMILYFo"
,,,,,,"Doing 💡 cool things ⚙️ with #TensorFlow? Let us know and you could be highlighted in a TensorFlow case study! 

✏️ → https://t.co/1Z8qfXUpLA"
,,,,,,"Check out this intro to #TensorFlow Feature Columns, in #MachineLearning Recipes #9 w/ @random_forests

Watch here… https://t.co/1SRAOf6ZFq"
,,,,,,"RT @JM_SAP: And here it is: our new @openSAP free online course on enterprise #deeplearning with #TensorFlow, starting on Oct 23 https://t.…"
,,,,,,"Thanks to @Uber for open-sourcing Horovod! A library to speed-up distributed training with #TensorFlow 

Learn here… https://t.co/5OEm4PfpSd"
,,,,,,"RT @datitran: Want to build your own #Raccoon detector. I'll show you how to do it with #TensorFlow: https://t.co/dGksy391G0 https://t.co/b…"
,,,,,,"Here's a nice slidedeck (w/ speaker notes) introducing the Dataset API - better input pipelines for #TensorFlow 

→… https://t.co/yPfBktbI3B"
,,,,,,"Can't wait until an official release to try new features? Try our tf-nightly and tf-nightly-gpu pip packages! 

↓ https://t.co/xpaRajRKnT"
,,,,,,"TensorFlow 1.4.0-rc0 has been released! See the full release notes for details on added features and changes

→ https://t.co/X4ZILFjrWo"
,,,,,,"Announcing #TensorFlow Lattice - Estimators that let you specify monotonic relationships to help models generalize… https://t.co/XnbDND6hzF"
,,,,,,"RT @Google: Powered by @tensorflow, an open source machine learning library, Tanzanian farmers can now spot sick crops with AI. https://t.c…"
,,,,,,"Question Answering with #TensorFlow → https://t.co/GUQB3sgDSe https://t.co/4Ft2FwFwZr"
,,,,,,"Listen &amp; control a 🎹  piano performance in your browser with Performance RNN and deeplearn.js 🤔

→… https://t.co/hW5KoqZ8hA"
,,,,,,"Interested in collaborating with #AI scientists for the #Google AI Residency Program? 

Apply to join us here →… https://t.co/IGzQw1iExn"
,,,,,,"#AI powered by #TensorFlow coming to the #UnrealEngine! 

Get the Unreal Engine plugin here →… https://t.co/VEIH9Pvg9o"
,,,,,,"On ep 5 of AI Adventures, @YufengG shows how to visualize and debug your #MachineLearning model w/ #TensorBoard 

→… https://t.co/wKcKRXpP5U"
,,,,,,"Check out how @CocaCola is using #AI and #TensorFlow in their rewards program for frictionless proof-of-purchase!… https://t.co/66Aqg95Qtb"
,,,,,,"Create custom #machinelearning visualizations with #TensorBoard's new API

→ https://t.co/jADddxyH7Q https://t.co/dWO1NHZiE1"
,,,,,,"RT @googledevs: In #TensorFlow 1.3 we introduce Datasets and Estimators to help create #ML models and feed data to them

Learn more: https:…"
,,,,,,"RT @martin_wicke: Check out the amazingly complete R bindings for #TensorFlow by @Rstudio! https://t.co/z77vwn7KkL"
,,,,,,"TensorFlow now supports SVMs and kernel methods! 

Check out our tutorial → https://t.co/KaQ7G74OEo https://t.co/6LEkWz0wy2"
,,,,,,"Recognize audio and simple voice commands with this new #TensorFlow tutorial! 

Try it out here:… https://t.co/cUAERUfkz3"
,,,,,,"#TensorFlow now supports #Kaldi for more powerful speech recognition solutions 

Learn more here:… https://t.co/yHo3SIhT2p"
,,,,,,"RT @josephreisinger: How is the rise of machine learning and #AI systems changing software engineering? https://t.co/5PsfD0ntcR #TensorFlow"
,,,,,,"TensorFlow 1.3.0 has been released! Please see the full release notes for details on added features and changes: 

https://t.co/2EfTbCB5Db"
,,,,,,"RT @TerryTangYuan: Check out our TensorFlow Estimators paper at #kdd2017! https://t.co/wniFCD8lTF #DataScience #TensorFlow #MachineLearning…"
,,,,,,"Check out this #TensorBoard plugin by @chrisdotio to see a video of your neural network: 

https://t.co/JcEzncV6FR

https://t.co/CXHbu48PBI"
,,,,,,"RT @petewarden: I have a free 60-page O'Reilly ebook out called ""Building Mobile Applications with @TensorFlow""! https://t.co/Pc9hMX2F8j"
,,,,,,"With #TensorFlow Serving 1.0 you can apt-get install tensorflow-model-server

Learn more here: https://t.co/ow6PYXS6Sn"
,,,,,,"#TensorFlow 1.3.0rc2 has been released! See the full release notes for details on the added features and changes:
 
https://t.co/tzhWqF8eqI"
,,,,,,"RT @random_forests: Nice article on reinforcement learning in TensorFlow: https://t.co/zNcTqM8Qmz"
,,,,,,"TensorFlow 1.3.0rc1 has been released! Please check the release notes for details on new features and changes! 

https://t.co/ynTF37dQVp"
,,,,,,"RT @harvitronix: New blog post! Creating an insanely fast image classifier with MobileNets in #TensorFlow: https://t.co/oCawoRHBMe"
,,,,,,"A nice video tutorial ""Sentiment Analysis with LSTMs, using TensorFlow"": 
https://t.co/QSFhoi77eX

#TensorFlow https://t.co/W37fvEofO5"
,,,,,,"#TensorFlow 1.3.0rc0 has been released! Please see the release notes for details on added features and changes: 
https://t.co/8iye5R4JOH"
,,,,,,"It's here! Check out our new #TensorFlow Neural Machine Translation Tutorial: https://t.co/iXmGsPPaM0"
,,,,,,"Want to know how the @siliconHBO Not Hotdog app was built with #TensorFlow? 

Check it out: https://t.co/FrpXucTHnC"
,,,,,,"RT @googleresearch: Announcing the Tensor2Tensor open-source system for training a wide variety of deep learning models in #TensorFlow http…"
,,,,,,"TensorFlow 1.2.0 has been released! Please see the full release notes for details on added features and changes: https://t.co/dfgVs1bUO6"
,,,,,,"RT @googleresearch: Our in-house object detection system is now open source! Learn more about the #TensorFlow Object Detection API at https…"
,,,,,,"RT @MagnusHyttsten: Having a great time presenting #TensorFlow at the GDG Silicon Valley meetup @gdgsv 🙌 https://t.co/nSKuV8lGVL"
,,,,,,"Here's a nice video tutorial ""Generative Adversarial Networks, for Beginners"": https://t.co/r0md0znE4N https://t.co/oJ5awqHEUd"
,,,,,,"RT @goodfellow_ian: CleverHans has a new home in the TensorFlow organization: https://t.co/Co7dIU7EDH"
,,,,,,"TensorFlow 1.2.0rc1 has been released! Please see the full release notes for details on added features and changes: https://t.co/mMNbeXq3Ld"
,,,,,,"Curious how TensorFlow can be used for art &amp; music? Watch this Google I/O talk on Project Magenta from Google Brain: https://t.co/zHN0g2DWJL"
,,,,,,"RT @ryanseddon: How Zendesk Serves Tensorflow Models in Production – https://t.co/34iRuZOnd7"
,,,,,,"Check out this #io17 session for tips and tricks on using TensorFlow in your Android app: https://t.co/hhMCqa6P8Y"
,,,,,,"Learn how to code papers with TF training @UAI2017 @ICML https://t.co/fbxQDRJt71 @ismion_mltrain. Pilot event in NYC https://t.co/3PMppKPP50"
,,,,,,"Learn how to bring your ML models from R&amp;D ➡️ Production with #TensorFlow Serving in this #io17 talk:… https://t.co/TXCD9NzLc5"
,,,,,,"We asked @MagnusHyttsten to give us a demo in the TensorFlow sandbox during #io17 https://t.co/TME1bV23zK"
,,,,,,"RT @mrry: TensorFlow 1.2rc0 is now out with the https://t.co/AiVuFYy0tW module for simpler and more powerful input pipelines! https://t.co/…"
,,,,,,"Machine Learning fireside chat happening live at #io17: https://t.co/LVVl88Tv5N"
,,,,,,"You don't have to start from scratch to benefit from ML. Learn about open source models for images, text, and art:… https://t.co/yu3CFN9jRH"
,,,,,,"What's new in TensorFlow? What are TPUs? What's the TensorFlow Research Cloud? This #io17 session has the answers:… https://t.co/HEcfpf963y"
