NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
TheHackersNews,420599,7286,"Popular, trusted, widely-read cyber security news source for everyone, including hackers, technologists, enthusiasts & IT nerds » https://t.co/sEDrtWoc33",41941,22046,"Linux Memory Cryptographic Keys Extractor https://t.co/UdJ9Ws3GTS https://t.co/rC5Nq9670S"
,,,,,,"RFCrack Released — A Software Defined Radio Attack Tool

https://t.co/Hv8rBZSYh2

Demo Video:… https://t.co/FKfMWqIvOx"
,,,,,,"Linux Expl0rer — an easy-to-use open source live forensics toolbox for Linux endpoints written in Python &amp; Flask.… https://t.co/bDvhwKTdL5"
,,,,,,"Bypassing SAML 2.0 SSO with XML Signature Attacks https://t.co/dIIHpNueb4"
,,,,,,"Kernel Exploit Demo - Windows 10 privesc via WARBIRD https://t.co/20ckyptZuS"
,,,,,,"RT @TheHackersNews: Here's the Ex-NSA Employee Who Kept Top Secret Documents at Home, Which were then Stolen by Russian Hackers Allegedly w…"
,,,,,,"Here's the Ex-NSA Employee Who Kept Top Secret Documents at Home, Which were then Stolen by Russian Hackers Alleged… https://t.co/zpLcHFazth"
,,,,,,"RT @TheHackersNews: After Getting Longest Ever Hacking-Related Prison Sentence of 27 Years in the United States, Son of Russian Lawmaker Fa…"
,,,,,,"RT @TheHackersNews: Google to Block 3rd-Party Windows Software from Injecting Code into Chrome Browser — to improve performance and reduce…"
,,,,,,"After Getting Longest Ever Hacking-Related Prison Sentence of 27 Years in the United States, Son of Russian Lawmake… https://t.co/50Dr06nA5B"
,,,,,,"Google to Block 3rd-Party Windows Software from Injecting Code into Chrome Browser — to improve performance and red… https://t.co/hvOmXzDG1c"
,,,,,,"RT @TheHackersNews: Watch Out — Browser-based #Cryptocurrency Mining Scripts Have Found A Simple Yet Effective Way to Keep Itself Running I…"
,,,,,,"RT @TheHackersNews: HP caught installing Windows telemetry bloatware on users’ computers without permission that sends collected data back…"
,,,,,,"RT @Swati_THN: Watch Out — Browser-based #Cryptocurrency Mining Scripts Have Found A Simple Yet Effective Way to Keep Itself Running In the…"
,,,,,,"HP caught installing Windows telemetry bloatware on users’ computers without permission that sends collected data b… https://t.co/9285EJaZ3n"
,,,,,,"Watch Out — Browser-based #Cryptocurrency Mining Scripts Have Found A Simple Yet Effective Way to Keep Itself Runni… https://t.co/QDXYrYgj6G"
,,,,,,"RT @TheHackersNews: Hackers Exploit Recently Disclosed Microsoft Office RCE Vulnerability (CVE-2017-11882) to Install Cobalt Backdoor On Co…"
,,,,,,"RT @TheHackersNews: Learn Penetration Testing with Kali Linux 2 (3rd Edition) — Download Free ebook for a limited time https://t.co/lzX24Fa…"
,,,,,,"Apple releases patch update (2017-001) to address macOS High Sierra 'root' login validation bug (CVE-2017-13872) — https://t.co/XPrDz3p7gO"
,,,,,,"Check how easy-to-use @AlienVault's USM Anywhere helps to maintain NIST Compliance, a framework with guidance on ho… https://t.co/Vh8KpmuJHq"
,,,,,,"RT @TheHackersNews: Karim Baratov, a 22-Year-Old Hacker, Pleaded Guilty in U.S. Court to Massive 2014 #Yahoo Data Breach that Affected 3 Bi…"
,,,,,,"RT @TheHackersNews: *HUGE* Security flaw discovered in #Apple's macOS High Sierra. A simple hack allows anyone to gain Root (Admin) access…"
,,,,,,"RT @TheHackersNews: Researchers find a new variant of Mirai IoT Botnet targeting ZyXEL internet-connected devices in Argentina.

https://t.…"
,,,,,,"RT @TheHackersNews: U.S. Charges Three Chinese Hackers for Hacking Siemens, Trimble and Moody
https://t.co/xkMawNaKES https://t.co/2uHlvnEZ…"
,,,,,,"RT @TheHackersNews: Google researchers find 'Tizi' auto-rooting #Android spyware on targeted devices that spies on #WhatsApp, Viber, Skype…"
,,,,,,"Hackers Exploit Recently Disclosed Microsoft Office RCE Vulnerability (CVE-2017-11882) to Install Cobalt Backdoor O… https://t.co/OLckKuqpUe"
,,,,,,"Karim Baratov, a 22-Year-Old Hacker, Pleaded Guilty in U.S. Court to Massive 2014 #Yahoo Data Breach that Affected… https://t.co/dwDxTQvdFO"
,,,,,,"*HUGE* Security flaw discovered in #Apple's macOS High Sierra. A simple hack allows anyone to gain Root (Admin) acc… https://t.co/hrfpDsu6zZ"
,,,,,,"ICYMI — A Massive Botnet Just Sent 12.5 Million Emails to Spreads Scarab Ransomware Malware https://t.co/QW1SvXSdNG https://t.co/rqW4bYxYr0"
,,,,,,"Learn Penetration Testing with Kali Linux 2 (3rd Edition) — Download Free ebook for a limited time… https://t.co/9oSoqEQh1V"
,,,,,,"Researchers find a new variant of Mirai IoT Botnet targeting ZyXEL internet-connected devices in Argentina.… https://t.co/iZc8dEavXV"
,,,,,,"RT @TheHackersNews: Simple (But Critical) Vulnerability Discovered in Facebook's New Image/GIF-Based Polling Feature Allowed Anyone to Dele…"
,,,,,,"Google researchers find 'Tizi' auto-rooting #Android spyware on targeted devices that spies on #WhatsApp, Viber, Sk… https://t.co/nY805E6jUZ"
,,,,,,"U.S. Charges Three Chinese Hackers for Hacking Siemens, Trimble and Moody
https://t.co/xkMawNaKES https://t.co/2uHlvnEZDu"
,,,,,,"RT @TheHackersNews: Gladius — Decentralized Global CDN &amp; DDoS Protection Using Blockchain https://t.co/hyDjpoQLG4 https://t.co/Zd5YTCN9zW"
,,,,,,"RT @TheHackersNews: Operation 'In Our Sites' (Project TransAtlantic VIII) — Feds Seize Over 20,500 Domain Names in the Biggest CrackDown on…"
,,,,,,"RT @TheHackersNews: Critical Vulnerabilities Found in 'Exim' Mail Transfer Agent (MTA) Application:

■ Remote Code Execution (CVE-2017-1694…"
,,,,,,"RT @TheHackersNews: Watch Out! World's Biggest Botnet, Necrus, Just Sent 12.5 Million Emails With Scarab Ransomware https://t.co/QW1SvXACW8…"
,,,,,,"Gladius — Decentralized Global CDN &amp; DDoS Protection Using Blockchain https://t.co/hyDjpoQLG4 https://t.co/Zd5YTCN9zW"
,,,,,,"RT @felixaime: Seems that someone compromised many websites of the Moldovan government today with coinhive ( https://t.co/PK4cdncPz3, https…"
,,,,,,"Operation 'In Our Sites' (Project TransAtlantic VIII) — Feds Seize Over 20,500 Domain Names in the Biggest CrackDow… https://t.co/cach6RGjsn"
,,,,,,"Simple (But Critical) Vulnerability Discovered in Facebook's New Image/GIF-Based Polling Feature Allowed Anyone to… https://t.co/BPIpTfkFTN"
,,,,,,"Watch Out! World's Biggest Botnet, Necrus, Just Sent 12.5 Million Emails With Scarab Ransomware… https://t.co/ggMq8gGAun"
,,,,,,"RT @LukasStefanko: Demonstration how Android multi-stage Malware spreads through Google Play and how you can remove it.
https://t.co/d7H4tu…"
,,,,,,"This https://t.co/zqIaKpGrm6"
,,,,,,"Critical Vulnerabilities Found in 'Exim' Mail Transfer Agent (MTA) Application:

■ Remote Code Execution (CVE-2017-… https://t.co/dzQiF7UdxQ"
,,,,,,"RT @SocEngineerInc: Bluetook Hack Affects 20 Million Amazon Echo and Google Home Devices  https://t.co/vek0olefXJ"
,,,,,,"RT @TheHackersNews: Imgur — Popular Image Sharing Website Was Hacked In 2014; Emails and Passwords of 1.7 Million Users Stolen
https://t.co…"
,,,,,,"Imgur — Popular Image Sharing Website Was Hacked In 2014; Emails and Passwords of 1.7 Million Users Stolen… https://t.co/FiQjCrvlVn"
,,,,,,"RT @fs0c131y: Hi @PayPal 👋! Can I ask you something?
I look at your Fraud tools for PayPal integrations on Android aka ""Data Collector"". Wh…"
,,,,,,"RT @TheHackersNews: Google Collects Android Location Data Even When Location Service Is Disabled—No option to opt out.
https://t.co/Kb2egdv…"
,,,,,,"RT @TheHackersNews: Another Microsoft Office Built-In Feature (Unpatched)  Could be Exploited to Create Self-Replicating Macro-based Malwar…"
,,,,,,"Here's the list of 1,239 popular websites using third-party “session replay” scripts to record your every keystroke… https://t.co/R39qsL1Maf"
,,,,,,"RT @TheHackersNews: Remotely Exploitable Code Execution Flaw (CVE-2017-2750) Discovered In Over 50 HP Enterprise Printers https://t.co/76be…"
,,,,,,"Newly discovered 'qkG ransomware' also exploits this self-replicating technique. When reported, Microsoft refused t… https://t.co/u7h3ee2V4R"
,,,,,,"Another Microsoft Office Built-In Feature (Unpatched)  Could be Exploited to Create Self-Replicating Macro-based Ma… https://t.co/dmGf8WrdeO"
,,,,,,"Remotely Exploitable Code Execution Flaw (CVE-2017-2750) Discovered In Over 50 HP Enterprise Printers… https://t.co/81dlcw91dV"
,,,,,,"RT @TheHackersNews: Watch Out! Over 400 World's Most Popular Websites Record Your Every Keystroke and Mouse Movement https://t.co/kkkOnJZVl…"
,,,,,,"RT @TheHackersNews: BankBot Returns On Google Play Store – A Never Ending Android Malware Story https://t.co/ehHkkGQ9Yf https://t.co/FmdwzT…"
,,,,,,"Kali Linux 2017.3 Released — Favorite operating system for hackers added new tools including InSpy, CherryTree, Sub… https://t.co/qjakbV0S0G"
,,,,,,"Watch Out! Over 400 World's Most Popular Websites Record Your Every Keystroke and Mouse Movement… https://t.co/BwfXuxWR8s"
,,,,,,"RT @fs0c131y: Xiaomi secret codes spotted in Xiaomi Mi 6 firmware:

*#*#64663#*#*
*#*#6484#*#*
*#*#995995#*#*
*#*#717717#*#*
*#*#2367#*#*
*…"
,,,,,,"Learn how @AlienVault USM Anywhere simplifies security visibility you need for effective threat detection and compl… https://t.co/RFQxj2t2Yw"
,,,,,,"After Getting Hacked Last Year, Uber Paid Hackers $100,000 In Ransom to Keep 57 Million Users Data Breach Secret… https://t.co/xeJ630fyJo"
,,,,,,"Intel has also released a detection tool to help Windows &amp; Linux admins to check if their systems are exposed to th… https://t.co/cJoijgfkzo"
,,,,,,"Google Collects Android Location Data Even When Location Service Is Disabled—No option to opt out.… https://t.co/lqtRste6kZ"
,,,,,,"Critical Flaws in Intel Processors Leave Millions of PCs, Servers and IoT Devices Vulnerable (Patches Now Available… https://t.co/QxerSZ21PB"
,,,,,,"Tether Hacked — Attacker Steals $31 Million of Digital Tokens; Bitcoin &amp; Ethereum Price Dropped!… https://t.co/Tng8Fb3qIC"
