NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
TorchML,4205,87,,4088,3077,"Torch just released a recurrent neural networks library. The package is fast, flexible and supports CUDA. https://t.co/TAWJMLa6TJ"
,,,,,,"@Xit16 @TwitterOSS Lol. But GBDT stands for Gradient boosted decision trees. Ran out of characters :)"
,,,,,,"RT @TwitterOSS: Today we are open-sourcing torch-decisiontree, providing fast GBDT and random forests for feature discretization. https://t…"
,,,,,,"@AmartyaSanyal @strife076 @pavan_ky Nobody forgets their first time!"
,,,,,,"RT @syhw: TorchCraft v1.3-0 is here https://t.co/obo8ZiPekk C++, Python, Lua clients, for StarCraft control and state serialization. Thanks…"
,,,,,,"Torch implementation of SampleRNN: An Unconditional End-to-End Neural Audio Generation Model https://t.co/WFPtN9KGzJ"
,,,,,,"Implementation of Wasserstein GAN in Torch
https://t.co/9PxHSSkWC6"
,,,,,,"Pretrained SkipThoughts models (word2vec, seq2seq, seq2vec) for Torch
https://t.co/EoKLxGvKaC"
,,,,,,"After months of work, PyTorch is ready for beta. 
PyTorch is a deep learning framework hat puts Python first.
https://t.co/06i49E2q5B"
,,,,,,"RT @NVIDIADC: Reduce neural network training from days to hours with #Torch on #GPUS. Get started today: https://t.co/jYzuhcrZyc https://t.…"
,,,,,,"RT @harvardnlp: Optimized for easy machine translation use, but also provides a full library. We use it for im2text as well https://t.co/Pk…"
,,,,,,"RT @harvardnlp: Excited to introduce OpenNMT (https://t.co/gouHVyUsDS), an open-source neural machine translation developed for industrial…"
,,,,,,"RT @KaiLashArul: Thanks to awesome work by @Sean_Naren, rlenvs now gives you pure @TorchML RL environments with the @OpenAI Gym API: https:…"
,,,,,,"RT @DocXavi: Big applause to @NandoDF for thanking all these anonymous developers to open source frameworks like @TorchML @tensorflow #thea…"
,,,,,,"RT @strife076: @TorchML code for Character-Aware Neural Language Models (AAAI 2016).
https://t.co/jENsHgqdzV https://t.co/7bc3w0rsKE"
,,,,,,".@AlfredoCanziani, author of Torch tutorial videos 
https://t.co/b8sVrAMa5Q https://t.co/i9vDYCB6X9"
,,,,,,"RT @strife076: @TorchML Just found this recently old Torch implementation of DRAW: A Recurrent Neural Network For Image Generation
https://…"
,,,,,,"RT @ilija139: @strife076 @abursuc @TorchML yes, it's not an issue. Here is a gist for reading the 5.3GB glove word embeddings  https://t.co…"
,,,,,,"RT @strife076: @TorchML RNN benchmarks.
https://t.co/vpoOd02x8z"
