NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
WiMLworkshop,3862,1231,"Women in Machine Learning organization. Maintains a list of women in ML. Profiles the research of women in ML. Annual workshop and other events.",1763,1854,"Registration starts on Sunday, Dec 3rd from 12pm - 2pm at the convention center. If you come in from the Pine Stree… https://t.co/aLhIE2iar3"
,,,,,,"We are so excited to have @jennwvaughan, WiML co-founder to give opening remarks on Monday and @RaiaHadsell to give… https://t.co/rXahaUeIh6"
,,,,,,"We have amazing mentors on our research and career roundtables! Check them here: https://t.co/zvih7MpBgC
Thanks to… https://t.co/p8SuwqW98A"
,,,,,,"@WiMLworkshop starts in 1 week!!!!! We have an amazing line up of speakers, contributed talks and mentors with the… https://t.co/T5Mf7YDVDm"
,,,,,,"RT @DaniCMBelg: 280 characters are insufficient to express how excited we are that @WiMLworkshop !starts in 1 week!!!!! We have an amazing…"
,,,,,,"We are looking for more volunteers for the @WiMLworkshop!
Please apply here: https://t.co/NnIqClfQcV
#nips2017… https://t.co/MkABKGDZYd"
,,,,,,"Do you want to help WiML by volunteering during the workshop?
Please apply here:
https://t.co/KMB3Ex5lWe
#nips2017… https://t.co/27u5a1aSAz"
,,,,,,"We opened up more spots for the WiML workshop! 
https://t.co/2cBLvtV8zr 
#nips2017 @RaiaHadsell @negar_rz @DaniCMBelg"
,,,,,,"Registration is live for WiML Workshop 2017!
https://t.co/2cBLvtV8zr
@DaniCMBelg @negar_rz #nips2017"
,,,,,,"Looking forward to the Black In AI workshop at #NIPS2017. Cool to see others following the #WiMLworkshop model!… https://t.co/2p43RGxyax"
,,,,,,"We are so excited and honored to have Tamara Broderick, Joelle Pineau, Hanna Wallach and Nina Mishra as invited spe… https://t.co/2dsziPhCO5"
,,,,,,"To find a roommate for @NipsConference (#nips2017 ) or #wiml2017 you can use this spreadsheet: https://t.co/d8seo46v7D @negar_rz @DaniCMBelg"
,,,,,,"Less than 10 hours to the deadline for a 1-page abstract! #nips2017 @negar_rz @DaniCMBelg @WiCVworkshop @WiNLPWorkshop @wimlds #icml2017"
,,,,,,"You still have time to submit your abstract and having the chance of getting travel grant and present your work! #NIPS2017 #icml2017"
,,,,,,"Today 23:59 PST is the deadline for @WiMLworkshop  abstract submission!
https://t.co/agynI8bV6z"
,,,,,,"RT @negar_rz: #nips2017 registration is selling out fast and is expected to sell out before @WiMLworkshop notification of acceptance! Pleas…"
,,,,,,"@DeepIndaba @DaniCMBelg @negar_rz Please also consider registering to the #NIPS2017 asap as the registration is sel… https://t.co/UvoZwi6hly"
,,,,,,"WiML abstract submission deadline is tomorrow! Travel grants will be given to the authors of the accepted abstracts!  #NIPS2017 #NIPS #ICML"
,,,,,,"#NIPS2017 registration is selling out before @WiMLworkshop notification of acceptance! Please register asap! @DaniCMBelg @negar_rz!"
,,,,,,"RT @DeepIndaba: .@WiMLworkshop deadline closes tmrrw. Women at #DLIndaba17 submit an abstract; funding available. https://t.co/yos70xd7MV A…"
,,,,,,"Less than 3 days to the @WiMLworkshop abstract submission deadline! #nips2017 @negar_rz @DaniCMBelg @WiCVworkshop @wimlds @WiNLPWorkshop !"
,,,,,,"RT @negar_rz: If you haven't yet submitted your @WiMLworkshop abstract, you still have time! We extended the deadline to Sep 12! https://t.…"
,,,,,,"The deadline for @WiMLworkshop abstract submission is extended for 4 days! 
The new deadline is on September 12th!
https://t.co/agynI8bV6z"
,,,,,,"Today is the last day for submitting to the WiML workshop! @negar_rz @DaniCMBelg #NIPS @WiCVworkshop @wimlds @WiNLPWorkshop @WomenTechmakers"
,,,,,,"Tomorrow is the deadline for the @WiMLworkshop abstract submission!
https://t.co/agynI8bV6z"
,,,,,,"RT @negar_rz: Tomorrow is the deadline for the @WiMLworkshop abstract submission!
https://t.co/Lg4owgHQVe  #NIPS @WomenTechmakers @wimlds @…"
,,,,,,"RT @DaniCMBelg: WiML abstract deadline closes tomorrow at 11:59 PST. Looking forward to a great @WiMLworkshop 
this year!
https://t.co/rriV…"
,,,,,,"@WiMLworkshop sponsorship for WiML workshop at NIPS is still open! Please contact us ""wimlworkshop[at]gmail`{`dot`}`com"" for the details!"
,,,,,,"RT @negar_rz: @sla @jackclarkSF @WiMLworkshop sponsorship is still open! It will also get close soon. Please contact us ""wimlworkshop[at]gm…"
,,,,,,"Just 2 days to the deadline! Please make sure your abstract is not exceeding 1 page: 
https://t.co/agynI8bV6z #nips2017"
,,,,,,"RT @negar_rz: 3 days to @WiMLworkshop (Women in Machine Learning workshop) abstract deadline!  https://t.co/Lg4owgHQVe #nips2017 #nips #icm…"
,,,,,,"Just 4 days to @WiMLworkshop (Women in Machine Learning workshop) abstract deadline! 
https://t.co/agynI8bV6z  #nips2017 #nips"
,,,,,,"RT @negar_rz: Just 4 days to @WiMLworkshop (Women in Machine Learning workshop) abstract deadline! 
https://t.co/Lg4owgHQVe #nips2017 #nips"
,,,,,,"Only 1 week until abstracts are due for WiML Workshop 2017! Partial scholarship $ will be provided! #nips2017 #NIPS https://t.co/agynI8bV6z"
,,,,,,"RT @negar_rz: We have just 9 days to the #wiml2017 abstract submission deadline! More information about the workshop:
https://t.co/Lg4owgHQ…"
,,,,,,"RT @DaniCMBelg: 9 days left to @WiMLworkshop abstract submission deadline https://t.co/L3JIxnczLM"
,,,,,,"The deadline for #WiML2017 Abstract submission in on September 8!
https://t.co/dKbGkeLOVb #NIPS #NIP17"
,,,,,,"RT @negar_rz: @WiMLworkshop Partial travel grant will be provided for female PhD students and Postdoctoral attendees! #NIPS #ICML #NIPS17"
,,,,,,"Only 2 weeks left until abstracts are due for WiML abstract submission! #NIPS2017 #ICML
https://t.co/agynI8bV6z"
,,,,,,"Just 16 days left until abstracts are due for WiML Workshop 2017! (Due date: September 8)
https://t.co/agynI8bV6z"
,,,,,,"Huge congrats to WiML-ers Suchi Saria and Olga Rusokovsky for winning MIT TR35 awards!! #TR35 https://t.co/wMAsnGozEM"
,,,,,,"Abstract submission is now open!
12th @WiMLworkshop
Co-located with NIPS 2017, 
December 4 and 7, 2017
https://t.co/cC4Mbu5Irh"
,,,,,,"Packed your bags for ICML Sydney? Join WiML at a free lunch while you're there! Details/Register here: https://t.co/kN7XddcHOR #ICML2017"
,,,,,,"We still have tickets left, if you're coming to Sydney sign up to join us for a great WiML lunch at #icml2017!… https://t.co/98eGjmykfF"
,,,,,,"Going to #icml2017? Join us at the Westin for a research and networking luncheon. Limited tickets; register soon: https://t.co/kN7XddcHOR"
,,,,,,"WiML's Directory of Women in ML has reached a milestone - 1000 listings! https://t.co/xvBhL86j3H #machinelearning… https://t.co/GoJoL1ySNC"
,,,,,,"Meet These Incredible Women Advancing A.I. Research via @forbes https://t.co/eEoxc0zsR2"
,,,,,,"Great article! ""For over ten years, the Women in Machine Learning Workshop has helped bridge the gap and encourage… https://t.co/M9VPOt6jgl"
,,,,,,"Please congratulate Danielle Belgrave, Genna Gliner, Maja Rudolph, Ehi Nosakhare, and Negar Rz, the organizers for WiML 2017 in Long Beach!"
,,,,,,"RT @citizen_endo: Our PI @noemieelhadad profiled by women in machine learning #datascience #stem https://t.co/jfB0mSrttF"
,,,,,,"RT @noemieelhadad: that's me! proud #scientist https://t.co/zfOcLqij4s"
,,,,,,"Women in ML - if you work in robotics, join the directory! https://t.co/ACN8ISgPGm"
,,,,,,"We profile Noémie Elhadad @noemieelhadad, an Associate Professor @ColumbiaPS and affiliated with @DSI_Columbia… https://t.co/VYuiTUzDTO"
,,,,,,"RT @noemieelhadad: Thank you @WiMLworkshop! https://t.co/Dfm37f3Qok"
,,,,,,"RT @iamamychen: Also at the intersection of entrepreneurship and digital health! @DSI_Columbia https://t.co/tL5iiRIycr https://t.co/4DdqrBT…"
