NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
_onionesque,1913,5620,"Philomath. I do research in Machine Learning. Usually tweet about interests in ML, AI and cognate areas, also like Combinatorics, Spectra of Graphs, Randomness.",5509,678,"@yoavgo @yahave This looks amazing!"
,,,,,,"RT @yoavgo: We have a cool new algorithm for extracting automata from RNNs (LSTMs, GRUs..)

Turns out that for many simple languages, RNNs…"
,,,,,,"@pbloemesquire @fchollet I would have preferred it too. The funny thing is that I had known about Good for a while,… https://t.co/UNE5z2eIdq"
,,,,,,"@fchollet Random aside: Ref I. J. Good -- For a while I didn't realize that the Good in the Good-Turing estimator w… https://t.co/YxKl9QZrQR"
,,,,,,"@stochastician Tensorbros. Hahaha!"
,,,,,,"RT @gabrielpeyre: Tarski–Seidenberg theorem: semi-algebraicity is stable by projection. The most fundamental result in semi-algebraic geome…"
,,,,,,"RT @TerryUm_ML: A new RL textbook from Sutton and Barto (445 pages)
https://t.co/MWqxh6pATA https://t.co/RiFxxz74ND"
,,,,,,"RT @thomaskipf: Graph neural nets make their way into computer vision: https://t.co/0BtV8n5qq1 - learn interaction graph (data-dependent) a…"
,,,,,,"RT @shakir_za: Sunday classic paper: Ullman (1984) on Visual Routines. One of the foundations of thinking in compositional and relational l…"
,,,,,,"@crude2refined That is by Sappho! :)"
,,,,,,"PS: I haven't heard anyone talk about PID controllers and Bode plots since undergrad control theory. :)"
,,,,,,"Very cool talk by Ben Recht on ""the statistical foundations of learning to control"" https://t.co/9PBc4GwgS0"
,,,,,,"CTC: Training Latent Discrete Sequential Decisions without RL
https://t.co/Z8cLm846pT"
,,,,,,"@ainvvy Sharper version (to me)  ""When pygmies cast such long shadows, it must be very late in the day"" (Gian-Carlo… https://t.co/PLi2Xpox30"
,,,,,,"RT @SuryaGanguli: Our new paper! Learning asymmetric recurrent neural networks thru variational inference https://t.co/jmDUmpg9SY w/Yoshua…"
,,,,,,"RT @hardmaru: Evolutionary Architecture Search, from DeepMind. They represent architectures as genotypes and used GA/random search https://…"
,,,,,,"RT @roydanroy: Wow, cool. Preliminary results on implicit bias of SGD beyond linear case.  https://t.co/AbLRDfNVdj"
