NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
aam_at,64,159,,34489,19,"Posit number system for exascale computing - https://t.co/Id5xXhxX2H"
,,,,,,"Really nice calendar for emacs and org-mode - https://t.co/eS9Px0QGmr"
,,,,,,"After switching to 2 spaces intend in python, it is really hard to read old codes. 4 spaces is such a waste"
,,,,,,"RT @CompSciFact: C++ templates are Turing-complete https://t.co/VJ4OKp4Evp"
,,,,,,"@melpa_emacs guys are you down?"
,,,,,,"Employment is a tough for me and all other future PhD graduates - https://t.co/QNNNvCUcpz"
,,,,,,"RT @hugo_larochelle: My notes on Density estimation using Real NVP (@laurent_dinh et al.): https://t.co/DgUkSssVLi 
A really original deep…"
,,,,,,"RT @AcademicsSay: Academic minions. via @stephaniehicks https://t.co/5ureX4IFXx"
,,,,,,"RT @alaindebotton: Seneca: 'What need is there to weep over parts of life? The whole of it calls for tears.'"
,,,,,,"I switched ubuntu X wm to stumpwm https://t.co/ADuX9GP5J8 I guess then next step could be only remove X server and just run bare emacs as X"
,,,,,,"RT @AcademicsSay: via @atrox_at https://t.co/FnhAqAsEQb"
,,,,,,"Auctex, LanguageTool and Textlint working together makes emacs best tool for writing. Checkout my #spacemacs layer - https://t.co/4Iklg2JY73"
,,,,,,"Writing style improvement tool with vim and emacs plugins - https://t.co/b1yQucu4D5 Really awesome for anyone doing writing"
,,,,,,"RT @AcademicsSay: Academic motivation explained:
6. Free coffee
5. Free food
4. Free liquor
3. Free wifi
2. Deadlines
1. Extended deadlines"
,,,,,,"RT @fchollet: The state of deep learning frameworks: March 2016. https://t.co/awrollWEq9"
,,,,,,"Replace go with any other human activity and you'll see not the apocalyptic rise of AI but the beautiful time for us to live."
,,,,,,"Optimistic and delightful view from Michael Redmond: it's not the end of the game but go players can learn new moves from #AlphaGo."
,,,,,,"RT @simptutorials: You really should try @spacemacs https://t.co/KuLHDBJvUk #programming #vim #emacs https://t.co/8ggxUw9MFI"
,,,,,,"As a vim user, I am finding using emacs shorcuts in insert mode with EVIL so neat. This hybrid mode is already supported in #spacemacs."
,,,,,,"Speeds up Jacobian computation on GPU for Theano. For big models (VGG) scan though is still necessary for chunking - https://t.co/2xZurAKbll"
,,,,,,"If you miss your emacs keyboard shortcuts in browser, you can edit text areas as emacs buffer with this extension - https://t.co/4DrPd7AZ4I"
,,,,,,"Great unix-style cli tool for managing passwords (clipboard support and automatic git for version history) - https://t.co/SLbKyZvKft"
,,,,,,"RT @AlgebraFact: Self-adjoint: T* = T
Normal: TT* = T*T
Unitary: T*T = I"
,,,,,,"RT @AlgebraFact: Are topology and category theory the next areas of pure math to find widespread application? https://t.co/VeDhQBdxyJ https…"
