NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
alfranken,560878,284,"Al Franken, United States Senator from Minnesota",99455,335780,"Today we honor those who have defended our country. On #VeteransDay—and everyday—I'm fighting to keep our promises… https://t.co/Ki6FHHBSnK"
,,,,,,"Congratulations @jeremiah4north, who was elected to Minneapolis City Council. Jeremiah's progressive vision will mo… https://t.co/asDFnPSiaz"
,,,,,,"Congratulations @melvincarter3, who made history yesterday in becoming the first African American mayor of Saint Pa… https://t.co/gOvYXy8qqs"
,,,,,,"Congrats to @RalphNortham. I am so glad that he will be able to work on behalf of Virginians and continue to fight… https://t.co/DPt0bUF6Xo"
,,,,,,".@RalphNortham is dedicated to making people's lives better in Virginia and will help guide our country in the righ… https://t.co/3FQNyGo4xW"
,,,,,,"I hope that tomorrow you will exercise your right to vote in the elections. Find a polling station near you:… https://t.co/ZKj529voT4"
,,,,,,"I hope you’ll join me in getting out the vote. Get registered &amp; find out where you can cast your ballot early: https://t.co/cr6IQNoDT1"
,,,,,,"Voting before election day means that you can vote when it's convenient and avoid waiting in lines."
,,,,,,"This weekend, I joined thousands of Minnesotans to vote early in the upcoming November election.… https://t.co/19OU6TTbUp"
,,,,,,"Exercising the right to vote is one of our most important civic duties as Americans."
,,,,,,"If we want to keep #netneutrality protections in place, we need to act now. Join me and make your voice heard: https://t.co/J8tUC2Wfwv"
,,,,,,"Well, turns out we're not done yet. And we can't get discouraged. If we back down, even for a little while, #netneutrality could be gone."
,,,,,,"You may think: ""Haven't we been here before?"" When Obama Admin institutionalized #netneutrality protections, we thought this fight was won."
,,,,,,"And Pai is getting ready to break out weed whacker in dead of winter. Reports say FCC ""likely to vote on [net neutrality] later this year."""
,,,,,,"Ajit Pai, Trump's FCC Chair, was confirmed for another term. This is man who said he wanted to take ""weed whacker"" to #netneutrality rules."
,,,,,,"@WindOnTheWires l'll keep fighting to deploy more renewable energy, like wind power, while maintaining grid reliabi… https://t.co/XcbqDazxWr"
,,,,,,"@WindOnTheWires Last year, wind energy generated nearly 20 percent of our state's electricity and Minnesota wind po… https://t.co/9rUIQFL5Dh"
,,,,,,"@WindOnTheWires I believe renewable energy, like wind power, is critical to reduce carbon emissions, create jobs &amp;… https://t.co/I1jZb8c2Ep"
,,,,,,"Last night I spoke at an event hosted by @WindOnTheWires, a group working to transition our economy to cleaner, mor… https://t.co/8JbAkCtcHl"
,,,,,,"As long as we’ve been together, Franni has been my inspiration. Her birthday is today. I hope you'll help celebrate. https://t.co/kTtHUJk1ep"
,,,,,,"Franni &amp; I just celebrated our 42nd wedding anniversary. Here's how we met: https://t.co/d9IYQtCZkG"
,,,,,,"@HRC I will keep fighting for policies that say clearly that LGBT students deserve to be treated with dignity and respect."
,,,,,,"@HRC 1 issue I talked about @ dinner was securing equality in schools. LGBT students deserve to learn in an environ… https://t.co/W8NWoKqY5E"
