NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
berkeley_ai,2300,0,"We're graduate students, postdocs, faculty and scientists at the cutting edge of artificial intelligence research. (Photo credit: Tony Webster.)",806,1106,"New BAIR blog post! ""Model-based Reinforcement Learning with Neural Network Dynamics"" by Anusha Nagabandi &amp; Gregory… https://t.co/7PZtPrqJQO"
,,,,,,"RT @junyanz89: For those who missed the horse2zebra live demo at ICCV tutorial on GANs, here is the video: https://t.co/JVV8uI0wP9  @philli…"
,,,,,,"Institute of Transportation Studies (ITS) Berkeley awarded BAIR faculty member Trevor Darrell the ITS Faculty of th… https://t.co/Mgv8ijK8rG"
,,,,,,"RT @pabbeel: My slides from last week's Bay Area Robotics Symposium! :)
https://t.co/SNvzx6jGe7"
,,,,,,"RT @pabbeel: Nice article by @cliffkuang in @nytimes on explainable AI, with some great quotes from Trevor Darrell (@ucberkeley, @berkeley_…"
,,,,,,"RT @etzioni: Fascinating overview of Systems Challenges for AI--from @berkeley_ai luminaries including Ion Stoica @ken_goldberg @dawnsongtw…"
,,,,,,"12:18PM today @ #CoRL2017: Emergent Behaviors in Mixed-Autonomy Traffic (@wucathy, Aboudy Kreidieh, Eugene Vinitsky… https://t.co/qSr9GJ2AOV"
,,,,,,"12PM today @ #CoRL2017: The Feeling of Success: Does Touch Sensing Help Predict Grasp Outcomes? (Roberto Calandra,… https://t.co/xjDrlQoCWr"
,,,,,,"@chelseabfinn Livestream @ https://t.co/xW40vKlVFN"
,,,,,,"Now @ #CoRL2017: Frederik on Self-Supervised Visual Planning with Temporal Skip Connections (Frederik Ebert,… https://t.co/8j3UbO0uMg"
,,,,,,"Tune in tomorrow for a keynote by BAIR faculty member Anca Dragan at 9AM PST! #CoRL2017 https://t.co/xW40vKlVFN"
,,,,,,"(8/8) Reverse Curriculum Generation for Reinforcement Learning (Carlos Florensa, David Held, @markus_with_k, Michae… https://t.co/JDi2C3o8CR"
,,,,,,"(7/8) Mutual Alignment Transfer Learning (@markus_with_k, Ingmar Posner, @pabbeel) https://t.co/amWe3tHMK2"
,,,,,,"(6/8) Gradient-free Policy Architecture Search and Adaptation (@SaynaEbrahimi, Anna Rohrbach, Trevor Darrell) https://t.co/HLOeMesZn9"
,,,,,,"(5/8) DDCO: Discovery of Deep Continuous Options for Robot Learning from Demonstrations (Sanjay Krishnan, Roy Fox,… https://t.co/n0IMPYMQeA"
,,,,,,"(4/8) DART: Noise Injection for Robust Imitation Learning (Michael Laskey, Jonathan Lee, Roy Fox, Anca Dragan,… https://t.co/laaPV0iMAV"
,,,,,,"(3/8) Learning Robot Objectives from Physical Human Interaction (Andrea Bajcsy, Dylan P. Losey, Marcia K. O'Malley,… https://t.co/lrQmoT4O2D"
,,,,,,"(2/8) Learning Deep Policies for Robot Bin Picking by Simulating Robust Grasping Sequences (Jeffrey Mahler,… https://t.co/uUi6uJPbxp"
,,,,,,"Check out: (1/8) One-Shot Visual Imitation Learning via Meta-Learning
(@chelseabfinn, Tianhe Yu, Tianhao Zhang,… https://t.co/kgB1tYR9iX"
,,,,,,"Hope you enjoyed talks w/ Berkeley collaborators yesterday and today, amongst all the other great work, at… https://t.co/eQSaPEKC0K"
,,,,,,"RT @pabbeel: Newscast from a (undesirable) future:
https://t.co/U10FHQpdWj
A wake-up call produced by @UCB_EECS @berkeley_ai 's Prof. Stuar…"
,,,,,,"RT @thisismyhat: I wrote a thing about a thing I wrote! https://t.co/f642kyRjkF"
,,,,,,"Faculty &amp; students won 4 prizes at ICCV17: Everingham to Caffe team &amp; Helmholtz for 3 ICCV05 papers w/ BAIR collabs! https://t.co/YcPMTYi0Tx"
,,,,,,"Blog post: ""DART: Noise Injection for Robust Imitation Learning"" from Laskey, Lee and @ken_goldberg https://t.co/fCyNGPYkfV"
,,,,,,"blog post by Sanjay Krishnan: Learning Long Duration Sequential Task Structure From Demonstrations https://t.co/knpnajurL8"
,,,,,,"Blog post:""Learning Diverse Skills via Maximum Entropy Deep Reinforcement Learning"" by Haoran Tang &amp; Tuomas Haarnoja https://t.co/nDjTQ5fdCB"
,,,,,,"Great coverage of Deep RL &amp; learning to learn at BAIR! Featuring Coline Devin, @chelseabfinn, Marvin Zhang, @pabbeel https://t.co/P9DJkIrqAN"
,,,,,,"RT @NvidiaAI: Since we're at #BAIR #AI Day, today's #IamAI story comes from @Berkeley_AI researcher Chelsea Finn: https://t.co/mSeEvSwWky @…"
,,,,,,"BAIR researchers on how curiosity can help reinforcement learning agents explore &amp; learn:
https://t.co/VAJHnHgClT"
,,,,,,"RT @Miles_Brundage: Nice interview with the great @SmithaMilli on AI safety: https://t.co/s74EXcMiiv"
,,,,,,"New blog post by Ke Li (more meta-learning!): ""Learning to Optimize with Reinforcement Learning"" https://t.co/cpQAv1O0yZ"
,,,,,,"New blog post: ""learning 
a multi-view stereo machine"" by Abhishek Kar https://t.co/KpLm4hfDy8"
,,,,,,"New blog post by Chi Jin: ""How to Escape Saddle Points Efficiently"" https://t.co/clgbitN0Ak"
,,,,,,"RT @pabbeel: Vlad Minh at DeepRLBootcamp: Everything in Deep RL is still exciting. Nothing is solved. @VladMnih https://t.co/3W73XOXeXm"
,,,,,,"RT @lishali88: Deep Reinforcement Learning Bootcamp has started! @pabbeel Rocky Duan, Peter Chen @karpathy https://t.co/kMs4Kf5IZd"
,,,,,,"3/3 At 4:30 in Plenary 2 @SmithaMilli on “Should Robots be Obedient?” https://t.co/baYJ27ohJN #ijcai17"
,,,,,,"2/3 Aijun Bai on “Efficient Reinforcement Learning with Hierarchies of Machines by Leveraging Internal Transitions” https://t.co/8sKRIYRagD"
,,,,,,"1/3 Berkeley talks at #ijcai17 today!"
,,,,,,"New blog post: ""High Quality 3D Object Reconstruction from a Single Color Image"" by Christian Häne https://t.co/seyhm7usni"
,,,,,,"@IJCAI_2017 @dhadfieldmenell At 2pm Marti Hearst will be giving her invited talk on AI + education: “As We Train th… https://t.co/AzUVRrM2z4"
,,,,,,"@IJCAI_2017 At 10:30am @dhadfieldmenell spoke about how to provably guarantee that we can turn off an AI system in… https://t.co/3ECnRimJKT"
,,,,,,"@IJCAI_2017 Stuart Russell had the opening keynote on “provably beneficial AI” this morning #ijcai17"
,,,,,,"Lots of talks from Berkeley professors and students at @IJCAI_2017 today!"
,,,,,,"RT @ivan_bezdomny: ""Curiosity is a failure to predict (the future)"" -- professor Alexei Efros (@berkeley_ai)"
,,,,,,"RT @lyeskhalil: Evaluation metrics for XAI: Explainable AI, by Trevor Darrell of @berkeley_ai at #IJCAI2017 https://t.co/YEw9dSEtzo"
,,,,,,"More on AI safety: new blog post on ""Cooperatively Learning Human Values"" from @dhadfieldmenell https://t.co/9guCdVohoa"
,,,,,,"NYT story on AI safety research from Berkeleyans @dhadfieldmenell, Paul Christiano, colleagues at @OpenAI &amp; Stanford https://t.co/fDyDpvWVHa"
,,,,,,"Today: Workshop on Reliable Machine Learning in the Wild by @SmithaMilli, Dylan Hadfield-Menell &amp; others https://t.co/QPX8YQSNow"
,,,,,,"RT @SmithaMilli: Updated schedule for Reliable ML workshop tomorrow is up! Lots of exciting talks https://t.co/OhDQlvUzS6 #rmlw17 #icml17"
,,,,,,"Check out ""Implicit Generative Models"" &amp; ""Lifelong Learning: A Reinforcement Learning Approach"" workshops for Berkeley work today! #icml2017"
,,,,,,"2/ How to Escape Saddle Points Efficiently by Jin et al. in CtsOpt7
https://t.co/G3jeKdyTnp"
,,,,,,"1/ Combining Model-Based and Model-Free Updates for Trajectory-Centric Reinforcement Learning by Chebotar et al. https://t.co/V1dDD2Q455"
,,,,,,"Two talks at #icml2017 from Berkeley today!"
,,,,,,"new blog post: Captioning Novel Objects in Images by Subha Venugopalan &amp; Lisa Anne Hendricks https://t.co/S80zNDrMQe"
,,,,,,"8/ Deep Transfer Learning with Joint Adaptation Networks by Long et al. in DL3: Meta-learning https://t.co/MCCyGHzExJ"
,,,,,,"7/ Prediction and Control with Temporal Segment Models by Mishra et al.
in RL2 https://t.co/2ncDUHOC3v"
,,,,,,"(oops it's 8!) 6/ Breaking Locality Accelerates Block Gauss-Seidel by Tu et al. in Cts Opt 2 https://t.co/kwIaMy3YDE"
,,,,,,"paper is https://t.co/7R2xQfXKYA"
,,,,,,"Model-Agnostic Meta Learning by Finn et al in DL 3 https://t.co/RzDSBk3Ow1"
,,,,,,"4/ Modular Multitask RL with Policy Sketches by Andreas et al in RL 4 (best paper honorable mention)"
,,,,,,"(sense a theme?) 3/ Curiosity-Driven Exploration by Pathak et al in RL 3 https://t.co/QgZ4Lvs7Et"
,,,,,,"(oops it's 5) 2/ RL with Deep Energy-Based Policies by Haarnoja et al in RL 2 https://t.co/bVXhytAQ7i"
,,,,,,"4 ICML talks from Berkeley today: 1/ Constrained Policy Optimization by Achiam et al in RL 2 https://t.co/t8N5GEP10h"
,,,,,,"Sergey Levine &amp; Chelsea Finn will give a tutorial on ""Deep Reinforcement Learning, Decision Making, and Control"" in Session B at 1PM today!"
,,,,,,"Hello from Sydney! #icml2017"
,,,,,,"New blog post: Minibatch Metropolis-Hastings from Daniel Seita https://t.co/MEIB9DesP4"
,,,,,,"Paper at https://t.co/fhONYOJKYe."
,,,,,,"Congratulations to Maxim Rabinovich &amp; Mitchell Stern for their ACL outstanding paper on Abstract Syntax Networks! Talk today at 11:15."
,,,,,,"Daniel Fried will be presenting ""Improving neural parsing by disentangling model combination and reranking effects""(https://t.co/OhioIqpsLo)"
,,,,,,"Today at ACL: Mitchell Stern will be presenting ""A Minimal Span-Based Constituency Parser"" (https://t.co/ldH4vgQJgc)"
,,,,,,"Today at ACL: Jacob Andreas will present ""Translating Neuralese"" (https://t.co/kxJBoR24cj) in the ""Vision 1"" session after lunch."
,,,,,,"RT @rivatez: congrats to @berkeley_ai for finishing their first day of #ai4all camp, was so cool! wish I wasn't so old and could be an atte…"
,,,,,,"RT @jackclarkSF: Awesome afternoon at #ai4all at @berkeley_ai telling high schoolers about importance of AI policy. They can and will build…"
,,,,,,"Hello from @acl2017!"
,,,,,,"RT @SmithaMilli: @jacobandreas and Alyosha Efros teaching high schoolers about NLP/computer vision at @berkeley_ai @ai4allorg camp! https:/…"
,,,,,,"Last CogSci talk: ""Empirical tests of large-scale collaborative recall"" w/ Monica Gates--collaborative memory w/ new crowdsourcing platform!"
,,,,,,"On the last day of #CogSci2017: 4 talks &amp; 3 posters with @eringrant914, @aidanematzadeh, @joshuacpeterson, @jhamrick and others"
,,,,,,"On 7/28 &amp; 7/29: 4 talks and 4 posters! Collaborators include @jhamrick, @joshuacpeterson, @aidanematzadeh, @norijacoby"
,,,,,,"First off: @joshuacpeterson on deep learning to study cognition and @jhamrick on metacontrol @ DeepCogSci workshop https://t.co/iPgUcEbQEa"
,,,,,,"@berkeley_ai's first opportunity to tweet about BAIR's presence at a conference is CogSci 2017 in London! #CogSci2017"
,,,,,,"Greetings from the People's Republic of Berkeley! This account will share the latest news &amp; papers from the Berkeley AI Research Lab."
