NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
biz,3018923,4536,"Dad, husband, and entrepreneur. Co-founder of Twitter, Medium, and Jelly. Back at Twitter full-time.",814580,24057,"@JeremyShure I’m tentatively trimming it myself but much prefer the barber shop!"
,,,,,,"Way to go team! https://t.co/3Y2DGXvxW1"
,,,,,,"My wife had to endure a bite, but she can’t help putting festive attire on Maggie each year. https://t.co/4j9kBoM5xP"
,,,,,,"@maralkalajian @TechBeachRTRT @jack Thanks for reading my book and spreading positivity!"
,,,,,,"@Hopenlesmyth Product (RED) partnered with https://t.co/AemaDGibxc and Apple and Twitter to save lives. #red"
,,,,,,"You are such an inspiration @RoyaMahboob. Congratulations! https://t.co/EQz35syanD"
,,,,,,"RT @maralkalajian: @TechBeachRTRT @jack That’s in @biz ‘s book too. How they decided the number. The little blue bird. A must read! I just…"
,,,,,,"@TxtterApp I need to hit the gym a bit more if I’m going to be Bruce Wayne."
,,,,,,"RT @mgsiegler: Love this listening experience on @Medium app to crank through articles on long walks. 🗣🎧 https://t.co/ZUhr9dZo80"
,,,,,,"@anildash https://t.co/qxRhymtWzi"
,,,,,,"Today is World AIDS Day. Buy your friends and family holiday gifts at https://t.co/AemaDGibxc and SAVE LIVES. As Bo… https://t.co/EeSBco0jrD"
,,,,,,"RT @b_anandana: Massive congrats! https://t.co/rW19oX4Irn"
,,,,,,"You'll never look at an outside wall the same way again. Check out https://t.co/tlhWwYSepZ. My mentor, @stevesteve… https://t.co/8knfvJf0kz"
,,,,,,"I’ve been telling my boy this for years! It’s true and super cool. (He just turned 6.) https://t.co/S7n2kpDaDH"
,,,,,,"Timing, perseverance, and ten years of trying will eventually make you look like an overnight success."
,,,,,,"So proud of @BeyondMeat. What a rocket ship ride this is. Also, delicious! https://t.co/kERJXOoquK"
,,,,,,"RT @DiscoverAndKnow: This is what fighting a fire from the sky looks like. https://t.co/tXLxxvyB08"
,,,,,,"RT @Chrysi: Thank you @biz @jack @Twitter for the #red love.....figuratively &amp; literally. Thank you for all you do to help @RED fight #AIDS…"
,,,,,,"Goodnight Mars https://t.co/M2golE3CFX"
,,,,,,"As an @RED Ambassador, I'm proud to say you can shop (RED) and SAVE LIVES at Amazon this season… https://t.co/1wOnsXbOuV"
,,,,,,"@GerberKawasaki Stayed on the board of https://t.co/pjrEbEGTBJ and sold Jelly to Pinterest. Pinterest is an awesome… https://t.co/wGaoA5x5Wa"
,,,,,,"@GerberKawasaki I learned quite a bit."
,,,,,,"Love this! https://t.co/Rg41KAVSo7"
,,,,,,"@stevenrussell Thanks, that’s kind of you to say."
,,,,,,"I took a long sabbatical from Twitter during which I started two companies. I wrote this when we started Medium. “B… https://t.co/Z2JEHl7TDn"
,,,,,,"RT @NASA: A fitting farewell to Saturn…one last, lingering look at the planet that had been its home for over 13 years, @CassiniSaturn capt…"
,,,,,,"RT @Policy: We are aware of reports that the Pakistani government has taken action to block Twitter service, as well as other social media…"
,,,,,,"RT @WFP: Today is #Thanksgiving, today, share your meal with a hungry child in Yemen. Yemen is on the brink of famine. To avert looming cat…"
,,,,,,"What he said. https://t.co/e8RYLkBM7C"
,,,,,,"RT @mitsurutenma: our love story in four pictures https://t.co/5qtH00JYUL"
,,,,,,"RT @Forbes: Tune into our latest #SeatOfPower episode with @CBarlerin of Twitter: https://t.co/qsMxYMSgw8"
,,,,,,"RT @iava: Last night, @IAVA's Allison @Jaslow joined @BloodStripeFilm filmmakers @RemyAuberjonois and @1katenowlin to discuss #SheWhoBornet…"
,,,,,,"Happy birthday to my son. I love you Jake. https://t.co/IqyM1EqmVJ"
,,,,,,"RT @meknowingtruth: Had the privilege of watching @BloodStripeFilm this evening at #LucasFilm. Wow. A profound experience. Thank you @biz,…"
,,,,,,"Hey @jack HAPPY BIRTHDAY! https://t.co/TLSjNFfiGi"
,,,,,,"RT @ChiefScientist: Honored to host @twitter co-founder @biz at @ScaleByTheBay yesterday!  With the Legends of Twitter and Beyond: @helenae…"
,,,,,,"RT @ericharr: Hey @biz. You never told us you had your own tower in Tokyo! https://t.co/SfsAHqP7Jc"
,,,,,,"RT @laurenepowell: Thank you @katyperry for supporting the 800,000 young immigrants in jeopardy of losing the only country they’ve ever kno…"
,,,,,,"@Esqrama @profyounger @OneworldNews @ReputationOxfd I agree! (Also I have your IOU on my desk. I've just gotta wait… https://t.co/nZBVbOuQS7"
,,,,,,"What a treat interviewing @profyounger at Twitter about his new book, THE REPUTATION GAME—now available in the US.… https://t.co/l9vttVMrCN"
,,,,,,"I'm super excited about our new premium APIs. So much creativity and talent out there in the developer community. https://t.co/NNYaK5U26h"
,,,,,,"Thanks for coming, Hugh. I enjoyed interviewing Professor Younger. https://t.co/gyoi4GUX3u"
,,,,,,"Verification was invented to authenticate but became perceived as an endorsement. We should have acted earlier, but… https://t.co/twFALI6J0d"
