NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
bureaulocal,1559,173,"The Bureau Local is a @TBIJ journalism-tech team working with local reporters to dig into datasets and tell the stories that matter to communities across the UK",1004,279,"Code! Code! Code! Merry Christmas! It's December 1 so why not enjoy this data-driven advent calendar https://t.co/VNjlYV9NVz"
,,,,,,"RT @EvaConstantaras: Excellent @bureaulocal #ddj investigation using #FOIA to build national database on services for domestic violence vic…"
,,,,,,"Come and meet some of the @bureaulocal team in Manchester next week!  #journalism #ddj #opendata https://t.co/XZt0O8sSNx"
,,,,,,"RT @MaeveMCC: Out now! An amazing story of @JenWilliamsMEN's tenacity, involving a text message denial, an ICO ruling, a secret source and…"
,,,,,,"RT @TBIJ: Right now we need independent journalism more than ever. Support the Bureau. https://t.co/QL37jVoFiX https://t.co/mqB2n9MK24"
,,,,,,"UPDATE: The venue for our meetup in Manchester on December 5 has changed. We'll now be at The Crown and Kettle from… https://t.co/TzNxpnMBki"
,,,,,,"RT @opendatamcr: Want to see better local investigative journalism in the North West? @bureaulocal meet up 5th December https://t.co/Hmd2TR…"
,,,,,,"Live in the North West? Interested investigative journalism? Come and meet @bureaulocal in Manchester on December 5! https://t.co/XZt0O8sSNx"
,,,,,,"RT @BareReality: Police forces are failing to protect people with controlling partners https://t.co/k0gyXpiqRL #domesticabuse Great article…"
,,,,,,"Local papers @EDP24 &amp; @EveningNews, who have worked with @bureaulocal on refuge cuts, launch funding campaign after… https://t.co/gqyTL1Ogoo"
,,,,,,"In October a UK-wide investigation by @bureaulocal and our network revealed thousands of women were being turned aw… https://t.co/46XdbbK5em"
,,,,,,"Women's lives at risk from changes to funding for refuges, charities and survivors warn - follows vital issue highl… https://t.co/cxItvrLVZS"
,,,,,,"ICYMI: Data obtained by @bureaulocal raises questions about use of new law aimed at tackling domestic violence https://t.co/C7o9mDSfbD"
,,,,,,"Our network has been digging into UK domestic violence provision for months- we found huge cuts to refuge funding a… https://t.co/rufKBDjYOX"
,,,,,,"@theovertake @yorkshirepost Our findings were also featured on the @Independent https://t.co/QvK9GbuV1v"
,,,,,,"RT @risj_oxford: From Panama to Paradise. Understanding the conditions for collaborative #investigativejournalism https://t.co/szx4m5XTb5 #…"
,,,,,,"@theovertake Plus great coverage from @yorkshirepost where police say there are ""significant challenges"" bringing c… https://t.co/0AXfuFdGpD"
,,,,,,"RT @MaeveMCC: Coercive control was publicised in @BBCTheArchers and @theresa_may called it ""tantamount to torture""- but some police forces…"
,,,,,,"RT @Megan_Lucero: Join us in Birmingham for #djuk17 day Tuesday Dec 5. I'll be chatting about @bureaulocal and nerding out on #ddj with the…"
,,,,,,"And fantastic overview and dig into the issue from @theovertake https://t.co/NfcWpLMbFK"
,,,,,,"Great article on Cumbrian police from News &amp; Star https://t.co/bVTuvH4g6y"
,,,,,,"NEW: Questions raised over take up of the new coercive and controlling behaviour law- some police forces have only… https://t.co/fuDGaEyD6v"
,,,,,,"BREAKING: Some police forces have only used the coercive and controlling behaviour charge- designed to tackle domes… https://t.co/stOaEVyIrb"
,,,,,,"RT @emmayoule: After speaking at the #NCTJconf today about print being alive and kicking, great to see some cracking scoops in @RiverNewspa…"
,,,,,,"RT @Raoldroyd: US farming uses 2x more antibiotics than UK farmers - the reason we should care about the increase in mega farms in the UK.…"
,,,,,,"BuzzFeed journalist urges regional press to hire and promote youth - Journalism News from HoldtheFrontPage https://t.co/siNwqv05L9"
,,,,,,"As new figures show 1.9m people have suffered domestic violence in the last year- Read our work on budget cuts to r… https://t.co/ElG6uqVELc"
,,,,,,"RT @Domponsford: Journalism diversity: Graduates working in journalism six months after finishing their studies versus overall average for…"
,,,,,,"RT @C4CJ: Join us in January for the Building the Future of Community Journalism Conference, Cardiff. https://t.co/GlGKB88byg"
,,,,,,"RT @suchprettyeyes: Extraordinary, distressing and important journalism on domestic violence - essential listening and reading (via show no…"
,,,,,,"RT @paulbradshaw: New post by @JaneRockHouse : an interview with @PeterKGeoghegan ahead of his talk at Data Journalism UK https://t.co/455T…"
,,,,,,"RT @darkgreener: Here's an example of why geospatial data matters - @guyshrubsole and I try to investigate what the housebuilders own https…"
,,,,,,"Tune in right now to @BBCRadio4 to hear our @Gareth_Davies09 talking about his experience working in local news as… https://t.co/njYfNSRdzu"
,,,,,,"Looking forward to this on @BBCRadio4 at 11am- important dive into local news. Listen carefully you might hear our… https://t.co/3bIIXDjmH3"
,,,,,,"RT @Gareth_Davies09: Off to @journalismuclan this morning to talk about data journalism, @bureaulocal &amp; to help students with #ddj stories…"
,,,,,,"RT @Megan_Lucero: Great question here. Journo friends, who are the community-journalism people of the US? I can point to @Riogringa and @co…"
,,,,,,"RT @ChrisBurn_Post: New: Forensics 'data tampering' scandal affecting all Yorkshire police forces hits over 10,000 cases nationally; 50 cri…"
,,,,,,"Interesting piece on lack of diversity in British media, from @theovertake https://t.co/k1FmrrWoMe"
,,,,,,"RT @TheBristolCable: We're recruiting! Want to be part of the UK's pioneering citywide media co-op? https://t.co/qcT0u7lfe4 @journalismcouk…"
