NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
catherineols,2042,504,"Research engineer @googlebrain. Past: software engineer @OpenAI, comp neuro PhD dropout @NYU CNS, comp sci & cog sci undergrad/masters @MIT. Opinions are my own",54153,1451,"RT @mmitchell_ai: Amazing time at #socml. We dug into generatin human-like adversarial examples (The Dress), evaluating machine bias, AI Et…"
,,,,,,"RT @mjntendency: Free GAN paper ideas,

You're Not GANna Like This: Deep Synthesis of Unpleasant Sounds
GAN't Touch This: Rapid Training of…"
,,,,,,"I was making a graph recently and asked some ML colleagues “what’s the standard in the field for error bars? stdev,… https://t.co/P6KLrwQh0z"
,,,,,,"If your response to the reproducibility crisis in Psychology was “phew, at least my field is fine!”: has your field… https://t.co/RZLc6oWvlY"
,,,,,,"RT @goodfellow_ian: Some totally new GAN structures like StackGAN, Progressive GAN, CycleGAN, etc., are real advances, but this exhaustive…"
,,,,,,"RT @manjusrii: 5yo: I am building a semi ominous vehicle out of cardboard

Me: You mean semi autonomous

5yo: You don't understand my techn…"
,,,,,,"Just to be clear - I‘m an advocate for much more careful attention to safety/security/ethics, for present and futur… https://t.co/uYJu0uZg72"
,,,,,,"RT @zeynep: I’m hiring a postdoc to work with me on social implications of AI. Technical/CS background (especially within the ML cluster) p…"
,,,,,,"@davegershgorn Most talks are useless. Coffee breaks are the best. Posters are a great way to talk to authors whose… https://t.co/tHUA6jQp1b"
,,,,,,"@black_in_ai Is there a way to check whether we are successfully registered? I thought I had registered a month ago… https://t.co/cIILUjTwaG"
,,,,,,"Yes, this🌲🌲🌲 https://t.co/LrjReoXwAF"
,,,,,,"RT @ankurhandos: @hardmaru @markus_with_k ""Experts"" is only reserved for those who collect demonstrations for behavioural cloning"
,,,,,,"@zacharylipton How about: Every attendee must provide feedback on submissions to be eligible to attend. (Just as ju… https://t.co/ddC29FmwKm"
,,,,,,"Something isn’t right here. I’m not sure what could or should be done. https://t.co/X8fP1A4kQN"
,,,,,,"RT @RogerGrosse: The Wasserstein GAN should have been called the GAN whose Discriminator's A Lipschitz Function (GANDALF)."
