NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
coindesk,365509,1392,"The latest news, prices, charts, guides and analysis from the world leader in bitcoin and blockchain tech.",11383,14345,"Barron's – Bitcoin Storms Wall Street https://t.co/6WYGAvQOSi by @avibarrons"
,,,,,,"Blockchain Beach? Aruba Looks to Ethereum to Sustain Tourism https://t.co/wnE8sG10Xa https://t.co/Q2QABveUx0"
,,,,,,"How Governments Are Reacting to ICOs https://t.co/ULhTvwW3XV https://t.co/fURMwLaHBL"
,,,,,,"Bitcoin Breakout: Price Spikes $500 in One Hour to Top $11.5k https://t.co/4yrig0Akrm https://t.co/oygdDh8NzC"
,,,,,,"ICYMI, @robmay  of @tallainc says white papers are ""mostly irrelevant"" when sizing up token offerings in this op-ed… https://t.co/kXeIxkzHXW"
,,,,,,"Barron's – The Bitcoin ‘Consensus’: Yes It’s a Bubble, Buy It Anyway https://t.co/TyiEL4b2Mn by @crystalkimmm"
,,,,,,"7 Tokens Investors Are Talking About https://t.co/T2e0ravCwT https://t.co/WCkEwdCR2o"
,,,,,,"Scrap the White Paper: How to Evaluate Tokens and Blockchains https://t.co/zlPoIyicgo https://t.co/n86YWL8eFz"
,,,,,,"Forbes – Blockchain Conference: Bitcoin's At $10,000? Crypto Is Just Getting Started  https://t.co/5KEMg7M6oC by @laurashin"
,,,,,,"Financial Planning – Bitcoin Mania Sweeps Crypto Event as Price Nears $11,000 https://t.co/mMMQyQEdZD"
,,,,,,"Bloomberg – Bitcoin Job Postings Are Surging on LinkedIn https://t.co/6xe13jzNKE by @julieverhage"
,,,,,,"Sidechains Project Pushes Ahead with Bitcoin BIP Submission https://t.co/DDGxDaoTwd https://t.co/uyelOwNThI"
,,,,,,"Report: Tezos Founders Ask Foundation to Help Pay Legal Bills in ICO Suits https://t.co/6ECRzDkRR6 https://t.co/h3afK4uBm0"
,,,,,,"RT @hudsonjameson: My cat, Phillip J. Fry, made it on the cover of @coindesk. https://t.co/iumpc1iEjw"
,,,,,,"'Microraiden' Payment Channels Go Live on Ethereum Network https://t.co/TI8rejC8Sk https://t.co/VdDTGPaS1y"
,,,,,,"Medium – The Three Economic Eras of Bitcoin https://t.co/SZ8ZEE6je1 by @rusty_twit"
,,,,,,"Coinbase Taps Former TD Ameritrade Exec for COO Role https://t.co/n96t11JiAu https://t.co/HMPttRcYGE"
,,,,,,"There's More Than One Way to Be Bitcoin Rich https://t.co/gcZH5AxMX0 https://t.co/Fx0FOpCfsU"
,,,,,,"Paying Rent With Crypto? App for Tenants Adds BTC, LTC, ETH https://t.co/g7xaPM0Rzv https://t.co/2LdbaN4MZM"
,,,,,,"Invest in Bitcoin 'At Your Own Risk,' Warns French Central Bank https://t.co/ipJEkiX9aa https://t.co/OUdKWYELza"
,,,,,,"Bitcoin Pushes Above $10,500 on U.S. Futures Approval https://t.co/c4LnGQtSgk https://t.co/ZpYycq8JEA"
,,,,,,"@CFTC 4/ Full story w/ our most recent CME interview below CME to Begin Trading Bitcoin Futures December 18 https://t.co/F6Zy4IqNZh"
,,,,,,"CME to Begin Trading Bitcoin Futures December 18 https://t.co/6clJ0kNqLv https://t.co/TGwJPj1xkf"
,,,,,,"@CFTC 3/ CME: bitcoin futures will be subject to risk management including initial margin of 35%, intraday price limits, and credit controls"
,,,,,,"2/ CME CEO Terry Duffy says launch will follow completion of approval process with @CFTC"
,,,,,,"BREAKING: CME says start date for bitcoin futures to be December 18 https://t.co/flrLiq4oUt"
,,,,,,"Bitcoin Not Legal Tender in India, Finance Minister Says https://t.co/NfaZ7HIcar https://t.co/lgaws4CeMW"
,,,,,,"RT @kristofferjust: People are just crazy, to think that a random celeb is great for promoting very technical and complex applications. Hop…"
,,,,,,"Bitcoin Claws Back to $10k: Can Bulls Turn the Tide? https://t.co/QpsnOczfDR https://t.co/fSqSSbJUrf"
,,,,,,"Bitcoin Too Volatile for Goldman Sachs, Says CEO https://t.co/mnG2paY2w1 https://t.co/ppfiT6QLXN"
,,,,,,"Bitcoin 'Seems Like a Bubble', Says Billionaire Investor Carl Icahn https://t.co/nYIbOXxrvX https://t.co/MUC376WBed"
,,,,,,"World Computer? New Protocol Could Supercharge Ethereum's Blockchain https://t.co/Bw4AYVMRcP https://t.co/XagduKHzfq"
,,,,,,"White House Team Is Monitoring Cryptocurrencies, Says Press Secretary https://t.co/wECqnBnGU1 https://t.co/wNRUzjFy5c"
,,,,,,"Bank of Canada Paper Weighs Central Bank-Issued Cryptocurrency https://t.co/HFNQIBzKlv https://t.co/U6MYHYTHt7"
,,,,,,"RT @theonevortex: Bitfinex officially responds to Tether allegations. 

""A full audit will be released as soon as possible""

https://t.co/2…"
,,,,,,"Bitfinex and Tether Break Silence, Go on Media Offensive https://t.co/ziT4y89q1u https://t.co/LKpoU7TzcC"
,,,,,,"RT @MoneyMagicks: Reeks of FUD. But interesting read. Newbies will either adapt or flee the space. We were all newbies at one point. And we…"
,,,,,,"The Atlantic – Bitcoin Is a Delusion That Could Conquer the World https://t.co/rb7FeqnoWG by @DKThomp"
,,,,,,"RT @kristofferjon: Just 400%? Willy Woo's Math for Insane Crypto Returns https://t.co/hOSyEk4pYJ via @CoinDesk"
,,,,,,"Opinion: Bitcoin Is an Emerging Systemic Risk https://t.co/1JISnBDfIe https://t.co/klyaJmaCW8"
,,,,,,"RT @jimmysong: #cryptobucketlist

1. Buy a house with a faraday cage in it
2. Tour the world in an autonomous car bought with BTC
3. Speak…"
,,,,,,"@NeerajKA You’re hired!"
,,,,,,"FT – There Are Many Reasons to Be Cautious About Bitcoin https://t.co/lBC0FVaREA by @JeanTirole"
,,,,,,"ICE Agent: Cryptocurrencies Increasingly Used in Money Laundering https://t.co/VePXobOijg ... mixing services (at e… https://t.co/nkVrFMBIuq"
,,,,,,"Almost Half of ICO Funding Goes to Europe, Report Finds https://t.co/SX1MuViSOX"
,,,,,,"SF Fed President: No Plans to Put USD on a Blockchain https://t.co/G7FHZa9nSb -- but expect more conversations abou… https://t.co/Q3oFZUNlvD"
,,,,,,"U.K. Won't Accept Cryptocurrency for Tax Bills, Minister Says https://t.co/lDgCk3hCHq – also, regs are coming for c… https://t.co/GukGsfSeq4"
,,,,,,"ECB's Yves Mersch: Banks Need Faster Payments to Counter Bitcoin https://t.co/Mrm0oFCogS https://t.co/FzMZ3H7lne"
,,,,,,"Coinbase Ordered to Hand IRS Data on Over 14,000 Users https://t.co/QxyPxZYaQL https://t.co/c9uz09QiKn"
,,,,,,"Down, Not Out? Dash Price Likely to Defend $600 https://t.co/n2cJ12u4Pv https://t.co/7nlUEVjPM0"
,,,,,,"PwC's Hong Kong Office Accepts Bitcoin Payment https://t.co/K8xFj7hORf https://t.co/OuNBaQECCJ"
,,,,,,"Questions of Regulation, Taxation Loom Over Crypto Investors https://t.co/vq3KDTYkpn https://t.co/XTnWXBhya2"
,,,,,,"Topped Out? Bitcoin Flirts with Short-Term Bearish Reversal https://t.co/RnOg4j75k1 https://t.co/DPz5ytle7J"
,,,,,,"How Blockstack Counterattacked a Phishing Attempt on Its ICO https://t.co/625OCQzRSI https://t.co/alemGtFBeq"
,,,,,,"Investors Taking a Risk Buying Bitcoin, Says ECB Vice President https://t.co/JqLxPTH9nL https://t.co/s3Z80nRRQx"
,,,,,,"More Devs, More Destruction: Inside Zcash's Second Crypto Ceremony https://t.co/U1PvVK6YtV https://t.co/gYaltaZWqe"
,,,,,,"Just 400%? Willy Woo's Magic Math for Insane Crypto Returns https://t.co/UWsWEjGw0z @woonomic https://t.co/Mubiyz1jDN"
,,,,,,"RT @GeminiDotCom: Monitoring: We are implementing a mitigation fix due to an enormous influx of web traffic. We are testing and will … http…"
,,,,,,"RT @dinisguarda: CoinDesk Releases Q3 #Bitcoin and #Blockchain Industry Report https://t.co/emBwGQrHPX via @CoinDesk"
,,,,,,"RT @MariaTerekhova2: If the price of Bitcoin was a rollercoaster, everyone on it would have catastrophic whiplash: https://t.co/tUOkQBWWWg…"
,,,,,,"Crypto Corrupts the Youth? South Korea Prime Minister Says So https://t.co/RGtB2aNxDt https://t.co/xlp56kqse2"
,,,,,,"ICO Pros Call for Self-Regulation Citing SEC Risk https://t.co/SBY3sJbrOd https://t.co/XOLsCCFML9"
,,,,,,"Bitcoin Price Falls $1,000 in Minutes to Erase 24-Hour Gains https://t.co/0ith9WA9qn https://t.co/vqRTjNbEse"
,,,,,,"Bitcoin 'Ought to Be Outlawed,' Economist Joseph Stiglitz Says https://t.co/tydMUdXdhA"
,,,,,,"ThreeBitPoet* https://t.co/ED3Yhw2GHA"
