NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
cvondrick,1846,215,"Research Scientist at Google, Assistant Professor at Columbia University (in 2018). Tweets are my own.",21799,2783,"RT @johnplattml: Cool AI task: Embodied Question Answering. Learn to move around an environment to answer questions about objects not immed…"
,,,,,,"RT @weballergy: 'Do Convolutional Neural Networks Act as Compositional Nearest Neighbors?'; Experiments on semantic segmentation and image-…"
,,,,,,"RT @ankesh_anand: Introducing HoME: a Household Multimodal Environment for AI agents.
- 45,000 diverse 3D houses
- Vision, Audio, Physics a…"
,,,,,,"RT @sirrice: We are looking to admit PhD students to my group!  Our research is the BOMB so tell everyone you know to apply!  Details on my…"
,,,,,,"RT @ID_R_McGregor: Micro Mouse speed runs.  All footage (surprisingly) in real time.

Full lengthy video: https://t.co/hegiAjqwkz https://t…"
,,,,,,"RT @NPR: ""This bill would increase our tax by 300 or 400 percent. I think it's absolutely crazy,"" says Tamar Oostrom, who's getting her Ph.…"
,,,,,,"RT @CSProfKGD: CARLA is an open-source simulator for autonomous driving research https://t.co/RSMqeqOyhQ"
,,,,,,"RT @johnplattml: Conference paper reviews that are not double-blinded are shown to be heavily influenced by the fame and institution of the…"
,,,,,,"RT @emeryberger: ""https://t.co/8gYY5OjyVI has considerably better methodology &amp; allows you to see how CS departments stack up in subfields…"
,,,,,,"@RandomlyWalking I found this study interesting to read on subject; https://t.co/AInOuR6Imy. Issue may be more comp… https://t.co/u5A2DjZXZd"
,,,,,,"RT @benhamner: In 5 yrs, doing analytics/ML w/o being able to trivially reproduce your work will be as crazy as writing production code w/o…"
,,,,,,"RT @UberEng: Out today: Uber AI Labs open sources #Pyro, a deep probabilistic programming language: https://t.co/AzUTBEbPry #Python @PyTorc…"
,,,,,,"RT @poolio: New paper on an information-theoretic framework for understanding VAEs! Points to challenges and new directions. https://t.co/s…"
,,,,,,"RT @BrendaDardenW: Some Colleges Have More Students From the Top 1 Percent Than the Bottom 60. Find Yours. https://t.co/nx1qpE6fl8 via @Ups…"
,,,,,,"RT @scott_linderman: Reparam. the Birkhoff Polytope for Variational Permutation Inference https://t.co/QK0dSXzp2K (like Concrete for permut…"
,,,,,,"RT @evolvingstuff: One pixel attack for fooling deep neural networks
https://t.co/nY49UkefW7 https://t.co/0wWj6jimBM"
,,,,,,"RT @goodfellow_ian: Applications for the 2018 Google AI Residency Program are open.  If you want to learn to do deep learning research with…"
,,,,,,"RT @markplumbley: Yusuf Aytar: Deep cross-modal alignment and transfer for ambient sound understanding // https://t.co/TUYH9sdrYO #SANE2017…"
,,,,,,"RT @hardmaru: AlphaGo Zero: Learning from scratch. Self-play strikes again! This is pretty cool.
https://t.co/KIe2WwGSlc https://t.co/TkGOG…"
,,,,,,"RT @DanLarremore: Our new paper on academic career patterns: The misleading narrative of the canonical faculty productivity trajectory http…"
,,,,,,"RT @liu_mingyu: MoCoGAN for mapping random vectors to videos
Code/Docker Image: https://t.co/NSyCXcgqfu
Paper: https://t.co/iBW4l4VHir
#Dee…"
,,,,,,"RT @algoritmic: Interactive Design Space Exploration and Optimization for CAD Models https://t.co/CoHb815OBA https://t.co/PqplZSR3mV"
,,,,,,"RT @kaanaksit: Upcoming on @SIGGRAPHAsia 2017! Our paper on our near eye varifocal displays! https://t.co/JFRFHr00hK or https://t.co/DRSsD2…"
,,,,,,"Photos with the smart phone removed https://t.co/pdrZiWOnO4 https://t.co/NAWZDoeR0I"
,,,,,,"RT @quantombone: Detect to Track and Track to Detect  https://t.co/iIcSR0Yu6o #computervision #deeplearning https://t.co/icHU2QuEgg"
,,,,,,"RT @adelynzhou: Prof Hinton: radical proposal to change object recognition. All we know is stochastic gradient descent is better than expec…"
,,,,,,"RT @MIT_CSAIL: BREAKING: New MIT system lets you see around corners with your iPhone: https://t.co/HwxCsRabZh https://t.co/0D6pddqdvp"
,,,,,,"RT @CornellCIS: CS PhD student Rediet Abebe organizing first Black in AI workshop to be held at NIPS '17. https://t.co/ZhL9wwBgtk https://t…"
,,,,,,"RT @fhuszar: GANs are broken in more than one way: my review of ""The Numerics of GANs""
https://t.co/vYKO4FqR0n"
,,,,,,"RT @mljmljmlj: Appropriate Headline ""477 Days. 521 Mass Shootings. Zero Action from Congress."" https://t.co/0E4Hd6G2NN"
,,,,,,"RT @goodfellow_ian: @cvondrick Also, scientists can't make use of scientific articles if the signal to noise ratio drops too low"
,,,,,,"Important warning of non-peer reviewed papers: public can lose trust in science and research if too much low-qualit… https://t.co/sOmqEgVNKc"
,,,,,,"RT @OpenAI: Deep linear networks can learn to perform nonlinear computation due to imprecision in floating point arithmetic: https://t.co/T…"
,,,,,,"RT @johnplattml: Clever sentence generation from Percy Liang lab: start with example from corpus, learn to add plausible variation. https:/…"
,,,,,,"RT @arecasens: Antonio Torralba to lead IBM-MIT Watson AI Lab.
https://t.co/GIe2SH0lPr"
,,,,,,"RT @WiringTheBrain: Another favorite illusion to illustrate top-down influences on perception...  https://t.co/8v8pmELv5X (go ahead, measur…"
,,,,,,"RT @lxbrun: Deep learning hype in one picture
(NIPS conference registrations, 2002 through 2017) #nips2017 https://t.co/APOrzY1gpD"
,,,,,,"RT @RogerGrosse: Lots of papers claim to fix mode dropping in GANs. But you can't tell from samples, you need to test quantitatively. https…"
,,,,,,"RT @dennybritz: In general, I think we need more survey papers for DL subfields. They save  researchers *so* much time and are not rewarded…"
,,,,,,"RT @ivan_bezdomny: ""Curiosity is a failure to predict (the future)"" -- professor Alexei Efros (@berkeley_ai)"
,,,,,,"RT @quantombone: SurfaceNet: An End-to-end 3D Neural Network for Multiview Stereopsis https://t.co/ieNftQDeQC #computervision #iccv https:/…"
,,,,,,"RT @kchonyc: ADE20K full pixel level segmentation dataset annotated by Antonio's mom #repl4nlp #acl2017nlp https://t.co/3t1JPIAp7C"
,,,,,,"RT @haldaume3: one comment from Jason I really liked and forgot is: review is also about making papers better, and that's valuable"
