NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
david_sontag,928,144,,1752,509,"RT @zacharylipton: What?!?! ""ICML Registrations Sell Out Before Submission Deadline"" https://t.co/M6JmxMhuQN"
,,,,,,"Uber releases Pyro, an open-source platform for ""deep universal probabilistic programming"" https://t.co/NHKvTKbpj2… https://t.co/p7bd6oMVQB"
,,,,,,"@jackclarkSF Pieter Abbeel's work on autonomous helicopter flight would be high on my list  https://t.co/oXm3xCaplw"
,,,,,,"Large dataset of chest x-rays from 30K+ patients now available from the NIH! https://t.co/SGgJWxCO9H"
,,,,,,"RT @irenetrampoline: machine learning and healthcare in 2017: what i learned at #mlhc2017: https://t.co/7QNFMyWfIt https://t.co/h5WAt4LDBO"
,,,,,,"@zacharylipton @yisongyue Just two :) See you next week in Boston at MLHC, Zack!"
,,,,,,"RT @rodneyabrooks: My discussion with Tech Crunch this past Monday https://t.co/H0HsT1gUSC via @techcrunch"
,,,,,,"Machine learning of disease-symptom graph from medical records of 273,174 ER patients https://t.co/zdofQkl5OG @MIT_IMES @MIT_CSAIL  @BIDMCEM"
,,,,,,"Our recent work on causal inference under hidden confounding. https://t.co/9zchrFdZuD"
,,,,,,"Congrats, @GaryMarcus and Zoubin! Uber can definitely capitalize on a more cognitive-based ML approach. Can't wait to see what's next."
,,,,,,"@kinggary close connection between your and Ying Lu's VA paper and our work on anchors: https://t.co/uE1nPI5Cqf https://t.co/9294j88wCt"
,,,,,,"@barneyp Moving beyond these easy wins will be difficult. There's remarkably little curated data for machine learning in health care."
,,,,,,"Excellently written testimonies from Andrew Moore @awmcmu, @erichorvitz, and others to U.S. Senate hearing on AI:… https://t.co/RhWXr9IMAk"
,,,,,,"@KadijaFerryman Time is right for next big attempt at personal health records (ala Microsoft HealthVault/Google Health): it is a diff world."
,,,,,,"RT @SaulBlecker: Best way to identify heart failure pts? #MachineLearning w clinical notes @david_sontag @leorahorwitzmd @JAMACardio https:…"
,,,,,,"@suchisaria Code now available! https://t.co/APqghpYNXP"
,,,,,,"@dustinvtran @sameasiteverwaz Code to reproduce all benchmark results: https://t.co/APqghpYNXP"
,,,,,,"RT @sleepinyourhat: The site for the new @NYUDataScience PhD program is up, and we'll be accepting applications soon! Study with us! https:…"
,,,,,,"RT @dustinvtran: “Structured Inference Networks for Nonlinear State Space Models” by Rahul Krishnan, @sameasiteverwaz, @david_sontag https:…"
,,,,,,"@Tiana_Athriel @exoplaneteer how about statistics and computation :)? this year's class: https://t.co/Z0aKLky0mc"
,,,,,,"Great example of data science by local city governments. Can't wait to see more like it: https://t.co/MCW2Cq7ZpF via @BostonGlobe"
,,,,,,"@samim @NandoDF @drfeifei ML to ""compile"" models for speed gains  makes a lot of sense. Folks here study this too: https://t.co/NC6S66PdTI"
,,,,,,"@NandoDF massive computing will only be the start! combining causal models with deep learning (+ physics-based simulators) will be essential"
,,,,,,"Predict this, deep learning: https://t.co/u9K9E8MZwy"
,,,,,,"Great article on interpretability in machine learning. https://t.co/aGrTkQzvjL Keep in mind: even linear models have some of these pitfalls!"
,,,,,,"RT @kchonyc: Full house (+a bunch via hangout) at the first meeting of CILVR group this year! https://t.co/q7o5CjU1TG"
,,,,,,"Video of our ICML 2016 tutorial on causal inference for observational studies is now online: https://t.co/pLPdcL6QTd https://t.co/Qv84RjXNg8"
,,,,,,"Looking at this from our apartment. Anyone know where precisely it is? https://t.co/VWM41ln8CY"
,,,,,,"""Finding the path to wellness"" -- great article about my lab by April Bacon https://t.co/wAF7QeKnMF (pages 6 &amp; 7)"
,,,,,,"Must read: ""closed-data and closed-algorithm business models in health will hamper scientific progress"". https://t.co/Sb30ZEQQNN"
,,,,,,"RT @sameasiteverwaz: @hugo_larochelle @dustinvtran Our follow up: Bounding and Minimizing Counterfactual Error. better theory &amp; real data h…"
,,,,,,"@hugo_larochelle Thanks for your notes and your suggestion of using reverse cross-validation. I need to think more about its guarantees."
,,,,,,"First community-wide paper from OHDSI (Observational Health and Data Science Initiative)! Many more to come. https://t.co/K8MBMoeMxV"
,,,,,,"Our JAMIA paper is out, on a foundation for the next-generation of intelligent electronic medical records: https://t.co/m2hNCiMYbL"
,,,,,,"Looking forward to this event! https://t.co/B6iPVFjYd9"
,,,,,,"RT @quartethealth: “Google joining us to change the mental health of the nation” by Arun Gupta https://t.co/LfOR1b3oFL #digitalhealth @GVte…"
,,,,,,"Thanks, NVIDIA! https://t.co/ax77VHuC15"
,,,,,,"Applications for the next round of NYU Moore-Sloan Data Science Fellows (an indepedent postdoc) are due tomorrow!
https://t.co/N3ygH0DWZv"
,,,,,,"RT @demishassabis: Lee Sedol is playing brilliantly! #AlphaGo thought it was doing well, but got confused on move 87. We are in trouble now…"
,,,,,,"RT @digitalFlaneuse: Postdocs! @datasociety is hiring 2 postdocs: Fairness in Machine Learning and Technology &amp; Society
https://t.co/Kmxac9…"
,,,,,,"Paper submission deadline May 15th for new conference, Machine Learning in Health Care. Please submit! https://t.co/GsQOAVKfCK #MLHC"
