NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
deborahhanus,1050,405,"Machine Learning @Harvard. Formerly @MIT @FulbrightPrgrm @GoogleBrain. #WiML2016 organizer.",43466,1137,"RT @black_in_ai: Fantastic keynotes at the 2017 BAI Workshop
- Ciira Maina, Dedan Kimathi University of Technology
- Danielle Belgrave, Mic…"
,,,,,,"RT @katecrawford: It's 2017, and researchers are still using Playboy's Lena centerfold as a test image. Given the gender issues in this fie…"
,,,,,,".@hardmaru &amp; @ada_rob’s demos using @deeplearnjs at @southpkcommons were nothing short of beautiful. Thanks for sha… https://t.co/l2vNMeVLUj"
,,,,,,"I am excited to keynote @pyconcolombia in Medellin Feb 9-11! #PyConColombia2018 https://t.co/q9FHmsdAIB"
,,,,,,"@zpbappi Struggling is totally fair! As 3 PhD students who met in an advanced machine learning class &amp; use machine… https://t.co/BgO2hgTwj7"
,,,,,,"It took months of discussing 10-20 pages at a time, but @astroVAV, Jennifer Wei, and I read (&amp; understood)… https://t.co/eZHwkcvXrj"
,,,,,,"Great use of #datascience &amp; #nlproc for #netneutrality from @jeffykao via @hackernoon. https://t.co/IRsznpBrOJ"
,,,,,,"RT @DeepIndaba: We continue to build our community of African researchers in Machine learning, data science, and artificial intelligence. P…"
,,,,,,"@chinmayee_a I am so glad to hear that, Chinmayee! If you have a few minutes at #wiml2017, I'd love to hear more ab… https://t.co/54nc9l0aAh"
,,,,,,"Probably the most inspirational IPO photo I've seen. Congratulations to @kmlake and the rest of the @stitchfix &amp;… https://t.co/gBZYooX9ic"
,,,,,,"RT @fatconference: Did you miss the FAT* paper deadline but still want to present? Call for tutorials is now up! Come share your FAT* softw…"
,,,,,,"RT @red_abebe: Official Black in AI account up! #AI #MachineLearning #DeepLearning #DataScience https://t.co/k2iOnJUfdO"
,,,,,,"RT @red_abebe: for those studying in the motherland: .@googleresearch Africa Ph.D. fellowship
(DEADLINE CORRECTION: 19 January 2018!) https…"
,,,,,,"RT @legogradstudent: [Updated] The proposed GOP tax bill would slam grad students and schools by taxing tuition waivers. Learn more: https:…"
,,,,,,"In the latest @distillpub, @ch402 @zzznah @ludwigschubert use feature visualization to beautifully explain how a… https://t.co/FioAzMIgzX"
,,,,,,"RT @awiltsch: Just released Tangent, a source-to-source autodiff library for Python! It lets you see and debug your gradients. https://t.co…"
,,,,,,"They've selected an all-star set of speakers for the 1st #BlackinAI workshop! 💫#nips2017 #MachineLearning… https://t.co/lIFmr8G03L"
,,,,,,"RT @shakir_za: First call for ICML 2018! .@driainmurray and I will be your publication chairs, chasing you all for any bad formatting. 😜 ht…"
,,,,,,"I love it when @MarzyehGhassemi gets on Twitter. Her #machinelearning jokes make my feed a brighter place. 🌤️… https://t.co/qMiDMkcWB0"
,,,,,,"brb gtg plan my (post July 2018) trip to Toronto to visit @MarzyehGhassemi &amp; @DavidDuvenaud at the @VectorInst. 😃⛄️… https://t.co/wjyoBh2TxA"
,,,,,,"RT @scott_linderman: Reparam. the Birkhoff Polytope for Variational Permutation Inference https://t.co/QK0dSXzp2K (like Concrete for permut…"
,,,,,,"RT @WiMLworkshop: We opened up more spots for the WiML workshop! 
https://t.co/2cBLvtV8zr 
#nips2017 @RaiaHadsell @negar_rz @DaniCMBelg"
,,,,,,"""Don't throw around solutions for problems you haven't identified yet."" Solid advice for #startups using… https://t.co/rjclrStLNb"
,,,,,,"RT @ryan_p_adams: Yakir Reshef's new manuscript is up! 
Detecting genome-wide directional effects of TF binding on disease risk
https://t.c…"
,,,,,,"RT @katecrawford: AI is rapidly becoming a new, privately-owned infrastructure - and the bias and safety issues urgently need more research…"
,,,,,,"⏳This is the last day to submit an abstract and/or travel grant application to the 1st #BlackinAI workshop at… https://t.co/gujHPyYyF0"
,,,,,,"Registration for @WiMLworkshop is open! This year, #WiML2017 will be on 2 days of #nips2017. All genders are welcom… https://t.co/tBihXzSVmd"
,,,,,,"The video of my #QConNewYork talk is up! #MachineLearning from theory to practice https://t.co/4a6H6AAZvu #QCon… https://t.co/CC9diKuQ5Q"
,,,,,,"I had a great time at the 2017 CRA-W #gradcohort event. It had the camaraderie of #GHC17 but was focused on graduat… https://t.co/ZKVWK8OeEQ"
,,,,,,"Two year worldwide PhD fellowship for students in #AI #machinelearning #blockchain #security &amp; #quantumcomputing fr… https://t.co/ZIE546nMnD"
,,,,,,"I finished @ghc speaker &amp; @Kennedy_School professor, Iris Bohnet’s book on designing for #diversity. It is packed w… https://t.co/N7HLCwptN4"
