NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
drfeifei,126835,2265,"Prof (CS @Stanford), Director (Stanford AI Lab), Chief Scientist AI/ML (Google Cloud), CoFounder/Chair @ai4allorg, Researcher #AI #computervision #ML cogneuro",14631,27461,"RT @tessposner: A great day discussing strategies for responsible, ethical AI that benefits humanity and opportunities/challenges for the 4…"
,,,,,,"And you’re my hero in digital medicine, Eric! https://t.co/nLZtTNhFwM"
,,,,,,"Excited to share our recent work in AI + Healtchare! https://t.co/SCHWILv2vq"
,,,,,,"Our work on #AI and neighborhoods is being published on @PNASNews . Kudos to my students @timnitGebru, Jon Krause,… https://t.co/8oJvaoLaAj"
,,,,,,"RT @ai4allorg: Excited to see that LingCon, our first AI4ALL Community Impact Grant-supported event, was a huge success! Congrats @linghack…"
,,,,,,"RT @ai4allorg: Thanks for hosting a great panel, @AIWorldForum! https://t.co/aU73td9U8Q"
,,,,,,"RT @stanfordnlp: Know anyone who'd be good as the new Admin Manager for the Stanford Artificial Intelligence Lab? https://t.co/0YA3nZQP8R"
,,,,,,"My dear friend Tino’s eloquent speech on the impact of #AI from the perspective as a CA State Supreme Court justice https://t.co/Bu05GmZxSz"
,,,,,,"Cloud Robotics talk by @ken_goldberg @googlecloud on a cloudy day. A new way of thinking of robotics! https://t.co/l3xpnoYp37"
,,,,,,"Congrats! An exciting and positive step! #AI for Good is #AI for All! https://t.co/QNtsq9KOR2"
,,,,,,"I’m honored &amp;humbled. It’s an exciting time for technology, &amp;an important time for more women &amp;diversity to partici… https://t.co/WJTJHTvbjc"
,,,,,,"Two of my students’ recent work featured @TechCrunch Dispatches from the cutting edge of computer vision https://t.co/BP5PG1LUU7"
,,,,,,"Very proud of this work! Visual understanding goes beyond #imagenet and still images. #AI https://t.co/TsRwNOZ5YV"
,,,,,,"RT @jcniebles: Our amazing line up of BAVM2017 speakers starts with Silvio Savarese @silviocinguetta from @Stanford. Live at: https://t.co/…"
,,,,,,"RT @NvidiaAI: NVIDIA's partnership w/ @ai4allorg gives underrepresented students exposure to #AI careers, access to mentors &amp; more https://…"
,,,,,,"Fascinating data about data scientists! From @Kaggle! The world needs more DS &amp; ML &amp; AI talents! https://t.co/TKwtHt5xhq"
,,,,,,"@leehomyc How about flipping this vertically s.t. the starting pt is on lower left corner &amp; ending pt is ""to make a… https://t.co/oPRcK3rFlC"
,,,,,,"Investing in the future #AI technologists is the best way to invest in #AI! Please join us! https://t.co/eIqMoEUENU"
