NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
ericlimer,2584,4761,"deputy ed @popmech dot com. previously @gizmodo. award-losing writer ordinaire. opinions are yours",466750,126,"RT @aobehr: Oh cool https://t.co/gRxPXqO03k"
,,,,,,"RT @mattyglesias: The man who just wrote a $1.5 trillion tax cut for business owners and heirs to multi-million dollar fortunes can’t spare…"
,,,,,,"RT @PostCultRev: there is literally no good reason to have a billion dollars and people who do should be made to feel ashamed of themselves"
,,,,,,"RT @Ruthi_m: “average person eats 3 of your plums a year"" factoid actually just statistical error. average person steals 0 breakfast plums…"
,,,,,,"RT @IamGMJohnson: Carlota, a slave woman, took up the machete in 1843 to lead a slave uprising at the Triumvirato sugar mill in Matanzas Pr…"
,,,,,,"RT @prisonculture: I hope that the lesson people are also learning is that when you have power you use it to DEMOLISH the opposition. You s…"
,,,,,,"imagine aspiring to compromise with these people"
,,,,,,"@CkilNYC she has never done this before!"
,,,,,,https://t.co/CWeeuALZDY
,,,,,,"look at this lil freak https://t.co/fIWSENqXcZ"
,,,,,,"RT @DavidKlion: Your father is about to vote for millions of ordinary Americans to suffer, go bankrupt, and die so that you can inherit an…"
,,,,,,"♫♪♪♫
all i wanna do 
is eat some plums
they're in the icebox
and they're the only ones
♫♪♪♫"
,,,,,,"RT @LouisatheLast: Imagine trying to explain “left icebox none plums” to your parents"
,,,,,,"@davidgross_man u kno it"
,,,,,,"t7vsby8daunoipmo,v.fs"
,,,,,,"RT @doctorow: The market will take care of it https://t.co/R93frzidZH https://t.co/Nl3K4EAh2A"
,,,,,,"RT @meaganmday: Socialists aren't trying to initiate a class war. No, we're trying to build an army strong enough to fight back in the one…"
,,,,,,"RT @gregamiah: This is accidentally an incredible explanation of asexuality. https://t.co/LlvaVTXstm"
,,,,,,"life is like an icebox of plums: you never know what was being saved for breakfast"
,,,,,,"RT @mudron: Getting pretty fucking tired of game designers throwing politically-charged imagery (not even substantial enough to really labe…"
,,,,,,"RT @katiechironis: weird tech problem: having to quietly refer to Alexa as “she” or “her” to avoid waking her, as though she were an angry…"
,,,,,,"well, i guess we have 'paranoia'"
,,,,,,"we need a word for that feeling when a coincidence makes you feel like you are being ad-targeted by a billboard"
,,,,,,"RT @ClickHole: A Victory For The Middle Class: The GOP Tax Bill Requires All Eviction Notices To Come With An Explanation Of Trickle-Down E…"
,,,,,,"keith olbermann really shoulda just hung out for a few more days huh"
,,,,,,"RT @Hermit_Hwarang: *whispers* you can't be ""emasculated"" because that's not a thiiiiiiiiiiiing."
,,,,,,"fuck yeaaaaaa thank u mueller! 🎄🎄 https://t.co/Sqa7Sd4rs0"
,,,,,,"@nedwards these things are in fact true"
,,,,,,"i would just like to point out that things are still extremely bad"
,,,,,,"RT @AthertonKD: Watergate speedrun"
,,,,,,"@RSorokanich @jacquidetwiler i think you mean it is designed for supreme, transcendental comfort https://t.co/H3XyuigLZ1"
,,,,,,"@McTrollsalot it is called an ergodox and i am an enormous frickin nerd https://t.co/4sVBC8DqZm"
,,,,,,"@dirrtykingofpop im sorry but it is actually against my religion"
,,,,,,"RT @ashleyfeinberg: no offense to nearly everyone on this website but capitalizing tweets is for cops https://t.co/OUIbqPmM68"
,,,,,,"i have been looking for a piece of hardware i need to fix my glasses only to realize i glued it to my keyboard mont… https://t.co/u3S87H98YO"
,,,,,,"the most frustrating thing about the subway is leaving early and arriving late"
,,,,,,"RT @ClickHole: Every Middle-Class Family Should Have Money Set Aside For An Unexpected Emergency Like Republicans Having A Majority In Cong…"
,,,,,,"@RSorokanich @ramyzab it is really too bad that you can only see the sunset from this room"
,,,,,,"RT @daveweigel: A strong statement from @ashleyfeinberg, the leader of the Democratic Party. https://t.co/M98HWSp7uy"
,,,,,,"RT @adultblackmale: interviewer: why do you want this job?
me: i need money to live
interviewer: hmm, not a good attitude
me, overly cheerf…"
,,,,,,"i eat more icebox plums before breakfast than you eat all day"
,,,,,,"@AthertonKD depends on how accelerationist you are tbh"
,,,,,,"RT @Nicole_Cliffe: I honestly think it’s become rude to refer to Dinesh D’Souza as a felon. Felons don’t need the kind of negativity in the…"
,,,,,,"RT @PeterNickeas: @chicagotribune For what Matt Lauer made, you could put 5 reporters in every statehouse in the country at 80k/year with 2…"
,,,,,,"RT @kylegriffin1: I've watched this ad for a Democratic candidate for Michigan Attorney General a dozen times.

""When you’re choosing Michi…"
,,,,,,"christ https://t.co/hqf1oSDAja"
,,,,,,"RT @Papapishu: Subway churro sellers are heroes and should not have to deal with this shit https://t.co/WvsOCAHI7a"
,,,,,,"RT @bobbyfinger: This is just to say that there is no apology someone can give from atop a mountain of cash and privilege that won’t result…"
,,,,,,"RT @jbouie: Republicans are looting the young to shovel money into the pockets of the most affluent Baby Boomers and their families. https:…"
,,,,,,"this is an excellent tweet https://t.co/yzL8Liurzp"
,,,,,,"RT @ashleyfeinberg: I maintain that there is a non-zero chance Trump is a virgin https://t.co/yTUvyOxlJe"
,,,,,,"the car commercial notion of buying a car as a gift is fuckin disgusting"
