NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
erikbryn,154251,46939,"Professor @MIT. Director @MIT_IDE. Co-author @2MABook & #MPCBook 
#MIT #2MA",151307,4904,"RT @volkuleshov: I love this chart from the AI index report. You clearly see the peak of 80's AI hype and its slow drop-off. We seem to hav…"
,,,,,,"RT @GreatestQuotes: ""Fix your eyes forward on what you can do, not back on what you cannot change"". - Tom Clancy"
,,,,,,"RT @rajendrargupta: There’s no question there have been a number of breakthroughs in recent years, but it’s also clear we are a long way fr…"
,,,,,,"@TorstenAkesson @robinhanson Could be worse   ¯\_(ツ)_/¯"
,,,,,,"Good news: most exoplanets are probably unwelcoming to life (ergo maybe the Great Filter is behind us):… https://t.co/pGWu9e7I1I"
,,,,,,"A.I. Will Transform the Economy. But How Much, and How Soon? https://t.co/ljnL3EycFj"
,,,,,,"@bwaber @mioana That's a great article which I read when it first came out on his blog.  Rodney and I talk about th… https://t.co/zJp937gOI0"
,,,,,,"@asymmetricinfo @OllieWH22 Are you saying that the debt would be the same if Bush and the GOP hadn't done those thi… https://t.co/dQIsT89Zat"
,,,,,,"@asymmetricinfo @OllieWH22 Why excuse the policies? 
There were two huge tax cuts without offsetting spending cuts,… https://t.co/VLJLZgDazt"
,,,,,,"@asymmetricinfo And here's changes in the long term budget outlook https://t.co/li7QttKhUW"
,,,,,,"@asymmetricinfo Thank you.

""Obama said since taking office the country has seen ""our deficits cut by two-thirds.""… https://t.co/ab2CgtTjNQ"
,,,,,,"@asymmetricinfo What was the deficit when Obama arrived and what was it when he left?  Was ACA fully paid for?  Wha… https://t.co/q0Ub9ljVFu"
,,,,,,"@asymmetricinfo I'm sure you know the difference between changes in the deficit and changes in the debt, so this tweet is odd."
,,,,,,"RT @brianschatz: Please RT if you think that every Senator should be given enough time to read a multi-trillion dollar piece of legislation."
,,,,,,"Great news!  @Noahpinion just save us a lot of work by making this shopping list for the holidays.  Happy to see Th… https://t.co/DRi6QismlB"
,,,,,,"@Noahpinion Thanks, Noah!  I feel honored.

Where can I find the full list?"
,,,,,,"The Second Machine Age was never called ""sprightly"" when it was younger, but it's aging decently well.

#2MA https://t.co/br0bXTJv4x"
,,,,,,"RT @cdelancray: The AI Index is an initiative to track, collate, distill and visualize #data relating to artificial intelligence.
#machinel…"
,,,,,,"Here's coverage our the just-launched AI Index  by @RichardWaters in the @FT 

https://t.co/vhjGG44AXd https://t.co/8SLkLCcvkC"
,,,,,,"@robertoge sure"
,,,,,,"@pmddomingos @amcafee Thanks, @pmddomingos 
So glad you liked it!"
,,,,,,"Here's the AI Index, launched today and chock full of facts and data:

https://t.co/ZZU7IZXfts"
,,,,,,"This fascinating article by @SteveLohr describes the the AI Index (https://t.co/ZZU7IZXfts) that Yoav Shoham, Ray P… https://t.co/uk0jX2Ylqm"
,,,,,,"RT @amcafee: .@erikbryn and I are thrilled to have our book ""Machine | Platform | Crowd"" included in @JPMorgan's #NextList2018 
https://t.c…"
,,,,,,"Bottom line:
""Given that we are not likely to reconcile our differences any time soon, all of us should instead sen… https://t.co/je9L7v7lyg"
