NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
hugothetroll,21911,129,"Developer and publisher of F2P mobile games. Currently creating #KingsofSoccer with @FuzzyFrogGames. The official Twitter of 90s game character #Hugothetroll",3243,699,"Hugo Games Community Update https://t.co/72HOSiH2iX"
,,,,,,"@hfag_1989 Something like that, yes! It's a sad situation :("
,,,,,,"@hfag_1989 They came into financial difficulties sadly and were unable to continue :("
,,,,,,"@hfag_1989 Sadly they don't exist! Agent Hugo was developed by ITE who became defunct in 2006!"
,,,,,,"@hfag_1989 Hey Hugo, we don't have any images on file for Honeybunny. They will have been generated by the previous studio!"
,,,,,,"@hfag_1989 Unfortunately that's not something that we are able to do for you, Hugo. Sorry for the inconvenience!"
,,,,,,"@hfag_1989 I have heard of Honeybunny! Why do you ask?"
,,,,,,"@mech3d Hey fürhan, we develop our games in house and don't currently publish games for other developers. Good luck… https://t.co/n1VEBmOPGI"
,,,,,,"@hfag_1989 Thanks for the positivity, Hugo! We'll do our best ;)"
,,,,,,"Hugo Games Community Update https://t.co/BVUKRZejWW"
,,,,,,"Continuing on from last week, I have a GIF for you! Coming Soon... #KingsofSoccer #MobileDev #MobileGame https://t.co/MOggxeqyr7"
,,,,,,"Good afternoon :) Working on the community update as always. If you guys have any questions, let me know. More announcements tomorrow!"
,,,,,,"COMING SOON, our new game ""Kings of Soccer"". An arcade soccer title with PvP elements and a solid meta game. More n… https://t.co/LoQetbWiuU"
,,,,,,"Hugo Games Community Update https://t.co/YRYcynhBC7"
,,,,,,"Who's ready for some news this week? Keep your eyes peeled tomorrow, I'll have something special for you :) #mobilegame #MobileDev"
,,,,,,"Halloween is approaching this month.  If anyone has any halloween related fan art for Hugo, now is the time to share it with me :)"
,,,,,,"Good morning :) A busy Monday for us! Next week's community update will be an exciting read."
,,,,,,"@Naysayerz If you still need someone to fill some slots, I can do it? :)"
,,,,,,"@96Neki4 That's a cool idea! Issues with obtaining licenses from LEGO for it though, very expensive!"
,,,,,,"Hugo Games Community Update https://t.co/eLBg0nSIGP"
,,,,,,"@96Neki4 My favourite Hugo game was Black Diamond Fever on the Playstation 1. Would look pretty cool as a remaster… https://t.co/092REaRk9j"
,,,,,,"@96Neki4 No info on this yet! Like I said, our team has been insanely busy recently :("
,,,,,,"@96Neki4 There's potential for this, Neki! :)"
,,,,,,"@96Neki4 Nothing Hugo related to report at the moment!"
,,,,,,"@96Neki4 Hey Neki, I'll look into it for you. We're pretty busy with our 4 projects at the minute though!"
,,,,,,"Working on the Community Update for this week. Making them bi-weekly from now on. Let me know if you want anything on the update!"
,,,,,,"@96Neki4 Hey Neki, do you mean remaster Hugo World?"
,,,,,,"Hugo Games Community Update August 31 https://t.co/YpfRzQ5Isr"
,,,,,,"Last minute delay for the community update. I'll send it out tomorrow :) Some cool news coming."
,,,,,,"RT @be_joue: Connaissez-vous Hugo Délire ? @be_joue vous raconte tout sur ce jeu encore culte. @hugothetroll #HugoDélire #ronaldo https://t…"
,,,,,,"@Artzei2 That's a good question! That's not our project, that belongs to Hugo Entertainment :)"
,,,,,,"Hello :) Working on the community update for this week. Some new things to talk about, but I'm also taking questions if you have any!"
,,,,,,"@wenti_man Don't worry, this one's just going to take a little longer. You'll receive it on Friday :)"
,,,,,,"@96Neki4 It looks really cool! I never saw anything like that on TV back in 2005."
,,,,,,"@96Neki4 Thanks for the video, Neki! Unfortunately I can't speak polish so I have basically no idea what is happening in the video!"
,,,,,,"Hugo Games Community Update https://t.co/vrmylGtdiq"
,,,,,,"@XRQRQXR I think that was the artist's intention, Robin! :)"
,,,,,,"Found some unique fan art online this morning... Hugo on a gas cap for a car. How awesome is that?! https://t.co/kw4ep1FF1M"
,,,,,,"@96Neki4 I have, don't worry :)"
,,,,,,"@daniel_roland Nothing worth reporting this week! Just regular progress :)"
,,,,,,"@96Neki4 Nice job Neki ;) Sadly no news on this one yet!"
,,,,,,"Hugo Games Community Update August 10th https://t.co/Z6jJhqjhqp"
,,,,,,"@96Neki4 Haha, let us finish the games first and then we'll think about adding Hugo! :)"
,,,,,,"Good morning! You guys know the drill, Community Update is out tomorrow. I'm answering questions this time, any last minute questions? :)"
,,,,,,"In case you missed our weekly community update, you can join the Official Hugo Games #Discord server here! - https://t.co/QhFdySdjDh"
,,,,,,"Hugo Games Community Update August 3rd https://t.co/GwyzlzfIUP"
,,,,,,"Good morning! Don't forget we have a new community update being sent out in a few hours. Keep an eye out! :)"
,,,,,,"Happy Wednesday! I just finished writing out the Community Update for this week. Tomorrow will be an exciting time ;) #Discord"
,,,,,,"@96Neki4 We are still keeping an eye out for any info regarding the movie, yeah!"
,,,,,,"RT @FuzzyFrogGames: Hey! We're currently recruiting for a new Character Artist in the studio in Nottingham.  For more details, check - http…"
,,,,,,"@96Neki4 I like that one! :)"
,,,,,,"@96Neki4 I actually think that's a great idea, Neki! I'll look into how we'd go about doing that on Twitch :)"
,,,,,,"When you realise it's Monday... Anyone got any #MondayMotivation for us? https://t.co/zekkVgXtLH"
,,,,,,"Hey! :) How do we feel about doing #FanArtFriday? Hit me with what you've got! https://t.co/gvjJyB36Go"
,,,,,,"@96Neki4 Ah, OK. I understand. Thanks for the feedback Neki! :)"
,,,,,,"@96Neki4 Hey Neki, I'm not 100% sure what you mean! Can you clarify for me? :)"
,,,,,,"@wenti_man I thought someone would say this.  I'll look into doing it for you, Marvin :) Thanks for the feedback!"
,,,,,,"RT @LboroJobNetwork: The mobile games developer @FuzzyFrogGames have registered with us &amp; are recruiting for various #grad role now!
https:…"
,,,,,,"As it's Thursday, here's a #Tbt to when we sent out 13 KILOGRAMS of cheese to one lucky fan, Patrick.  Thanks for s… https://t.co/i0efRsTUZ4"
,,,,,,"Hugo Games Community Update July 27 https://t.co/KSZrZ8tnx8"
,,,,,,"Good morning!  I hope you have a great day, wherever you are in the world.  Keep an eye out for the Community Update in a few hours :)"
,,,,,,"Some more fan art has come through! I'm picking up a more Troll Race kinda vibe. Thanks Erica! https://t.co/n2s8wMHKqE"
,,,,,,"@Abakar_Hamdan My pleasure! :P"
,,,,,,"@Abakar_Hamdan You should start living in the present! ;)"
,,,,,,"@Abakar_Hamdan We spoke just yesterday!"
,,,,,,"@Abakar_Hamdan I'm doing great, thank you for asking :)"
,,,,,,"@Abakar_Hamdan What's up Abakar :)"
,,,,,,"Hey :) I'm currently writing our next community update which will be sent out tomorrow. Sign up here! - https://t.co/9NRLcODUt8 :)"
,,,,,,"@TheKartio I also checked out your channel for a minute, you're a pretty good Roadhog player in Overwatch ;)"
,,,,,,"@Abakar_Hamdan Not too much! Workin' hard obviously ;) How are you, friend?"
,,,,,,"@TheKartio Hey Kartio, as far as I know, we only have the rights to Hugo's image and not his legacy games.  I'll lo… https://t.co/Z8M7LKSEgg"
,,,,,,"@Abakar_Hamdan Hey Abakar :)"
,,,,,,"This link Works better (especially if you don't have Facebook!) - https://t.co/AfcLlxWh5s"
,,,,,,"@ST55582306 Great choice! Agent Hugo is one of his cooler personas for sure :) If we start work on any new PC Hugo games, we'll tell you!"
