NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
jasonrdean,2130,17,"Global Technology Editor at The Wall Street Journal | jason.dean@wsj.com",5058,293,"RT @srabil: Shoutout to @WSJ media team &amp; colleagues for crushing it today: 
Comcast approached Fox https://t.co/Gxbm8qpkc1
BuzzFeed, Vice…"
,,,,,,"Big quarter for Apple includes rebound in China sales

https://t.co/tUK5UmtJf5 

by @trippmickle @wsj"
,,,,,,"‘Activate the space’
How Adam Neumann’s showmanship won a tech valuation for property biz

Great read by @eliotwb
https://t.co/0XnOwP5UzE"
,,,,,,"Excellent work by @RolfeWinkler on this investigative scoop https://t.co/20GY8ldI6r"
,,,,,,"@WSJ: Facebook cut references to Russia from its April report on election influence

https://t.co/N9fXqXUSe8

by @bobmcmillan @shaneharris"
,,,,,,"Another Uber scoop from @GregBensinger

Kalanick appointing 2 new directors to Uber board, in defiance of Benchmark

https://t.co/mTLyuPgG9u"
,,,,,,"RT @evadou: .@Kubota_Yoko is killing it already on the supply chain beat. She explains iPhone X's Romeo and Juliet parts problem https://t.…"
,,,,,,"Wonder if I'm among the chosen few who get to experiment with longer Tweets
https://t.co/sjZdeRdYnM

If so, I'm using the space to reveal th"
,,,,,,"SoftBank aims to buy up to 22% of Uber - w/ a discount
Some investors say no thanks

https://t.co/etYqiyE02B
by @GregBensinger @Phred_Dvorak"
,,,,,,"First look at the iPhone X via @geoffreyfowler who says Apple’s best effort no longer looks like a 3-year-old phone

https://t.co/MvC5uVWDmj"
,,,,,,"Here's the best place to follow Apple's big event, happening now:

https://t.co/aOkE29GCOp
@WSJTech"
,,,,,,"RT @daiwaka: Good story about trials and tribulations of Google trying to work with automakers. Clearly, message these days is: we are not…"
,,,,,,"RT @bobmcmillan: Got a tip? Use the @WSJ's SecureDrop. https://t.co/FGIvZK4EXR"
,,,,,,"RT @ScottMAustin: While we meet Uber's new CEO... https://t.co/eYKAmmV2I1

...WSJ reports Uber faces a new Justice Department probe https:/…"
,,,,,,"RT @jyarow: 'He described his relationship with Mr. Kalanick as “budding.”’ https://t.co/2SYfDpLpGX"
,,,,,,"Expedia CEO Dara Khosrowshahi tells @WSJ he plans to accept Uber CEO Job 

https://t.co/dvaiNI3g9G

via @c_kirkham (correcting handle)"
,,,,,,"Expedia's CEO tells @WSJ his relationship with Travis Kalanick is “budding”: “I think there’s mutual respect there”

https://t.co/dvaiNI3g9G"
,,,,,,"Controversy clouds Uber CEO search process

A look at the messy final days via @GregBensinger @sfwriter

https://t.co/r3v6bSmjoq"
,,,,,,"RT @ScottThurm: Rich, nuanced story about tough convos between VCs and entrepreneurs in wake of sexual-harassment scandals https://t.co/x86…"
,,,,,,"RT @GregBensinger: If you're not reading this great Cisco yarn, you're doing yourself a disservice. Do it.
@sfwriter @WSJ 
https://t.co/7aS…"
,,,,,,"Great look inside the Cisco vs Arista battle by @sfwriter

New tech disrupts old tech, and friends become rivals 

https://t.co/HmnCHLRmCa"
,,,,,,"RT @dseetharaman: NEW: In Dec., Facebook shut down anonymous internal forums after 1 got heated over politics, diversity&amp; other issues http…"
,,,,,,"RT @SteveCase: How Facebook Squashes Competition https://t.co/W24yfCeAYt ""Being aided by 'early bird' warning system that identifies potent…"
,,,,,,"What it's like to be a startup in Facebook's crosshairs

Great read from @BetsyMorris2
@dseetharaman 

https://t.co/jBOTfM9a7Y"
,,,,,,"Shh.. Here comes the world's 5th richest man. Act natural

Fun read on Zuck's US tour by
@reidepstein @dseetharaman… https://t.co/Bf488dZF1R"
,,,,,,"Have a promising startup? Don't miss chance to join @WSJ Startup Showcase. Submission deadline July 7… https://t.co/tJpgqvrPLC"
,,,,,,"How the iPhone was born: the missteps and triumphs recounted by Scott Forstall, Tony Fadell and Greg Christie… https://t.co/KnNgvMHyBi"
,,,,,,"RT @JoannaStern: Forstall, Fadell + Christie on how the iPhone came to be. A @WSJ 10-min mini-doc for the iPhone’s 10th anniversary   https…"
,,,,,,"RT @AlyssaAbkowitz: This may be one of my very favorite @geoffreyfowler columns: Our 10-year co-dependent relationship with the iPhone  htt…"
,,,,,,"Painfully funny summary of our 10-year codependency w/ iPhone by @geoffreyfowler
Dear iPhone: I Love You. I Hate You
https://t.co/Pnnb6ENKMs"
,,,,,,"RT @greene: Retail's King Kong and Godzilla (Amazon and Wal-Mart, or is it Wal-Mart and Amazon?) take their fight to the cloud https://t.co…"
,,,,,,"Why is Apple valued so highly? 

Call it iHope. These 14 Charts explain
https://t.co/lcUaig4Qyg

via @trippmickle @WSJTech
$AAPL"
,,,,,,"On the internet, nobody knows... that their videogame teammates are actually teenagers

Fun read by @saraheneedleman
https://t.co/qGnTmn2fgk"
,,,,,,"Don’t Expose Yourself: 
How you can fight back against internet snoops

Very useful guide from @geoffreyfowler 

https://t.co/55SzyMHhdc"
,,,,,,"RT @nateog: This is must watch stuff.. Not joking... https://t.co/LLKIeRKtUi"
,,,,,,"RT @geoffreyfowler: What these sites know about you might freak you out. Try my @wsj privacy test: https://t.co/u8XjDjT69i https://t.co/gQZ…"
,,,,,,"Not worried about online privacy?
Your personal data is way more exposed than you think, says @geoffreyfowler… https://t.co/idHPzoC05z"
,,,,,,"RT @JoannaStern: Full page newspaper ad of me and @geoffreyfowler? Or giant coloring book? Either way, it's awesome. https://t.co/nzKnc9zn9z"
,,,,,,"Elon Musk is reshaping car, rocket, and train travel, etc. His biggest headache: employee parking… https://t.co/4nT592qdHm"
,,,,,,"RT @jacknicas: Google also showed ads for Coca-Cola, Microsoft, Amazon, P&amp;G, Geico &amp; Toyota on racist videos. Some didn't comment; some kee…"
,,,,,,"RT @jacknicas: Exclusive: Pepsi, Walmart, Starbucks, GM, Dish, FX pulling some Google ads after WSJ found their ads on racist YouTube video…"
,,,,,,"Bitmojis with the boss. What could possibly go wrong?

https://t.co/fM6Ju0F72O

This Ahed from @saraheneedleman is https://t.co/yfsMYsnNiL"
,,,,,,"RT @JChengWSJ: Samsung is one of the world's biggest companies. Its leader is in jail. Now what?
@_eunyoungjeong @timothywmartin 
https://t…"
,,,,,,"RT @davidfrum: Within 24 hours of my making a grouchy comment about WSJ’s Trump coverage, they set me straight w an important scoop https:/…"
,,,,,,"Disney severs ties with PewDiePie after @WSJ inquires about YouTube superstar's anti-Semitic comments… https://t.co/fFpeQJrOKo"
