NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
karpathy,101347,2306,"Director of AI at Tesla. Previously a Research Scientist at OpenAI, and CS PhD student at Stanford. I like to train Deep Neural Nets on large datasets.",58138,60234,"(bracing myself for people who really like Photoshop and feel strongly that this is really just a continuation of the smart brush :))"
,,,,,,"@SethHWeidman Nice, but don't think you're seeing the full force and scope of my original post. (Which of course is… https://t.co/ngVPkJxHz8"
,,,,,,"HoME: a Household Multimodal Environment https://t.co/IdWY3N6xej looks pretty cool! vision, audio, semantics, physi… https://t.co/GTi0HkZpf7"
,,,,,,"Wow, GANs are on a roll. Quite amazing results from pix2pixHD: https://t.co/sJUNWiWd9i Also the most tangible glimp… https://t.co/E5BzA41Skd"
,,,,,,"RT @goodfellow_ian: ML researchers, reviewers, and press coverage of ML need to get a lot more serious about statistically robustness of re…"
,,,,,,"RT @OriolVinyalsML: Great stuff from @maxjaderberg et al on hyperparameter search based on evolving populations that actually outperforms r…"
,,,,,,"Can't find a website, but name is Sean Kilcoyne (sean3v@hotmail.com). A lot of beautiful work. (@ Market in SF near ferry building)"
,,,,,,"Randomly picked up this beauty from an artist on a street market. https://t.co/4fKTcIoOgB"
,,,,,,"@Imaculate3 nope, long gone, forever."
,,,,,,"@_AntreasAntonio \alpha_k ? :) Almost my initials"
,,,,,,"Haha! :) And I thought I'd have to stay in physics if I wanted my own constants. https://t.co/bHG0dbK7oT"
,,,,,,"@thvasilo it's in the plans, for the last year :) I wish I had the time, sorry :("
,,,,,,"RT @Tesla: https://t.co/0rBaJNQrum https://t.co/pyoDmOj4XC"
,,,,,,"RT @jackclarkSF: Untethered 'Atlas' robot backflip. Pretty incredible stuff from Boston Dynamics.

https://t.co/hJo4pO1RwG https://t.co/Nc8…"
,,,,,,"RT @OpenAI: Are you a programmer who wants to get into deep learning? Apply to our Machine Learning Fellow role: https://t.co/15Oatnkw2t"
,,,,,,"RT @Reza_Zadeh: The New Computing Stack:

- GPUs/TPUs are eating Linear Algebra.
- Linear Algebra is eating Deep Learning.
- Deep Learning…"
,,,,,,"Very good reading from Rodney Brooks ""The seven deadly sins of predicting the future of AI"" https://t.co/l8MnwBnQqj"
,,,,,,"RT @soumithchintala: use gradient magnitude as a signal for gradient importance. 
Sort your gradients, find a threshold, clip your gradient…"
,,,,,,"RT @hardmaru: Evolution Strategy Variant + OpenAI Gym https://t.co/t2R0QQ5qcH"
,,,,,,"RT @petewarden: Deep Learning is Eating Software - https://t.co/RPS885THdC - a post inspired by chatting with @karpathy about Software 2.0!"
,,,,,,"New blog post: ""Software 2.0"" https://t.co/psXB9T1anp"
,,,,,,"RT @quasimondo: Facefeedback II https://t.co/XuFlNWGJ7r"
,,,,,,"RT @hnisimasu: Single-molecule movie of DNA search and cleavage by CRISPR-Cas9. https://t.co/3NQxmbvzJF"
,,,,,,"RT @sla: Preferred Networks achieved 74.9% accuracy on ImageNet training in 15min, the world's fastest result using ChainerMN and 1,024 P10…"
,,,,,,"RT @GaborMelis: Give your baselines some love and they might surprise you: https://t.co/Bi0sZCw76r"
,,,,,,"@taehoonleeml looks like @RemiCadene also has a PyTorch implementation here as few hours ago: https://t.co/4fjAMAly7E"
,,,,,,"@taehoonleeml wow, nicely done! (if equivalent.) need to step through :s, really not looking forward to"
,,,,,,"Google released NASNet in TF a ~week ago, which is exciting https://t.co/cwXKDVzriP the code is a bit difficult to… https://t.co/bqifZILdOU"
,,,,,,"RT @ch402: What do neural nets see? You may be surprised. @zzznah @ludwigschubert &amp; I explore. https://t.co/bLQMQLYz9c https://t.co/9uOL6uF…"
,,,,,,"RT @jeremyphoward: Very handy reference to relative Imagenet performance of many recent architectures
https://t.co/05IiapgtiC https://t.co/…"
,,,,,,"TensorFlow Eager https://t.co/lGc6lVjWB8 now more like Chainer, as a response to PyTorch"
,,,,,,"@gwern @hardmaru (e.g. forward a batch through backbone, then pick pairs, make virtual examples batch, evaluate los… https://t.co/NxzVMw5e3G"
,,,,,,"@gwern @hardmaru also ""where (xi,yi) and (xj,yj ) are two feature-target vectors drawn at random from the training… https://t.co/KGZU6sVCZH"
,,,,,,"@gwern @hardmaru I had the same question. Paper does say ""prior knowledge that linear
interpolations of feature vec… https://t.co/7qKvsYCFUg"
,,,,,,"RT @hardmaru: Mixup: Beyond Empirical Risk Minimization. Use random linear interpolation for data &amp; labels to increase robustness of networ…"
,,,,,,"Efficient Processing of Deep Neural Networks: A Tutorial and Survey https://t.co/1YkpCPxOcE good reading."
,,,,,,"@mrdonut oh yeah :s sorry, i'll try to bring it back. will call them to see what's happening."
,,,,,,"(the phrase ""pretty cool"" is specific, and refers to my earlier post on VR problems https://t.co/6NXEJf9Fvj)"
,,,,,,"""Why Snapchat Spectacles failed"" https://t.co/jDDpQRE83E I had both Google Glass &amp; Spectacles. They were ""pretty cool"", like VR, Kinect etc."
,,,,,,"RT @quasimondo: Looks like nobody reads the README. There is a 1 hour clip of @nvidias's generated faces with just 166 views: https://t.co/…"
,,,,,,"@jacobandreas 🔥🔥🔥"
,,,,,,"Article also correct to point out the very small few months (~3) payback costs wrt AWS for these kinds of configs"
,,,,,,"""DeepLearning11: 10x NVIDIA GTX 1080 Ti Single Root Deep Learning Server."" That's a lot of firepower for $16K https://t.co/f5v7HdevXJ"
,,,,,,"There are only a few things that compete for top spots on my ""what would I do with an exaflop computer"". This is now up there."
,,,,,,"0_o https://t.co/M3yB6rzTiO"
,,,,,,"wow, blown away &amp; hypnotized by results from Progressive Growing of GANs https://t.co/hMpersJEps &amp; code on github: https://t.co/dLTld3Tc6L"
,,,,,,"RT @fhuszar: AlphaGo Zero: the Minimal Policy Improvement principle, connections to vector fields, EP, Contrastive Divergence
https://t.co/…"
,,,,,,"@smc90 :) np, like the podcast! one of my favorites"
,,,,,,"Heard my name name dropped on the latest a16z podcast during my morning commute, wrt AI. Unfortunately they think I work at Google ;'("
,,,,,,"Good &amp; quick to the point reading: ""Introduction to High Performance Scientific Computing"" [book pdf] https://t.co/QOiEqZmUn7"
,,,,,,"RT @Smerity: A fascinating discussion of Fermi Paradox / Drake Equation parameters that shifted my thinking on the matter 🙂
Link: https://t…"
,,,,,,"My fave part is that the prediction accuracy on professional moves goes up during training, and then eventually goes down a bit. Nice."
,,,,,,"Should add that it's quite general, but within limits. Not all applications (most) allow a simulator and self-play https://t.co/tI3VkUGYsT"
,,,,,,"AlphaGo Zero https://t.co/ylFOFZl3jf v cool based on skim: no sup pretraining, raw board input, resnet, new training scheme. more magic."
,,,,,,"RT @NathanBenaich: Welcome to Issue 21 - Part 1 of 2! 🤓 https://t.co/FVuX59UqG8"
,,,,,,"Stanford's EE380 Colloquium on Computer Systems videos https://t.co/A9PLUV7Jzm"
,,,,,,"@LH Sounds legit."
,,,,,,"The heat expelled from the back of a computer makes me sad."
,,,,,,"RT @genekogan: it's like a Shepard tone. the center mask appears as if it's cascading outwards, but it's an illusion. it always stays in th…"
,,,,,,"@brandondamos e.g. sometimes the activations have strong columns, or are weirdly sparse or weirdly dense, or some ReLU neurons die, etcetc"
,,,,,,"@brandondamos more generally, curious how one could measure overall ""health"" of a network. When you look at loss/ac… https://t.co/jw9J9c3fGc"
,,,,,,"An uncharacteristically good discussion spotted on r/ML https://t.co/kqqErqjMtV TLDR: use trunc float32 (""bfloat16"") instead of float16"
,,,,,,"RT @OpenAI: AIs which develop faking, tackling, blocking, kicking through self-play: https://t.co/Ml4AAqFa67"
,,,,,,"RT @pabbeel: Deep RL Bootcamp lecture videos and labs release https://t.co/XNUmQ5SHkx! :)  [Organized by @pabbeel, Peter Chen, Rocky Duan,…"
,,,,,,"@pedrordz wat"
,,,,,,"Every noise at once https://t.co/YnFu2cJeBB lays out all possible music in 2D + spotify samples. very cool."
,,,,,,"@dauber @3Blue1Brown @lishali88 :) spotted on top of r/MachineLearning"
,,,,,,"I'm apparently quite late to the party, but I discovered a very good/thorough math YouTube channel; 3Blue1Brown: https://t.co/TKIEVx10jf"
,,,,,,"RT @goodfellow_ian: Google Brain Residency has been upgraded to Google AI Residency. Now possible to work with more AI teams at Google. htt…"
,,,,,,"RT @OriolVinyalsML: WaveNet becomes the voice of Google Assistant! 1000x faster &amp; better, brought to you by a neural net : ) https://t.co/6…"
,,,,,,"@KelloggsUS Hi, there are not enough raisins in your Raisin Bran. This is causing me significant distress."
,,,,,,"RT @OpenAI: Deep linear networks can learn to perform nonlinear computation due to imprecision in floating point arithmetic: https://t.co/T…"
,,,,,,"@jeremyphoward frequent conversation could be a hint of something amiss. I don't see insight from ""I used 50 pretra… https://t.co/boyHLwJfTq"
,,,,,,"RT @SpaceX: Supporting the creation of a permanent, self-sustaining human presence on Mars. https://t.co/kCtBLPbSg8 https://t.co/ra6hKsrOcG"
,,,,,,"Kaggle competitions need some kind of complexity/compute penalty. I imagine I must be at least the millionth person who has said this."
,,,,,,"My favorite quote is from the winning solution (https://t.co/p6fH7lb3s7)  ""9.I tried bayesian inference but I found it was not helpful."" LOL"
,,,,,,"Reading through winners of the Amazon Space Kaggle competition https://t.co/ylMZFYr10A the solutions are out of control with ensembles"
,,,,,,"(for a long while I preferred writing backprop manually in raw numpy instead of adopting Theano. irrationally so. good old days.)"
,,,,,,"RIP Theano https://t.co/xPn1umD86b I was never able to pick it up, but it was _the_ thing to use for deep learning for a good while."
,,,,,,"""Facebook, you needy sonofabitch"" https://t.co/Zamv9fhopx hits a nerve. You can measure my click throughs but you can't measure my annoyance"
,,,,,,"When my loss goes down it's not ""cool, it's working!"", it is ""hmm it should be going down faster, something must be wrong"". Okay, &lt;/rant&gt;."
,,,,,,"The ""move fast &amp; fix stuff until it compiles then it's probably fine"" approach is inadequate when each bug silently subtracts 2% accuracy."
,,,,,,"To get neural nets to work one must be super-OCD about details. With bugs nets will train (they ""want"" to work), but work silently worse."
,,,,,,"@hardmaru should be explicitly pointed that this is for an AlexNet, not ResNet-50 for which they match the time. Bi… https://t.co/l526KrCjSV"
,,,,,,"RT @hardmaru: ImageNet Training in 24 Minutes. ""Our hardware budget is only $1.2M, which is 3.4 times lower than Facebook's $4.1M"" https://…"
,,,,,,"spotted on PyTorch Slack :D dynamicgraphs.png https://t.co/Wgi4vL9yEQ"
,,,,,,"@hholst80 ""It might not catch an existing bug..."". that's a bug."
,,,,,,"One of more unintuitive Python gotchas is that assert is a statement not a function. Can easily introduce large bugs https://t.co/vAUtLZ2N4L"
,,,,,,"RT @lxbrun: Deep learning hype in one picture
(NIPS conference registrations, 2002 through 2017) #nips2017 https://t.co/APOrzY1gpD"
,,,,,,"RT @evolvingstuff: ""5-10x faster than cuDNN-optimized LSTM""
Training RNNs as Fast as CNNs
https://t.co/Cs4WDXgoiW
PyTorch source code: http…"
,,,,,,"(I actually use a different 3-letter acronym but I'll try to keep my feed pg13 :))"
,,,,,,"alias wat='python -m pdb -c continue' # you're welcome"
