NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
kchonyc,7077,5855,"Assistant Professor of Computer Science and Data Science at NYU",10431,1029,"wtf? https://t.co/vl1fb71UAE"
,,,,,,"RT @goodfellow_ian: @Smerity @hardmaru You’re not supposed to resist that urge. A large part of the point of open review is that anyone can…"
,,,,,,"@goodfellow_ian @Smerity @hardmaru 200% agreed!"
,,,,,,"RT @soumithchintala: @jeremyphoward @PyTorch 0.4 will have full support for scalars and zero-dim tensors. it will also merge tensor and var…"
,,,,,,"RT @haldaume3: @BayesForDays @i_am_erip @adamgreatkind but PERL!"
,,,,,,"RT @Dev_tweetedme: Awesome news! https://t.co/PRCMWYYENl"
,,,,,,"@haldaume3 thanks! j thought you were already watching me lol"
,,,,,,https://t.co/phATATA2RA
,,,,,,"@hiconcep @dribnet reminds me of latent doodle space https://t.co/6lhR8mZR7i"
,,,,,,"RT @NAACLHLT: Why an Industry track?

""The idea of an industry track stemmed from the challenging issues encountered while attempting to ap…"
,,,,,,"@zehavoc oh no not that one but will try it out"
,,,,,,"@zehavoc I actually use that plugin and this is what I get.. :("
,,,,,,"@bahadir_onc me neither still"
,,,,,,https://t.co/xGAKVGHoWv
,,,,,,"RT @learning_unit: Sending a big THANK YOU to those of you who came to our booth at #RSNA17 - Our staff worked hard for this and yes, we’ll…"
,,,,,,"Quebec bans shopkeepers from saying 'Hi' https://t.co/atI9iQeZ2I"
,,,,,,"https://t.co/ToWYpONMIg @NYUDataScience is looking for the next cohort of data science fellows!"
,,,,,,"@HEPfeickert end-of-sequence???"
,,,,,,"@srbutner A: not yet"
,,,,,,"RT @NateSilver538: Flynn's guilty plea is seriously bad news for Trump: https://t.co/HTwT8KlxUW"
,,,,,,"RT @b_niranjan: Excited to host @haldaume3 today as part of our NLP Speaker Series in @sbucompsc. Looking forward to a great talk. Come joi…"
,,,,,,"OMG *geoff hinton* nominated me for this https://t.co/hQlBB3vYJF"
,,,,,,"RT @ankesh_anand: Introducing HoME: a Household Multimodal Environment for AI agents.
- 45,000 diverse 3D houses
- Vision, Audio, Physics a…"
,,,,,,"RT @Smerity: @yoavgo @haldaume3 @kchonyc I'm obviously admitting bias but yeah, my solution has generally been to move more towards QRNN ^_…"
,,,,,,"@haldaume3 @yoavgo ahahahaha"
,,,,,,"@haldaume3 @yoavgo third, drink"
,,,,,,"@haldaume3 @yoavgo second, prepare booze in the office."
,,,,,,"@haldaume3 @yoavgo first, use lstm which would call cuda native kernel"
,,,,,,"@haldaume3 @egrefen @yoavgo same objective diff parametrization"
,,,,,,"@haldaume3 @egrefen @yoavgo for the future record, log bilinear language model (I guess) and Bengio et al. (1999 or some year nearby)"
,,,,,,"@yoavgo @haldaume3 🙃"
,,,,,,"@yoavgo @haldaume3 going from O(T) to O(T)"
,,,,,,"@haldaume3 if they are of different lengths. perhaps you can pre-pad shorter seq's?"
,,,,,,"@haldaume3 some crazy solution: h_ &lt;= h0.clone().detach(); m: mask indicating whether to truncate; h1: new hid; h1 &lt;= (1-m) * h1 + m * h_"
,,,,,,"@haldaume3 oh i see. you want each example in a minibatch to be truncated at a different point?"
,,,,,,"@haldaume3 LSTMCell or LSTM? in the former, you probably could simply .clone().detach() at some point in the for-loop."
,,,,,,"@_shrdlu_ @nlpmattg @haldaume3 @trengarajan I think one of them was it being too empirical lol"
,,,,,,"RT @hardmaru: @theWinnower @kchonyc @xtimv Thanks :) From this page, is not clear whether you offer DOI services on per article basis (seem…"
,,,,,,https://t.co/b9GuDljw1e
,,,,,,"RT @glouppe: Inspired by https://t.co/oLMHsE1Rwb, today I tried to distill to my students some intuition behind the effectiveness of deep l…"
,,,,,,"@asayeed @yoavgo slightly off-topic, but i think @yoavgo should put in his profile that he's a ""power player"""
,,,,,,"@wellformedness @xtimv ""shitposting"" or ""flagplanting"" wouldn't pass the other criteria anyway. archival is pretty separate (e.g. arxiv)"
,,,,,,"@wellformedness @xtimv usefulness, relatedness, helpfulness: all good criteria for deciding to ref any existing wor… https://t.co/8npR3f4y3G"
,,,,,,"@_shrdlu_ @xtimv I think @xtimv meant that option as ""don't bother, since I won't (you shldnt) cite it anyway"""
,,,,,,"@xtimv I agree, but I find compiling a blog post into pdf and putting it on arxiv a weird workaround solution to it… https://t.co/TlQDrmD14n"
,,,,,,"RT @yoavgo: umm... I wasn't serious! we just got bored waiting. https://t.co/h0sWDjW6yp"
,,,,,,"@yoavgo 😂"
,,,,,,"@xtimv people should simply cite blog posts yeah yeah some hate citing anything non-referred I guess"
,,,,,,"@dovgalec tree structured parzen estimator https://t.co/FIRXZ2oTDj"
,,,,,,"RT @learning_unit: Our Chief Medical Officer, Brandon introducing Lunit INSIGHT - for those of you who missed our presentation, check out o…"
,,,,,,"RT @rctatman: Oh hey, @mozilla just launched its Open Source Speech Recognition Model and Voice Dataset! :D https://t.co/EmHQQmj0ad"
,,,,,,https://t.co/tqCHKbLTUj
,,,,,,"@tallinzen I know I really should start exploring this 280 chars"
,,,,,,https://t.co/sTcpDTOLj0
,,,,,,"RT @AnimaAnandkumar: @zacharylipton @kchonyc @ajassy And this is the repo for sagemaker notebooks https://t.co/OcpMKJ1haE"
,,,,,,"RT @zacharylipton: Amazon Web Services CEO @ajassy just announced some of the products my team has been working on: Gluon, DeepLens, Transc…"
,,,,,,"RT @eagirre: Our work featured as news in Science: Artificial intelligence goes bilingual—without a dictionary https://t.co/gplpwAWBMC"
,,,,,,"RT @fristle: Perhaps nobody noticed two weeks ago when the root login vulnerability in macOS High Sierra was shared as a helpful tip on App…"
,,,,,,"wtf https://t.co/8IMxjLowR0"
,,,,,,"RT @erikbryn: Why is Toronto becoming a center for AI research?

Partly due to US gov't policy: ""Ms. Sabour is an Iranian researcher who wo…"
,,,,,,"Using deep learning and Google Street View to estimate the demographic makeup of neighborhoods across the United... https://t.co/Ng7RKo5gQY"
,,,,,,"is the approximation in Eq. 16 valid? also, is it really the same kind of approximation from MRT (Shen et al.,... https://t.co/6CVC6ag0XQ"
,,,,,,"Thien Nguyen successfully defended his dissertation today! https://t.co/NWNSDuOVP7"
,,,,,,"@TheAshenLight @david_sontag @harvardnlp @sleepinyourhat in this particular defense, sasha rush"
,,,,,,"RT @KaiLashArul: ""Distilling a Neural Network Into a Soft Decision Tree"" by @nickfrosst and Geoff Hinton, featuring ""a hierarchical mixture…"
,,,,,,"Anthony Seungwook Paek on LinkedIn: “Super-excited to announce that we… https://t.co/h9zRe3j9qD"
,,,,,,"RT @yoavgo: We have a cool new algorithm for extracting automata from RNNs (LSTMs, GRUs..)

Turns out that for many simple languages, RNNs…"
,,,,,,"RT @goodfellow_ian: StarGAN: learning one model that translates between *multiple* domains without supervision (previous works were about t…"
,,,,,,"RT @sleepinyourhat: This week @NYUDataScience: @jennwvaughan on the 'Human Components of ML'. Should be great! (NLP/Text as Data speaker se…"
,,,,,,"RT @togelius: We are hiring at NYU Computer Science and Engineering! 
We have an open-rank faculty position in machine learning open. I wou…"
,,,,,,"Yacine Jernite defending his dissertation on language learning: supervisor @david_sontag, committee Slav Petrov,… https://t.co/x0hUHr28Mo"
,,,,,,"RT @awnihannun: My new article: ""Sequence Modeling With CTC"" published in @distillpub!
https://t.co/IApWKXWF6Z https://t.co/ROmwZEBKYc"
,,,,,,"@cohenrap @yaringal @_rockt all still serving on the editorial board of jmlr https://t.co/6A9VbIPgxl"
,,,,,,"RT @KyleCranmer: Gilles is fantastic and has a lot of interesting projects. https://t.co/DhRfKBmMK8"
,,,,,,"RT @min9minhong: Lunit Unveils 'Lunit INSIGHT,' A New Real-time Imaging AI Platform on the Web at RSNA 2017 https://t.co/ZC3SQk3sU5 #RSNA17…"
,,,,,,https://t.co/HXcMTpJkIm
,,,,,,"RT @NeuroStats: Open access journals are ridiculously expensive. 

Still can't get over the discrepancy between ML/stats/CS culture and lif…"
,,,,,,https://t.co/0kl3SfOEhG
,,,,,,"RT @EdiDataScience: Apply for @EPSRC CDT in Data Science @UniofEdinburgh for Sept 2018. 4-year MSc+PhD; https://t.co/ty30ENM9lw  #datascien…"
,,,,,,"RT @yuvalmarton: @kchonyc @zacharylipton @fhuszar Moving forward, emoji / modern hieroglyph writers should be called e-gyptians"
,,,,,,"@RandomlyWalking @sleepinyourhat agreed"
,,,,,,"RT @learning_unit: Proudly presenting our brand new, real-time imaging platform featuring cloud-based AI: Lunit INSIGHT at #RSNA17 Stay tun…"
,,,,,,"@alonamarie https://t.co/MZvFLR2lca"
,,,,,,"RT @lawrennd: @mgalle If major leagues involve paywalling publically funded research I’d rather play in the minors."
,,,,,,"@zacharylipton @fhuszar so ancient egyptians"
,,,,,,"@redpony @nsaphra unless @nsaphra is talking about her anonymized submission to this year's ICLR!"
,,,,,,"how could it get better than debuting on TV while dubbed in Basque! 😅... https://t.co/pMxq9lJbRw"
,,,,,,"RT @gmstearns: @washingtonpost Looks like Trump has found his new Director of NASA..."
