NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
latentjasper,1531,3950,"Machine learning researcher.  Research Scientist @ Google Brain.",510811,1019,"RT @tdietterich: @lawrennd Let’s not support another for profit publisher!"
,,,,,,"RT @StatMLPapers: New insights and perspectives on the natural gradient method. (arXiv:1412.1193v9 [cs.LG] UPDATED) https://t.co/30CwbAgEOF"
,,,,,,"RT @tdietterich: I signed the #ScientistsWarningtoHumanity and now everyone can help by sharing the following link: https://t.co/1wioJlSi9e…"
,,,,,,"@mfigurnov @ryan_p_adams He’s that good that he can still post it on arxiv 15 years later and it’s still not scooped"
,,,,,,"RT @ryan_p_adams: When Radford Neal writes a new paper, you drop everything and read it. 
""Circularly-Coupled Markov Chain Sampling""
https:…"
,,,,,,"RT @PHDcomics: Spread the word - Links at the bottom here: https://t.co/JIrELJ0M6i https://t.co/xqfqA9JMB2"
,,,,,,"RT @nick_kapur: When I was a PhD student, my stipend was just $18,000 and my waived tuition was $55,000.

Taxing someone who only receives…"
,,,,,,"RT @CNBC: House GOP tax plan would increase taxes for graduate students by roughly 400 percent https://t.co/aGLWfN4lMY"
,,,,,,"@betanalpha @_neil_spencer_ What is your favored method for comparing MCMC algorithms instead?"
,,,,,,"RT @DavidDuvenaud: RELAX!  Our new gradient estimator handles discrete variables and black-box functions.  Now going to try hard attention,…"
,,,,,,"@GaborMelis Absolutely had to give up on some ideas after Bayesian optimizing the baselines did better than previously reported."
,,,,,,"@maosbot I imagine in the beginning it will suggest edge cases.  Would you be willing to document those?"
,,,,,,"RT @maosbot: I'm using Bayesian optimisation to sequentially tune my moustache design this month: I'm calling it ""BOvember"""
,,,,,,"@VectorInst @DavidDuvenaud Congrats David!!"
,,,,,,"RT @VectorInst: Congratulations to @VectorInst faculty members Anna Goldenberg &amp; @DavidDuvenaud on their Canada Research Chair awards! http…"
,,,,,,"RT @shakir_za: The .@googleresearch PhD fellowship awards have been extended to include Africa. Please encourage good applicants to apply!…"
,,,,,,"RT @googleresearch: Check out Tangent, an experimental open-source Python library for automatic differentiation → https://t.co/851ztU6nYy h…"
,,,,,,"An awesome new autodiff library that makes things like hessian vector products and gradient surgery super easy https://t.co/nFRrQGnMSb"
,,,,,,"RT @mpd37: Faculty position in Machine Learning (CS Department) at Imperial College London .@ICComputing .@imperialcollege https://t.co/KCx…"
,,,,,,"@mblondel_ml @ryan_p_adams"
,,,,,,"RT @TwitterGov: Through our investigation we have learned that this was done by a Twitter customer support employee who did this on the emp…"
,,,,,,"Last day to submit to the NIPS workshop on ML4Health! https://t.co/0vpoDq1nBu"
,,,,,,"RT @AndrewLBeam: LAST DAY TO SUBMIT YOUR PAPER TO #ml4health: https://t.co/92ntVtCcWC"
,,,,,,"@adelong Neutral citations are a necessary evil in our field, to ward off attribution obsessors without wasting too much space."
,,,,,,"RT @goodfellow_ian: Applications for the 2018 Google AI Residency Program are open.  If you want to learn to do deep learning research with…"
,,,,,,"RT @MFiterau: 6 days left to submit your awesome research to the ML4Health Workshop, @NipsConference. Travel support is available! https://…"
,,,,,,"RT @jasonafries: 5 days left! Submit your workshop papers to Machine Learning for Health (ML4H) at #NIPS2017 @NipsConference https://t.co/D…"
,,,,,,"RT @ryan_p_adams: Yakir Reshef's new manuscript is up! 
Detecting genome-wide directional effects of TF binding on disease risk
https://t.c…"
,,,,,,"a packed audience for @kchonyc at #reworkDL https://t.co/1h8oSsPXc9"
,,,,,,"@hugo_larochelle @kchonyc @goodfellow_ian Wait, aren't those all pictures of Hugo?? :-)"
,,,,,,"RT @ivenzor: @latentjasper at Montreal Deep Learning Summit @teamrework #reworkDL https://t.co/T16Rd3xBsy"
,,,,,,"RT @kchonyc: Jasper Snoek on deep learning for DNA #reworkdl https://t.co/4vJA2FDPPm"
,,,,,,"RT @soumithchintala: fellow AI aspirants, brain residency is one of the best programs out there. do apply! https://t.co/Wvg9mbmkfc"
,,,,,,"@dustinvtran @tensorflow Excited that you will be at Google :-)"
,,,,,,"RT @dustinvtran: Excited to be at Google for rest of this year. Aside from basic ML research, expect Edward officially merging into @tensor…"
,,,,,,"RT @brandondamos: TensorFlow has a great new K-FAC library in tf.contrib by the authors and collaborators:

https://t.co/URVFjBa5m2 https:/…"
,,,,,,"RT @olivernmoody: Fund. Basic. Science. https://t.co/383ATgMwY7"
,,,,,,"RT @googleresearch: Google AI Residency Program (formerly the Brain Residency Program) applications are now open. Learn more &amp; apply at htt…"
,,,,,,"RT @goodfellow_ian: Google Brain Residency has been upgraded to Google AI Residency. Now possible to work with more AI teams at Google. htt…"
,,,,,,"@dwf And provides some amount of accountability"
,,,,,,"@jdudley @AndrewLBeam You should come complain at the panel discussion! :-)"
,,,,,,"RT @MFiterau: #ML4Health workshop @NipsConference 2017 is officially happening! ""Parts of healthcare that are ripe for disruption"" https://…"
,,,,,,"Excited to be co-organizing the NIPS workshop on ML for Health: What parts of healthcare are ripe for disruption? https://t.co/CRUDIxq0fA"
,,,,,,"RT @yisongyue: My answer to With regards to graduate school, how can one make up for a lack of research publications in the first … https:/…"
,,,,,,"@payne92 @SpeakerRyan It would be a lot simpler and more equitable if there were infinite tax brackets (ie just a continuous function)"
,,,,,,"RT @AndrewLBeam: Excited to be teaching this deep learning course in the spring @HarvardDBMI! It's going to be a lot of fun! https://t.co/9…"
,,,,,,"@kswersk @RogerGrosse If it's really Bayesian it'll be interesting to see its prior on being attacked by ghandi... https://t.co/V5DnLL2hoJ"
,,,,,,"@_amiller_ +1, Seems like the data is tremendously biased... these images are by design selected to broadcast the labels, no?"
,,,,,,"RT @jayvanbavel: I'm just going to leave this here as a reminder to my future self. https://t.co/ZDkKIzBTEf"
,,,,,,"RT @thomaskipf: Opening for a PhD/Post-doc position in Max Welling's lab at University of Amsterdam https://t.co/3hbmAYL8h0"
,,,,,,"@DataCereal @hugo_larochelle @arvind__t Congratulations!"
,,,,,,"RT @jonlaurence: Huge if true https://t.co/LnJVveiDin"
,,,,,,https://t.co/DezaZl9xOH
,,,,,,"RT @aishfenton: Love this viz of mcmc methods. Great work. https://t.co/Vpgfzo3MJh"
,,,,,,"Reviewer #3 says: Equation 7 was especially delicious... https://t.co/CQcOrJdfKX"
,,,,,,"RT @CataVallejosM: Open call for visiting researchers at @turinginst / deadline sept 27th
Get it touch if you would like to discuss a joint…"
,,,,,,"RT @denial101x: ""This just happened"" Associate professor Jennifer Bowen at Northeastern University, Boston releases this shocker @skepticsc…"
,,,,,,"RT @Breznican: They should teach this interview in journalism schools to show how you stop someone from lying on live TV. https://t.co/VZ6T…"
,,,,,,"@AngeBassa Email me with questions and I'll do my best!"
,,,,,,"@ylecun Workshops at Whistler? :-)"
,,,,,,"RT @d1ca1: Submit an abstract to #WiML2017! Meet awesome researchers, present your research, get additional travel $$ for #NIPS2017. Deadli…"
,,,,,,"As our conferences grow, maybe we should be considering the environmental impact.  Perhaps purchase carbon offsets as a group? #icml2017"
,,,,,,"@ilyasut Congrats Ilya!  So cool!"
,,,,,,"@gdb @DendiBoss @Arteezy @SumaaaaiL Awesome!  Will an API be shared? :-) Why SD?"
,,,,,,"@RandomlyWalking Agreed, some have been quite thoughtfully and professionally composed.  Lack of questions is a little unsatisfying though."
,,,,,,"@kswersk @hugo_larochelle Hugo must be a big deal in Australia..."
,,,,,,"Which one is the real @hugo_larochelle ? https://t.co/clZhOnHFXk"
,,,,,,"@AngeBassa Seems unfortunate that student loan interest is higher than mortgage and mortgage favors the wealthy bc of tax deduction..."
,,,,,,"Here! Looking forward to #ICML2017! https://t.co/rLQ7Nzg2ni"
,,,,,,"@amuellerml @ellisonbg You're just lucky the code isn't in R :-p"
,,,,,,"@brainiaq2000 @hugo_larochelle That's a big mistake.  Everyone knows Hugo is in the training set..."
,,,,,,"@DhruvBatraDB @hugo_larochelle I guess... a bearded québécois professor who spent too much time on the beach"
,,,,,,"@naz_erkan Definitely don't want any durians in our hotel..."
,,,,,,"@elonmusk @dcunni @SVbizjournal Concerns about AI seem like a distraction from the imminent dangers we're facing ri… https://t.co/FcrYeLP9Mc"
,,,,,,"@DhruvBatraDB @laurent_dinh @harm_devries @hugo_larochelle @AaronCourville Best not get in Harm's way!"
,,,,,,"@brainiaq2000 @awiltsch Looks like you guys are really suffering there..."
,,,,,,"@brainiaq2000 @jaynbaxter He's psyching himself up for a rainy 5k"
,,,,,,"@le_roux_nicolas @jackclarkSF @badmanatee Maybe writing scientific paper without experiments OR theory is bananas?"
,,,,,,"@kimiamavon Awesome picture"
,,,,,,"RT @deborahhanus: The #people + #AI #research initiative (PAIR). The @GoogleBrain team I'm working with just launched! 😃 https://t.co/A9kbp…"
,,,,,,"RT @morgan_murphy: there's no better image to represent all of America right now than a few enjoying the things that belong to the many. ht…"
,,,,,,"@ylecun @RogerGrosse So was cocaine... :-p (as in prescribed for many ailments before the true mechanism was understood)"
,,,,,,"RT @NandoDF: Fascinating reading. It makes me appreciate working for JMLR. https://t.co/oEftDuOGbm"
,,,,,,"@brainiaq2000 Well thank goodness that's finally settled"
,,,,,,"RT @eytan: New paper on how we use Bayesian optimization to run A/B tests at Facebook https://t.co/RfApkpzg10"
,,,,,,"RT @Rysktian: Glad to read such good news about my former professor @hugo_larochelle: one of the most brilliant stars of global re…https://…"
,,,,,,"https://t.co/8e1f64dcPr Across the street from MIT, down the road from Harvard..."
,,,,,,"RT @KetanJ0: A simple, 105 year old explanation of climate change https://t.co/DOqqNkTtdH"
,,,,,,"@brainiaq2000 And that's how the dance off was won"
,,,,,,"It's a pretty great job. https://t.co/CHqRoMpIzw"
,,,,,,"RT @RogerGrosse: Lots of papers claim to fix mode dropping in GANs. But you can't tell from samples, you need to test quantitatively. https…"
,,,,,,"@dwf I had to get a prereq waiver..."
,,,,,,"@dwf +1 I think I was in your class :-)"
