NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
lukeprog,2490,100,"Research Analyst, Open Philanthropy Project",235628,1299,"RT @aecoppock: This is the sweetest R&amp;R burn: Oh really, dear editor, you'd like me to do some subgroup analysis? https://t.co/3AUMD3gZo3 h…"
,,,,,,"Unsurprisingly, holding forecasters accountable for accuracy rather than process (in RCT) leads to higher accuracy. https://t.co/ww10Ck15uQ"
,,,,,,"I love reading the reasoning details in @GiveWell's annual top charity explanation posts: https://t.co/VyugrBW1vg"
,,,,,,"@patrickc - Barker, Losing Faith in Faith (prompted my deconversion)
- Yudkowsky, Rationality: From AI to Zombies (… https://t.co/8HJaDZlyfn"
,,,,,,"@michael_nielsen Another ""only humans can…"" falls."
,,,,,,"Interesting brief comparison of different approaches to moral weight: https://t.co/kC9N0L2kBp"
,,,,,,"@ESRogs @paulg @open_phil Or, better: https://t.co/XT6t6xTX1d"
,,,,,,"@michael_nielsen ""And yes, there’s still a sharp jump around 1800-1870 if you chart this on a log scale."" https://t.co/wn39Aiuc1d"
,,,,,,"@michael_nielsen (now added to this post too)"
,,,,,,"@evanbd See earlier linked post ('Three speculations…') for log scale chart; still a striking discontinuity."
,,,,,,"@michael_nielsen Log plot linked in original post; still a striking discontinuity. For much nuance we'd need more &amp; better long-run data."
,,,,,,"Whenever someone mentions the ""fourth industrial revolution,"" I want to say: ""There was only one.""… https://t.co/a5TlPtKMtM"
,,,,,,"RT @lakens: Perhaps the first description in the scientific literature of p-hacking (or 'Cooking') by (the) Charles Babbage, from 1830 (!),…"
,,,,,,"""average response was overconfident, [but] 15% of the people who took the assessment were actually under-confident"" https://t.co/kTu7FNaTgk"
,,,,,,"@oleMMoen @anderssandberg @danieldewey Probably the most-cited paper on the topic, and also a good one, is: https://t.co/dqZ365UJwM"
,,,,,,"RT @Noahpinion: There should be a blog called Reviewer 2, that just posts academic takedowns of academic papers that get reported in the me…"
,,,,,,"@HugoWeslien I just meant that e.g. it's going to be hard to read Pearl if you haven't first taken some basic courses in probability."
,,,,,,"RT @MuckRock: Amtrak offers up a solid contender for greatest #FOIA redaction of all time https://t.co/wiTX0cl8JJ https://t.co/7vIGr93YLd"
,,,,,,"RT @juliagalef: ppl: ""There's no point helping the poor if we can't fix root causes of poverty""
also ppl: ""Of course we should help hurrica…"
,,,,,,"No doubt my coworkers will soon get tired of me screaming into a couch pillow about this. https://t.co/hHwSJIERri"
,,,,,,"I'll be attending this animal consciousness conference at NYU — should be fun! https://t.co/rC7PJbg81l"
,,,,,,"Cool new @open_phil report on hen welfare evidence: https://t.co/lHMODqqoZC"
,,,,,,"RT @albrgr: Are ideas getting harder to find? Yup. https://t.co/sX6uExpM4R https://t.co/kZ7qsw95ue"
,,,,,,"Three wild speculations from amateur quantitative macrohistory: https://t.co/ycbdZ7q4Yl https://t.co/9vhsIjHNRe"
,,,,,,"RT @PessimistsArc: 142 years ago this guy couldn't believe anti-vaxxers still existed, 79 years after vaccines were introduced

Podcast:htt…"
,,,,,,"RT @FHIOxford: FHI is looking for interns to contribute to our work in the areas of AI policy, AI governance, and AI strategy https://t.co/…"
,,,,,,"RT @MaxCRoser: Wendy Carlin and Sam Bowles on their great free(!) online economics textbook that teaches how economists work today:
https:/…"
,,,,,,"@michaelbatnick @mjmauboussin If you want more questions, see this one too: https://t.co/PLFsTNMAje"
,,,,,,"RT @tinyrevolution: Kudos to humanity for manuevering ourselves into a situation where all our lives depend on the wisdom of Kim Jong-un an…"
,,,,,,"Social science researchers rejoice. https://t.co/QwYavEnZEt"
,,,,,,"They should call the winners of this forecasting tournament SuperCentaurs. https://t.co/oMNZZ57Ofu"
,,,,,,"RT @geospacedman: Statistical Rumsfeld: ""Known Knowns""=data; ""Known Unknowns""=parameters; ""Unknown Knowns""=uncertainties; ""Unknown Unknowns…"
,,,,,,"RT @ncasenmare: Trust is falling. Why? And how can we fix it?

My interactive guide to the game theory of trust is now OUT!

👉 https://t.co…"
,,,,,,"How accurate was https://t.co/Np3ago8FAD in 2016? https://t.co/lnsLl0BaOH"
,,,,,,"RT @ESYudkowsky: This brilliant proposed bill could save the United States. I expect to never hear about it again. https://t.co/YV2R8PWvkj"
,,,,,,"I mean seriously, what am I supposed to listen to until @pscaruffi's next batch of album reviews arrives?"
,,,,,,"RT @MaxCRoser: All data on https://t.co/W3jYzkv76R is available for download.
All visualisations are Creative Commons licensed.
All tools a…"
,,,,,,"Calibration of pneumonia diagnosticians vs. weather forecasters. Some types of experts much better than others.… https://t.co/KEZVhahYQt"
,,,,,,"@lakens (In case it's unclear, Lakens is being sarcastic.)"
,,,,,,"RT @lakens: DARPA wants semi-automatic  'Confidence Levels' for claims. My solution: Tweet 'Look how cool!' &amp; do sentiment analysis on acad…"
,,,,,,"@AviN102 @sctwea It's &gt;400 pages if you assume normal paperback page counts of 250-300 words per page."
,,,,,,"My AMA on consciousness and moral patienthood has begun — come join the discussion! https://t.co/laEJfaHDX2"
,,,,,,"RT @galka_max: 35 years of the world economy, visualized as a living organism https://t.co/bA2wSf7Syg https://t.co/oZis6sbnrY"
,,,,,,"RT @whyvert: Parliamentary regimes were more belligerent than absolutist monarchies in 1200-1800 era https://t.co/OysqvK0AIl pdf https://t.…"
,,,,,,"I'm doing an AMA about my new consciousness report on June 28th — come join the fun! https://t.co/jed2Yyb6A9"
,,,,,,"In the 50s, an economist learned the fissile material of the new hydrogen bomb by watching stock prices. https://t.co/nPSiS2JlIY"
,,,,,,"RT @davidmanheim: This is Bryan.
Bryan bets on his predictions.
Bryan keeps winning bets because he is accurate.
Get behind your prediction…"
,,,,,,"RT @kscottz: What is amazing is that this does not break the illusion. https://t.co/SyjFYEl405"
,,,,,,"Just FYI, I am still adding newly discovered ""musical shiver moments"" here:
https://t.co/R0hXdWpC8g"
,,,,,,"Schneier isn't that excited about the 1Password travel mode feature I tweeted a while back. https://t.co/9XHtJzlzKK"
,,,,,,"RT @lenkiefer: Evil mastermind: How do the data look if we graph them?
Henchman: How do you want them to look?  &lt;cackles maniacally&gt; We hav…"
,,,,,,"@Lewis_Bollard's monthly newsletter on animal welfare is succinct and dense with facts and figures. https://t.co/xdvVsEpVvz"
,,,,,,"RT @Miles_Brundage: ""When Will AI Exceed Human Performance? Evidence from AI Experts,"" Grace et al.: https://t.co/VVtluIq0sb"
,,,,,,"RT @m_bourgon: Very impressed with @1Password's travel mode: https://t.co/L2VkgJIE9U"
,,,,,,"I wish more book reviews were ""epistemic spot checks"": 
https://t.co/tH3vV67xbA
https://t.co/OiUcJMhuQz
https://t.co/YW8fCTCzgf"
,,,,,,"RT @devonzuegel: Evolution of Metro Systems in China, 1990–2020 https://t.co/qfgJLbhku8"
,,,,,,"RT @albrgr: Come lead operations at @open_phil! https://t.co/AFsEKr50d7"
,,,,,,"@tylercowen has some good replies to Smith's 2-paper rule I tweeted earlier: https://t.co/kOdcbHTS0e"
,,,,,,"RT @ProPublica: Live shot of @nytimes and @washingtonpost reporters. https://t.co/q3wmqOm3iv"
,,,,,,"RT @talyarkoni: this quote from Daryl Bem is so brutally, introspectively honest it borders on performance art — https://t.co/sqvHIn3TCh ht…"
,,,,,,"RT @michael_nielsen: . @Noahpinion with a nice criterion for insider critiques of outsider commentary: https://t.co/LSTimKkaZv https://t.co…"
,,,,,,"RT @fmanjoo: https://t.co/7EUbjRmc02 https://t.co/rRzctIFSGZ"
,,,,,,"RT @mattyglesias: The incredible innovations of the Industrial Revolution were pulled off without creating billionaires. https://t.co/sK4AU…"
,,,,,,"RT @NateSilver538: Few things more frustrating than when you've deeply studied an issue, and someone who hasn't has a critique you already…"
,,,,,,"130 examples of unconventional academic writing. https://t.co/VteEwS0goA"
,,,,,,"How accurately has MIT Technology Review forecasted breakthrough technologies? https://t.co/s9nsPzEsPt"
,,,,,,"RT @TahaYasseri: A great demonstration of why we need to plot the data and never trust statistics tables! https://t.co/JyUb57v0or https://t…"
,,,,,,"Answer: the one with better institutions. https://t.co/AIDdP3Y4Ei"
,,,,,,"RT @decision_spark: Good Judgment Project data is now publicly available. Enjoy, data heads!
https://t.co/2RZ30P90mz"
,,,,,,"@robertwiblin Well, ~no specialist of that period, anyway. Alchon is a historian, but not of that period and region."
,,,,,,"@robertwiblin Some of these are not credible. E.g. the Constantinople one repeats a claim by Procopius that ~no modern historian believes."
,,,,,,"""The real problem of humanity is [that] we have Paleolithic emotions, medieval institutions, and god-like technology."" - EO Wilson"
,,,,,,"Context: https://t.co/gbOnLODhvA https://t.co/McpY1WKUaR"
,,,,,,"RT @sentientist: One of the most rationally useful things you can cultivate is finding pleasure in the discovery of your own ignorance"
,,,,,,"RT @internetrebecca: if you think USAFACTS sounds good you'll love:
- https://t.co/mBWYgZYhBr
- https://t.co/P9ytmuyXBt
- https://t.co/3hX0…"
,,,,,,"RT @keithfrankish: 63 Haunting Videos of U.S. Nuclear Tests Now Declassified and Put Online | Open Culture https://t.co/qMqgJG9kec"
,,,,,,"RT @juliagalef: The Gell-Man Amnesia effect: 
ttps://seekerblog.com/2006/01/31/the-murray-gell-mann-amnesia-effect/
(quote from Michael Cri…"
,,,,,,"RT @noonanjo: Why you think you were blocked vs why you were actually blocked https://t.co/FAe2gyvfne"
,,,,,,"This text-to-speech engine finally sounds good enough for me to use. When do we get it in product form, @Google? https://t.co/xsTWPUUEST"
,,,,,,"RT @aronlund: Fact-creation in 2017. According to my sources, 84 percent of all the statistics you've ever seen on the war in Syria were cr…"
,,,,,,"RT @GreggDCaruso: Incarceration rates by country. One of these is not like the others. RT @nicolemuscanell https://t.co/9kRGc8VpLm"
,,,,,,"RT @goodfellow_ian: CycleGAN turning a horse video into a zebra video ( https://t.co/YYCsVt4rIP ) https://t.co/KlZlKG5k6W"
,,,,,,"RT @DanAmira: I swear if Trump randomly, like, tripped on a squirrel or something we'd find an old tweet of his saying only fat losers trip…"
,,,,,,"RT @bryan_caplan: Didn't know that @slatestarcodex annually scores his predictions. Impressive: https://t.co/58ZkVenaDE"
,,,,,,https://t.co/xiuuC3nCd1
