NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
mattmayo13,4375,1928,"Data Scientist & Editor @KDnuggets. Trained in the dark computational arts. Modestly trying to shed light on #MachineLearning #DataScience #NeuralNetworks",131677,1005,"keras-text - A Text Classification Library in #Keras https://t.co/gRckPeILuD https://t.co/hh90K7CYKW"
,,,,,,"Self-Censorship on #Facebook, Das and Adam Kramer, 2017 https://t.co/bh6dyfB0wf https://t.co/ITRdAWoYAY"
,,,,,,"RT @gchelwa: LOL. Today's exam at the Indian Statistical Institute. See Qn 5. https://t.co/TrHHpyGCCP"
,,,,,,"Translating English to #Yoda English using Sequence-to-Sequence with #Tensorflow https://t.co/QamFEdHzEn… https://t.co/A5JygtRNNj"
,,,,,,"“What's the ""Hello World"" equivalent for NLP?” https://t.co/wTbeaGUeuE https://t.co/CpZ2s5I03J"
,,,,,,"Layman’s Guide to Overfitting in #MachineLearning Models https://t.co/XrMMDMw2Zy https://t.co/ICV9S5jaKN"
,,,,,,"#DeepLearning Head Pose Estimation using #PyTorch https://t.co/DsOLCTrTMO https://t.co/6OIlOdTxj0"
,,,,,,"Optimization of Mutation on the #Genetic Algorithm https://t.co/49zjLzoKZw https://t.co/Mn3JQ3LJiN"
,,,,,,"Tree Boosting With #XGBoost — Why Does XGBoost Win “Every” #MachineLearning Competition? https://t.co/yNwjESJSR7 https://t.co/1J1EwKdPmy"
,,,,,,"A General Approach to Preprocessing Text Data https://t.co/DWMftZT8SU #NLProc https://t.co/JQ5S1tGegq"
,,,,,,"#MachineLearning with Optimus on #ApacheSpark https://t.co/KTu1NKuhtg #Spark https://t.co/lATn6PahcS"
,,,,,,"Social network data: #Twitter vs #Facebook vs #Google vs everyone else https://t.co/1f3tUrsA1z https://t.co/1u3sUhaeL4"
,,,,,,"How to Level Up as a #DataScientist (Part 1) https://t.co/68M23p9oCH https://t.co/XQjFN7zyL7"
,,,,,,"How I Hacked 40 Websites in 7 minutes via @HackerNoon https://t.co/22ltT5ESJ9 https://t.co/fIxcnEPm1n"
,,,,,,"Why You Should Forget ‘for-loop’ for #DataScience Code and Embrace Vectorization https://t.co/VVkaoIGp34 https://t.co/gRkkFjGkjF"
,,,,,,"RT @FavioVaz: Machine Learning with Optimus on Apache Spark. Built by @ironmussa and @BBVAData. Here you can take a look: https://t.co/vzM5…"
,,,,,,"How to Improve my #MachineLearning Algorithm? Lessons from Andrew Ng’s experience — I https://t.co/8oO9o9OELY https://t.co/4eZlUAsEEG"
,,,,,,"Hinton++ - ""Capsules only recognize faces, for example, when their parts’ poses are proper, with no suggestion for… https://t.co/4nwhK9TqVW"
,,,,,,"How do we ‘train’ #NeuralNetworks? - A brief intro to ANNs https://t.co/zabIUeU9Wb https://t.co/q3dBywTxaL"
,,,,,,"@stevesi Just another Wednesday, Steven. I will be getting tickets to a Bernie concert, though."
,,,,,,"Demystifying “Matrix Capsules with EM Routing.” Part 1: Overview https://t.co/GakIvfqV7w https://t.co/wtjdWH7SLx"
,,,,,,"An Introduction to Key #DataScience Concepts https://t.co/VOZdNjQum7 @dataiku https://t.co/epYjrubYGs"
,,,,,,"Adventures in cryptocurrencies https://t.co/wpb6F41H0A #cryptocurrency #bitcoin #blockchain https://t.co/gWp55JVN4E"
,,,,,,"#AI opinion piece by @fchollet on The impossibility of intelligence explosion https://t.co/QFKfWq74k5 https://t.co/VRDlZjBmRe"
,,,,,,"How To Unit Test #MachineLearning Code https://t.co/WM28DBvUil https://t.co/MNeXKXqM0Z"
,,,,,,"@samim The solution is to create a folder for the bookmarks, which soon grow far too large to be meaningful. Eventu… https://t.co/bRYUf0YaNc"
,,,,,,"@drizham ...flock together? No, that's something different."
,,,,,,"Wait. It's not #CyborgMonday?"
,,,,,,"Running CapsuleNet on #TensorFlow (also with a pre-trained model to download and use) https://t.co/YVjZR9fEQl https://t.co/ElISwrOdQX"
,,,,,,"Analyzing the Migration of Scientific Researchers https://t.co/sNlMn2ijvz https://t.co/RLimBervNg"
,,,,,,"""Awful graphs I found in the paper today"" https://t.co/RvXGJCegAP

*Shudder* https://t.co/FcNDeb3twz"
,,,,,,"Why do we wish to be a Data Scientist? https://t.co/uCh5n8mdYa #DataScience #DataScientist https://t.co/GlJ4IGAEcq"
,,,,,,"Pickle that Keras! Pickling Keras Models https://t.co/2Fn4ajpZpz https://t.co/HAXiG1QqjD"
,,,,,,"A gentle dive into the anatomy of a Convolution layer https://t.co/3kz9ktyRZl https://t.co/seYTNk0Hg7"
,,,,,,"@sirajraval Siraj, I *think* I sent you an email. Would love your input if you have the time. Cheers."
,,,,,,"@thinkmariya No problem. If you can fit it in, that is :) Look forward to it."
,,,,,,"@VanRijmenam I sent you a LinkedIn message, Mark. Would love to get your feedback if you have the time. Cheers!"
,,,,,,"@Ronald_vanLoon I sent you a LinkedIn message, Ronald. Would love to get your feedback if you have the time. Cheers!"
,,,,,,"@thinkmariya I sent you a LinkedIn message, Mariya. Would love to get your feedback if you have the time. Cheers!"
,,,,,,"@stevesi Also, on the practical marketing side of things, this is a huge failure of algorithms. We should be able to do better."
,,,,,,"#DeepLearning Specialization by @AndrewYNg  –  21 Lessons Learned https://t.co/iyuN37spkM https://t.co/Pt2Fs1SSj6"
