NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
mattocko,10924,76980,"Venture capitalist (@DCVC). Technologist. Husband-ist. Dad-ist. Friend-ist. Real wood fires, evenings w/ good food, wine & friends, & neat sci-fi.  ♥ != endorse",100273,551,"That’s a pretty awesome own.
Also:
- all of modern computing (Ada Lovelace)
- the foundation of all WIFi &amp; LTE (Hed… https://t.co/S7M8S3fCpZ"
,,,,,,"“In Russia, chicken fries *you*” https://t.co/eTlNd61ya7"
,,,,,,"This is both entertaining and accurate, and I’m with Andrew

#backanunpopularopinion 😉 https://t.co/EHTTu265GV"
,,,,,,"Canada’s pension funds Investing in Canada’s AI companies instead of stodgy foreign real estate deals, or letting C… https://t.co/zkGcQtusq0"
,,,,,,"After being ripped off by Zuck, they deserve this success - and they were earlier, smarter, more fearless, and work… https://t.co/m6pCkCCqGZ"
,,,,,,"&lt;whistles tunelessly, doing a bad job of looking nonchalant...&gt;

Uh, yeah, you got me... @dcvc does that all the ti… https://t.co/dD2hcY2rfN"
,,,,,,"RT @SocialHistoryOx: John Breads of Hastings was prosecuted in 1715 for profaning the parish church 'by shitting in it, to the great Offenc…"
,,,,,,"@adamnash No, no one has offered me fractional interest in the shark tank at the SF aquarium  as of yet... 😜"
,,,,,,"RT @ScienceNews: Scientists found a treasure trove of pterosaur eggs, some with tiny embryos inside. https://t.co/odrvN1vpks"
,,,,,,"Please let this be true - the last $1m on $4m deal in Silicon Valley was someone offering fractional ownership in a… https://t.co/WGTNKvbr3P"
,,,,,,"The tweet-bro guide, as dissected by @naynerz :

1. Hijack conversation w/ pompous/ irrelevant bs

2. Double down w… https://t.co/NjTRammUKw"
,,,,,,"RT @davidlee: Low barriers to entry; high barriers to exit. Snorkel is being cleared... https://t.co/B16WQyM9ml"
,,,,,,"👍🤣 https://t.co/tAThrvmnFC"
,,,,,,"A lot of talented help is needed in general. Dive in. https://t.co/qdmsXUTISC"
,,,,,,"Those 3 year olds with cancer better get the F—k back to work, right Sen. Hatch? Pffft. Freeloaders...

😑 https://t.co/VblZjkMHPy"
,,,,,,"😜 https://t.co/0bQNrbpike"
,,,,,,"👍 https://t.co/SCYwlZN5qd"
,,,,,,"RT @rezendi: 'Police learned ""Isdal Woman"" had travelled around Norway and Europe with at least eight false passports.' https://t.co/pcKKpQ…"
,,,,,,"RT @thegrugq: Poles were pretty fucking bad ass at intelligence and counterintelligence all through the war. https://t.co/frVnTsYxLK"
,,,,,,"RT @QuantaMagazine: ICYMI: All complex correlated systems appear to be governed by the same math as a random matrix.
https://t.co/5BJ8uAS94…"
,,,,,,"RT @NYTScience: Gene-therapy companies are getting in line for something they desperately need: bespoke viruses. https://t.co/sq5EZeRvGn"
,,,,,,"😜 https://t.co/Rhp0w9cL99"
,,,,,,"@msuster Mazeltov!"
,,,,,,"The two sources were John Baron and John Miller - they have the inside track on all this stuff... https://t.co/4d46YpXs6a"
,,,,,,"And no treat... https://t.co/N0PscUS24O"
,,,,,,"Infrastructure that would have provided tax revenue and sustained American advantage for another 50 years... https://t.co/mQ6m1FV4Hk"
,,,,,,"RT @msuiche: Wait until we realize Lazarus Group is operating in the Blockchain World. https://t.co/MvZt1C7orx"
,,,,,,"Useful thread https://t.co/LI0PWUHJUu"
,,,,,,"How do Iran’s brutal mullahs, whom I loathe, differ from our GOP Sen.?

1. They get science &amp; education is key to n… https://t.co/PwAjomwywv"
,,,,,,"RT @DavidBrin: Recipe for a comet: list of molecules found in #Comet67P #ChuryumovGerasimenko
https://t.co/7DVhkzm0Yh"
,,,,,,"This. Don’t forget to give to the campaign to recall Judge Aaron “Rape is just ok with Me” Persky, who let Brock “S… https://t.co/nqUg4W8Uc8"
,,,,,,"RT @ArlanWasHere: Hows about instead, women aren’t deprived of holiday parties and blamed for there not BEING holiday parties, and you just…"
,,,,,,"RT @danblackroyd: I love that this mountain lion is clearly weighing the urge to attack against the fact that it’s been a minute since it h…"
,,,,,,"So the GOP story about treason and emails was right! They were just naming the wrong lady... 🙄 https://t.co/mPbNZP6eOY"
,,,,,,"“Immigrants, they get the job done...”

And graduate students. Those too. https://t.co/TannRNXdCr"
