NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
oath,5470,1263,"We are Oath. ​A​ dynamic house of media and technology brands that reaches over a billion people around the world.",1618,5751,"A fantastic day supporting @SerenaWilliams and @VenusWilliams’ work with Yetunde Price Resource Center.… https://t.co/UzV7XsBwpy"
,,,,,,"We’re so proud to support @SerenaWilliams and @VenusWilliams’ work with Yetunde Price Resource Center.… https://t.co/F79oKk1PTH"
,,,,,,".@MichelleObama Thanks for supporting @SerenaWilliams and @VenusWilliams’ Yetunde Price Resource Center.… https://t.co/4F0Phg2C0h"
,,,,,,"Today @Oath employees wear red in honor of #WorldAIDSDay and to support our Board of Advisor member @Zac_Posen's am… https://t.co/ozpSW3oPqo"
,,,,,,"Available in 46 languages &amp; 70 markets worldwide. Just so nothing’s lost in translation here, @yahoomail is awesome. https://t.co/52gOSSeSTk"
,,,,,,"Oath is proud to support the ENOUGH Act. https://t.co/kpwSjU78bP"
,,,,,,"@MAKERSwomen, creators of 4,500+ original videos. Inspirers of... too many to count. https://t.co/pW0FqzECKb"
,,,,,,"Under new editor-in-chief @lpolgreen, @HuffPost enters a new era of journalism. And it’ll be even better because of… https://t.co/KItuGKCRRr"
,,,,,,"With 150M hours of streamed video per month, @verizondigital is helping couch potatoes elevate to mobile potatoes e… https://t.co/UsrPUGBk9Y"
,,,,,,"Together, we can make a difference. #GivingTuesday! https://t.co/z2xuOXdXrG https://t.co/budEzXjGUW"
,,,,,,"Many brands avoid comment on tough social issues. But @mollydewolf of @RYOTnews explains why consumers actually rew… https://t.co/0zLoXYuNBH"
,,,,,,"From @Techcrunch to @BuiltByGirls and @BBGVentures, you're speaking our language, @SerenaWilliams. So glad you're c… https://t.co/KuL9ezS5yM"
,,,,,,"Proud to be supporting #GivingTuesday. Please join us if you can. https://t.co/DiCGoXTWOw"
,,,,,,"At Oath, it’s our differences that bring us together... And we couldn’t be more thankful for it. Happy Thanksgiving to all!"
,,,,,,"If you watch any of the 400+ Global @MAKERSwomen interviews with the volume turned off, you can still hear the glas… https://t.co/eoLaXrF6a2"
,,,,,,"@Blackdaliagg 🍩🍩 yes they are!"
,,,,,,"An @Oath employee shares her experience mentoring high school girls @SUWN Conference. https://t.co/vbyoy3C0Pp… https://t.co/5q5WBEDvqc"
,,,,,,"Today we kicked off our third &amp; final Brand Love Academy in London! The academy that invests in the generations to… https://t.co/d6YTV1Vb6Q"
,,,,,,"We know a better way to help you start the car-shopping journey. Care to find out? https://t.co/ffk6OiiEGj"
,,,,,,"Thrilled to support @serenawilliams #yetundepriceresourcecenter in Compton CA this weekend with a mural dedication… https://t.co/ppJuNhMgbW"
,,,,,,"Couldn't be more proud to have him on our Board. Race to success, @joeylogano in your last event of the season! We know that you will."
,,,,,,".@AOL is visited by 8M millennials each month. Makes sense. Practically raised ’em. https://t.co/SYTRyN5icU"
,,,,,,"Shoutout to @Lilly_Works, Senior Editor for Huffington Posts Black Voices for her recognition in the Forbes… https://t.co/h5FW6LsNtI"
,,,,,,"Together, we do more. #BandTogetherBayArea 

https://t.co/udnMqLP8Zr https://t.co/NwlKvrN6x5"
,,,,,,"Through art &amp; tech, creative pioneers are carving out new ways to tell stories. And @engadget is providing the plat… https://t.co/k6976rlmhq"
,,,,,,"Learn about the amazing team powering RYOT Studio: the new global creative agency space for @Oath and partners!… https://t.co/Ey166fqzbJ"
,,,,,,"“Coding’s Supermodel” @KarlieKloss is taking the world by storm! Proud to have her on our Board of Advisors.… https://t.co/kzeELJR55X"
,,,,,,".@RWilsonVS is breaking down barriers at firehouses. Our global house of media-tech brands will expand her mission… https://t.co/mF1u6BLr4r"
,,,,,,".@JoeyLogano is driven to win for kids. Joining our Board of Advisors team will get him closer to the finish line.… https://t.co/qXAoUTG29v"
