NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
physorg_com,663020,8300,"Science news, Technology news. Physics, Space, Biology, Chemistry, Engineering, Math, Electronics, Nanotechnology, Materials, Computers, Health, Earth Science.",2739,3289,"WeWork rides lifestyle change to become new economy star https://t.co/CsoTPabEgC"
,,,,,,"Don't miss a beat! Here are yesterday's top stories on https://t.co/caCM0AIKYe:

https://t.co/GQ3xoTcX27"
,,,,,,"RT @TechXplore_com: #Vision kit will bring new pizzazz to #RaspberryPi projects https://t.co/ZV9MXxIo9c"
,,,,,,"#Voyager 1 fires up thrusters after 37 years https://t.co/fYTP8L37sj @NASAJPL"
,,,,,,"RT @medical_xpress: New imaging study reveals how saturated #fattyacids damage #cells https://t.co/q2rnfUu2qo @columbia @PNASNews"
,,,,,,"RT @medical_xpress: Study links common male medical condition and #vasculardisease https://t.co/kwFYEIkKs8 @sumedicine"
,,,,,,"Researchers develop #graphene nano '#tweezers' that can grab individual biomolecules https://t.co/YCCKvUy8Ul @UMNews @NatureComms"
,,,,,,"Bottle gourd #genome provides insight on evolutionary history, relationships of cucurbits https://t.co/s2G4E7osb2 @BTIscience"
,,,,,,"RT @medical_xpress: Why do we see similarities across languages? #Humanbrain may be responsible https://t.co/VF0ulxwUhS @uofa @PsychScience"
,,,,,,"RT @medical_xpress: Location, location, location: Immunization delivery site matters https://t.co/ApdiIW9grP @sciimmunolog"
,,,,,,"3-D-printed minifactories: Researchers print 'living materials' with #bacteria-loaded inks https://t.co/Rehbm9SEwj @ETH_en @ScienceAdvances"
,,,,,,"Researchers present list of #comet 67P/Churyumov-Gerasimenko ingredients https://t.co/iKebj9CWtW @RoyalAstroSoc"
,,,,,,"Drought-resistant plant genes could accelerate evolution of #water-use efficient crops https://t.co/u0OVYMWpv8 @ORNL @NatureComms"
,,,,,,"#Uranium to replace plastic? Chemistry breakthrough could pave the way for new materials https://t.co/yoLWJNkYKo @AdmissionsUoM @NatureComms"
,,,,,,"RT @medical_xpress: Study suggests a way to stop HIV in its tracks https://t.co/1CZxe3FtNl @PNASNews"
,,,,,,"Scientists propose efficiency 'rules' for enhancing use of new gene editing technology https://t.co/DFXizDUGpA @PNASNews"
,,,,,,"RT @medical_xpress: FDA approves first-of-a-kind #test for #cancer gene profiling https://t.co/uit4UDFDxN"
,,,,,,"RT @medical_xpress: #Protein associated with ALS points to possible targets for therapeutic intervention https://t.co/NI1y4VJbSr @ualberta…"
,,,,,,"RT @medical_xpress: Researchers validate five new #genes responsible for #AmyotrophicLateralSclerosis https://t.co/ibYlMwjAlU"
,,,,,,"Discovery could bring better #efficiency to a new class of solar cells https://t.co/TN3jpExmFx @uva @PNASNews"
,,,,,,"Hydrothermal vent experiments bring #Enceladus to #Earth https://t.co/PiniwK3dYo @AstrobiologyMag @astrobiology_jn"
,,,,,,"An orbital dance may help preserve oceans on icy worlds https://t.co/o0kbU3oUdv @NASA"
,,,,,,"Theoretical analysis uncovers new mechanisms in #plasma #turbulence https://t.co/FGoovMf4pW @MIT @AAS_Publishing"
,,,,,,"RT @medical_xpress: Experts argue for payors to make better use of genomic testing for #cancer #patients https://t.co/zH1JuRanWX @sciencema…"
,,,,,,"RT @TechXplore_com: Breakthrough yields higher voltage and efficiency for a thin mineral-based solar cell https://t.co/4cEa2q5T17"
,,,,,,"Comparing the amount of #energy needed by two #species of Galapagos tortoises to flip back over once overturned… https://t.co/pq9yTpthQP"
,,,,,,"RT @TechXplore_com: Do #smartphones hold the key to making cities smarter? https://t.co/oaP2nNPDoA @ualbany"
,,,,,,"Experiment shows that arrow of #time is a relative concept, not an absolute one https://t.co/iEFEbmlctF @arxiv"
,,,,,,"Giant West Antarctic #iceberg disintegrates https://t.co/shsXsz7vTy @BAS_News"
,,,,,,"RT @medical_xpress: Blocking gene expression improves outcomes in #blood disease in models https://t.co/ukPeJDD3MQ @northwesternu @jclinica…"
,,,,,,"Mathematical #model mimics melanoma https://t.co/hg62i7xad5 @penn_state @SciReports"
,,,,,,"Researchers look to the fruit fly to understand the human #brain https://t.co/rBdzrkbCWv @CellCellPress"
,,,,,,"The mysterious star MWC349 https://t.co/aMd5GVp1Vy"
,,,,,,"Cuprate #materials have fluctuating stripes that may be linked to high-temperature superconductivity… https://t.co/BNSw1KGhUc"
,,,,,,"New early signals to quantify the #magnitude of strong earthquakes https://t.co/fli4jBZFxi @sciencemagazine"
,,,,,,"Scientists visualize structure of key #DNA repair component with near-atomic resolution https://t.co/fIsveaMKuv @sciencemagazine"
,,,,,,"Don't miss a beat! Here are yesterday's top stories on https://t.co/caCM0Ara6G:

https://t.co/H5BIWVwgiy"
