NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
rnakashi,1609,358,"AP media and technology writer. Guitar plucker. Dad. Baby wipe expert. '16-17 JSK fellow at Stanford. https://t.co/tyiWBQYvkm rnakashima@ap.org",21552,252,"Google finding out that hardware is hard. https://t.co/jMhuLFkK5r"
,,,,,,"RT @FenitN: A woman tried to discredit the Post with a false story about Roy Moore.

It fell apart under same scrutiny, verification standa…"
,,,,,,"Say goodbye to open internet access rules   https://t.co/Ro10yMycd5"
,,,,,,"@fichtalina @kdoctor @nytimes @NiemanLab “Most successes are based on going back and trying something that looked like a failure.”"
,,,,,,"Great work by @larry_fenn and @AP Team https://t.co/BnUbXHU6jP"
,,,,,,"RT @AP_CorpComm: Look for @AP's @rnakashi detailing how Russia Twitter trolls deflected Trump bad news on @MSNBC w/ @AliVelshi 3:40p ET. ht…"
,,,,,,"AP Exclusive: Russia Twitter trolls deflected Trump bad news (from @AP) https://t.co/JDL48z0iNr"
,,,,,,"RT @AP: New faces of homelessness in California's wealthy Silicon Valley: store clerks, security guards, cooks. https://t.co/EiwSzi7QM2"
,,,,,,"RT @APBusiness: No more unlocking your iPhone with fingerprints. AP’s @anicknack tests the iPhone X’s new facial recognition feature https:…"
,,,,,,"@math_rachel sincere hopes for a speedy recovery. Fast.ai wouldn't be the same without you. I'm still trying to catch up :)"
,,,,,,"Google parent's futuristic balloons are now beaming internet to #PuertoRico #HurricaneMaria https://t.co/FindvVgchE"
,,,,,,"RT @MCJalonick: Google confirms it will participate in Nov. 1 House and Senate intel hearings, per AP's @rnakashi (from @AP) https://t.co/k…"
,,,,,,"RT @ADInnocenzio: Target joins other retailers in offering voice shopping (from @AP) https://t.co/QfHBpQNDKN"
,,,,,,"Twitter turns over 'handles' of 201 Russia-linked accounts   https://t.co/sWkdDwpcwc"
,,,,,,"By the way, thanks @d1gi for making the data available before Facebook slammed the door shut on that tool. https://t.co/BbMkX8Sy2R"
,,,,,,"What does Russia-backed influence on Facebook look like?https://t.co/e74WX2AXq8"
,,,,,,"RT @APBusiness: Google and Facebook are finding that filtering out bogus news is not so easy https://t.co/Go2vWH9UkX by @barbaraortutay and…"
,,,,,,"Any doubts about fake news? Just search YouTube today. You'll see a video about the shooter possibly still alive.… https://t.co/tXpypo7Z3e"
,,,,,,". @ev : “If you’re selling attention, you’re not selling content.” #ONA17"
,,,,,,".@ev : Blogger’s chief source of revenue before selling to Google was bloggers themselves paying $12 a year to remove the ads. :0 #ONA17"
,,,,,,". @ev on ad-free shift of Medium: “Whoever is paying for things is the one who is most benefiting.” #ONA17"
,,,,,,"Why @Apple ? How is this part of transparent privacy control? @chronic https://t.co/6KlUrCCY21"
,,,,,,"Are journalists keeping up with the pace of technology? No, says #ICFJ  #ONA17"
,,,,,,"Ug. Here’s an ad I’ll bet @StellaMcCartney didn’t want inside the #LasVagasShooting shooting story @WSJ https://t.co/iMuRWF7r7N"
,,,,,,"Whoa, so Apple is making a robot? https://t.co/9bqmXCXFUL"
,,,,,,"@ByRogerYu sorry to hear that! You'll do great wherever you end up."
,,,,,,"The godfather of AI is saying it's time to start from scratch! https://t.co/AZhFv1spyk"
,,,,,,"@TomCorfman they used spreadsheets :)"
,,,,,,"@adra21 this is why hyphens exist"
,,,,,,"RT @APBusiness: This #AI visionary wants to help “free humanity from repetitive mental drudgery.” @rnakashi has a profile: https://t.co/MJY…"
,,,,,,"RT @Kunzelman75: Daily Stormer publisher tells AP he's effectively ""completely banned from the internet,"" dropped by Cloudflare   https://t…"
,,,,,,"@AdamCWaldman @APBusiness when a tree grows a new branch do you say the tree split? how bout when the three eyed raven got its third eye?"
,,,,,,"@AdamCWaldman @APBusiness who said anything about a fork"
,,,,,,"@adra21 Hi Adra, saw your tweet about the busstop ads. Would you mind sharing the photos you took? Cheers, Ryan rnakashima@ap.org"
,,,,,,". @ericgarcetti https://t.co/DEXp5NNr2h"
,,,,,,"RT @profgalloway: Advertising is a tax on the poor--FX to offer ad free shows for $6/month @recode https://t.co/uTBbpl9Axz"
,,,,,,"@AdamCWaldman @APBusiness I don't own any BTC"
,,,,,,"RT @APBusiness: Threat of a bitcoin split avoided, for now. @rnakashi explains https://t.co/4snlTmL3Ip"
,,,,,,"@cdevers @thinkmariya I haven't been optimized to detect humor yet but I think that was mildly amusing"
,,,,,,".@mattoyeah and I break down the perils of an AI-pocalypse https://t.co/ejl36tebmz"
,,,,,,"Bitcoin's possible financial panic, explained by yours truly https://t.co/NY9cQyrFX8"
,,,,,,"RT @bbchase: I have some thoughts about why news orgs are finding that people won’t read long articles… https://t.co/G8Zh6GTA6w"
,,,,,,"RT @nytimes: ""You're a total babe.""
""You're a sorceress casting a spell.""
Stories of sexual harassment in Silicon Valley. https://t.co/pZyX…"
,,,,,,"Unfortunately, publishers looking to boost digital revenue can end up creating more people who block ads. https://t.co/3ahmLqJuHj"
