NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
robconeybeer,9319,743,"Founder of Shasta Ventures, a Sand Hill Road based venture capital firm investing in early-stage technology companies.",404,1116,"First time onstage at #Slush17 - looking forward to chatting about product strategy with a product Jedi Master,… https://t.co/mDQLvWioZr"
,,,,,,"Excited to watch @Shasta space startup CEOs @natalya926 of @AccionSystems and @jamesncantrell of @vectorspacesys go… https://t.co/YF8X5zcV02"
,,,,,,"Decades from now, historians will note that photography entered a new golden age with Instagram.  Everyone in the w… https://t.co/yZCCr4jSIx"
,,,,,,"Thankful to be an early investor in @NoonHome &amp; co-founder @annieccheung who made this year's 30 under 30:  https://t.co/yZwbjX7kE5"
,,,,,,"RT @Katie_Roof: Big day for @nbt @jacob @chopnitin https://t.co/eSRAF7gtz7"
,,,,,,"""Apple's Face ID has been hacked"" ... but what does it really mean?   @RadioFreeMobile explains:  https://t.co/XqoLZWh9ex"
,,,,,,"RT @turo: Help keep #Turo at #SFO, and support the growth of new innovations like #carsharing in #SanFrancisco !! It's easy to sign up and…"
,,,,,,"I love it when people start writing songs about startups - check out @hannibalburess explaining how @Turo works: https://t.co/KTAWT7Ff1O"
,,,,,,"You hit a light switch at least 10x a day. The only other product that has that level of engagement is a smartphone: https://t.co/qc6VqkrUqA"
,,,,,,"It's easy to forget just how big the transportation market is. https://t.co/iL3BVnPbkB"
,,,,,,"Noon Time!  My thoughts on the company and why @Shasta invested: https://t.co/achlyMJQBv"
,,,,,,"@arinewman Thanks!  I love working with the entire @NoonHome team."
,,,,,,"Another overlooked home IoT opportunity with an awesome team that @Shasta is excited to have backed early. https://t.co/6pvUFs7FD7"
,,,,,,"@rajatsuri Exactly!  And then people feel a need to forward the doomsday article to others without thinking for themselves."
,,,,,,"Interesting tidbit from tonight's @United flight BOS -&gt; SFO.  Why is WiFi slow?  Flight attendant: ""160 passengers are trying to log on."""
,,,,,,"I remember the same misguided crap pre-AMZN, pre-Fb, pre-Airbnb, &amp; pre-Uber. Great clickbait but completely wrong: https://t.co/EV3Qra8Mbu"
,,,,,,"Congrats to @trucksvc, @reillybrennan, @KarlIagnemma &amp; @EmilioFrazzoli on today’s Delphi acquisition of @nuTonomy!… https://t.co/3reFOQNO1i"
,,,,,,"@semil and you got your new fund done way in advance of the holidays!  :)  #congrats  #humblebrag"
,,,,,,"The most amazing thing about this, other than the huge run-up in @facebook market cap since IPO, is that @Microsoft… https://t.co/Dz8XI6idcO"
,,,,,,"This is a very good question.  With connected hardware, you’re really buying a service. https://t.co/28rf1lQ9BX"
,,,,,,"@MattRosoff Copy that."
,,,,,,"$100 million/year isn’t enough revenue.  @dougpepper explains in @Forbes why high growth at scale is the key metric. https://t.co/w2GDLSOc2F"
,,,,,,"World’s smallest conference room ... just a little bigger than a phone booth.  Busy day in our… https://t.co/OEKQGJq3Xe"
,,,,,,"If you've been wondering what @tfadell has been up to over the last year, take a look at this: https://t.co/iANG88qUP5"
,,,,,,"This is the best sign in a startup’s office that I’ve ever seen.  Too easy to forget these… https://t.co/GGBs2MjiDP"
,,,,,,"@SFDenyse @SVForum Thanks for inviting me!  It was a fun, smart, articulate lineup of panelists."
,,,,,,"Thrilled but not surprised.  :)  congrats to the entire team @Survios! https://t.co/0DkZDDFbPU"
,,,,,,"@adamac Ridley Scott created the Alien formula and James Cameron perfected it. This time Ridley Scott kept control… https://t.co/8LoRtc8DLk"
,,,,,,"Blade Runner 2049 joins Aliens in a select pantheon of science fiction sequels that surpass the original films."
,,,,,,"Well summarized. https://t.co/NRY3eQRbVD"
,,,,,,"Super-interesting idea. https://t.co/AHD0R9TRSD"
,,,,,,"Thrilled to see @jacob lead this investment for @shasta!  Monetizing camera sensors is a huge and growing startup o… https://t.co/KJarBVOIQe"
,,,,,,"RT @meloneewise: Giant eye roll 🙄 to robot (good luck defining) tax stories. Robots = ""smart"" devices, dishwashers, computers, etc.. https:…"
,,,,,,"Endless blacktop at sunrise, from the driver's seat of an @Turo Jeep Wrangler. @ Tooele, Utah https://t.co/GOpg1PAiwQ"
,,,,,,"With a $92 million financing and a huge sustained growth rate, @Turo is reshaping the global car rental industry:  https://t.co/AosE9tsRJQ"
,,,,,,"Throughout history, automation commonly creates more, and better-paying, jobs than it destroys. The @WSJ explains: https://t.co/RmsyrMRqNw"
,,,,,,"I can't wait to rent something ridiculously fast from @Turo in Germany. https://t.co/m3tyBYgSMR"
,,,,,,"One of my favorite Instagram pictures - Ted Rheingold in 2012.  So sorry to hear of @tedr's passing… https://t.co/5B5dDDJ2dU"
,,,,,,"Robotics isn't going to steal jobs.  They're going to continue replacing the jobs that nobody wants: https://t.co/3D8nY477sK"
,,,,,,"Somehow @Katie_Roof &amp; @mattlynley convinced me to talk about how @Amazon is taking on a huge amount of unnecessary… https://t.co/64HmvlfSIP"
,,,,,,"RT @jacob: Super vibrant #AR Kitchen meet up tonight! Product demos galore, #ARKit coming to 250M iPhones day one of launch is a serious op…"
,,,,,,"Completely agree with @pakman. https://t.co/H0aw5GIaii"
,,,,,,"Meet Wim, a Gadget That'll Make Fast Frozen Yogurt on Your Kitchen Counter - Bloomberg https://t.co/q8SsHXESyx via @nuzzel thanks @shasta"
,,,,,,"Rocket videos are mesmerizing.  Another successful @vectorspacesys launch, this time from the coast of Georgia. https://t.co/eHNQImazQx"
,,,,,,"Did you know that the state of Georgia has a spaceport? https://t.co/dlJ5gQ434X"
,,,,,,"Fascinating article about how social media is influencing physical design: https://t.co/xh1KhFcXLT"
