NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
robinson_es,2980,5087,"Data Analyst @etsy, #rstats, #python",136794,1650,"RT @datukhensem: At a job interview
Interviewer: Do you have experience with Microsoft Excel? 
Me: Yes 
Interviewer: Show me. 
Me: Say no m…"
,,,,,,"RT @dataandme: Plotting your Pikachu?
""Rokemon:  Pokemon themed R package"" 👨‍💻 @d_mathlete
https://t.co/kII4M5Z3OV #rstats #dataviz #ggplot…"
,,,,,,"RT @aecoppock: This is the sweetest R&amp;R burn: Oh really, dear editor, you'd like me to do some subgroup analysis? https://t.co/3AUMD3gZo3 h…"
,,,,,,"RT @randal_olson: What someone's gross income of $100,000 is actually used for in #Seattle, Washington. #dataviz

Neat way to visualize inc…"
,,,,,,"@data_bae @SheNomads As for etsy culture as a whole, we have an awesome women and non-binary in tech group and many… https://t.co/AyrdAqLNO8"
,,,,,,"@data_bae @SheNomads Hi! The Etsy search experience team offers all three (I think from job description you can see… https://t.co/zIv8ZMjaWA"
,,,,,,"RT @mybluewristband: Not the first time my work was assumed to have been done by a man. But it IS the first time my work's been referenced…"
,,,,,,"RT @frod_san: See thread for very useful #rstats pkgs for data cleaning and validation https://t.co/9W1aHZnAbe"
,,,,,,"RT @RLadiesDC: For your #rstats holiday wish list consideration 🎁🍪https://t.co/dXYEAYXpzK https://t.co/caQu53Czy8"
,,,,,,"@SuzanBaert @drob What a fun post! I love your ggplot theme/color. And yes, knowing you’re going to share your code… https://t.co/sBPnWRKwXz"
,,,,,,"@sehurlburt @alicegoldfuss Making R code faster, a case study https://t.co/Mv4rhPJQMr https://t.co/AB9H6yQ4Iq"
,,,,,,"@ma_salmon  https://t.co/r9ShY5GeIZ"
,,,,,,"RT @drob: This week you can get 50% off a yearlong @DataCamp subscription. Never a better time to take my courses (and &gt;90 others) and lear…"
,,,,,,"@jitinkapila I would love to see a version using RCpp if you'd like to try it!"
,,,,,,"RT @drob: No joke- I love this #rstats analysis from @SuzanBaert of the Belgian name Joke over time https://t.co/cGJi1fi2fp #datablog https…"
,,,,,,"RT @dataandme: Tidyverse-ification: Translating various R 📦-funs (👵 &amp; 🆕) w/ help from the @RStudio Community https://t.co/lYVqoIf39B #rstat…"
,,,,,,"@danrobinson @dataandme That’s too many claps"
,,,,,,"@danrobinson @dataandme You can blog about bitcoin"
,,,,,,"@jent103 @sharlagelfand @kierisi @gshotwell I also find it helpful to ask people ""what decision are you using this… https://t.co/QCtHGgaaaa"
,,,,,,"@Ptfrozen Oh no! Here you go: https://t.co/cteZkjPCCx . Fixing it in the post"
,,,,,,"@mlandstat I didn’t think so. I am genuinely interested in how a more pure data.table version would perform."
,,,,,,"@mlandstat if you make a fast data.table solution let me know! I'm not sure it could match the matrix performance though."
,,,,,,"RT @JennyBryan: Great example of optimization with good reason. Summarize in the database, vectorize in R, and use matrices (not data frame…"
,,,,,,"Alternative clickbait title: ""This one simple trick will make your R code 100,000x faster!"" https://t.co/BD7YnxiymA"
,,,,,,"New blog post: Making R code faster, a case study. Summarizing, vectorizing, and matrices, oh my!… https://t.co/nV9m1iiM2l"
,,,,,,"RT @FromPhDtoLife: Nervous about negotiating a salary? @AskAManager covers what you need to know about it https://t.co/2wv61PoIQ8"
,,,,,,"RT @drob: ""Learn the hard stuff in programming first, because I did"" is, at best, survivorship bias. At worst, it's hazing https://t.co/5EW…"
,,,,,,"@sharlagelfand @kierisi @jent103 @gshotwell Yep exactly!"
,,,,,,"@kierisi @sharlagelfand @jent103 @gshotwell Our manager also has us set and send out to our partner teams 3-5 month… https://t.co/FnAPlfE9PF"
