NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
timhwang,8137,7262,"five out of eight computers on a scale of computers | Director, Ethics + Governance of AI Initiative | Former: AI/ML Lead @GooglePubPolicy, @DataSociety, @Imgur",49962,2936,"RT @clairecmc: We politely asked to adjourn till Monday morning. So we could read and study the bill we were just given. Answer was no. So…"
,,,,,,"🔥 “[Flynn] is prepared to testify that Donald Trump directed him to make contact with the Russians” https://t.co/0dGV2dCZPN"
,,,,,,"“We find that the average level of happiness declined substantially in zones that experience war directly.” https://t.co/6MiLJsq9Tx"
,,,,,,"@samlistens Atom (https://t.co/EJhivfmsgT) and Ink (https://t.co/4tFlCkvDG4 - thx @hoverbird), respectively. Recomm… https://t.co/QJN1uyqx6r"
,,,,,,"current status: too much text editing https://t.co/31E7BbBiQT"
,,,,,,"@evanburchard done did it!"
,,,,,,"@RickWebb @xuhulk @lmatsakis ¯\_(ツ)_/¯"
,,,,,,"@xuhulk don’t have any jack mas! need to buy more booster packs"
,,,,,,"@KurtKohlstedt @alexleavitt @benliyanage @NathanMaton @avitalungar @herebox @samlistens @randylubin @cedotal #AustroItalianAlliance4Lyfe"
,,,,,,"@pomeranian99 @rgorwa @_FelixSimon_ @EthanZ Fixed! Filed a support request with Twitter, link repaired without comment ¯\_(ツ)_/¯"
,,,,,,"@abbeysuekos @lmatsakis  https://t.co/5YtlgCWWtD"
,,,,,,"please send me your rarest zucks https://t.co/hcMU3Y2QEA (via @lmatsakis) https://t.co/GXsos4pHqE"
,,,,,,"“Distilling a Neural Network Into a Soft Decision Tree” Interpretability from a “hierarchical mixture of bigots” (!) https://t.co/IVtBzxXhQ4"
,,,,,,"@gordonbrander Huh! Thanks for flagging - curious what happened. Will drop ‘em a support request."
,,,,,,"@mstem thanks!!"
,,,,,,"@wolfchirp css keyframes, baby"
,,,,,,"Featuring: @lamegirl1234, @mmlodown, @ethanz, @tshepski, @mel_hogan, and @lisydney!"
,,,,,,"The California Review of Images and Mark Zuckerberg is out today! Six amazing essays on the visual culture of Zuck:… https://t.co/VWlU6lS5hB"
,,,,,,"@mattlesnake Will check it out! Re-reading a bunch of the literature from that era of info operations thinking recently."
,,,,,,"@TinyPirate @yayitsrob @robinsloan @samlistens This was just the initial test to see if the game scales with more p… https://t.co/NIAVdQ0ry3"
,,,,,,"@noUpside @robinsloan @samlistens surprisingly, yes"
,,,,,,"@mwichary YES. Saw the photos of it a few years back - the scale of it is crazy. Apparently it’s been the subject o… https://t.co/8ASCpIIBVU"
