NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
10appofficial,57849,720,"10 - Sport Through Your Lens. The app that's giving sport back to the fans.",14111,585,"Moyes is returning to Manchester tonight! ⚽️ Is he gonna have more luck this time round? 🙈🙈 https://t.co/s0vqeEfiH4"
,,,,,,"A brace for Lingard and he’s dubbed the next Messi 😂👍 https://t.co/vQFXrh2kKc"
,,,,,,"When you have Hazard and Morata in your team ⚽️👏 https://t.co/XHiaTZoi9y"
,,,,,,"Wenger vs Mourinho ⚽️ Who’s gonna win? 🤔 https://t.co/DBK7sHUsJr"
,,,,,,"22 goals and on 🔥 right now 👏👍 https://t.co/BfDzKZ6rPS"
,,,,,,"Best goal? ⚽️ 1-4 vote below 👍 https://t.co/aM1ybAUoV1"
,,,,,,"Young haunting his old club like….😂⚽️ https://t.co/N7otGKPM17"
,,,,,,"Klopp making it clear he’s going for the win! 👀👀 https://t.co/eZEkD7TBml"
,,,,,,"How many City goals are we gonna see? 😂⚽️ https://t.co/Qt791Ju1aV"
,,,,,,"How long will he last? 🙈😂 https://t.co/AFNdtdOCao"
,,,,,,"@youngy_18 haunting his old club like….😂⚽️ https://t.co/hkYiA1MFeT"
,,,,,,"Vardy or Kane, who’s gonna win it? 🤔⚽️ https://t.co/sApiBTe53r"
,,,,,,"Australia leaving the first test like..😂😂🏏 https://t.co/z8f8EIGNol"
,,,,,,"Southampton vs Everton...Who’s gonna win? ⚽️⚽️ https://t.co/39qvNGFGAL"
,,,,,,"Bottas is on pole..what can Hamilton do? 🏎💨 https://t.co/Ym7FTK48QZ"
,,,,,,"Liverpool vs Chelsea 🔴🔵 Who’s gonna win? 🤔 https://t.co/vAvmTSWxoA"
,,,,,,"When you remember Chelsea sold these players 👀🙈⚽️ https://t.co/7e5tK4v8bC"
,,,,,,"The Ashes is back! 🏏 England or Australia to win? https://t.co/knLt15MwMQ"
,,,,,,"Who scored the best goal? ⚽️ 1-4 vote below 👍🏽 https://t.co/4omhqgZjgK"
,,,,,,"AJ could be laughing all the way to the bank 👀😂🥊 https://t.co/20LIWm0Ouu"
,,,,,,"Surely Salah is first pick at Liverpool right now?! ⚽️⚽️ https://t.co/AL1Pq9p1T1"
,,,,,,"Do you believe Pochettino? 🤔🤔 https://t.co/pEiOjaTGx8"
,,,,,,"It’s all over for Pulis at West Brom!🙈🙈 https://t.co/k8sAvJgNB6"
,,,,,,"When you’ve scored more goals this season than all Real Madrid strikers! 😱😂 https://t.co/h5WkcptMh7"
,,,,,,"Fleetwood wins the Race to Dubai! 👍🏽⛳️ https://t.co/HGyZiuJ4IN"
,,,,,,"Which was your pick of yesterday’s goals? ⚽️ Vote below 👍🏽 https://t.co/Xz7pLbwLsx"
,,,,,,"When you overtake Liverpool in the league ⚽️🙌🏽 https://t.co/VaYlhdIG6A"
,,,,,,"The prem is back with a North London Derby! 👏🏽⚽️ Who's ready?? https://t.co/KA8Nyu0JVU"
,,,,,,"Great news for United fans 👏🏽👏🏽 https://t.co/jJ0BJ5KiWJ"
,,,,,,"The Race to Dubai is here! ⛳️ Can Rose win it? 🤔 https://t.co/MjVGAhOdy9"
,,,,,,"Best goal from yesterday? 🤔 ⚽️"
,,,,,,"Do England's young squad stand a chance against Brazil? 🤔⚽️ https://t.co/TPjJWqtk6S"
,,,,,,"Heartbreak for Buffon and Italy in World Cup shock exit 😱😱 https://t.co/Y0onPUXhPK"
,,,,,,"Best team performance?? ⚽️ 1-4 vote below 👍🏽 https://t.co/OnXdv0vIhC"
,,,,,,"Hamilton in good spirit for today's race after crashing out in qualifying! 😱🏎 https://t.co/FOJxreCvYj"
,,,,,,"Do you agree?? ⚽️ Who's better? 🤔🤔 https://t.co/9lut53xRK2"
,,,,,,"Not a good start to the weekend for Hamilton! 😱😱 https://t.co/P7CLA0Q5kW"
,,,,,,"Tag a mate you’d try this on! 😂 📷@433 https://t.co/sCeE1nvWc7"
,,,,,,"Sliding into international football like...💨 📷@egertv https://t.co/YHZi5MvGjv"
,,,,,,"When you're 11 years old and you're already bossing life 😮🔥 📷@rayane.bounida10 https://t.co/8ydBCY7ztw"
,,,,,,"When your tekkers are 💯👏🏽 📷@ToniRuediger https://t.co/MsSGoKuh7E"
,,,,,,"He's back! 😮 Can he help West Ham avoid relegation?? 🤔 https://t.co/33ZCeu7dVm"
,,,,,,"Tag a mate who'd do this 🙈😂 📷@rldesignz https://t.co/nxAJVEBD42"
,,,,,,"Clap if you think City are on 🔥🔥 right now! https://t.co/426UwfykJF"
,,,,,,"Tag an Arsenal fan 😂😂😂 https://t.co/rpvVMDm1Be"
,,,,,,"Who's gonna win today? ⚽️⚽️"
,,,,,,"Who's gonna win it for their team today? 🤷🏽‍♂️ 1-4 vote below 👍🏽 https://t.co/hcYp2Vb6oH"
,,,,,,"Can Liverpool stay 6th in the league? 🤔 https://t.co/hSLzNz2xjs"
,,,,,,"Move over Ronaldo...there's a new man in town 🔥🔥 https://t.co/auzW4CnZdk"
,,,,,,"Who's winning tonight? ⚽️⚽️ https://t.co/PLrHKO7wds"
,,,,,,"Who's winning tonight? ⚽️⚽️ https://t.co/P7aWaB17PV"
,,,,,,"Lewis winning a fourth world title like an absolute boss! 👏🏽👏🏽 https://t.co/BZnx8xeqnI"
,,,,,,"Tag a Rooney fan 😂😂 https://t.co/fPG53oEW8n"
,,,,,,"Vettel on pole...has Hamilton got what it takes? 🏎 https://t.co/S8N5FpA5sh"
,,,,,,"Tag a Spurs fan👀😂 https://t.co/dXYxHK1RC7"
,,,,,,"What happens next? 🙈🙈😂😂 https://t.co/Mxr1A8rddt"
,,,,,,"Best goal from the weekend? ⚽️ 1-4 vote below 👍🏽 https://t.co/pzvJSi6SGw"
,,,,,,"Spurs or Liverpool...who's coming out on top? ⚽️ https://t.co/WSnaYJwhdO"
,,,,,,"Which was the best PL goal from Saturday? 🤔"
,,,,,,"Remember the time when United used to win games? 🙈😂 https://t.co/HiX6vTac6o"
,,,,,,"Both teams need the win! ⚽️ Who’s coming out on top? 🤔 https://t.co/8ZgwdFMUq7"
,,,,,,"Who should have won? 🤔 Tell us on 10! 👊🏽 https://t.co/sjfDZOTdiv"
,,,,,,"Liverpool loving life right now! ⚽️⚽️ https://t.co/A4yp3NYQqW"
,,,,,,"He's on the road to recovery! 👏🏽👊🏽 📷@paulpogba https://t.co/2YZYyeooxX"
,,,,,,"Federer is on 🔥 winning his 94th title like a boss! 👏🏽👏🏽 https://t.co/UZQ39Kmqin"
,,,,,,"Watford leapfrogging Arsenal to 4️⃣th! 🙈😂 https://t.co/OM4QgCDe4t"
,,,,,,"Shanghai quarter finals today 👊🏽🎾 https://t.co/ueaEzJvYpN"
,,,,,,"The news all Arsenal fans hoped they'd never see 🙈🙈 https://t.co/Xh1avZdA37"
,,,,,,"A hat-trick to send your team to the World Cup! ⚽️🔥 https://t.co/Ho7DsdrzOw"
