NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
BUSQXETS2,186,833,"Pioneer of Lionel Messi propaganda.",23632,1597,"RT @AIphaRonaldo: People still don’t get this 😂😂 https://t.co/z57DAv8Lc1"
,,,,,,"@KaizerT8_ @TheCristianoGuy with the best player ITW. https://t.co/gkwHveoLSg"
,,,,,,"Trolling aside Cristiano Ronaldo deserves the Ballon D’Or this year. 

It’s hard to argue when someone performs lik… https://t.co/888ZYsbmTD"
,,,,,,"spot on. Imagine having Cristiano &amp; repping a team over him, lmfao can never be me https://t.co/dHTdhNjDtW"
,,,,,,"RT @BUSQXETS2: A TRUE CULE vs MESSI FANGIRL

The burn😂😂😂🔥🔥🔥 https://t.co/j742aB4C2F"
,,,,,,"RT @Emperor_RM: Friendly reminder that this is acceptable in Spain. A ""profesional journalist"" publicly making fun of Ronaldo over and over…"
,,,,,,"RT @MartialMode: Cules still making conversion rate jokes like CR isnt about to catch up to their boy in BdO’s in 5 days? 😭😭😭😭"
,,,,,,"Spot on, guy delivers 3 UCL’s in last 4 years being top-scorer &amp; some want him sold. @Cristiano these scums don’t d… https://t.co/o14nIDpzf0"
,,,,,,"RT @MadridistaHaven: I wasn’t seeing this energy when Kroos missed the most clear cut chance against Atletico. Also which misses from crist…"
,,,,,,"RT @IconicCristiano: Can’t believe people compare Se Queda to Ramos. It’s disgraceful"
,,,,,,"@AntiFutboI @DerGoretzka He means all messi fans are 12 &amp; virgins"
,,,,,,"A TRUE CULE vs MESSI FANGIRL

The burn😂😂😂🔥🔥🔥 https://t.co/j742aB4C2F"
,,,,,,"@Ronaldoesquee @suarez_nutmeg W"
,,,,,,"RT @Ronaldoesquee: @suarez_nutmeg If we’re talking headers https://t.co/8PH7l4OhsV"
,,,,,,"RT @Ronaldoesquee: You vs the guy she tells you not to worry about https://t.co/vemikVvGdp"
,,,,,,"Only if Messi had scored the last minute free-kick or that free header, we'd not have been bottling the league. 

W… https://t.co/9YBJpirqij"
,,,,,,"RT @blancotargaryen: @primeRBarca  https://t.co/OYzmWUZAFs"
,,,,,,"RT @KeylorinhoZZ: .. To bottle it again https://t.co/uDU7bYO7FA"
,,,,,,"RT @Ronaldoesquee: Copa America 2007 MOTM: Robinho
World Cup Final MOTM: Götze
Copa America 2015 MOTM: Vidal
Copa America 2016 MOTM: Bravo…"
,,,,,,"@Ronaldoesquee W"
,,,,,,"@blancotargaryen @Prime_xavi @suarez_nutmeg Hehehee"
,,,,,,"@KingRobbStark1 @blancotargaryen @barcadomain Spot on"
,,,,,,"@FutboiAdam @suarez_nutmeg @PULlSIC W. Don’t bully him futboy, Ronaldo’s already done enough damage to this brain

https://t.co/PkQ9rL0FJq"
,,,,,,"RT @FutboiAdam: Stats also won’t measure the open goal he missed that cost Barca the win and 3 points https://t.co/6k5zML7z15"
,,,,,,"@KingRobbStark1 @blancotargaryen @barcadomain Hopefully we will get the revenge when Ronaldo finally retires😤😤😤"
,,,,,,"RT @KingRobbStark1: @primeRBarca Only Barca fan I respect. You're like Moses in the midst of Egypt."
,,,,,,"I’m a die cule, but I’m going to admit Sergio Ramos is the best CB in the world. We in barca GC’s admit that wish w… https://t.co/oYrp2y52ge"
