NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
BadAstronomer,620255,851,"SCIENCE! I love this stuff. My Bad Astronomy blog: https://t.co/7kkmlXW1jN",115535,27398,"RT @starstryder: Hey - We’re now live, and we’re going to assemble a telescope. https://t.co/8gpJLMIYrm"
,,,,,,"Oh hey, this is some nice news! https://t.co/UadNJyvy9h"
,,,,,,"RT @ZachWeiner: Whichever candidate runs on the platform of ""Make Government Boring Again"" in 2020 will secure my vote."
,,,,,,"@WhiskyTango420 Not bad!"
,,,,,,"@imamandaokay Sounds like a meteor. But it’s hard to say without having seen it myself."
,,,,,,"RT @AstroKatie: If you don’t have health insurance, there is still time to get it. Other options might narrow soon; act now. #GetCovered ht…"
,,,,,,"The 99.2% full Moon rising behind a tree in my yard. The roiling atmosphere near the horizon really distorts the Mo… https://t.co/9bYTMkTnSx"
,,,,,,"@splunge2000 Yup. I don’t do it *too* often but it does happen. Frustrating,"
,,,,,,"@jclishman I saw them too, quite some time ago, and they didn’t have them yet! That may be where my notes are from."
,,,,,,"I just threw away those old notes. :/ I’ve had them around a long time, and I’m not sure where I first got that info."
,,,,,,"@We_Martians This was an error on my part. I corrected the article."
,,,,,,"My apologies for the confusion. I just updated my article. Here’s more info on the launch: https://t.co/rV5iZaMmiP"
,,,,,,"Correction: I had some old data; it does look like the boosters from the Falcon Heavy launch will return to land ba… https://t.co/pl8ioa2UrK"
,,,,,,"Attn @elonmusk. I support this idea. https://t.co/eyF5XYZjup"
,,,,,,"@TheSpaceGal I explain it all there."
,,,,,,"@TheSpaceGal Actually, he’s serious. He’s doing it. https://t.co/YtudTaXPaZ"
,,,,,,"So, is Elon Musk *really* going to send a Tesla Roadster to Mars? I wanted to find out, so I asked him. The answer… https://t.co/GveKWGLFDe"
,,,,,,"I have a sneaky suspicion, and a strong hope, that this may be an accurate prediction for the future of the GOP. https://t.co/zpdPNpQTyu"
,,,,,,"@tarynoneill @feliciaday Yup. And that’s just the tip of the iceberg. A lot of this just feels like an out-and-out… https://t.co/iVG9ofqSjq"
,,,,,,"W O W https://t.co/rNOwCyO7H6"
,,,,,,"Just FYI. https://t.co/k0s2f36q7I"
,,,,,,"Oh BTW Trump tweeted this morning admitting to obstruction of justice. https://t.co/IrBzyyTkmU"
,,,,,,"@astroengine @NASAWatch It was likely a joke. https://t.co/zvTtcF11k4"
,,,,,,"@makagle That was a green ball, not a red one."
,,,,,,"Can someone find me a @GOP Senator who isn’t lying brazenly about what happened last night? https://t.co/zFhc0iSfUm"
,,,,,,"Hmmmm. This was my first instinct. I was drafting an article; I’ll hold off until I hear more. https://t.co/kHw6ZtxpbB"
,,,,,,"@elonmusk Also, will there be any kind of scientific payload besides telemetry and such?"
,,,,,,"@elonmusk I have many questions, if you please? How will the car be decelerated to achieve orbit? Will it be inside… https://t.co/6wFDNJ6N9a"
,,,,,,"@GOP It continues *forever*. Eternal vigilance is the price of liberty."
,,,,,,"@GOP It culminates in November 2018 during the midterms, when we need to turn Congress blue."
,,,,,,"It continues this year. Stump to flip @GOP seats."
,,,,,,"That starts now. Call your Representative, tell them to vote NO on the House/Senate reconciliation of the bill."
,,,,,,"What an incredibly foolish and horrid thing to write. This is not the time to quit. We are Americans. We will fight… https://t.co/Mc0s9xieT2"
,,,,,,"I’ve been trying to find the right words about last night, and I can’t. The best I can come up with is utter contem… https://t.co/dk6fDxE6c5"
,,,,,,"RT @RepDonBeyer: They scribbled down changes in pen at the last minute, and at the bidding of lobbyists, and passed it after midnight.

The…"
,,,,,,"Yeah, I take this back. https://t.co/XjC48S24wi"
,,,,,,"@elonmusk @JC_Channel More important: Bowie or Hadfield?"
,,,,,,"RT @tedlieu: Dear @brithume: Yes, because it would be a different bill. The current lobbyist-written GOP tax bill that raises taxes on mill…"
,,,,,,"RT @ClintSmithIII: Just so we’re 100% clear: 

The GOP is about to pass a tax bill they’ve consistently lied about, that has illegible hand…"
,,,,,,"@SenBobCorker And my mistake, sorry: We need two more. And that seems unlikely, unless @SenJohnMcCain and one other… https://t.co/BvmuPWkWSI"
,,,,,,"@jamesggilmore @SenBobCorker Ah yes, my mistake."
,,,,,,"Wow. This is a bit of better news. Now we need one more… And thank you, @SenBobCorker, for putting country ahead of… https://t.co/qvIWqmihgE"
,,,,,,"@NapoClown @SenCoryGardner Thank you, but I am in no way qualified to actually do this. But I do know when someone else isn’t either."
,,,,,,"Again, for emphasis. I am not exaggerating, making this up, or being hyperbolic. This will affect 300 MILLION Ameri… https://t.co/toSH24OpgC"
,,,,,,"@GOP So @SenJohnMcCain, is this the rule of order you acquiesced to?"
,,,,,,"Anyone comparing this chaos to the Dems working on ACA have their heads in the sand. There were hearings, debates,… https://t.co/8t17HF6PAN"
,,,,,,"RT @SenFeinstein: UPDATE: Republicans finally released their 500-page tax cut bill—drafted ENTIRELY behind closed doors. We’re probably vot…"
,,,,,,"In a year of unbelievable things, this may top the list so far. The Senate @GOP, as a group, is acting in a *fundam… https://t.co/kJzIwnA9Di"
,,,,,,"@cparker919 Sigh. Yeah. True."
,,,,,,"This is a lie. She may have helped tank the awful ACA repeal bill, but when it comes down to it, the GOP is the GOP. https://t.co/cupnQAXFgM"
,,,,,,"@Glinner He should be asked what the C, I, and A stand for. Lay odds he won’t know?"
,,,,,,"This is either a cry for help or else a tweet so self-unaware that it could be used in, say, a recall election. https://t.co/XncI16Ty3i"
,,,,,,"Seriously?

SERIOUSLY?

Cripes, @jack. Your audience is smarter than this. Even if this is true, you must have know… https://t.co/7wW3sPvefl"
,,,,,,"Right after tweeting that his pants turned into fire so hot it created antimatter and exploded outward at the speed… https://t.co/4yCMgkrpea"
,,,,,,"I hope Flynn, Kushner, Pence, and Trump all have adjoining cells."
,,,,,,"@starstryder Oof. Sorry."
,,,,,,"@starstryder The existential chill that swept over me when, looking over the early release data, I realized that Hu… https://t.co/3Lhj1AibAV"
,,,,,,"@craigengler Good call."
,,,,,,"@AndrewNBC12 Easy: https://t.co/UXd73a56DK"
,,,,,,"The fact that the @GOP Senate tries to ram through this disgusting tax bill at the exact same time all Russian prob… https://t.co/s3T5IU8zJn"
,,,,,,"@FranticSnail Thank you. And I love your avatar."
,,,,,,"I took some *really* pretty pictures of clouds the other night. Yeah, I’m bragging.

https://t.co/JS6f8CI0VO https://t.co/PdDUTbzBjc"
,,,,,,"@GailSimone https://t.co/NHb5LWDlzF"
,,,,,,"This is it folks. Right now. The @GOP will try to push through this budgetary abomination again in a few hours. Fla… https://t.co/JlVQnR5hF2"
,,,,,,"@WhitfordBradley @MikeOkuda @WestWingWeekly Pbbbbt. Easy. A plucky astronomer who has spent years defending science… https://t.co/eAma6dHntq"
,,,,,,"@KiltyAsCharged :) Thanks!"
,,,,,,"@jonathanwthomas @awb_org @thenightskyguy NICE! I’m so glad you like it."
,,,,,,"I will do everything I can to make sure @SenCoryGardner is out of work come 2020. https://t.co/PY4ELUG4r6"
,,,,,,"@bergopolis I could use a 24-hour Berg channel."
,,,,,,"Make a note folks: First thing in the morning, call your Senators! 

https://t.co/q1tnRmhInV… https://t.co/ywHmzzJSzs"
,,,,,,"@PictureTheSouth Nice!"
,,,,,,"Sweet merciful crap. It’s stunning that anyone can still think the @GOP Senate is anything but a massive corrupt ga… https://t.co/728ccKeBXe"
,,,,,,"Everyone in this Administration lies all the time. Just routinely, reflexively. It’s still astonishing. https://t.co/VBXGcwpbpR"
,,,,,,"RT @SenFeinstein: UPDATE: We may vote on the Republican tax bill TONIGHT. We don't have the final bill. We don't have analysis from the Joi…"
,,,,,,"@Marine_Mustang Maaaaaaaybe. He did this for the ACA repeal, but his only objection there was it wasn’t rule of ord… https://t.co/h7gLvKbQMB"
,,,,,,"#tbt to yesterday, when I was just furiously angry at the @GOP and not incandescently so."
,,,,,,"@Popehat Thank you. Leave her a comment if you please!"
