NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Betsafe,19415,378,"In it to win it. Followers must be 18+. https://t.co/TKXohzobnk",1597,3207,"Beneventoooo! What a header from the goalkeeper in the last minute to earn a 2-2 draw with AC Milan. Gattuso is not… https://t.co/Hq5nUkDlr0"
,,,,,,"Premier League experts @OfficialPDickov and @AlanMcInally discuss top of the table Manchester City vs West Ham. ⚽️🏆… https://t.co/8Mphtt2PxA"
,,,,,,"@ManCity Just over 50 minutes to take part and win those tickets! #mcfc #pl"
,,,,,,"Arsenal 1 Manchester United 3 - Full-Time

15 shots on target for the gunners but Super De Gea was in sublime form.… https://t.co/2A36NUJKML"
,,,,,,"@Bommino_ The process may have just been delayed. Please allow up to 48 hours for this to be resolved. Sorry for the inconvenience Joe."
,,,,,,"Check-out the #UFC218 preview with exclusive analysis from @POSTERBOYJM! 👊 🔥

Card odds: https://t.co/OnYvD7We9g https://t.co/ZrjVtZhRiH"
,,,,,,"@Bommino_ Hi Joe, sorry for your inconvenience. What is the issue?"
,,,,,,"RT @ManCity: Want tickets to the #ManchesterDerby? Complete @betsafe’s Battle of Manchester quiz for a chance to win!

Try now: https://t.c…"
,,,,,,"Team news, statistics and betting tips for this week's @premierleague fixtures. ⚽️🏆 #PL 

https://t.co/5kWBcbL3Bq"
,,,,,,"Good or bad draw for England? 🦁🦁🦁 #ThreeLions https://t.co/mz8Q8scLZD"
,,,,,,"RT @Saracens: Preview | Check out this week's @Betsafe tips and acca boosts from @jimhamilton4 and @AndyGoode10 📰👉https://t.co/Ez2wPoQwCp h…"
,,,,,,"European football previews by @jonawils! 🇪🇸🇩🇪🇮🇹

#LaLiga - https://t.co/lpCtBI4QuF
#Bundesliga -… https://t.co/d0TKylw2nU"
,,,,,,"Happy birthday to @betsafe ambassador @TonyBellew! 🎂🎈👊 https://t.co/aI9bldMI7n"
,,,,,,"#Betsafe ambassador @POSTERBOYJM shares his opinions for this weekend's Holloway vs. Aldo. 👊

Watch the rest ⬇️… https://t.co/tN4wDLkPQ8"
,,,,,,"These guys... 😂🏉
@JimHamilton4 &amp; @AndyGoode10

Watch the rest (...and some actual previews) ⬇️… https://t.co/01IG3nESGC"
,,,,,,"Confident on the accas landing this week @jimhamilton4 @AndyGoode10? 🏉💰 https://t.co/f3LIP20YCg"
,,,,,,"Unfortunately for Arsenal, midfielder Santi Cazorla has had a further delay from returning to first-team action due… https://t.co/Z9hH77Zgdz"
,,,,,,"Trailing 1-0, @englandcricket travel to Adelaide for their first ever #Ashes test played with a pink ball. 🏏🇦🇺 https://t.co/hGqRiDPy1y"
,,,,,,"Delighted to see @21LVA sign a new deal! ✍️🇪🇸💥 https://t.co/Lsrhighi0r"
,,,,,,"Who scored the better halfway line goal? 🤔

🔁 RT - David Beckham 
❤️ Like - Wayne Rooney

#PL https://t.co/Z7lCiiaDTj"
,,,,,,"Goals This Season ⚽️ (all competitions):

Mo Salah - 17 🔥
Lionel Messi - 16 
Neymar - 15 
Cristiano Ronaldo - 11 ❄️ https://t.co/SKC2jaN0aI"
,,,,,,"Win tickets to the #ManchesterDerby by completing our @ManCity quiz on Betsafe's #BattleOfManchester Facebook page!😎 https://t.co/7GcvAfv7R5"
,,,,,,"RT @jimhamilton4: Me and the ever growing @AndyGoode10 preview the final Autumn test match Wales vs South Africa with @Betsafe 

https://t.…"
,,,,,,"Matches:13 W:12 D:1 L:0

@ManCity hope to continue their unbeaten run in the #PL against #SaintsFC. 💯⚽️🔥

Bet here:… https://t.co/kIpPbB7gZj"
,,,,,,"🚨BREAKING🚨

Sam Allardyce has been appointed as Everton manager. We are live at his first press conference! 

#EFC… https://t.co/sKkX5vz8mD"
,,,,,,"Team news, stats and betting tips for tonight's #SPFL matches by @JimDelahunt. ✍️⚽️ https://t.co/kx58JVGHus"
,,,,,,"Alan Pardew has officially been announced as West Brom's new manager. Time to bring out the dance! 💃⚽️🔥 #WBA #PL https://t.co/qgfa57W8wy"
,,,,,,"""Ronaldo or Messi?"" 🤔⚽️
""Love Island or Big Brother?"" 📺👀

We got to know @FAIreland's all-time record appearance ho… https://t.co/2XgLRcDn89"
,,,,,,"Ahead of Leicester City vs Spurs, we want to know when was @GaryLineker at his goalscoring best? ⚽️ #LEITOT

😆 Leic… https://t.co/fNzEw6r1S9"
,,,,,,"Could we see a potential fight between @TonyBellew vs @Tyson_Fury? 🥊🤔

Odds: https://t.co/1wZ63bTPnZ https://t.co/qc9ARWzPhA"
,,,,,,"@TonyBellew @Tyson_Fury @Klitschko Could we see a potential fight between @TonyBellew vs @Tyson_Fury? 🥊🤔

Odds:… https://t.co/8EZIP4f9yY"
