NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
CharlesMBlow,413994,204,"NYT columnist.
Author of #FireShutUpInMyBones 
Bookings: https://t.co/y9LlGiCx31
Instagram https://t.co/XwfDsyO22y
Facebook https://t.co/aXkWyByDSE",435178,205731,"LIES!!! https://t.co/cu3XirtzoK"
,,,,,,"RT @Newsweek: An NRA member invited Trump to the Kremlin on behalf of Putin, according to new report  https://t.co/rdBgek81Bn https://t.co/…"
,,,,,,"RT @MMFlint: https://t.co/Fy8hs5UAqg"
,,,,,,"RT @SoVeryBritish: If you’ve just entered a building without saying “bloody freezing out there”, you’ve done it wrong. Go out and do it aga…"
,,,,,,"RT @kylegriffin1: It's been 64 days since Congress let CHIP, the children's health insurance program that insures 9,000,000, expire."
,,,,,,"RT @LanceUlanoff: Trickle Down Economics
Trickle Down Economic
Trickle Down Economi
Trickle Down Econom
Trickle Down Econo
Trickle Down Eco…"
,,,,,,"RT @marclacey: Some news: the number of free @nytimes articles available for most non-subscribers is dropping from 10 to five. Please consi…"
,,,,,,"RT @thehill: Top White House lawyer interviewed with Mueller's team day before Flynn guilty plea https://t.co/iO9Josieer https://t.co/q4GRZ…"
,,,,,,"Wait, WHAT?!!! https://t.co/DJZmPn8SW1 https://t.co/HKCGyrcYvg"
,,,,,,"Emails Dispute White House Claims That Flynn Acted Independently on Russia via @NYTimes https://t.co/DJZmPn8SW1"
,,,,,,"I'm sorry, I've forgotten: How many Obama ppl got charged with/plead guilty to lying to the FBI abt the Russians? Or Bush? Or Clinton? Or…"
,,,,,,"Let me put this in personal terms: This unconscionable GOP tax bill is great for ppl like me who don't need a break… https://t.co/2DHDjfOEuY"
,,,,,,"RT @chrislhayes: Here's the way the Cruz amendment works: the more money you make, the more the government will subsidize your kids' privat…"
,,,,,,"RT @WestWingReport: If you make less than $75,000, your federal tax bill will rise sharply over the long run - after a short-term cut. It's…"
