NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Choco_lala1,326,8,,267,108,https://t.co/A9kIm1Xa4s
,,,,,,"RT @JoeyEssex_: I swear that my bed just called my name??? I think it did ... Zzz 😍💤"
,,,,,,"RT @AllStarMusicST: @areesa_amjed Out Now, @jon_klaasen New single #HoldingMeBack"" @itunes https://t.co/8knP03PblC  #HoldingMeBack #HMB"
,,,,,,"RT @BITNBproject: @DuganFire, @darrylreeves, @areesa_amjed, @BarloungeCH1 
Much Appreciated...! https://t.co/pzfhoq9BR6"
,,,,,,"i distance myself from all the drama and bullshit you think you knw meh you knw nuiiin"
,,,,,,"no one is better than me 😏"
,,,,,,"the hardway is the best way and makes more stronger everytime this way revieles loads of secrets of life🔓"
,,,,,,"you don't knw what that person has been thru all of sudden you judging them writing about em bruh look at yourself in mirror first den talk"
,,,,,,"real eyes realise real lies *-*"
,,,,,,"tbh I am good at annoying and I can piss you off but there is no one who will love you more than me and you will never find someone like me"
,,,,,,"If you are reading this I guarantee you smiled or you was doing that already 😜"
,,,,,,"Someone asked me to open up so I opened up and I closed them and now my newsfeed is empty and dead :("
,,,,,,"no matter how small that person makes you look they will look even smaller in the other persons eyes that they are trying to deceive !!!"
,,,,,,"don't take my kindness for my weakness because that's your weakness 😉"
,,,,,,"helping 😂 naaa that used to be me untill I got stabbed in the bck with a knife 🔪 no one ain't on nuiin just heart full of hate+jealousy"
,,,,,,"when someone gets caught that person always tries to find a way to blame someone else doesn't realise pain until they been thru it #karma😈"
,,,,,,"I am a dedicated and committed person when it comes to anything im a hard worker but im so impatient I don't like waiting I want quick time"
,,,,,,"When they try there best to knock me down and shut me up when im at my last stages of loosing it a miricle happens 😂 I don't need snm 😂"
,,,,,,"hate being lied to over and over .... not listened to in the first place then getting told I was rite then watching them suffer hard way 😒"
,,,,,,"🔐 start by thinking positive 🔐"
,,,,,,"I is bored asf yawn 😫"
,,,,,,"Whoever invented Lucozade 😍 may god bless u 😇"
,,,,,,"oh no no 🙈"
,,,,,,"Peekaboo I see you 👀"
,,,,,,"hershies mmmmm ....   😍 here yummy chocky chocky x"
,,,,,,"fabalabashabalabadingdong 😜"
,,,,,,💰💰💰🔐
