NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Chris_Heine,10982,3749,"Director at Bateman Group's Content Studio. Freelance journalist, too.",963661,21,"RT @LarsAnderson71: Hmmm. https://t.co/FUawrEl2RZ"
,,,,,,"RT @DanWetzel: Florida St has REGULAR season game today. Coach won't be there. Bailed for another job. Yet players who sit out bowl game ge…"
,,,,,,"RT @dahersh: This is not democracy https://t.co/CgEACqcmvG"
,,,,,,"RT @jonlovett: Looking forward to Democrats passing single payer in ten minutes at two in the morning on post it notes in @SenGillibrand’s…"
,,,,,,"RT @SenSchumer: In my long career in politics, I have not seen a more regressive piece of legislation, so devoid of a rationale, so ill-sui…"
,,,,,,"RT @SenatorTester: I was just handed a 479-page tax bill a few hours before the vote. One page literally has hand scribbled policy changes…"
,,,,,,"@DiannaMcD Office realignment, office move... or what’s going on?"
,,,,,,"@abcdedgar Dang, Son. That's a great bar."
,,,,,,"RT @datphoenixbrown: https://t.co/Zd61tbpVal"
,,,,,,"RT @nytimes: Breaking News: President Trump's ex-national security adviser, Michael Flynn, pleaded guilty to lying to the FBI about contact…"
,,,,,,"RT @NoahMallin: Inevitable - Pre-roll comes to Facebook https://t.co/rVKj224Sys"
,,,,,,"RT @Adweek: McDonald’s sponsored a Snapchat bitmoji that steals your coffee in augmented reality: https://t.co/kTiYJRQ8Np https://t.co/egpK…"
,,,,,,"RT @KamalaHarris: Before the tax reform bill was passed in 1986, the Senate Finance Committee held 33 days of hearings. This bill? Zero. No…"
,,,,,,"RT @emprosports: Hands down, best Mike Leach quote of all time. This in reference to how he deals with short weeks playing on a Friday. #Vo…"
,,,,,,"@LarsAnderson71 I was WAY late to this, I now realize."
,,,,,,"@LarsAnderson71 What's your favorite story in David Halberstam's curated collection The Best American Sports Writin… https://t.co/Ze07DrbHY6"
,,,,,,"RT @OWHbigred: Central Florida would be owed $3 million if Nebraska hires Scott Frost https://t.co/FY9Sjqi2Rq #Huskers https://t.co/xdc8bBV…"
,,,,,,"RT @caro: I donate to both Ds and Rs (and Ls) if they're smart people that I think will do a solid job. With that said, this clip was the l…"
,,,,,,"RT @SteveSchmidtSES: Every single Gen X'er should be outraged as we watch a bunch of septuagenarian and octogenarians load another 1.5 tril…"
,,,,,,"@MuslimIQ @TuckerCarlson I am sure he'll approach the discussion with an open mind."
,,,,,,"@NoahMallin If it's such a ""nothingburger"" like Bannon likes to say, what's Trump so gd worried about, right?"
,,,,,,"RT @HistoryInPix: Convicted murderer James French's last words in the electric chair were ""How's this for your headline? French Fries."" htt…"
,,,,,,"RT @Harryslaststand: I am very old, so I know we will all be judged by history and those that come after us on whether we resisted racism,…"
,,,,,,"Never really enjoyed the two-to-three-second GIF loops as much as everyone else seemingly has. Looking fwd to '18 when people are over it."
,,,,,,"FFS, 2017: https://t.co/fjbc6Z96oj"
,,,,,,"RT @HistoryInPix: Flamingos huddled together in the bathroom at Miami Zoo during Hurricane Andrew (August 24, 1992) https://t.co/kscA0BWWcT"
,,,,,,"RT @khaleda: @realDonaldTrump Just fine? 58 people died and 546 were injured when a white man opened fire on a country music festival in La…"
,,,,,,"RT @JuddLegum: ThinkProgress obtained a legal course that Roy Moore co-authored in 2011.

It argues that women should not be permitted to r…"
,,,,,,"RT @digitalshields: Snapchat's getting a bum rap because people that cover the company don't use it, says @BenjLerer it's a pretty fair poi…"
,,,,,,"RT @kristinamonllos: Love how @UpperEastRob can dig into something as seemingly mundane as yogurt and get something great: https://t.co/zRf…"
,,,,,,"RT @darrenrovell: This Day In 1983: Michael Jordan appears on Sports Illustrated for the first time.

No athlete has appeared on more cover…"
,,,,,,"RT @RuthHHopkins: Pocahontas was a pre-teen who was kidnapped, held hostage &amp; raped by European invaders. Stop using her name as a racial s…"
,,,,,,"RT @FT: US tax reform: the return of trickle-down economics https://t.co/Chh7nFCDbO"
,,,,,,"RT @Kantrowitz: Meetup getting acquired by WeWork, per Crunchbase. Wow. A great fit. https://t.co/8FjXhsqMIL"
,,,,,,"LOL https://t.co/cJMDGlcZOI"
,,,,,,"RT @Peter_Wehner: .@saletan is correct. It's another example of the depths to which some on the American right have sunk. They want to disc…"
,,,,,,"@petersontee Man, that development feels a lot older than four years."
,,,,,,"RT @ianbremmer: Countries w/ most political and civil freedom, 2017 
 
1 Finland (tie)
1 Norway 
1 Sweden 
4 Canada (tie)
4 Netherlands 
6…"
,,,,,,"RT @ddale8: !!! Trump, at event honouring Native American code talkers, calls Elizabeth Warren ""Pocahontas."" Full quote:

""You were here lo…"
,,,,,,"RT @TaylorLorenz: End of an era https://t.co/qbx653c4d9"
,,,,,,"RT @daithaigilbert: In Italy, democracy is under threat from fake news and Facebook is sending in a ""task force"" to fix it https://t.co/NBB…"
,,,,,,"RT @Adweek: To dodge ad blockers, this bank ran banner ads in newspapers instead: https://t.co/DTXMGuuNIJ https://t.co/0Y5cZfeAkA"
,,,,,,"RT @caro: This is the tweet we need today https://t.co/HxQz0X2w1e"
,,,,,,"RT @Frank_Schaeffer: Trump wantsto put Thomas Brunell in charge of the Census Bureau. His ONLY qualification is a his paid collaboration wi…"
,,,,,,"RT @mattyglesias: Populism https://t.co/DZ0KC0GQx3"
,,,,,,"RT @saraheneedleman: Niantic Chief Executive John Hanke said the new capital would allow the company to make long-term investments in augme…"
,,,,,,"RT @naomirwolf: #selfemployed FOUR ALARM ALERT! This tax bill cuts almost ALL deductions for self-employed people! ""child and dependent car…"
,,,,,,"RT @robferdman: In just 9 years the CFPB has secured almost $12 billion in consumer relief for corporate wrongdoing, including $700 million…"
,,,,,,"RT @stephenfhayes: A very well-reported NYT look at the president's decision to embrace a candidate credibly accused of child predation. A…"
,,,,,,"@gerrydinardo You had the LSU job."
,,,,,,"RT @DanWolken: COLUMN: Don't give Alabama pass to the playoff. The way they played in November proved they don’t belong. https://t.co/epjRQ…"
,,,,,,"RT @CNNPR: @realDonaldTrump It's not CNN's job to represent the U.S to the world. That's yours.  Our job is to report the news.  #FactsFirs…"
,,,,,,"RT @Evan_McMullin: CNN International has long been an important example of the free press to the world. By attacking it, Trump is doing his…"
,,,,,,"RT @readDanwrite: In Brooklyn, small businesses are getting pushed out, and the storefronts are sitting empty-- in some cases for YEARS: ht…"
,,,,,,"RT @JonErlichman: Things that did not exist on Thanksgiving 10 years ago:

Uber
Airbnb
Instagram
Snapchat
Bitcoin
iPad
Kickstarter
Pinteres…"
,,,,,,"RT @GDouglasJones: Reminder: 

You can use the mobile app (Vote for Alabama) to register to vote up until 11:59:59 on Monday, November 27 a…"
,,,,,,"RT @Coach_Riley: https://t.co/o5kLoybMUT"
,,,,,,"RT @alansmurray: Amazing.  Not a speck of truth here—Trump tweets he 'took a pass' at being named TIME's person of the year https://t.co/D6…"
,,,,,,"RT @Gdad1: Susan Collins Is The First Republican Senator To Oppose Repealing #NetNeutrality  via @politicususa https://t.co/xrgzY6VMac"
,,,,,,"RT @darrenrovell: Woman runs out of gas on the side of the road.

Homeless man takes what he says is his only money ($20) to get &amp; bring ga…"
,,,,,,"RT @LarsAnderson71: I've heard from a source that I trust that Scott Frost to Nebraska is a done deal."
,,,,,,"RT @darrenrovell: What an incredible stat. https://t.co/LmEVAwWOJQ"
,,,,,,"RT @nanglish: “Hi, this is Bernie Bernstein calling from Time Magazine...”"
,,,,,,"RT @karaswisher: My review: Okay, the new @justiceleaguewb movie is essentially an extended Axe commercial and I was dragged there post-tur…"
,,,,,,"I am not sure Iowa needs to think about passing the ball. They run it every play, it’s a guaranteed 40+ points. #BlackFriday #IowavsNeb"
,,,,,,"RT @ChelseaClinton: Malia Obama’s private life, as a young woman, a college student, a private citizen, should not be your clickbait. Be be…"
,,,,,,"RT @cwarzel: so fun how journalists have now become the content moderators for the multi-billion dollar tech companies https://t.co/vOah9uN…"
,,,,,,"RT @ProudResister: A college student named Malia Obama smokes a cigarette and kisses a boy.

GOP: The Obamas are ruining America.

A con ar…"
,,,,,,"@daake07 @swmckewonOWH Yeah, that wasn't too difficult of an overturn."
,,,,,,"RT @griner: Trump screaming MAGA at a columnist calling out his racism is maybe my favorite deleted tweet ever. https://t.co/EajmRVItGe"
