NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Cmtl_513,7,5,🤷🏾‍♂️,140568,0,"@UniqueMalikh where"
,,,,,,"RT @CoyWire: 1st white player kneeling in anthem protest @SethDevalve
""I myself will be raising children that don’t look like me” https://t…"
,,,,,,"RT @_kayshanay: If he/she don't want you then leave em alone 🚮"
,,,,,,"RT @uP_AnD_oPEn: 😍😖 https://t.co/fBMBb3MyW1"
,,,,,,"Females wit dry convo be havin dry pussy too"
,,,,,,"Ion claim this generation yal mindset fucked up"
,,,,,,"All the good girls go off to college and the city be left wit all the thots 🤷🏾‍♂️"
,,,,,,"RT @Lil_MontMont: 30minutes after argument
her: wyd babe?
Him: I thought you said you was done with me fuck me and I ain't shit? 
Her :http…"
,,,,,,"RT @SDBYXX: when I used to see your name pop up on my phone vs when I see it now //: https://t.co/aoyPu6h7om"
,,,,,,"RT @taywerrr___: i hate waiting on people 😠"
,,,,,,"RT @wizkhalifa: Cigarettes make you look old and overworked. 

The 90’s is over. 

U can stop now."
,,,,,,"Dislocating my shoulder probably was the most painful experience I ever been threw"
,,,,,,"Swear 😂😂 https://t.co/yfUETICwfO"
,,,,,,"This hot fudge cake from Frisch's smackin on god"
,,,,,,"Try to make everyday an productive day"
,,,,,,"I'm ready for football season to start"
,,,,,,"It's that Hoe'n weather"
