NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
DaibhiOCadhla,546,199,"Always different, always the same",217,392,"It's still a big ask, but delighted England are putting up a fight #Ashes https://t.co/jfTWVvElS0"
,,,,,,"Some people really do have way too much time on their hands – not that I'm complaining https://t.co/uK9fcvrEcZ"
,,,,,,"Pretty happy with that – Australia could've done a lot worse, and England surely won't crash out in the first round… https://t.co/1PbFSJr2FX"
,,,,,,"Pretty hard to romanticise the royals when I can think of so many better things to spend public money on than anoth… https://t.co/X8l9wxWyyI"
,,,,,,"“History will no doubt record the album [Low in High School] as the one which marked the moment Morrissey's media p… https://t.co/3EH0nfGTLU"
,,,,,,"Great news – would love to see Victoria (and the rest of the states) follow suit https://t.co/IukRpbjUyu"
,,,,,,"Proud of my adopted state for leading the way on assisted dying in Australia #SpringSt #VAD #DyingWithDignity https://t.co/WYMnv3G9jM"
,,,,,,"Spot on – definitely a step in the right direction, but really can't see why it needed a survey (a familiar feeling… https://t.co/cNBOufeKqP"
,,,,,,"Sign the petition to stop the federal government banning charities from speaking up for Australians! #AusPol… https://t.co/qeCrJiVOK1"
,,,,,,"“The real culprit of the climate crisis is not any particular form of consumption, production or regulation but rat… https://t.co/Ew5ZpX6lSm"
,,,,,,"Another enjoyable match, and kudos to @SBS for it's coverage – especially appreciated the all female panel… https://t.co/FBLPmExlcX"
,,,,,,"“In Boochani's writings is a spirit Australia has lost: brave, honest, generous and free. Once he wanted to come he… https://t.co/C9QLBVekLL"
,,,,,,"Reckon it's better not to vote against animal rights protections in the first place rather than yelling 'fake news'… https://t.co/dWfgteP9sD"
,,,,,,"Definitely glad the time's finally come for a little less talk and a lot more action #Ashes https://t.co/Oa7A1cbXRz"
,,,,,,"George Monbiot nails it yet again: “Growth must go on – it's the political imperative everywhere, and it's destroyi… https://t.co/rjcDp4zAbg"
,,,,,,"Really couldn't have asked for a better evening at @AAMIPark for @TheMatildas match #AUSvCHN #GoMatildas https://t.co/601nFm5NcF"
,,,,,,"Bit shocked that Ange actually did quit before we go to the World Cup, but sure glad that he got us there #Socceroos https://t.co/wwOZFUnNrB"
,,,,,,"Contrary to what parliament has decided, animals are sentient beings – join me and add your voice to the petition t… https://t.co/fVkFpfm40H"
,,,,,,"Lovely view of Melbourne on my way home this evening... https://t.co/HtXtinUFdm"
,,,,,,"Feels like a symbolic step in the right direction #MungoMan https://t.co/spH7M0bD0E"
,,,,,,"“Elephants are facing extinction and this is no time to strip them of protection. Trophy hunting drives the slaught… https://t.co/y3WjqOEsqB"
,,,,,,"Think it's fair to say that today has been a very good day here in Australia #GoSocceroos #MarriageEquality https://t.co/M40045alom"
,,,,,,"@Utopiana Your welcome, Celeste. Really appreciated your article"
,,,,,,"With so many people using the dual citizenship thing for political point scoring, I'm really glad to see someone ca… https://t.co/iMVRTOZU9y"
,,,,,,"Near 80% turnout, over 60% in favour – really can't argue with that (although I'm sure some sorry individuals will… https://t.co/XFAFBURdNA"
,,,,,,"Scientists' warning to humanity: “time is running out” #ClimateChange #COP23 https://t.co/LkTYXR1p0k"
,,,,,,"Pretty pleased with that - feel much more confident about getting to Russia now #HONvAUS #GoSocceroos https://t.co/ODf8zaLLAL"
,,,,,,"“After every atrocity, we say: ‘Never again.’ We must mean it.” #Rohingya https://t.co/zZppR6YvtG"
,,,,,,"Words fail me - I just hope the footage from @Getup helps put an end to this despicable situation #AusPol… https://t.co/BE2gfTFRiu"
,,,,,,"Never really know how much these things achieve, but it can't do any harm to express our distaste for rampant tax e… https://t.co/KIMU3APKUT"
,,,,,,"Not sure when these 'patriots' will realise they're nothing more than an embarrassment to the country they claim to… https://t.co/g6AoyZNRPX"
,,,,,,"I look forward to the day that this festival of animal cruelty no longer stops the nation #MelbourneCup… https://t.co/s8N0KrtZVO"
,,,,,,"Lovely pint of @HolgateBeer ESB from the handpump - think the Green Man's Arms could well be my new go-to watering… https://t.co/Za80GLkQZc"
,,,,,,"Can't say it makes me any fonder of the monarchy to see them linked to tax evasion - especially at a time of auster… https://t.co/HeXHxUoBuM"
,,,,,,"Absolutely epic - the sort of thing I'll never get tired of watching #RLWC2017 #SAMvTON https://t.co/vQhBhwmweZ"
,,,,,,"No horse deserves to die for gambling money - pledge to never bet on cruelty #HorseRacingKills https://t.co/7HTwRv20bm"
,,,,,,"Seems like a good idea to me - that is assuming we're actually serious about being the land of the 'fair go'… https://t.co/OVhykdREuT"
,,,,,,"Check out this campaign raising funds for emergency supplies for #Manus https://t.co/eOs3F8rzbz via @Chuffed"
,,,,,,"“One simple dietary change of swapping beef for beans would mean that the US would meet up to 75% of its climate ta… https://t.co/Lrm4n5zVfA"
,,,,,,"Delighted the climbing of #Uluru is finally going to be banned: “It is an extremely important place, not a theme pa… https://t.co/6p0fH7si6l"
,,,,,,"Feeling quite pleased with myself for actually managing to hold off until #Halloween before getting stuck into #StrangerThings"
,,,,,,"Our government has somehow found a way to be even more barbaric to asylum seekers - words fail me #AusPol… https://t.co/Ul9516z7Cc"
,,,,,,"“The weirdest waste of Australian money since every Baz Luhrmann movie ever made” John Oliver savages our… https://t.co/AsbghwhRjS"
,,,,,,"No @StreetsIceCream for me this summer then #AusPol #StreetsFreeSummer https://t.co/EEqMU53yMx"
,,,,,,"“If people maintained and repaired possessions, the world economy and the impact of human activity on the environme… https://t.co/LBCGQB0Ewx"
,,,,,,"Reckon the least we can do is demand that the women making our clothes for the big brands aren't living in poverty… https://t.co/p3eXga362v"
,,,,,,"“When we asked you to come up with a solution, we meant you should come up with constitutional recognition” #AusPol… https://t.co/nJLcXjQSXy"
,,,,,,"Warm evening &amp; cold beer, Barnaby ruled ineligible, and opening matches of #WLeague &amp; #RLWC2017 on the box - sounds like a good Friday to me"
,,,,,,"With all that's been going on, I reckon signing a petition calling for a federal #ICAC is a bit of a no-brainer… https://t.co/jyWuJcWTnf"
,,,,,,"Well said, @CarolineLucas... Can't see why the 'will of the people' should be set in stone before they know what… https://t.co/XuVNxoa2jr"
,,,,,,"Well that's brightened my day - nice work, young fella https://t.co/t8QwaXyvWk"
,,,,,,"Finally got around to trying a pint from local Brunswick brewers @CoConBeer this evening - got to say I'm pretty impressed"
,,,,,,"It starts slow, that's for sure, but #Mindhunter had me hooked by time Psycho Killer played out the second episode https://t.co/ocOMZVjjfo"
,,,,,,"On #WorldSlothDay help end the suffering of sloths and other animals in selfies. Sign the Wildlife Selfie Code:… https://t.co/1J5bsWQUoz"
,,,,,,"@riebeeck7 Likewise @riebeeck7"
,,,,,,"Kudos to the Victorian government for leading the way on #AssistedDying - hope the rest of the states follow suit s… https://t.co/0H5wPenYbn"
,,,,,,"Couldn't have said it better myself #RefugeesWelcome https://t.co/opNP4Fz9eZ"
,,,,,,"Really pleased to see @SamKerr1 and @TheMatildas pick up well deserved awards - they've been an absolute delight to… https://t.co/7LNTM1000P"
,,,,,,"Excellent - it's been way too long since we last had the chance to see the boys in green down here in Melbourne… https://t.co/iOYDUlqaLj"
,,,,,,"Hope to see the day when we're just as appalled by elephants in zoos as we are by orcas in aquariums https://t.co/WZw7HWAe0c via @theage"
,,,,,,"Really rather sad to hear that - used to love his show back in the day, and 51 is way too young #RIPSeanHughes https://t.co/qH13kg8690"
,,,,,,"“In a few years, you'll look back and wonder what all the fuss was about and why #MarriageEquality took so long” Sp… https://t.co/wbPGBZTtfo"
,,,,,,"“Poultry accounts for about half of all meat eaten in Britain. It's cheap. The cruelty that goes into the making of… https://t.co/YWtnofKptb"
,,,,,,"Really hope this sort of evidence based focus on reducing suffering wins out over faith based objections #AusPol… https://t.co/gwpIEb9WiR"
,,,,,,"So even the IMF are backing Corbyn's plans for fairer taxation now? Guess I'll file that under pleasantly surprised… https://t.co/xmsbFG4NI7"
,,,,,,"Bit tenser than I would've liked, but great to see @Tim_Cahill get to 50 international goals - what an absolute sta… https://t.co/RdaK3BNU0n"
,,,,,,"So, just watched the new @LouisTheroux – every bit as compelling as always, but utterly devastating #DarkStates https://t.co/oboT5QTg7C"
,,,,,,"Just take my money already (aka straight onto the mbv website to preorder) https://t.co/pFU2aJBVqT"
,,,,,,"Can't say I'm that surprised to hear the only thing standing in the way of clean energy down here is our politician… https://t.co/E4Kh30KBDh"
,,,,,,"“While we call ourselves animal lovers, we inflict brutal deprivations on billions of animals” #FactoryFarming https://t.co/feWxiIC2Uf"
,,,,,,"Can't comprehend how any policy that kills those we should be protecting can be seen as anything other than a failu… https://t.co/KV02UwOYtG"
,,,,,,"Think it's fair to say that I enjoyed that a lot more than last year's Grand Final #NRLGF #BringTheThunder⚡ https://t.co/ysiw59MXIP"
,,,,,,"Can't say I'm all that gutted by the news - especially as we might end up with Ged Kearney as our new state MP… https://t.co/FbXWKatSha"
,,,,,,"Delighted to see the old country finally taking a step in the right direction on reproductive rights #RepealThe8th https://t.co/1sVIyNHHtL"
,,,,,,"“Sport is a reflection of the world it's played within. All of the prejudices and issues that exist in society at l… https://t.co/ipnzyXL8Pc"
,,,,,,"“The Turnbull government needs to stop playing politics with Australians' health and end its addiction to coal”… https://t.co/wRKf3Cq2W3"
,,,,,,"Well, that's really made my day #GoMatildas https://t.co/yMYd43I8Ds"
,,,,,,"Strikes me that one day people will look back and wonder how we could justify prolonging the suffering of dying pat… https://t.co/bnHKQTNoQ2"
,,,,,,"Spot on - this survey situation makes it harder than ever not to feel like we're being held back by the people who… https://t.co/F9Pnm2uh3x"
,,,,,,"“If we want to avoid extreme #ClimateChange, we can't put off confronting the consequence of our diets for much lon… https://t.co/NMka0ThTeC"
,,,,,,"Really enjoyed that - and great to see @TheMatildas get an entertaining win in front of such a big home crowd… https://t.co/rLpIrTQe37"
,,,,,,"Great work by @TheBevanEffect - not sure I've read too many better articles about living with #ChronicIllness https://t.co/PjYuuNyIdJ"
,,,,,,"Pretty happy with my local council right now - nice work, @MorelandCouncil #ChangeTheDate https://t.co/dmbEz2uEz6"
,,,,,,"Michael Gove is considering action to end live exports from the UK. Urge him to act: https://t.co/WPfuqgCGYZ #StopLiveTransport"
,,,,,,"Good work, @RichardDiNatale. Next step removing barriers for patients with chronic conditions too, I hope #AusPol… https://t.co/GRCyF7TAq1"
,,,,,,"Delighted to see the improved pay and conditions for #WLeague players - really is the least they deserve https://t.co/mP54j5pmsA"
,,,,,,"Not usually one for multiplexes, but reckon it's probably worth braving Melbourne Central to see #ItMovie on the biggest of big screens 🎈"
,,,,,,"“The reason why we appear to be stuck with neoliberalism is that we have failed to produce a new narrative with whi… https://t.co/3DHiBvTsAC"
,,,,,,"Great work, @DanielAndrewsMP. I just wish federal Labor would show as much compassion to #asylum seekers #AusPol… https://t.co/7GA9hFwjKl"
,,,,,,"Superb... Really can't wait for the Myer Music Bowl gig now #TheNational #SleepWellBeast https://t.co/ELsn5BN52T"
,,,,,,"“Kicking them out won't lower the unemployment rate, or lighten anyone's taxes, or raise anybody's wages” #Brexit https://t.co/5JI7FEHyfm"
,,,,,,"“With our already slim chances of avoiding dangerous #GlobalWarming ... we can't afford to leave food and farming o… https://t.co/3THZ915fgy"
,,,,,,"Frustrating and freezing night at AAMI Park - just hope the win proves good enough to get them through to Russia… https://t.co/sM5NdHI0BL"
,,,,,,"Just no way I can resist saying it - damn good finale #TwinPeaks"
,,,,,,"Good to see people still speaking out against the NT intervention (and good to see Gillian Triggs still fighting th… https://t.co/RylGB6aS8e"
,,,,,,"Been looking forward to this, but suspect I might well be in for a nerve-wracking 90 minutes #JPNvAUS #GoSocceroos"
,,,,,,"Can't say I'm a fan of this survey, but good to see it's got thousands to rally (and thousands more to register)… https://t.co/KG2eSI10Mu"
,,,,,,"Would've hoped any suggestion that Cook discovered Australia had been put to bed long ago, but apparently not… https://t.co/rbID8P52UJ"
,,,,,,"Nice work, Stuart Broad... Looking forward to seeing you add to the tally down here during the Ashes https://t.co/8PF20Y9PqW"
,,,,,,"“We progressives are faced with a choice between living our stated ideology or upholding the status quo each time w… https://t.co/cqXYlJNsey"
,,,,,,"Genuinely shocked - not so much by Hanson's burqa stunt, more by someone managing to make Brandis look like the goo… https://t.co/ZF5JoLwEdL"
,,,,,,"Baby animals - stabbed, burned &amp; electrocuted :( Aussie #slaughterhouse cruelty at its worst??? TAKE ACTION: https://t.co/JinryS5NIg"
,,,,,,"A doco about Laibach playing North Korea? How could I resist #LiberationDay #MIFF2017"
,,,,,,"“If there was a reasonable argument to say 'no', we'd certainly discuss it. I just haven't heard it yet”… https://t.co/WGG9W196ES"
,,,,,,"Really hope @AMEquality's legal challenge kills off this dodgy plebiscite that'll surely end up doing more harm tha… https://t.co/fPAuEzUOR3"
,,,,,,"Not usually one to describe things as inspiring, but I can't think of a better way to describe @GirlUnboundFilm  #MIFF2017"
,,,,,,"Spot on from @PFConnolly. Just gutted we have to wait for the W-League to start before we get to see the women's ga… https://t.co/41MhOICTMS"
,,,,,,"Strikes me that there's no such thing as cheap meat - it might not cost much, but it always seems to come at a high… https://t.co/RLphQhAX5w"
,,,,,,"Reckon @JulianBurnside has nailed it with his article on Turnbull's ugly little chat with Trump about refugees… https://t.co/eoqTgML5lh"
,,,,,,"Glad to some good come of it... Now best go get my Boxing Day ticket sorted #Ashes #FairShare https://t.co/QBwUmvrDsI"
,,,,,,"Really sad to hear we've lost Les Murray - I don't think football in Australia will ever be quite the same without… https://t.co/cvr6ZLBJWf"
,,,,,,"Can't recommend #InMyOwnWords highly enough - superb documentary about tackling Australia's shocking Indigenous ill… https://t.co/j8Izzg8WhY"
,,,,,,"Sounds good to me - seems crazy to still have a heredity monarch as head of state in this day and age #AusPol… https://t.co/k5nI4GQmoL"
,,,,,,"So proud of @TheMatildas - it's great to see them finally beat the USNWT, especially on their own turf #ToN2017… https://t.co/1kjoDIROVH"
,,,,,,"“It's simply not right that some people are being driven to break the law to relieve their pain” #MedicalCannabis https://t.co/Qdh0JGkCZZ"
,,,,,,"Such sad news. Can't quite believe it - 46 is way too young... RIP Yunupingu https://t.co/xIXkB2RaV6"
,,,,,,"Really glad to see the Andrews government taking a step towards starting to allow Victorians to die with dignity… https://t.co/LYzKeF07qf"
,,,,,,"Winning a thrilling final in front of a full house at Lords - couldn't be happier for #EngWomen (or for women's cri… https://t.co/I3n4s5RRPQ"
