NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
DemRedistrict,9683,76,"Gerrymandering is a threat to our democracy. The National Democratic Redistricting Committee (NDRC) is fighting for fair maps in the 2021 redistricting process.",22986,5866,"The Census helps determine who represents us in Congress and how we allocate federal dollars to support local commu… https://t.co/iAfZeAXlHH"
,,,,,,"&gt; @EricHolder called the recall efforts a ""shameless attempt to subvert the democratic process for political gain""… https://t.co/SWl7eZVBB2"
,,,,,,"RT @pnrodenbush: Candidate for Governor in Pennsylvania doesn’t want public to have full understanding of his role in gerrymandering the st…"
,,,,,,"RT @TheDLCC: Great read on @crookedmedia from @ericholder on how to stop partisan gerrymandering https://t.co/VVZ5851Sya"
,,,,,,"Must watch: @maddow lays out the consequences of partisan gerrymandering, highlights the grassroots reform movement… https://t.co/5mAbYRcFLo"
,,,,,,"RT @EricHolder: A fair Census is vital to our democracy. We need an accurate count of all Americans to ensure fair redistricting. This pick…"
,,,,,,"RT @OFA: @EricHolder @DemRedistrict It's not too late to get involved—sign up here to join the team fighting for a more #FairDemocracy: htt…"
,,,,,,"We're the strategic hub for a comprehensive redistricting plan, but we can't do it alone. That's why tonight… https://t.co/40t6sT9a20"
,,,,,,"RT @brianbeutler: Some saw the Dem wave in Virginia as evidence that redistricting is overblown as an issue. As @EricHolder notes, the trut…"
,,,,,,".@EricHolder for @crookedmedia: ""Through our new partnership w/ @OFA , we are building a movement to ensure that Am… https://t.co/oIxt0bBrAA"
,,,,,,"The House tax bill ""would cost students and families $71 billion over the next decade.""

GOP has 22 seat advantage… https://t.co/AAIeBKhquS"
,,,,,,"RT @AmericaVotes: Our country needs champions like @EricHolder fighting to ensure #fairmaps. https://t.co/OQeb5O65mJ"
,,,,,,"""@EricHolder leads the National Democratic Redistricting Committee, and its charge is nothing less than saving the… https://t.co/wfcorDshbF"
,,,,,,".@EricHolder on Democratic victories in Virginia House of Delegates: ""The system didn't become more fair as a resul… https://t.co/YXXFAfXFJo"
,,,,,,"Democrats have good reason to be optimistic after Virginia, but we must remain vigilant in our fight against Republ… https://t.co/CcS8WlEMhH"
,,,,,,"""Of course gerrymandering is deeply troublesome even if it can be overcome, at least temporarily, by a wave electio… https://t.co/qhBWNgU5qd"
,,,,,,"“A good portion of the Democratic disadvantage in Congress boils down to seven states,” many of which have seats an… https://t.co/AmbBq1pyuC"
,,,,,,".@maddow on @GOP gerrymandering in the Virginia House of Delegates:

""The only way Democrats can maybe win, is to a… https://t.co/Cdf4NDOHF1"
,,,,,,"If you add up total votes across Virginia for the House of Delegates, Democrats beat GOP 53%-44%, but a 50/50 split… https://t.co/QECSrplOpg"
,,,,,,"RT @pnrodenbush: This is why @DemRedistrict invested $1.2 million in @RalphNortham/Democrats down the ballot and @EricHolder spent days cam…"
,,,,,,".@EricHolder's statement on @RalphNortham's victory in Virginia ⬇️ https://t.co/BGajowk6G7"
,,,,,,"RT @Mitch_Stewart: Big shout out to all the groups that played a role in tonight’s win-@flippable_org @LetsMobilizeUS @DemRedistrict @TheDe…"
,,,,,,"RT @JoyAnnReid: One important result of the Virginia race tonight is that it puts Democrats in a stronger position for 2020 redistricting i…"
,,,,,,"RT @EricHolder: Vote on Tuesday - our responsibility as American citizens. The people always possess the power of positive change.  Use tha…"
,,,,,,"""Think about the direction of this country. Get out there &amp; vote"" - @EricHolder

What's your plan to vote?… https://t.co/mXFMMook21"
,,,,,,"He's right. @RalphNortham wants fair maps. @EdWGillespie was the architect of GOP gerrymandering. Get involved:… https://t.co/obuB33C8V9"
,,,,,,"The NDRC team is out canvassing for @RalphNortham &amp; Dems down the ballot. Learn how to get involved here:… https://t.co/Gpajk8KcxC"
,,,,,,"Every voice and every vote matters. On Election Day this Tuesday, don’t be a spectator. Stand up for democracy and… https://t.co/Pw2HpdMtnf"
,,,,,,"Want to help @RalphNortham &amp; Dems in Virginia, but don't know how? We worked w/ @LetsMobilizeUS so you can volunteer https://t.co/KlCBhxom9I"
,,,,,,".@EricHolder supports @PhilMurphyNJ &amp; @SheilaOliverNJ. If you do too, make sure you have a plan to vote on Nov. 7… https://t.co/hh8ViaxmLv"
,,,,,,"Ohio is a swing state, but GOP has 12 of 16 US House seats. 

Partisan gerrymandering ✅

Maps drawn in secret ✅

https://t.co/TQPdaSihz2"
,,,,,,"North Carolina is rated a ""pseudo democracy"" by @ElectIntegrity, but GOP keeps fighting against fair electoral maps https://t.co/cT6tE6FMJo"
,,,,,,"Gerrymandering is a threat to our democracy. Ohioans can support fair districts tonight at 6 at the Ohio Statehouse https://t.co/leJgzA6GED"
