NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
DiscoverMag,1145699,1045,"The best science magazine, in print and online",2181,3304,"Why do 'Pop Rocks' pop? https://t.co/R1Q0q9ZaDd @scienceandfood https://t.co/ISNvmXSDrE"
,,,,,,"Research into nanoflares on the sun's surface could explain why it's so hot: https://t.co/gaw6XyVdxg https://t.co/4xqJXYeywR"
,,,,,,"Voyager 1 fires dormant thrusters for the first time in 37 years: https://t.co/lWtYtxFa7r https://t.co/6x4sJJPqL2"
,,,,,,"Could energy from evaporating water ever power the country? https://t.co/JFvJSOvvFP https://t.co/u53O0wZgGj"
,,,,,,"How you too can become a memory champion: https://t.co/ZteVbJeUjV https://t.co/ieXSTHbv3H"
,,,,,,"Could energy from evaporating water ever power the country? https://t.co/OcOolqfobi https://t.co/MxKUmH7Xc4"
,,,,,,"Why do 'Pop Rocks' pop? https://t.co/u4qcE6jJxi @scienceandfood https://t.co/cHCNqMiDIW"
,,,,,,"Why mice aren't always the best lab animals — and how to make them better: https://t.co/ZNurmFXp4M https://t.co/5NwVtXwQDR"
,,,,,,"Why do 'Pop Rocks' pop? https://t.co/aMEb8mZDJ3 @scienceandfood https://t.co/7KxrUmqQPx"
,,,,,,"This tiny bat shrugs off multiple scorpion stings that could kill a human: https://t.co/HCXQ2dzUie @NerdyChristie https://t.co/rp2iKsQsUC"
,,,,,,"Earth's oldest rocks are revealing what could be some of the earliest life forms ever discovered:… https://t.co/JsT2eGEADw"
,,,,,,"This tiny bat shrugs off multiple scorpion stings that could kill a human: https://t.co/FobAQwhQAE @NerdyChristie https://t.co/bRF1Bpfd5H"
,,,,,,"Two-thirds of baby macaroni penguins don’t make it past their first year: https://t.co/NTIOG4jkbO https://t.co/OIyUQ8ogmL"
,,,,,,"Earth's oldest rocks are revealing what could be some of the earliest life forms ever discovered:… https://t.co/vQwWpSrNrr"
,,,,,,"When it comes to the universe, nothingness is actually really important: https://t.co/ZQCpgMH0pK https://t.co/djzg7RdgtD"
,,,,,,"Why are there so many rockfalls at Yosemite? https://t.co/DUK9KWnnY6 @eruptionsblog https://t.co/TjEP407wFW"
,,,,,,"Calling 911 could bring a defibrillator drone to your door:
@jeremyhsu https://t.co/9TwtJY7TzJ https://t.co/VEpAFoCRrI"
,,,,,,"Could a placebo help heal a broken heart? https://t.co/r6mGUM4gpx https://t.co/2DCjLG9COU"
,,,,,,"Citizen science thrives amongst the troops: 
https://t.co/sNGvOLyInG https://t.co/Lxdw4M7C33"
,,,,,,"As we get older, our friends can begin to become more important than family: https://t.co/5Is89bN8DA https://t.co/9g9LWzNrSN"
,,,,,,"Sore winner crabs discourage rematches by rubbing their victories in the faces of their opponents:… https://t.co/iavl3GjYYq"
,,,,,,"Voyager 1 fires dormant thrusters for the first time in 37 years: https://t.co/2Y8cEBvb5p https://t.co/hgkh61LRUB"
,,,,,,"Sore winner crabs discourage rematches by rubbing their victories in the faces of their opponents:… https://t.co/pfR7buENk2"
,,,,,,"We'll get there someday soon. How to settle space: https://t.co/Vd5B5nqxMl https://t.co/cEzwXKAB4k"
,,,,,,"Soothing lullabies may have been born out of an evolutionary arms race: https://t.co/CMlYOmhKUF https://t.co/bLgpVzB1Gq"
,,,,,,"Rising carbon emissions don't only hurt the planet — they'll take a toll on our bank accounts as well:… https://t.co/wgPyPKzdpV"
,,,,,,"What would it take to wipe out all life on Earth? https://t.co/SNA6BsOFCT https://t.co/AFXUE0J20j"
,,,,,,"Take a look at the delicate nanoscale architecture inside a microchip: https://t.co/rmxhpzScrC https://t.co/kpCJfX9492"
,,,,,,"Some blind people are able to use echolocation to navigate: https://t.co/tzPQ1CsPtI https://t.co/yTW5F4eiPO"
,,,,,,"Voyager 1 fires dormant thrusters for the first time in 37 years: https://t.co/CUZiDXXCu9 https://t.co/tCx8lXCaJC"
,,,,,,"75 years ago, a stack of graphite and uranium on a squash court in Chicago ushered in the Atomic Age. Since then, w… https://t.co/IQA1225WQ4"
,,,,,,"The determination of one psychiatrist is changing the way the world approaches mental health care:… https://t.co/BgVf7WdFPZ"
,,,,,,"Could Pluto and Ceres, far apart from each other, be long-lost twins? https://t.co/7GCwdY2bk7 https://t.co/Pk9ru2gGEK"
,,,,,,"A new titleholder for the earliest wine? 
https://t.co/K1ztjMRvV6 @GemmaTarlach https://t.co/caOVDLgzsJ"
,,,,,,"Researchers develop new ways to discover how our oldest tech — and our brains — evolved: https://t.co/O8xTyVQ2SM https://t.co/Od0UYLvrJw"
,,,,,,"Four billion miles away, an ancient and pristine world awaits the New Horizons mission:
https://t.co/3WUJ9XawtL https://t.co/5jt9HrNsGG"
,,,,,,"Move over record-setting warmth: A brutal blast of winter misery straight out of the Arctic appears to be on its wa… https://t.co/t3FxpfwBUf"
,,,,,,"Voyager 1 fires dormant thrusters for the first time in 37 years: https://t.co/6u5pjK2hRb https://t.co/jj86ywiZWw"
,,,,,,"How the brain can lose — and reclaim — an abandoned mother tongue: https://t.co/mvSgCaIoJB https://t.co/3N4RptZCMD"
