NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
DoctHERs,428,4,"doctHERs™ is a novel healthcare marketplace that connects female doctors to millions of underserved patients in real-time while leveraging online technology.",244,108,"RT @PaulPolman: Consumers increasingly demanding socially responsible brands with values https://t.co/60uSE1eFzj https://t.co/WKFKvC3aIe"
,,,,,,"What will your brain be like in 2020? https://t.co/pR2VXVdZKR"
,,,,,,"At doctHERs, we're fortunate to have been mentored by this  Gentleman... https://t.co/oGv2Yzsu8u"
,,,,,,"We're hiring 6 office-based nurse patient care coordinators this month!

 If you're a female nurse based in... https://t.co/WdrOUekPF5"
,,,,,,"3D Printing Living Organs, And Other World-Changing Ideas In Health https://t.co/E4SkURyk8r"
,,,,,,https://t.co/WJSPJJjL4x
,,,,,,"We're hiring! Apply now."
,,,,,,https://t.co/XKSuCudrYU
,,,,,,"doctHERs is conducting Round 1 interviews this entire week...it's not too late to join the network! 

Work... https://t.co/Iqvo7eUPXx"
,,,,,,https://t.co/hA4EJUzXxT
,,,,,,"doctHERs is seeking: 

(i)  a high-impact Chief Medical Officer (CMO) to lead its Preferred Provider Network... https://t.co/4QQaVFiSMn"
,,,,,,"A message to all 542 female doctors, dentists and pharmacists who submitted resumes/cv's to join the doctHERs... https://t.co/j5wg1jpwgA"
,,,,,,https://t.co/BemaSgkRCD
,,,,,,"We're proud to announce that Fast Company has recognized doctHERs as a 2017 World Changing Innovation Idea - https://t.co/xSWcIohcap"
,,,,,,"doctHERs is the world’s first exclusive network of home-based, female doctors that creates inclusive employment... https://t.co/aOUl7dkM0s"
,,,,,,"doctHERs is Hiring! Over the next month, we will be inducting over 150 female doctors into our provider network... https://t.co/9c579xPE3L"
,,,,,,"Happy International Women's Day! 

#IWD2017 #WomensDay #doctHERs https://t.co/apFolRF4W3"
,,,,,,https://t.co/xlksrOkDtI
,,,,,,"We're happy to announce that after 2 years, doctHERs is strategically pivoting to focus on health consumers that... https://t.co/bjqbrgmuo4"
,,,,,,"doctHERs is using Zong 4G connectivity at its telemedicine clinics. https://t.co/aUq8HOcQKG"
,,,,,,"Dr.Sara representing #doctHERs at #Momentum. Moderated by #SadafMehmood, the panel focused on *Building Stronger... https://t.co/AJNa9LAovq"
,,,,,,"#doctHERs supports #Momentum in bringing about a change in the field of Technology and Entreprenuership! https://t.co/0VtOgTjTka"
,,,,,,"RT @CIRCLE2020: Who's going to @MomentumTechCon?? We're curating a Women Start Up Hub - come visit us for networking &amp; fun! #momentum17 #en…"
,,,,,,"Calling out to Young Job Hunters interested in creating Social Impact. doctHERs is hiring a Community Campaign... https://t.co/t3VvumYxcu"
,,,,,,https://t.co/CjWQh4niEt
,,,,,,"The Sustainable Development Goals—also called the Global Goals—offer companies a tremendous new growth strategy... https://t.co/2Zlnii7xUS"
,,,,,,"#HappeningNow: #i2i Community Event at #TheNest!"
,,,,,,"#HappeningNow: Meeting Regional #BISP Additional Directors for rolling out an innovative healthcare telemedicine... https://t.co/xBU4AM1Kia"
,,,,,,"#doctHERs mentioned by #Iamthechange #Engro https://t.co/zTNeoUdFLK"
,,,,,,"doctHERs in collaboration with #VeetPakistan, conducted an eye camp in Model Colony. More than 250 patients were... https://t.co/tL2bUJrulL"
,,,,,,"doctHERs on Geo News! https://t.co/BbHqCdQk7f"
,,,,,,"I posted a new photo to Facebook https://t.co/UwDbxp0KHO"
,,,,,,"A story bound to inspire! 

#Destigmatize #MentalHealth #AcceptanceandTolerance https://t.co/rFolbsKlpU"
,,,,,,"I posted a new video to Facebook https://t.co/55tr7QBVbB"
,,,,,,"I posted a new video to Facebook https://t.co/WfxiKZCiz7"
,,,,,,"I posted a new video to Facebook https://t.co/046Jl5FwfW"
,,,,,,"Thankyou #ShellTameer for being a strong supporter of our work!... https://t.co/g8eryQOYNl"
,,,,,,"ZONG volunteers helping out at DoctHERs Korangi Zia Colony Clinic today as part of their... https://t.co/4Ey1YKUw9q"
,,,,,,"""No nation can rise to the height of glory unless your women are side by side with you."" - M A Jinnah 

#doctHERs... https://t.co/xxQmzXXur1"
,,,,,,"#doctHERs wishes a Merry Christmas to all around the world :) May this day bring happiness for you all!"
,,,,,,"https://t.co/QDxAwOCHnd https://t.co/V7gWPX6Zyy"
,,,,,,"New Evidence of the Superiority of Female Doctors https://t.co/we8upYtbNX"
,,,,,,"#FreshOffThePress doctHERs BISP Pakistan MoU Signing ceremony featured in Radio Pakistan https://t.co/Mepp0IvDVn"
,,,,,,"#FreshOffThePress doctHERs BISP Pakistan MoU Signing ceremony featured in Daily Times https://t.co/yLpMzg4qsK"
,,,,,,"#FreshOffThePress doctHERs BISP Pakistan MoU Signing ceremony featured in the The Nation https://t.co/zyCWpiKtud"
,,,,,,"RT @anees_avis: BISP, @DoctHERs sign MoU to provide affordable healthcare to BISP beneficiaries https://t.co/XaO85XWb27"
,,,,,,"RT @LiveWIREIntl: Healthcare #startup &amp; Shell Tameer Winners @DoctHERs have signed an MoU with @bisp_pakistan, Pakistan's largest social sa…"
,,,,,,"#MilestoneAchieved! doctHERs signs a MoU with BISP Pakistan​. Dr. Sara Khurram​ and Dr. Iffat Zafar Aga​ in... https://t.co/lNCtusZfpw"
,,,,,,"@DoctHERs signs MoU with BISP today! Thankyou @marvi_memon for all your support. #MilestoneAchieved… https://t.co/uY0WwlDQVu"
,,,,,,"#MilestoneAchieved! doctHERs​ signs a MoU with BISP Pakistan​. Dr. Sara Khurram​ and Dr. Iffat Zafar Aga​ in... https://t.co/MpPafUfLSu"
,,,,,,https://t.co/epASKq3YhG
,,,,,,"#JustIn doctHERs signs a MoU with BISP Pakistan. Dr. Sara Khurram and Dr. Iffat Zafar Aga in conversation with... https://t.co/HeIhcHX4OD"
,,,,,,"RT @bisp_pakistan: Chairperson #BISP @marvi_memon during MoU signing with @DoctHers at #BISP HQs. doctHers will provide Health facilities t…"
,,,,,,"Key Note Speaker Dr. Aneela Darbar (Neurosurgeon, AKU)talks at Empowering Women Who Work by doctHERs.

The... https://t.co/UW1vk5s32n"
,,,,,,"Panel discussion at Empowering Women who work by doctHERs : Innovative Public Private Partnerships that can... https://t.co/wDh8DBwjmH"
,,,,,,"Panel One - Medical Education and Women Inclusiveness! https://t.co/Wi4Ve57Icf"
,,,,,,"Are you ready to play your part in progression of women at Empowering women who work by doctHERs. Happening today... https://t.co/E3qDOsQgSU"
,,,,,,"doctHERs is proud to present Sadaffe Abid as our keynote speaker for ""Empowering Women who work"". Sadaffe Abid is... https://t.co/5jhMfT90eF"
,,,,,,"doctHERs is proud to present Dr Aneela Darbar  as our keynote speaker for ""Empowering Women who work"". Dr Aneela... https://t.co/ZuFRZKeFI0"
,,,,,,"doctHERs is proud to present Dr Ayesha Irshad Mian as our keynote speaker for ""Empowering Women who work"". Dr... https://t.co/YFOjkgvzE4"
,,,,,,"Here's your chance to ask our expert panel of Women Entrepreneurs all those questions that are always silenced by... https://t.co/zYNF0xJGp1"
,,,,,,"Here's your chance to ask our expert panel of Women Entrepreneurs all those questions that are always silenced by... https://t.co/DRrawPUR6Z"
,,,,,,"Here's your chance to ask our expert panel of Women Entrepreneurs all those questions that are always silenced by... https://t.co/1NKKlgHdYQ"
,,,,,,"Here's your chance to ask our expert panel of Women Entrepreneurs all those questions that are always silenced by... https://t.co/fb9mfaBCl1"
,,,,,,"Here's your chance to ask our expert panel of Women Entrepreneurs all those questions that are always silenced by... https://t.co/9dEKipJJRc"
,,,,,,"Here's your chance to ask our expert panel of Women Entrepreneurs all those questions that are always silenced by... https://t.co/1vFBXK8Llc"
,,,,,,"Don't forget to register to ""Empowering women who work "" By doctHERs. Click the link
to register:... https://t.co/gGdgelqknx"
,,,,,,"Don't miss this opportunity to learn, share &amp; grow as a doctor in Pakistan. Be the woman who brings out the best... https://t.co/ln5iVIt0IJ"
,,,,,,"""Change through evolution: Engro's 'I Am The Change' Awards 2016 big corporate initiative""

Read doctHERs... https://t.co/ScXaC6JDjc"
,,,,,,"RT @AhmadJalal_1: 10 Inspiring grass-roots stories of impact. Congrats to @DoctHERs and other winners for being the change. #IATCAwards2016…"
,,,,,,"More than 6 million children still die before their fifth birthday every year. Only 56% of births in rural areas... https://t.co/y6F7313j7e"
,,,,,,"#Takecharge of your health! Make sure that you know #diabetes risk for early diagnosis and reduce preventable... https://t.co/ERkEk1M9Vp"
,,,,,,"World Health Organization (WHO) has estimated that the prevalence of Diabetes will spiral out of control. By... https://t.co/xW3Nsdmsw7"
,,,,,,"Today #doctHERs and #Novartis signed Memorandum of Understanding aimed at extending the provision of quality... https://t.co/p3XRysyf9x"
,,,,,,"Today #doctHERs and #Novartis signed Memorandum of Understanding aimed at extending the provision of quality... https://t.co/bPR7ugbqSA"
,,,,,,"Malnutrition among pre-school children in Pakistan is a serious problem. This is based on National Nutrition... https://t.co/N9KAUkeyXH"
,,,,,,"Are you a female Physician who is out of work? A reputable Medical University is Conducting a Research on the... https://t.co/VLBAUnpI3L"
