NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Doritos,621403,2716,"Not only are our chips packed with serious crunch and bold flavors, the DORITOS® brand is all about intense experiences in snacking and beyond.",36,235,"@cait_sylvia It’s a sign. 👌"
,,,,,,"@brittaanyelisee Priorities. 👌"
,,,,,,"@Mighty_PG Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@beardandbaker WOW. Now that’s a #bold masterpiece 🙌"
,,,,,,"@hockeykid48 All the details can be found on the website : https://t.co/gUclccfI1i"
,,,,,,"@IAmJordanBecker Hi Jordan. 👋"
,,,,,,"@firefighter89 Glad to hear you’re a fan!"
,,,,,,"@damaurice10 @312chrischin @That_SteveShea This should help you find a bag in your area : https://t.co/0dJLfQ4yph"
,,,,,,"@OyeJohn52 Touché."
,,,,,,"@wesbarlow24 Unfortunately Wasabi was limited time only. Have you tried Poppin’ Jalapeño in the meantime?"
,,,,,,"@MyEra_Ti Have you tried Blazin' Buffalo Mix Explosion? Think you'll be a fan!"
,,,,,,"@CannedComedy Hey Evan, unfortunately they're currently off enjoying their retirement. We'll let the team know you want 'em back!"
,,,,,,"@Jace_WW2 Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@KuzonTV There's always today's auctions! https://t.co/vnYn7ALpBV 🙌"
,,,,,,"@hockeykid48 Hey Bradley! Check out the official rules here for details on the auctions: https://t.co/uz35ZdqeyP"
,,,,,,"@AnthonyWampler Hey Anthony - congrats on your win! The team can help answer any specific questions. Give them a bu… https://t.co/Q6roQ910xd"
,,,,,,"@gissseleee Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@KirkseyLiveylou Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@BarkerJack @Fritolay Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@yarioooo Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@XShadowStormX @FailedAsian We're here to help. 🙌"
,,,,,,"@ShawnConnor8 Fair enough. There IS a Dinamita Fiery Habanero, have you tried that flavor?"
,,,,,,"@StraubAaron @MountainDew Congrats! Seems like all that’s needed are some, ahem, gaming snacks. We'd suggest Doritos. @Xbox"
,,,,,,"@Snake467 Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@StraubAaron @MountainDew How'd it go?!"
,,,,,,"@XShadowStormX @FailedAsian Logan, you're a true visionary.🙌"
,,,,,,"@AusNit13 Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@ShawnConnor8 They're currently off enjoying their retirement. Have you tried our other hot and spicy flavors? Think you'll be a fan!"
,,,,,,"@annaseaward Have you tried Blazin' Buffalo Mix Explosion? We think you'll be a fan!"
,,,,,,"@desidelacruz_ It's just that they're currently off enjoying their retirement..."
,,,,,,"@Trillzilla101 Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@andy_baddy Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@pjharris8 @MountainDew @Xbox Give the team a buzz - they'll help you out! 1-800-538-8327"
,,,,,,"@hayydenxo Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@sarahjrosss Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@Deon_Monee Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@jchapp89 Heck yes. Give the team a buzz at 1-800-538-8327 and they'll be able to get you sorted out."
,,,,,,"@melshivss They're currently off enjoying their retirement. Have you tried our other hot and spicy flavors? We think you'd be a fan!"
,,,,,,"@_LifeInLONDON Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@russreagan320 Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@Steph_CO7272 Where'd they go?"
,,,,,,"@StraubAaron @MountainDew We're on it! Give the team a buzz at 1-800-538-8327 and they'll get you sorted."
,,,,,,"@clichekals Let's relive the happier moment - which flavor Doritos?"
,,,,,,"@clichekals We heart you too."
,,,,,,"@Dayra_Beltre A classic. Enjoy! 🙌"
,,,,,,"@gus17r They're currently off enjoying their retirement, but we've got several other hot and spicy flavors we think you'd enjoy!"
,,,,,,"@MrWzGotBz Got you covered, check this out: https://t.co/0dJLfQ4yph"
,,,,,,"@_arianacosola Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@Ritza_Pizza No worries, help is on the way! Check this out to find out if they're available in your area: https://t.co/0dJLfQ4yph"
,,,,,,"@awesome_akins @MountainDew Victory! Which Doritos flavors will join your inaugural @Xbox One X gaming session?"
,,,,,,"@Coachjtwoods Oh snap. Give the team a buzz and they'll be able to get you sorted - 1-800-538-8327"
,,,,,,"@BArookOShama Please hit up the team at 800-352-4477 and they’ll be able to help you out. Thanks!"
,,,,,,"@InsaneArt247 Glad you're enjoying! Which flavor is your favorite?"
,,,,,,"@MarioTapia_ Unfortunately they're currently off enjoying their retirement. Can we suggest another hot and spicy fl… https://t.co/YEnZ0or9t5"
,,,,,,"@sapidsindi Here to help. 👍"
,,,,,,"@justinfkntime Unfortunately Salsa Doritos were produced for a limited time and are no longer available. We'll let… https://t.co/g1tfoZagRX"
,,,,,,"@ZANDIO If you shop for Doritos online, they'll be delivered to your shipping address of choice. So technically, th… https://t.co/H6EsHrwhCh"
