NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
DrKateMarvel,3678,1176,"Climate scientist. Writer. Human.

""There's only one rule that I know of, babies-'God damn it, you've got to be kind.'”",188435,2679,"Friends, if you're in NYC I can't recommend @GuerillaScience's #sweetshoppe highly enough. Free, fun, and convenien… https://t.co/Fg7vEbWvLV"
,,,,,,"I love @myqkaplan's story and you should follow him as he is delightful https://t.co/ofkoesrRX9"
,,,,,,"Good advice here, but don't let it make you nervous. If this is your first talk, know we're all rooting for you.  Y… https://t.co/W8dPXNHn8R"
,,,,,,"@DustyBowl @SarahEMyhre I literally booked my flight yesterday after realizing I hadn't"
,,,,,,"@blkahn Hot take: hot takes cause global warming"
,,,,,,"@blkahn I hope you are getting paid a billion dollars to sit through this"
,,,,,,"RT @GuerillaScience: Join our friends, @500womensci, on Friday for a special #happyhour at @caveatnyc.
10 speed-lessons from 5 badass lady…"
,,,,,,"@CColose Congratulations! Seems to be a rite of passage for GISS scientists
https://t.co/v9IDYheBAO"
,,,,,,"Free candy, Brooklyn! See you there https://t.co/bSGOn59YNd"
,,,,,,"RT @aliciaprzporro: Come listen to my story! It’s very powerful 💪🏼👩🏻‍🔬#womeninSTEM https://t.co/kXD5zvU2zt"
,,,,,,"@afreedma @bradplumer @drvox when you guys work out the rules let us know"
,,,,,,"@coralsncaves @methanoJen @SarahEMyhre @baumlab @JacquelynGill @valmasdel @KHayhoe @SylviaEarle @RuthDGates… https://t.co/eCnMqtSl4s"
,,,,,,"@DustyBowl @thirstygecko we must stop the milankovich cycles before they kill again"
,,,,,,"RT @elonmusk: Why is there no Flat Mars Society!?"
,,,,,,"""Also"". https://t.co/u5SwYwerpm"
,,,,,,"Best things on the planet (in no particular order)
Science
Sex
Baby pandas"
,,,,,,"""Pan Pan saved his species by being really, really, ridiculously good at sex""
https://t.co/rYgiciLVDO"
,,,,,,"also the ""pause"" was not a thing, sea levels are gonna rise, and there will be more heatwaves and a ROYAL WEDDING"
,,,,,,"@bradplumer i think because it's the highest-emission scenario you can analyze in a multi-model context without having to wait for CMIP6"
,,,,,,"""What Have We Learnt?""
British people are ADORABLE https://t.co/InJVSxmalA"
,,,,,,"@afreedma i mean no one on the internet has ever tried hurling insults at the other side so let's give it a shot"
,,,,,,"*gives up* https://t.co/JulFbpKbqd"
,,,,,,"@webmz_ ugh"
,,,,,,"I want to be clear: I have NO IDEA how best to talk about #climatechange.  But I do know that calling people stupid… https://t.co/yykgl0Zxrx"
,,,,,,"@webmz_ Weird, I can't believe a white dude academic would be condescending"
,,,,,,"Great interview! I LOVED The Essex Serpent and you should read it. https://t.co/nICotOkouM"
,,,,,,"@eroston Who are the other 3?"
,,,,,,"RT @eroston: 🎼🎶🎶🎶🎶🎶🎶
Oceans rise, empires fall
We have seen each other through it all. 
And while the world stands by and waits,
Water's co…"
