NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
ElaineWelteroth,41514,5470,"Editor-in-Chief of @TeenVogue *all thoughts expressed are my own* BE THE BRIDGE IN THE DIVIDE",296909,6745,"BRB. STILL PROCESSING...every single dream come true... #teenvoguesummit https://t.co/jaudMrwCOX"
,,,,,,"💕💕💕💕💕 https://t.co/gQExT78naa"
,,,,,,"RT @GNCordova: Just a few of the Teen Vogue Summit speakers, this weekend: @JheneAiko @YaraShahidi @amandlastenberg @HillaryClinton @ava @R…"
,,,,,,"RT @nadyaokamoto: Amazing to hear @chelseahandler talk about leaving her show to work on #womeninpolitics - making a documentary on #whitep…"
,,,,,,"RT @amberwaves: .@ElaineWelteroth kicks off the first ever #TeenVogueSummit in LA! https://t.co/cM7HEWuFNs"
,,,,,,"RT @whaddupbaedah: @ElaineWelteroth makes an entrance at the @TeenVogue summit! Let’s get this day started! #TeenVogueSummit #JopwellxTeenV…"
,,,,,,"RT @ziadtheactivist: feeling legit FOMO that I'm not at the #TeenVogueSummit rn, but feeling energized from the excitement/energy about it…"
,,,,,,"Thank you so much, sis!!! https://t.co/1ynmyOoksQ"
,,,,,,"TEEN VOGUE SUMMIT DAY ONE ☝🏾LET’S GET ITTTT https://t.co/wkPKDRhSkB"
,,,,,,"Looking at this flu on the fifth day like...keep trying me. 🤨🤬 https://t.co/cuz9R1iLda"
,,,,,,"“What is missing in your life right now because you complained about it instead of praying about it?” @OneChurchLA"
,,,,,,"RT @soledadobrien: Or, an actual woman. https://t.co/fEAuNUJCcT"
,,,,,,"Disturbed to my core. This is a call to do more than care, but to act. Calling on my network to… https://t.co/9YYT9Dq09J"
,,,,,,"RT @ThatHannahAlper: Just updated my schedule for #TeenVogueSummit and getting so excited to participate and hear from inspiring leaders in…"
,,,,,,"RT @chrissyteigen: Me too 😩😩😩 I'm invested https://t.co/1k1agvPWv3"
,,,,,,"The countdown is onnnn. teenvogue summit goes down in 4 days!!! Holler if you have your tix! 🙋🏾‍♀️ https://t.co/R2GARmgGdq"
,,,,,,"The ‘fro is in full effect in @grazia_fr. 💯 Thank you so much for the feature! To see WOC (and… https://t.co/7wyilrY5lL"
,,,,,,"“If there is no space for the visions of the most talented among us no matter where they come from — or how strange… https://t.co/83FsdSHYFg"
,,,,,,"“We imagine that wanting to be inclusive and cosmopolitan makes us so, but we continue to be produced by and inhabi… https://t.co/lomO7ERuZn"
,,,,,,"RT @ADCOLOR: #EssenceOfADCOLOR ”Be true to your convictions, &amp; do not settle. You may take some detours &amp; encounter some roadblocks along t…"
,,,,,,"RT @Jopwell: LA folks: Enter TODAY to win a free all-access pass to the #teenvoguesummit. @TeenVogue’s @ElaineWelteroth is hosting &amp; it’s g…"
,,,,,,"“Your dad tells me I snore. What a bummer! That really takes away from my swag.” - my mom 🤣🤣🤣🤣"
,,,,,,"RT @timberlacemusic: #MAIPalum @ElaineWelteroth is featured in this short film/commercial and it’s pretty damn powerful. https://t.co/Jd3co…"
,,,,,,"RT @CBSThisMorning: ""The majority of the cases, even that have come out, in some ways, there are gray areas. It's very rarely black &amp; white…"
,,,,,,"Same. 🤚🏽😭⭐️ https://t.co/Tx0WPCVQ0d"
,,,,,,"@doctordiscoflor Was watching @AmelieOficial on @netflix. One of the most beautiful and poetic and thoughtfully crafted films I’ve seen."
,,,,,,"“The fool looks at a finger that points to the sky.” - #AmelieFromMontmartre"
,,,,,,"The beautiful thing about watching foreign movies with subtitles is that it forces you to surrender fully to the mo… https://t.co/nEjvacHBE6"
,,,,,,"“Let’s hope for God’s will more than we hope for our own plans.”"
,,,,,,"THIS. IS. A. WORD. Via @KimJChandler ✨ https://t.co/qUWnmpQOHc"
,,,,,,"RT @robinthede: When you’re like “Where is my food delivery?? It’s taking forever!” And then you realize you DIDN’T CLICK SEND ON THE ORDER…"
,,,,,,"@trillfitboston snatched x projectbyequinox snatched👏🏽 my 👏🏽 entire👏🏽life @ PROJECT by Equinox https://t.co/MJDAZXtkwR"
,,,,,,"RT @AdrianaLima: It’s almost time for @AmBeautyStar! Tune into Lifetime NOW for the Teen Vogue Challenge and join me on my Twitter and Inst…"
,,,,,,"RT @AdrianaLima: RT if you’re tuning in with me in 5 minutes for this week’s episode of @AmBeautyStar at 10:30/9:30c on Lifetime! Tonight w…"
,,,,,,"RT @AmBeautyStar: Just a couple hours until American Beauty Star airs at 10:30/9:30c on @lifetimetv! We can’t wait for you to see tonight’s…"
,,,,,,"IG FAM! Cash me and teenvogue on TV TONIGHT via @AmBeautyStar at 10:30p/9:30c on @lifetimetv… https://t.co/D68ydl6RF5"
,,,,,,"IG FAM! Cash me and teenvogue on TV TONIGHT on @AmBeautyStar lifetime 10:30p/9:30c alongside my… https://t.co/HaKZWda37l"
,,,,,,"Do it for the dior. 📷 by @aurorajames whilst side-eying my peak-a-(white)boot @ Solomon R.… https://t.co/vXijVUrg7b"
