NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
Emmy_Hunt,68,79,"Eventually all the pieces will fall in to place. Until then I live for the moment, laugh at the confussion, and know that everything happens for a reason✌",10448,92,"#twitterlesscullen pooped his pants 🙊💩"
,,,,,,"Missing you too! @tayla_gang27 you coming up for the birthday shenanigans?! 🎁👯🍺🎉"
,,,,,,"""Mayonnaise is for pickles"" @cgray009 #wafflehouseprobs"
,,,,,,"""..I had the time of my life.."" Ironic song choice by the doctor office waiting room.. 😳🔫"
,,,,,,"@jenn_lawson bout kicked out of #americanballpark for cheering on the cubs home run #goredlegs"
,,,,,,"My mind has way more fun than yours #cullenosophy"
,,,,,,"RT @emachenheimer: Party tiiiime with @Emmy_Hunt ! Happy birthday @TheRealJeffRuby !!"
,,,,,,"RT @emachenheimer: #tbt @Emmy_Hunt #riverbend http://t.co/KUvc77ec0z"
,,,,,,"@emachenheimer doesn't follow @buckley1901 #whatajerk"
,,,,,,"Moving the beer cap table #fingerscrossed"
,,,,,,"Far to perfect that my beer cap table paint color is called #blackout"
,,,,,,"RT @CocoChanell1: ""And if you feel just like a tourist in the city you were born, then it's time to go"""
,,,,,,"Better at #wordwithfriends when I'm #drunk @pachinkos"
,,,,,,"Special thanks goes out to @cgray009 for blowing cigarrette ashes in my drink #Winning"
,,,,,,"I #donttrustpeoplewho smile without their teeth showing #whatareyouhiding ?"
,,,,,,"RT @emachenheimer: ""@FatAmyPost: Doing something weird and thinking ""this is why I'm single.."""" this equals like half of my life @jenn_l ..."
,,,,,,"I wanna gronk 🏈 @DanielleMulkey"
,,,,,,"""Why'd you have your hand on the moving parts?!""
 ""I didn't know you were gonna move the parts!"""
,,,,,,"RT @EricJByrd: Too bad sketchers shoes aren't as cool as their Super Bowl commercial hahahaha #fact"
,,,,,,"#tacobell retirement home commercial = #hilarious 👵👴👵👴"
,,,,,,"I just want to see the half time show.. 🏈🎤🎵"
,,,,,,"I really want to go home decor shopping 🎨🏠🎁 #happybirthdaytome"
,,,,,,"RT @emachenheimer: ""@SheeeRatchet: http://t.co/tGniY45f"" @Emmy_Hunt we were just talking about my dark times...Haha"
,,,,,,"@MrKeysXXX @goldschlager love you boo hope life isms real!!!"
,,,,,,"@MrKeysXXX ahhh I love you I'm woth @GoldSchlager getting drink for my #birthday we miss you😘"
,,,,,,"RT @KDetaeta: Help KD win!! Retweet #KDYelllikehell13 !!!"
,,,,,,"@emachenheimer is that a jean duster?"
,,,,,,"*diet coke commercial starts*
@DanielleMulkey ""mmmmmhm"""
,,,,,,"If I change my mind a million times 
I wanna hear him say 
yeah I like it that way 
#AnyManOfMine"
,,,,,,"I'm really craving #raw tuna"
,,,,,,"Thank you @nkusigep for being my 80th follower!  (That uneven number was torture)"
,,,,,,"RT @emachenheimer: S/O to @Emmy_Hunt for hitting 50 bracelet making class sales on groupon! #killingit"
,,,,,,"@LanieKolkmeyer @daniellemulkey bad girls club tryout video?!"
,,,,,,"@DanielleMulkey you sleep on the left side of the bed haha and my nightlight turns on and off whenever I laugh to loud"
,,,,,,"@DanielleMulkey this sickness has fixed my sleep cycle haha Ive been getting up at 9am all week 😳"
,,,,,,"@DanielleMulkey I miss you too! I'm off Monday &amp; Wednesday lets do somethin"
,,,,,,"@DanielleMulkey it really is ha it's just adorable and really homey"
,,,,,,"@DanielleMulkey no it's in Ft. Wright I went today and I'm just in love with it"
,,,,,,"Future apartment :) #MeLikey http://t.co/JHQvs0n8"
,,,,,,"Apartment hunting like a champ 🏡⛅🐰👯"
,,,,,,"Whoever unfollowed me I'm disappointed.. I was so content having an even 80 followers"
,,,,,,"Critter getter guy that removed the raccoon from my work #MissedConection"
,,,,,,"#ProbablyACatfish if they have less than 10 FB friends"
,,,,,,"RT @IDrinkIFuck: Vodka mixes well with everything, except decisions."
,,,,,,"RT @__DwightSchrute: #NewMonopolyPiece Dwight Schrute bobble head."
,,,,,,"#Portlandia makes me smile"
,,,,,,"@buckley1901 ahh I love it that makes me want to get daisy a little friend 🐰💛🐰"
,,,,,,"@LanieKolkmeyer @daniellemulkey #winning #nohomo"
,,,,,,"“@MoreSarcasm: I'm officially done with life.. http://t.co/ZLQyc2kJ” @jenn_lawson 😱"
,,,,,,"@DanielleMulkey ahh thank god it was killing me! I was cracking up last night recording that clip lol"
,,,,,,"@DanielleMulkey ahhh I don't get it 😩 http://t.co/q9BgN9ao"
,,,,,,"@DanielleMulkey gawh I love the office http://t.co/KMsUxN9W"
,,,,,,"I'm sick carry me http://t.co/wylpamcB"
,,,,,,"Sick on New Year's Eve... Awesome 👎😞👃💨"
,,,,,,"""Bears, Beats, BattleStar Galactica"""
,,,,,,"I love getting left at the bar to get a cab alone #saidnoonever .... thank god for @DanielleMulkey"
,,,,,,"Pinning things while at the bar... #ihaveaproblem #pinterest is my worst enemy"
,,,,,,"Mom ""He wants the Fish turds.""
Me ""cheese curds?"""
,,,,,,"RT @emachenheimer: Opened my fortune cookie and it flew across the room. Almost as bad as when I had no fortune at all @Emmy_Hunt #badlu ..."
,,,,,,"#DoomsdaySurvivalKit Christmas present from my little brother :) @ Hempsteade http://t.co/WJoE5YHh"
,,,,,,"""Are you hungry?""
""Nah my tanks on like 3/4""
@DanielleMulkey"
,,,,,,"""So I asked my dad what he wants for Christmas and he said me... Is that weird?"" @DanielleMulkey"
,,,,,,"Finally a happy ending on #catfish!!! 😍"
,,,,,,"#TheVoice singing ""Hallelujah"" to pay tribute to the  connecticut victims was tasteful and moving 😭🙏"
,,,,,,"handmade jewelery @knitwitsyarn http://t.co/gaSMgBCZ"
,,,,,,"handmade jewelry @knitwitsyarn http://t.co/3ikqgJCJ"
,,,,,,"handmade jewelry @knitwitsyarn http://t.co/f2DwrPJk"
,,,,,,"Handmade jewelry @knitwitsyarn http://t.co/N8PSthob"
,,,,,,"Handmade jewelry @knitwitsyarn http://t.co/z6PeyoOm"
,,,,,,"Handmade Jewelry @knitwitsyarn http://t.co/qZ04fRp3"
,,,,,,"Handmade Jewelry!!! @knitwitsyarn http://t.co/COxD4rat"
,,,,,,"Disney princess movie night #Belle &amp; #Cinderella 🏰👗👑"
,,,,,,"These half hour lines are why I usually come to Walmart after 1 am... #FML"
,,,,,,"Cottage cheese is great."
,,,,,,"Rock me momma like a wagon wheel"
,,,,,,"#Bogo at O'Charley's what a pleasant surprise 😻🍻🍻 http://t.co/DoqC19Ta"
,,,,,,"@buckley1901 who knew O'Charley's was such a shit show"
,,,,,,"4 o'clock at O'Charley's on a Thursday and the guy next to us has a $808.00 tab... #WOW"
,,,,,,"“@thegooglefact: People who sleep more have a higher alcohol tolerance.” @DanielleMulkey #thisexplainsit"
,,,,,,"RT @FreddyAmazin: I love those random memories that make me smile no matter what is going on in my life right now."
,,,,,,"RT @emachenheimer: Don't know what I would do without @Emmy_Hunt &amp; @jenn_lawson!  Love you queefuses"
,,,,,,"RT @emachenheimer: #santacon @DanielleMulkey @Emmy_Hunt @lmichstat http://t.co/ow2ZPSd2"
,,,,,,"@jenn_lawson @emachenheimer @class2thamate @daniellemulkey @laniekolkmeyer @ericjbyrd wahhhhh http://t.co/MqIO8zTr"
,,,,,,"@jenn_lawson woohoo! Love you bunches"
,,,,,,"@jenn_lawson hells yeah"
,,,,,,"@jenn_lawson I miss you more!!!"
,,,,,,"#handmade #stitch #markers 5 for $4 @ Knitwits http://t.co/HWVQKh8x"
,,,,,,"#Handmade #Stitch #markers  5 for $4 http://t.co/zMfZpXBq"
,,,,,,"RT @MDgirl_: I want to see an episode where everyone's telling the truth and they live happily ever after #catfish"
,,,,,,"What I've learned from #catfish ... Don't trust ANYONE online. They're creepy women, fat dudes and frienemy's, all pretending to be hotties."
,,,,,,"RT @PlayMyMusicLoud: Christina Aguilera needs to accept the fact that everyone doesn't sing like they want to shatter glass. #melanieroc ..."
,,,,,,"RT @LadyLiberality: #ProudToBeAFanOf the left ✌💙"
,,,,,,"@LanieKolkmeyer ""it's me verse me!"""
,,,,,,"Bye buddyyy hope you find your dad"
,,,,,,"I keep hoping you'll trip and fall back in love"
,,,,,,"The 🚘 ride 🏡 ... 🎶😳🎶😗🚬💨😡➡🍟bag"
,,,,,,"It was my trash so it's not bad @DanielleMulkey"
