NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
EricaJoy,48950,44339,"Engineering @Patreon | Run from what’s comfortable. Forget safety. Live where you fear to live. Destroy your reputation. Be notorious. -Rumi | Human, being. ☀️",249950,7083,"The holidays can be as brutal as they are joyful, depending on your life circumstances. If this is a rough time for… https://t.co/hifRuwHHti"
,,,,,,"@brennx0r @Patreon Sadly we are not yet set up to support remote work. 😔"
,,,,,,"Wow thanks for all the signal boosting y’all! I appreciate it! 💖💖💖"
,,,,,,"@paisleyboxers @Patreon Hey @jackconte, you still here?"
,,,,,,"@Patreon P.S. If you don't consider yourself a Senior SRE, apply anyway. I'll be hiring a SRE very shortly after I hire a Senior SRE. 👍🏾"
,,,,,,"👋🏾 Hey pals! I'm looking for a Senior Site Reliability Engineer to join my team @Patreon.

Find out more here… https://t.co/ZxfaZfoHjX"
,,,,,,"*At. 😝"
,,,,,,"A last weeks event at N.C. A&amp;T, a young Black woman majoring in journalism asked what she could to to help her frie… https://t.co/WMOIqF9W6T"
,,,,,,"@_nesslo 😍😭😍😭😍"
,,,,,,"https://t.co/xGRmSvqJOD speaks to me on a molecular level. I purchased the one sticker on my laptop in response to… https://t.co/S5R2JUxdi0"
,,,,,,"@alexisohanian @melbarlowandco YEESSSSSSSSS!!! 👏🏾👏🏾👏🏾 Moar dancing pictures pls!!"
,,,,,,"@skamille @catehstn Kinda! Those are def *some* traits of someone who has an avoidant attachment style but not all.… https://t.co/Ij36jjBVpD"
,,,,,,"@Maddy_Maxey Absolutely! You can DM me anytime about anything. Also if you don't have my number, we should fix that. 💖"
,,,,,,"This is my fave @serenawilliams &amp; @alexisohanian wedding photo. Twirl on em! https://t.co/EiBDExyukV"
,,,,,,"@voguemagazine @serenawilliams @alexisohanian Just beautiful! Congrats y'all! 👏🏾👏🏾👏🏾 https://t.co/9NRgSweRD7"
,,,,,,"@ncatsuaggies @ValerieJarrett It was a pleasure, thank you very much for having me!"
,,,,,,"@catehstn That list doesn't seem super usefull. If you'd like to get a better sense of your attachment style, try t… https://t.co/UPVikWP7Hd"
,,,,,,"Tonight was an absolute delight. I'm so grateful to have shared the time and space with @ValerieJarrett, who shared… https://t.co/UJhc98j7zT"
,,,,,,"@SerelynGeezy @ncatsuaggies @vj44 @ValerieJarrett Thank you for your hospitality and for running a fantastic event… https://t.co/wAzzQpWpVO"
,,,,,,"RT @ncatsuaggies: ""You need not just mentors, but you need advocates that will go to bat for you even when you're not even in the room."" @V…"
,,,,,,"RT @ncatsuaggies: ""I am not my industry or its stereotypes. I am a black woman who happens to work in the tech industry. I don’t need to ch…"
,,,,,,"@mrmess Ick. Sex is not a transaction unless you’re a sex worker."
,,,,,,"So many proprietary versions of digitized US census data, now @Spokeo has one too. https://t.co/3Eu370GAoR"
,,,,,,"@shanselman @colorisebot Interestingly, https://t.co/xo6nkE3Y3b fails in the exact same way with the same picture."
,,,,,,"@colorisebot https://t.co/doIPhlqUaF"
,,,,,,"@dbentley @colorisebot Likely yes, but I don't know if that's the cause of this failure. It does ok with some Black people."
,,,,,,"This is not @colorisebot's finest work. 😳 https://t.co/QRYd1G2AQv"
,,,,,,"@colorisebot @shanselman I um...have thoughts."
,,,,,,"@colorisebot https://t.co/klT5UKZJYA"
,,,,,,"@colorisebot https://t.co/kSj1X5p1hI"
,,,,,,"@Jason_Morrow Loving every second of it. Want to join us? :D"
,,,,,,"@corinnepw 💖💖💖 Congrats!! 💖💖💖"
,,,,,,"@skeskali I heard it as recently as 2013, when a newly discovered relative at a family reunion asked me if I was one. 🙄🙄🙄"
,,,,,,"@annapickard But can we talk about the number of brain tumors? So many brain tumors."
,,,,,,"@annapickard Oh my god I’d forgotten all about the icicle impaling. I ~suffered~ thoroughly enjoyed the Izzie/Denny… https://t.co/7GiwZrv5qu"
,,,,,,"@annapickard Can we rank them together please? I have several Thoughts and Opinions."
,,,,,,"@nonprofWHIT Extremely nah."
,,,,,,"@AlyNicely @Blavity @Google Nah, in like 2009. Ages ago but since I talked about it with the New Yorker it’s making… https://t.co/LuMsPtnt7s"
,,,,,,"I'm really looking forward to having a candid conversation with @vj44 on Women in STEM tomorrow! Let me know if you… https://t.co/VYkOpjBZ4l"
,,,,,,"@bilnguyen Shift + Esc and regain your sanity."
,,,,,,"I've often said to folks that I feel like I spent the last 6 months taking the most circuitous path to get to the p… https://t.co/4qhBE0AE06"
,,,,,,"I interviewed with almost all of those folks and they were fantastic people who I was very excited about working wi… https://t.co/7eSy8D2DMN"
